date,累计确诊,治愈,死亡,新增确诊
2020.4.8,83,43,0,6
2020.4.11,86,51,0,3
2020.4.16,96,61,0,10
2020.4.19,97,69,0,1
2020.4.21,97,76,1,0
2020.4.22,107,84,1,10
2020.4.24,111,87,1,4
2020.4.27,124,91,1,13
2020.4.28,125,93,1,14
2020.4.29,126,94,1,1
2020.4.30,128,98,1,2
2020.5.5,138,111,1,5
2020.5.8,141,119,1,3
2020.5.9,144,122,1,3
2020.5.12,153,124,1,3
2020.5.15,189,124,1,2
2020.5.16,197,125,1,8
2020.5.17,197,125,1,0
2020.5.18,197,125,1,0
2020.5.19,210,131,1,13
2020.5.20,218,136,1,8
2020.5.21,237,136,1,19
2020.5.22,249,137,1,12
2020.5.23,261,141,1,12
2020.5.24,279,143,1,18
2020.5.25,328,145,1,49
2020.5.26,353,146,1,25
2020.5.27,384,146,1,31
2020.5.28,406,150,1,22
2020.5.29,436,161,1,30
2020.5.30,450,172,1,14
2020.5.31,477,185,1,27
2020.6.1,499,200,1,22
2020.6.2,517,207,1,18
2020.6.3,533,254,1,16
2020.6.4,556,296,1,23
2020.6.5,589,321,1,33
2020.6.6,639,348,1,50
2020.6.7,689,383,1,50
2020.6.8,729,400,2,40
2020.6.9,773,427,2,44
2020.6.10,773,427,2,0
2020.6.11,917,462,2,144
2020.6.12,1043,489,2,126
2020.6.13,1043,489,2,0
2020.6.14,1255,534,3,212
2020.6.15,1255,534,3,0
2020.6.16,1326,552,3,71
2020.6.17,1554,663,5,228
2020.6.18,1758,784,5,204
2020.6.19,1758,784,5,0
2020.6.20,2163,890,5,405
2020.6.21,2163,890,5,0
2020.6.22,2441,930,6,278
2020.6.23,2593,1016,8,152
2020.6.24,2593,1016,8,0
2020.6.25,2827,1056,9,234
2020.6.26,3033,1096,10,206
2020.6.27,3270,1166,11,237
2020.6.28,3461,1249,12,191
2020.6.29,3461,1249,12,0
2020.6.30,4004,1508,15,543
2020.7.1,4268,1602,16,264
2020.7.2,4444,1680,16,176
2020.7.3,4558,1777,16,114
2020.7.4,4558,1777,16,0
2020.7.5,4913,1866,16,355
2020.7.6,4913,1866,16,0
2020.7.7,5054,1984,20,141
2020.7.8,5178,2119,21,124
2020.7.9,5558,2555,22,380
2020.7.10,5558,2555,22,0
2020.7.11,5704,2785,23,146
2020.7.12,5949,2981,26,245
2020.7.13,6170,3210,29,221
2020.7.14,6170,3210,29,0
2020.7.15,6229,3472,31,59
2020.7.16,6393,3818,34,164
2020.7.17,6393,3818,34,0
2020.7.18,6509,3932,34,116
2020.7.19,6655,4272,37,146
2020.7.20,6655,4272,37,0
2020.7.21,6745,4714,38,90
2020.7.22,6851,4996,39,106
2020.7.23,6883,5277,39,32
2020.7.24,7086,5376,40,203
2020.7.25,7251,5522,41,165
2020.7.26,7332,5767,41,81
2020.7.27,7332,5767,41,0
2020.7.28,7514,6047,42,182
2020.7.29,7562,6106,43,48
2020.7.30,7647,6176,43,85
2020.7.31,7728,6270,43,81
2020.8.1,7799,6386,43,71
2020.8.2,7857,6531,43,58
2020.8.3,7857,6531,43,0
2020.8.4,7948,6767,44,91
2020.8.5,7998,6873,45,50
2020.8.6,8069,7075,47,71
2020.8.7,8127,7240,47,58
2020.8.8,8204,7320,47,77
2020.8.9,8267,7501,48,63
2020.8.10,8267,7501,48,0
2020.8.11,8324,7549,49,57
2020.8.12,8360,7632,49,36
2020.8.13,8423,7713,50,63
2020.8.14,8471,7784,51,48
2020.8.15,8549,7841,53,78
2020.8.16,8588,7893,53,39
2020.8.17,8622,7985,53,34
2020.8.18,8622,7985,53,0
2020.8.19,8657,8054,53,35
2020.8.20,8711,8112,54,54
2020.8.21,8743,8189,54,32
2020.8.22,8777,8251,55,34
2020.8.23,8797,8307,55,20
2020.8.24,8797,8307,55,0
2020.8.25,8875,8363,56,78
2020.8.26,8904,8399,56,29
2020.8.27,8936,8461,56,32
2020.8.28,8982,8508,58,46
2020.8.29,9022,8586,58,40
2020.8.30,9076,8620,58,54
2020.8.31,9076,8620,58,0
2020.9.1,9115,8654,59,39
2020.9.2,9154,8707,60,39
2020.9.3,9209,8739,61,55
2020.9.4,9276,8792,62,67
2020.9.5,9276,8792,62,0
2020.9.6,9322,8870,62,46
2020.9.7,9355,8902,62,33
2020.9.8,9355,8902,62,0
2020.9.9,9387,8946,62,32
2020.9.10,9418,8986,62,31
2020.9.11,9462,9040,63,44
2020.9.12,9494,9078,63,32
2020.9.13,9521,9132,63,27
2020.9.14,9521,9132,63,0
2020.9.15,9552,9156,63,31
2020.9.16,9578,9202,64,26
2020.9.17,9595,9235,65,17
2020.9.18,9659,9298,65,64
2020.9.19,9659,9298,65,0
2020.9.20,9692,9341,65,33
2020.9.21,9692,9341,65,0
2020.9.22,9712,9373,65,20
2020.9.23,9738,9400,65,26
