date,累计确诊,治愈,死亡,新增确诊
2020.4.8,51,0,0,4
2020.4.12,53,0,0,2
2020.4.13,55,0,0,2
2020.4.20,56,19,0,1
2020.4.21,57,35,0,1
2020.4.22,57,36,0,0
2020.4.24,57,41,0,0
2020.4.27,57,43,0,0
2020.4.28,58,49,0,1
2020.4.30,58,50,0,0
2020.5.5,60,54,0,2
2020.5.12,60,58,0,0
2020.5.16,60,59,0,0
2020.5.17,60,59,0,0
2020.5.18,60,59,0,0
2020.5.19,60,60,0,0
2020.5.20,60,60,0,0
2020.5.21,60,60,0,0
2020.5.22,60,60,0,0
2020.5.23,60,60,0,0
2020.5.24,60,60,0,0
2020.5.25,60,60,0,0
2020.5.26,60,60,0,0
2020.5.27,60,60,0,0
2020.5.28,60,60,0,0
2020.5.29,60,60,0,0
2020.5.30,60,60,0,0
2020.5.31,60,60,0,0
2020.6.1,60,60,0,0
2020.6.2,60,60,0,0
2020.6.3,60,60,0,0
2020.6.4,60,60,0,0
2020.6.5,60,60,0,0
2020.6.6,60,60,0,0
2020.6.7,60,60,0,0
2020.6.8,60,60,0,0
2020.6.9,60,60,0,0
2020.6.10,60,60,0,0
2020.6.11,60,60,0,0
2020.6.12,60,60,0,0
2020.6.13,60,60,0,0
2020.6.14,60,60,0,0
2020.6.15,60,60,0,0
2020.6.16,60,60,0,0
2020.6.17,60,60,0,0
2020.6.18,60,60,0,0
2020.6.19,60,60,0,0
2020.6.20,60,60,0,0
2020.6.21,60,60,0,0
2020.6.22,60,60,0,0
2020.6.23,60,60,0,0
2020.6.24,60,60,0,0
2020.6.25,60,60,0,0
2020.6.26,60,60,0,0
2020.6.27,60,60,0,0
2020.6.28,60,60,0,0
2020.6.29,62,60,0,2
2020.6.30,62,60,0,0
2020.7.1,62,60,0,0
2020.7.2,62,60,0,0
2020.7.3,62,60,0,0
2020.7.4,62,60,0,0
2020.7.5,62,60,0,0
2020.7.6,62,60,0,0
2020.7.7,62,60,0,0
2020.7.8,62,60,0,0
2020.7.9,62,60,0,0
2020.7.10,62,60,0,0
2020.7.11,62,60,0,0
2020.7.12,62,60,0,0
2020.7.13,62,60,0,0
2020.7.14,62,60,0,0
2020.7.15,62,60,0,0
2020.7.16,62,60,0,0
2020.7.17,62,60,0,0
2020.7.18,62,60,0,0
2020.7.19,62,60,0,0
2020.7.20,62,60,0,0
2020.7.21,62,60,0,0
2020.7.22,62,60,0,0
2020.7.23,62,60,0,0
2020.7.24,62,60,0,0
2020.7.25,62,60,0,0
2020.7.26,62,60,0,0
2020.7.27,62,60,0,0
2020.7.28,62,60,0,0
2020.7.29,62,60,0,0
2020.7.30,62,62,0,0
2020.7.31,62,62,0,0
2020.8.1,62,62,0,0
2020.8.2,62,62,0,0
2020.8.3,62,62,0,0
2020.8.4,62,62,0,0
