date,累计确诊,治愈,死亡,新增确诊
2020.4.8,184,131,0,1
2020.4.9,184,136,0,0
2020.4.10,184,145,0,0
2020.4.12,184,157,0,0
2020.4.15,184,169,0,0
2020.4.18,185,176,0,1
2020.4.21,185,178,0,0
2020.4.22,187,178,0,2
2020.4.28,187,181,0,0
2020.4.30,187,184,0,0
2020.5.6,187,185,0,0
2020.5.8,187,186,0,0
2020.5.16,187,187,0,0
2020.5.17,187,187,0,0
2020.5.18,187,187,0,0
2020.5.19,187,187,0,0
2020.5.20,187,187,0,0
2020.5.21,187,187,0,0
2020.5.22,187,187,0,0
2020.5.23,187,187,0,0
2020.5.24,187,187,0,0
2020.5.25,187,187,0,0
2020.5.26,187,187,0,0
2020.5.27,187,187,0,0
2020.5.28,187,187,0,0
2020.5.29,187,187,0,0
2020.5.30,187,187,0,0
2020.5.31,187,187,0,0
2020.6.1,187,187,0,0
2020.6.2,187,187,0,0
2020.6.3,187,187,0,0
2020.6.4,187,187,0,0
2020.6.5,187,187,0,0
2020.6.6,187,187,0,0
2020.6.7,187,187,0,0
2020.6.8,187,187,0,0
2020.6.9,187,187,0,0
2020.6.10,187,187,0,0
2020.6.11,187,187,0,0
2020.6.12,187,187,0,0
2020.6.13,187,187,0,0
2020.6.14,187,187,0,0
2020.6.15,187,187,0,0
2020.6.16,187,187,0,0
2020.6.17,187,187,0,0
2020.6.18,187,187,0,0
2020.6.19,187,187,0,0
2020.6.20,187,187,0,0
2020.6.21,187,187,0,0
2020.6.22,187,187,0,0
2020.6.23,187,187,0,0
2020.6.24,187,187,0,0
2020.6.25,187,187,0,0
2020.6.26,187,187,0,0
2020.6.27,187,187,0,0
2020.6.28,187,187,0,0
2020.6.29,187,187,0,0
2020.6.30,187,187,0,0
2020.7.1,187,187,0,0
2020.7.2,187,187,0,0
2020.7.3,187,187,0,0
2020.7.4,187,187,0,0
2020.7.5,187,187,0,0
2020.7.6,188,187,0,1
2020.7.7,188,188,0,0
2020.7.8,188,188,0,0
2020.7.9,188,188,0,0
2020.7.10,188,188,0,0
2020.7.11,188,188,0,0
2020.7.12,188,188,0,0
2020.7.13,188,188,0,0
2020.7.14,188,188,0,0
2020.7.15,188,188,0,0
2020.7.16,188,188,0,0
2020.7.17,188,188,0,0
2020.7.18,188,188,0,0
2020.7.19,191,188,0,3
2020.7.20,191,188,0,0
2020.7.21,191,188,0,0
2020.7.22,191,188,0,0
2020.7.23,191,188,0,0
2020.7.24,191,188,0,0
2020.7.25,192,188,0,1
2020.7.26,214,188,0,22
2020.7.27,214,188,0,0
2020.7.28,220,188,0,6
2020.7.29,220,188,0,0
