date,累计确诊,治愈,死亡,新增确诊
2020.3.28,1638,13,18,249
2020.3.29,1862,13,22,224
2020.3.30,2055,13,31,193
2020.4.4,3627,116,79,244
2020.4.7,5000,191,136,435
2020.4.8,5205,222,159,357
2020.4.9,5575,284,174,370
2020.4.10,5955,318,181,380
2020.4.11,6356,375,208,401
2020.4.12,6674,439,232,318
2020.4.13,6934,487,245,260
2020.4.14,7202,618,263,268
2020.4.15,7582,668,286,380
2020.4.16,7918,774,314,336
2020.4.17,8379,866,332,461
2020.4.18,8742,981,347,363
2020.4.19,9287,1040,360,545
2020.4.20,9596,1133,380,306
2020.4.21,9856,1297,401,263
2020.4.22,10169,1513,426,313
2020.4.23,10511,1740,454,342
2020.4.24,10892,1944,494,381
2020.4.25,11273,2126,524,381
2020.4.26,11617,2265,535,344
2020.4.27,11902,2466,562,285
2020.4.28,12218,2655,596,316
2020.4.29,12640,3025,624,422
2020.4.30,12877,3236,644,237
2020.5.1,13375,3762,664,270
2020.5.2,13693,3762,678,318
2020.5.3,13937,4095,683,244
2020.5.4,14242,4280,700,313
2020.5.5,14431,4280,716,425
2020.5.6,14740,4655,733,309
2020.5.7,15047,4862,755,307
2020.5.9,15821,5698,791,285
2020.5.10,16206,5816,803,210
2020.5.11,16326,6131,811,330
2020.5.12,16921,6131,839,595
2020.5.13,17204,6410,861,283
2020.5.14,17615,6696,883,411
2020.5.15,18016,6918,907,401
2020.5.16,18257,7175,915,241
2020.5.17,18529,7451,925,272
2020.5.18,18885,7628,936,356
2020.5.19,19268,7903,948,383
2020.5.20,19569,8183,953,301
2020.5.21,19983,8452,965,414
2020.5.22,20619,8731,982,636
2020.5.23,20838,8977,990,219
2020.5.24,21326,9194,996,488
2020.5.25,21440,9276,996,114
2020.5.26,22074,10020,1024,634
2020.5.27,22303,10330,1025,229
2020.5.28,22600,10560,1030,297
2020.5.29,23155,10692,1051,555
2020.5.30,23571,11016,1061,416
2020.5.31,23786,11271,1064,215
2020.6.1,24165,11449,1074,379
2020.6.2,24271,11726,1081,106
2020.6.3,24687,12014,1115,416
2020.6.4,25048,12227,1117,361
2020.6.5,25410,12410,1137,362
2020.6.6,25986,12641,1153,576
2020.6.7,26561,12855,1157,575
