date,累计确诊,治愈,死亡,新增确诊
2020.4.7,794,77,33,90
2020.4.8,804,79,34,32
2020.4.9,846,101,35,40
2020.4.10,886,129,36,27
2020.4.11,937,139,37,36
2020.4.12,1009,193,39,63
2020.4.13,1037,206,39,28
2020.4.14,1110,253,41,27
2020.4.15,1155,269,43,45
2020.4.16,1199,320,46,32
2020.4.17,1214,320,46,15
2020.4.18,1285,347,48,17
2020.4.19,1309,381,49,24
2020.4.20,1342,437,51,33
2020.4.21,1368,460,53,26
2020.4.22,1413,485,54,45
2020.4.23,1421,538,55,8
2020.4.24,1486,592,57,65
2020.4.25,1516,624,59,30
2020.4.26,1565,659,60,49
2020.4.27,1585,682,63,20
2020.4.28,1677,710,65,92
2020.4.29,1757,727,69,80
2020.4.30,1781,755,70,24
2020.5.1,1839,779,72,58
2020.5.2,1857,825,77,18
2020.5.3,1926,855,78,69
2020.5.4,1946,911,79,20
2020.5.5,1987,928,86,41
2020.5.6,2027,954,90,40
2020.5.7,2070,960,98,43
2020.5.8,2090,1059,102,20
2020.5.9,2117,1106,107,27
2020.5.10,2141,1114,113,27
2020.5.11,2158,1168,117,1
2020.5.12,2181,1228,120,23
2020.5.13,2218,1272,122,37
2020.5.14,2236,1336,128,18
2020.5.15,2267,1355,129,31
2020.5.16,2290,1436,133,23
2020.5.17,2304,1464,133,14
2020.5.18,2304,1464,133,14
2020.5.19,2321,1522,134,17
2020.5.20,2338,1557,136,17
2020.5.21,2350,1596,140,12
2020.5.22,2372,1614,141,22
2020.5.23,2391,1662,141,19
2020.5.24,2401,1680,144,10
2020.5.25,2406,1696,146,5
2020.5.26,2416,1721,149,10
2020.5.27,2435,1744,151,19
2020.5.28,2462,1781,153,27
2020.5.29,2485,1803,153,23
2020.5.30,2494,1831,153,9
2020.5.31,2510,1862,153,16
2020.6.1,2524,1888,154,14
2020.6.2,2535,1910,157,11
2020.6.3,2551,1939,157,16
2020.6.4,2594,1951,159,43
2020.6.5,2606,1968,159,12
2020.6.6,2606,1968,159,0
2020.6.7,2606,1968,159,0
2020.6.8,2704,2023,160,98
2020.6.9,2728,2049,160,24
2020.6.10,2775,2063,161,47
2020.6.11,2832,2100,161,57
2020.6.12,2893,2119,163,61
2020.6.13,2893,2119,163,0
2020.6.14,2893,2119,163,0
2020.6.15,3040,2162,165,147
2020.6.16,3085,2178,168,45
2020.6.17,3141,2197,168,56
2020.6.18,3174,2219,168,33
2020.6.19,3273,2241,169,99
2020.6.20,3273,2241,169,0
2020.6.21,3273,2241,169,0
2020.6.22,3525,2270,171,252
2020.6.23,3588,2285,172,63
2020.6.24,3676,2297,173,88
2020.6.25,3796,2322,175,120
2020.6.26,3935,2338,178,139
2020.6.27,3935,2338,178,0
2020.6.28,3935,2338,178,0
2020.6.29,4325,2366,184,390
2020.6.30,4453,2402,186,128
2020.7.1,4606,2432,188,153
2020.7.2,4788,2515,189,182
2020.7.3,4962,2550,191,174
2020.7.4,4962,2550,191,0
2020.7.5,4962,2550,191,0
2020.7.6,5458,2598,199,496
2020.7.7,5621,2693,207,163
2020.7.8,5869,2769,209,248
2020.7.9,6086,2815,214,217
2020.7.10,6402,3037,216,316
2020.7.11,6719,3078,219,317
2020.7.12,6877,3115,221,158
2020.7.13,6981,3179,226,104
2020.7.14,6981,3179,226,0
2020.7.15,7411,3335,235,430
2020.7.16,7681,3534,240,270
2020.7.17,7908,3612,245,227
2020.7.18,8161,3648,246,253
2020.7.19,8340,3669,249,179
2020.7.20,8479,3755,255,139
2020.7.21,8787,4003,264,308
2020.7.22,9115,4159,268,328
2020.7.23,9462,4367,274,347
2020.7.24,9767,4555,280,305
2020.7.25,9767,4555,280,0
2020.7.26,9767,4555,280,0
2020.7.27,10498,4930,294,731
2020.7.28,10766,5220,297,268
2020.7.29,11127,5441,316,361
2020.7.30,11444,5586,328,317
2020.7.31,11876,5959,339,432
2020.8.1,11876,5959,339,0
2020.8.2,12296,6312,352,420
2020.8.3,12462,6359,362,166
2020.8.4,12856,6592,373,394
2020.8.5,13138,6839,379,282
2020.8.6,13396,7042,384,258
2020.8.7,13687,7373,394,291
2020.8.8,13687,7373,394,0
2020.8.9,13687,7373,394,0
2020.8.10,13687,7373,394,0
2020.8.11,14708,8411,447,1021
2020.8.12,14961,8827,453,253
2020.8.13,15184,9156,458,223
2020.8.14,15535,9344,469,351
2020.8.15,15535,9344,469,0
2020.8.16,15801,9619,471,266
2020.8.17,16111,9856,486,310
2020.8.18,16351,10279,495,240
2020.8.19,16691,10711,507,340
2020.8.20,17029,10881,515,338
2020.8.21,17396,11157,526,367
2020.8.22,17715,11329,532,319
2020.8.23,17715,11329,532,0
2020.8.24,18029,11861,547,314
2020.8.25,18326,12081,560,297
2020.8.26,18609,12336,571,283
2020.8.27,18920,12480,582,311
2020.8.28,19214,12733,591,294
2020.8.29,19550,12858,594,336
2020.8.30,19793,12961,598,243
2020.8.31,19964,13095,609,171
2020.9.1,20234,13435,620,270
2020.9.2,20517,13626,627,283
2020.9.3,20804,14120,636,287
2020.9.4,20804,14120,636,0
2020.9.5,21439,14636,651,635
2020.9.6,21560,14709,655,121
2020.9.7,21660,14830,664,100
2020.9.8,21961,15172,669,301
2020.9.9,22258,15208,675,297
2020.9.10,22544,15273,680,286
2020.9.11,22834,15672,686,290
2020.9.12,23138,15922,690,304
2020.9.13,23465,16038,696,327
