date,累计确诊,治愈,死亡,新增确诊
2020.4.8,2423,940,32,54
2020.4.9,2473,940,33,50
2020.4.10,2518,1013,35,45
2020.4.11,2551,1218,38,33
2020.4.12,2579,1288,40,28
2020.4.13,2613,1405,41,34
2020.4.14,2643,1497,43,30
2020.4.15,2672,1593,46,29
2020.4.16,2700,1689,47,28
2020.4.17,2733,1787,47,33
2020.4.18,2765,1928,47,32
2020.4.19,2792,1999,47,27
2020.4.20,2811,2108,48,19
2020.4.21,2826,2352,49,15
2020.4.22,2839,2430,50,13
2020.4.23,2854,2490,50,15
2020.4.24,2907,2547,51,53
2020.4.25,2922,2594,51,15
2020.4.26,2931,2609,52,9
2020.4.27,2938,2652,54,7
2020.4.28,2947,2665,54,9
2020.4.29,2954,2687,54,7
2020.4.30,2960,2719,54,6
2020.5.1,2966,2732,54,6
2020.5.2,2969,2739,54,3
2020.5.4,2988,2747,54,1
2020.5.5,2989,2761,55,1
2020.5.6,2992,2772,55,3
2020.5.7,3000,2784,55,8
2020.5.8,3004,2787,56,4
2020.5.12,3017,2844,56,2
2020.5.13,3018,2850,56,1
2020.5.16,3025,2855,56,0
2020.5.17,3028,2856,56,3
2020.5.18,3031,2857,56,3
2020.5.19,3033,2857,56,2
2020.5.20,3034,2888,56,1
2020.5.21,3037,2897,56,3
2020.5.22,3037,2910,56,0
2020.5.23,3040,2916,56,3
2020.5.24,3040,2921,56,0
2020.5.25,3042,2928,57,2
2020.5.26,3045,2929,57,3
2020.5.27,3054,2931,57,9
2020.5.28,3065,2945,57,11
2020.5.29,3076,2945,57,11
2020.5.30,3077,2961,57,1
2020.5.31,3081,2963,57,4
2020.6.1,3082,2965,57,1
2020.6.2,3083,2966,58,1
2020.6.3,3084,2968,58,1
2020.6.4,3101,2968,58,17
2020.6.5,3102,2971,58,1
2020.6.6,3104,2971,58,2
2020.6.7,3112,2972,58,8
2020.6.8,3119,2973,58,7
2020.6.9,3121,2973,58,2
2020.6.10,3125,2981,58,4
2020.6.11,3125,2987,58,0
2020.6.12,3129,2987,58,4
2020.6.13,3134,2987,58,5
2020.6.14,3135,2987,58,1
2020.6.15,3135,2987,58,0
2020.6.16,3135,2993,58,0
2020.6.17,3135,2996,58,0
2020.6.18,3141,2997,58,6
2020.6.19,3146,3008,58,5
2020.6.20,3147,3018,58,1
2020.6.21,3148,3018,58,1
2020.6.22,3151,3022,58,3
2020.6.23,3156,3023,58,5
2020.6.24,3157,3026,58,1
2020.6.25,3158,3038,58,1
2020.6.26,3162,3040,58,4
2020.6.27,3162,3053,58,0
2020.6.28,3162,3053,58,0
2020.6.29,3169,3053,58,7
2020.6.30,3171,3056,58,2
2020.7.1,3173,3059,58,2
2020.7.2,3179,3059,58,6
2020.7.3,3180,3066,58,1
2020.7.4,3185,3066,58,5
2020.7.5,3190,3071,58,5
2020.7.6,3195,3072,58,5
2020.7.7,3195,3072,58,0
2020.7.8,3197,3074,58,2
2020.7.9,3202,3085,58,5
2020.7.10,3202,3087,58,0
2020.7.11,3216,3088,58,14
2020.7.12,3217,3088,58,1
2020.7.13,3220,3090,58,3
2020.7.14,3227,3091,58,7
2020.7.15,3232,3092,58,5
2020.7.16,3236,3095,58,4
2020.7.17,3239,3096,58,3
2020.7.18,3246,3096,58,7
2020.7.19,3249,3096,58,3
2020.7.20,3250,3096,58,1
2020.7.21,3255,3105,58,5
2020.7.22,3261,3105,58,6
2020.7.23,3269,3105,58,8
2020.7.24,3279,3107,58,10
2020.7.25,3282,3109,58,3
2020.7.26,3291,3109,58,9
2020.7.27,3295,3111,58,4
2020.7.28,3297,3111,58,2
2020.7.29,3298,3111,58,1
2020.7.30,3304,3111,58,6
2020.7.31,3310,3125,58,6
