date,累计确诊,治愈,死亡,新增确诊
2020.4.8,11,0,3,1
2020.4.10,13,0,3,2
2020.4.11,14,0,3,1
2020.4.13,17,0,3,3
2020.4.14,18,1,3,1
2020.4.15,23,1,3,6
2020.4.16,24,2,3,1
2020.4.18,25,2,3,1
2020.4.21,28,2,3,3
2020.4.23,29,2,4,1
2020.4.25,31,2,4,2
2020.4.27,32,5,4,1
2020.4.29,34,5,4,2
2020.5.6,34,5,4,0
2020.5.8,35,9,4,1
2020.5.9,36,9,4,1
2020.5.12,37,12,4,1
2020.5.15,42,13,4,5
2020.5.16,44,17,4,2
2020.5.18,44,17,4,0
2020.5.19,46,18,4,2
2020.5.20,46,18,4,0
2020.5.21,48,18,4,2
2020.5.22,51,18,4,3
2020.5.23,51,18,4,0
2020.5.24,56,23,4,5
2020.5.25,56,25,4,0
2020.5.26,56,25,4,0
2020.5.27,56,25,4,0
2020.5.28,132,25,4,76
2020.5.29,149,28,4,17
2020.5.30,160,29,4,11
2020.5.31,174,29,4,14
2020.6.1,178,29,4,4
2020.6.2,203,29,4,25
2020.6.3,206,29,4,3
2020.6.4,222,29,4,16
2020.6.5,237,31,4,15
2020.6.6,265,33,4,28
2020.6.7,279,33,4,14
2020.6.8,282,34,4,3
2020.6.9,287,46,4,5
2020.6.10,314,46,4,27
2020.6.11,320,49,4,6
2020.6.12,332,51,4,12
2020.6.13,343,51,4,11
2020.6.14,356,54,4,13
2020.6.15,383,54,4,27
2020.6.16,387,54,4,4
2020.6.17,391,62,4,4
2020.6.18,401,63,4,10
2020.6.19,463,63,4,62
2020.6.20,479,63,4,16
2020.6.21,479,63,4,0
2020.6.22,489,64,6,10
2020.6.23,512,64,6,23
2020.6.24,525,64,6,13
2020.6.25,530,123,6,5
2020.6.26,551,128,6,21
2020.6.27,561,135,6,10
2020.6.28,567,142,6,6
2020.6.29,567,142,6,0
2020.6.30,574,152,7,7
2020.7.1,591,162,7,17
2020.7.2,605,166,7,14
2020.7.3,617,173,7,12
2020.7.4,625,176,7,8
2020.7.5,698,181,8,73
2020.7.6,716,181,8,18
2020.7.7,734,197,9,18
2020.7.8,787,201,9,53
2020.7.9,885,206,9,98
2020.7.10,926,306,12,41
2020.7.11,942,320,13,16
2020.7.12,982,320,18,40
2020.7.13,985,328,18,3
2020.7.14,1034,343,19,49
2020.7.15,1064,343,20,30
2020.7.16,1089,395,20,25
2020.7.17,1362,425,23,273
2020.7.18,1420,438,24,58
2020.7.19,1478,439,25,58
2020.7.20,1611,472,25,133
2020.7.21,1713,472,26,102
2020.7.22,1820,488,26,107
2020.7.23,2034,510,26,214
2020.7.24,2124,510,28,90
2020.7.25,2296,514,32,172
2020.7.26,2434,518,34,138
2020.7.27,2512,518,34,78
2020.7.28,2704,542,36,192
2020.7.29,2817,604,40,113
2020.7.30,2879,887,41,62
2020.7.31,3092,924,53,213
2020.8.1,3169,1004,67,77
