date,累计确诊,治愈,死亡,新增确诊
2020.4.8,343,6,23,31
2020.4.9,382,6,23,39
2020.4.10,392,7,24,10
2020.4.11,393,7,25,1
2020.4.12,397,7,25,4
2020.4.13,407,7,26,10
2020.4.14,419,7,31,12
2020.4.15,426,9,35,7
2020.4.16,442,9,41,16
2020.4.17,457,10,46,15
2020.4.18,472,15,46,15
2020.4.19,477,25,46,5
2020.4.20,494,25,46,17
2020.4.21,510,30,46,16
2020.4.22,519,31,47,9
2020.4.23,562,31,47,43
2020.4.24,591,58,55,29
2020.4.25,627,65,59,36
2020.4.26,661,69,61,34
2020.4.27,702,79,64,41
2020.4.28,738,79,66,36
2020.4.29,771,79,71,33
2020.4.30,804,112,75,33
2020.5.2,1010,116,76,111
2020.5.3,1055,118,82,45
2020.5.4,1178,122,83,123
2020.5.5,1270,122,93,92
2020.5.6,1461,132,99,191
2020.5.7,1685,154,105,224
2020.5.8,1771,192,107,86
2020.5.9,1830,195,108,59
2020.5.11,1972,206,116,128
2020.5.12,2080,211,121,108
2020.5.13,2255,237,123,175
2020.5.14,2318,253,133,63
2020.5.15,2460,264,134,142
2020.5.16,2565,278,138,105
2020.5.17,2646,319,142,81
2020.5.18,2646,319,142,0
2020.5.19,2798,340,146,152
2020.5.20,2955,349,147,157
2020.5.21,3100,355,151,145
2020.5.22,3204,397,156,104
2020.5.23,3477,439,167,273
2020.5.24,3743,455,174,266
2020.5.25,3950,468,180,207
2020.5.26,4189,473,182,239
2020.5.27,4401,493,188,212
2020.5.28,4640,506,194,239
2020.5.29,4752,519,196,112
2020.5.30,4886,528,199,134
2020.5.31,5094,536,201,208
2020.6.1,5202,537,212,108
2020.6.2,5362,549,217,160
2020.6.3,5527,563,225,165
2020.6.4,5690,617,234,163
2020.6.5,5880,648,243,190
2020.6.6,5971,677,248,91
2020.6.7,6155,697,250,184
2020.6.8,6327,712,258,172
2020.6.9,6450,740,262,123
2020.6.10,6935,787,271,485
2020.6.11,7360,809,290,425
2020.6.12,7669,837,294,309
2020.6.13,8132,844,306,463
2020.6.14,8455,894,310,323
2020.6.15,8858,967,312,403
2020.6.16,9178,1025,322,320
