date,累计确诊,治愈,死亡,新增确诊
2020.4.8,27,1,0,2
2020.4.9,30,1,2,3
2020.4.10,31,1,2,1
2020.4.11,33,1,2,2
2020.4.13,40,1,3,2
2020.4.15,41,1,3,1
2020.4.17,44,1,3,1
2020.4.19,47,1,3,3
2020.4.20,57,1,3,10
2020.4.21,58,2,4,1
2020.4.22,62,2,4,5
2020.4.23,72,2,5,10
2020.4.24,72,6,6,0
2020.4.26,74,7,6,2
2020.4.27,76,8,6,2
2020.4.30,81,8,8,5
2020.5.1,85,10,8,4
2020.5.5,101,10,12,1
2020.5.6,108,15,12,7
2020.5.7,129,16,12,21
2020.5.8,146,17,12,17
2020.5.12,219,17,18,10
2020.5.14,234,18,20,15
2020.5.15,373,29,20,39
2020.5.16,358,29,20,85
2020.5.17,456,21,20,98
2020.5.18,456,21,20,0
2020.5.19,533,21,21,77
2020.5.20,596,21,22,63
2020.5.21,663,21,22,67
2020.5.22,734,21,25,71
2020.5.23,812,22,25,78
2020.5.24,865,22,26,53
2020.5.25,958,22,27,93
2020.5.26,1063,22,31,105
2020.5.27,1174,22,33,111
2020.5.28,1320,22,34,146
2020.5.29,1443,22,35,123
2020.5.30,1584,22,35,141
2020.5.31,1865,24,41,281
2020.6.1,2124,24,44,259
2020.6.2,2226,24,45,102
2020.6.3,2507,24,48,281
2020.6.4,2640,24,50,133
2020.6.5,2640,24,50,0
2020.6.6,2924,24,50,284
2020.6.7,3072,24,50,148
2020.6.8,3334,24,51,262
2020.6.9,3538,24,54,204
2020.6.10,3662,24,56,124
2020.6.11,3796,24,58,134
2020.6.12,3941,24,64,145
2020.6.13,3941,24,64,0
2020.6.14,4165,24,70,224
2020.6.15,4309,24,73,144
2020.6.16,4441,24,76,132
2020.6.17,4547,24,80,106
2020.6.18,4688,24,82,141
2020.6.19,4916,24,84,228
2020.6.20,4980,24,87,64
2020.6.21,5077,24,88,97
2020.6.22,5211,24,88,134
2020.6.23,5211,338,88,0
2020.6.24,5324,436,89,113
2020.6.25,5429,512,92,105
2020.6.26,5543,512,96,114
2020.6.27,5722,641,98,179
2020.6.28,5777,706,100,55
2020.6.29,5847,787,104,70
2020.6.30,5933,839,105,86
2020.7.1,5975,931,105,42
2020.7.2,6040,1032,107,65
2020.7.3,6101,1141,110,61
2020.7.4,6230,1286,110,129
2020.7.5,6294,1408,113,64
2020.7.6,6333,1549,113,39
2020.7.7,6371,1824,113,38
2020.7.8,6432,2080,117,61
2020.7.9,6486,2181,123,54
2020.7.10,6582,2459,130,96
2020.7.11,6617,2590,135,35
2020.7.12,6690,2590,139,73
2020.7.13,6727,2924,139,37
2020.7.14,6727,3022,141,0
2020.7.15,6831,3283,143,104
2020.7.16,6902,3484,145,71
2020.7.17,6948,3606,145,46
2020.7.18,6975,3738,146,27
2020.7.19,7053,3877,146,78
2020.7.20,7053,3877,146,0
2020.7.21,7100,4095,151,47
2020.7.22,7146,4095,154,46
2020.7.23,7167,4095,154,21
2020.7.24,7197,4236,154,30
2020.7.25,7260,4236,156,63
2020.7.26,7297,4365,157,37
2020.7.27,7315,4365,157,18
2020.7.28,7340,4365,158,25
2020.7.29,7371,4467,158,31
2020.7.30,7378,4467,159,7
2020.7.31,7412,4467,161,34
2020.8.1,7424,4606,161,12
2020.8.2,7468,4606,165,44
2020.8.3,7468,4606,165,0
2020.8.4,7511,4832,166,43
2020.8.5,7532,4832,171,21
2020.8.6,7544,4832,171,12
2020.8.7,7582,4832,171,38
2020.8.8,7599,4893,177,17
2020.8.9,7611,4893,182,12
2020.8.10,7634,4982,183,23
2020.8.11,7649,4982,183,15
2020.8.12,7649,4982,183,0
2020.8.13,7781,5123,192,132
2020.8.14,7810,5123,192,29
2020.8.15,7831,5235,196,21
2020.8.16,7831,5235,196,0
2020.8.17,7879,5235,196,48
2020.8.18,7897,5235,196,18
2020.8.19,7921,5235,196,24
2020.8.20,7949,5337,196,28
2020.8.21,7997,5447,196,48
2020.8.22,8050,5447,196,53
2020.8.23,8082,5624,196,32
2020.8.24,8082,5624,196,0
2020.8.25,8112,5624,196,30
2020.8.26,8122,5677,197,10
2020.8.27,8122,5677,197,0
2020.8.28,8151,5743,200,29
2020.8.29,8161,5743,201,10
2020.8.30,8209,5828,201,48
2020.8.31,8224,5828,201,15
2020.9.1,8224,5828,201,0
2020.9.2,8258,5870,206,34
2020.9.3,8301,5870,210,43
2020.9.4,8301,5870,210,0
2020.9.5,8326,5870,212,25
2020.9.6,8360,5933,214,34
2020.9.7,8360,5933,214,0
2020.9.8,8376,5991,214,16
2020.9.9,8376,5991,214,0
2020.9.10,8384,5991,214,8
2020.9.11,8429,5991,215,45
2020.9.12,8478,6120,219,49
2020.9.13,8478,6120,219,0
2020.9.14,8499,6120,219,21
2020.9.15,8499,6120,219,0
2020.9.16,8530,6181,220,31
2020.9.17,8541,6258,220,11
2020.9.18,8556,6315,220,15
2020.9.19,8600,6363,221,44
2020.9.20,8600,6363,221,0
2020.9.21,8624,6482,221,24
2020.9.22,8633,6482,223,9
2020.9.23,8646,6551,225,13
2020.9.24,8646,6551,225,0
2020.9.25,8684,6551,227,38
2020.9.26,8723,6551,227,39
2020.9.27,8723,6551,227,0
2020.9.28,8740,6688,227,17
2020.9.29,8740,6757,227,0
2020.9.30,8740,6757,227,0
2020.10.1,8766,6829,229,26
2020.10.2,8781,6907,229,15
2020.10.3,8792,6949,229,11
2020.10.4,8811,6949,229,19
2020.10.5,8819,6992,229,8
2020.10.6,8827,6992,229,8
2020.10.7,8838,7013,229,11
2020.10.8,8838,7013,229,0
2020.10.9,8854,7013,230,16
2020.10.10,8854,7013,230,0
2020.10.11,8860,7104,230,6
2020.10.12,8882,7104,230,22
2020.10.13,8882,7104,230,0
2020.10.14,8908,7182,231,26
2020.10.15,8908,7182,231,0
2020.10.16,8925,7182,231,17
2020.10.17,8925,7182,231,0
2020.10.18,8956,7213,231,31
2020.10.19,8964,7213,231,8
2020.10.20,8976,7303,231,12
2020.10.21,8976,7303,231,0
2020.10.22,8979,7303,231,3
