date,累计确诊,治愈,死亡,新增确诊
2020.3.9,1,0,0,1
2020.3.10,2,0,0,1
2020.3.12,3,0,0,1
2020.3.16,6,0,0,3
2020.3.18,7,0,0,1
2020.3.19,11,0,0,2
2020.3.20,12,0,0,1
2020.3.21,32,0,0,20
2020.3.23,36,0,0,4
2020.3.25,46,0,0,10
2020.3.26,66,0,1,20
2020.3.27,88,0,1,22
2020.3.28,97,0,1,9
2020.3.29,108,0,2,11
2020.3.30,141,0,2,33
2020.3.31,172,0,3,31
2020.4.2,193,0,3,21
2020.4.3,232,13,4,39
2020.4.4,262,13,5,30
2020.4.5,309,27,6,47
2020.4.6,323,27,7,14
2020.4.7,335,34,7,12
2020.4.8,351,38,8,16
2020.4.9,361,40,8,10
2020.4.10,398,40,9,37
2020.4.11,407,48,9,9
2020.4.12,431,48,9,24
2020.4.13,436,48,9,5
2020.4.14,440,48,13,4
2020.4.15,447,67,15,7
2020.4.16,457,73,19,10
2020.4.17,470,73,20,13
2020.4.18,484,73,21,14
2020.4.19,488,94,21,4
2020.4.21,496,256,24,8
2020.4.22,498,284,29,2
2020.4.23,521,295,29,23
2020.4.24,523,295,34,2
2020.4.25,525,332,35,2
2020.4.26,525,332,35,0
2020.4.27,530,352,36,5
2020.4.29,537,386,38,7
2020.4.30,538,406,40,1
2020.5.2,543,406,40,5
2020.5.5,545,406,40,1
2020.5.7,545,430,40,0
2020.5.10,546,452,41,0
2020.5.12,547,455,42,1
2020.5.14,548,456,43,1
2020.5.15,549,457,43,0
2020.5.16,554,458,43,5
2020.5.17,554,458,43,0
2020.5.18,554,458,43,0
2020.5.19,555,475,43,1
2020.5.20,555,479,44,0
2020.5.21,558,492,45,3
2020.5.22,558,508,45,0
2020.5.23,558,508,45,0
2020.5.24,558,508,45,0
2020.5.25,558,508,45,0
2020.5.26,559,508,45,1
2020.5.27,559,512,45,0
2020.5.28,560,512,45,1
2020.5.29,560,512,45,0
2020.5.30,560,512,45,0
2020.5.31,560,512,45,0
2020.6.1,560,512,45,0
2020.6.2,560,512,45,0
2020.6.3,560,512,45,0
2020.6.4,561,512,46,1
2020.6.5,561,512,46,0
2020.6.6,561,512,46,0
2020.6.7,563,512,46,2
2020.6.8,563,512,46,0
2020.6.9,564,512,46,1
2020.6.10,565,512,48,1
2020.6.11,565,512,48,0
2020.6.12,565,512,48,0
2020.6.13,565,512,48,0
2020.6.14,565,512,48,0
2020.6.15,565,512,48,0
2020.6.16,565,512,48,0
2020.6.17,565,512,48,0
2020.6.18,570,512,48,5
2020.6.19,570,512,48,0
2020.6.20,570,512,48,0
2020.6.21,570,512,48,0
