date,累计确诊,治愈,死亡,新增确诊
2020.4.7,6013,2813,50,24
2020.4.8,6013,2813,50,25
2020.4.9,6152,2987,51,100
2020.4.10,6238,3141,54,86
2020.4.11,6303,3265,57,86
2020.4.12,6322,3338,59,9
2020.4.13,6366,3494,61,7
2020.4.15,6494,3702,63,15
2020.4.16,6497,3747,63,29
2020.4.17,6560,4132,67,27
2020.4.18,6586,4167,70,53
2020.4.19,6612,4230,71,26
2020.4.20,6625,4258,71,13
2020.4.21,6647,4920,74,2
2020.4.22,6660,5034,75,11
2020.4.23,6667,5045,75,18
2020.4.24,6692,5357,80,17
2020.4.25,6710,5517,81,15
2020.4.26,6716,5560,83,21
2020.4.27,6725,5602,84,5
2020.4.28,6746,5667,89,8
2020.4.29,6752,5715,91,6
2020.4.30,6766,5739,93,12
2020.5.1,6780,5782,93,13
2020.5.2,6799,5814,94,18
2020.5.3,6825,5859,95,21
2020.5.4,6847,5886,96,22
2020.5.5,6875,5975,97,26
2020.5.6,6894,6040,97,19
2020.5.7,6901,6066,97,5
2020.5.9,6941,6163,97,12
2020.5.11,6964,6229,97,22
2020.5.12,6980,6270,98,16
2020.5.15,7032,6353,98,1
2020.5.16,7036,6362,98,4
2020.5.17,7054,6392,99,9
2020.5.18,7060,6392,99,6
2020.5.19,7068,6413,100,8
2020.5.20,7079,6444,100,11
2020.5.21,7081,6472,100,2
2020.5.22,7095,6479,101,14
2020.5.23,7111,6494,102,16
2020.5.24,7114,6508,102,3
2020.5.25,7118,6531,102,4
2020.5.26,7133,6553,102,15
2020.5.27,7139,6566,103,6
2020.5.28,7150,6580,103,11
2020.5.29,7173,6582,103,23
2020.5.30,7185,6606,103,12
2020.5.31,7195,6614,103,10
2020.6.1,7204,6619,103,9
2020.6.2,7221,6626,102,17
2020.6.3,7229,6640,102,8
2020.6.4,7240,6648,102,11
2020.6.5,7251,6683,102,11
2020.6.6,7255,6690,102,4
2020.6.7,7260,6703,102,5
2020.6.8,7265,6706,102,5
2020.6.9,7267,6720,102,2
2020.6.10,7276,6744,102,9
2020.6.11,7285,6761,102,9
2020.6.12,7290,6783,102,5
2020.6.13,7302,6812,102,12
2020.6.14,7320,6838,102,18
2020.6.15,7335,6851,102,15
2020.6.16,7347,6853,102,12
2020.6.17,7370,6859,102,23
2020.6.18,7391,6877,102,21
2020.6.19,7409,6878,102,18
2020.6.20,7436,6881,102,27
2020.6.21,7461,6896,102,25
2020.6.22,7474,6903,102,13
2020.6.23,7492,6904,102,18
2020.6.24,7521,6915,103,29
2020.6.25,7558,6931,104,37
2020.6.26,7595,6958,104,37
2020.6.27,7641,6979,104,46
2020.6.28,7686,6979,104,45
2020.6.29,7767,7008,104,81
2020.6.30,7836,7008,104,69
2020.7.1,7920,7040,104,84
2020.7.2,8001,7090,104,81
2020.7.3,8255,7319,104,254
2020.7.4,8362,7355,104,107
2020.7.5,8449,7399,104,87
2020.7.6,8586,7420,106,137
2020.7.7,8755,7455,106,169
2020.7.8,8886,7487,106,131
2020.7.9,9059,7573,106,173
2020.7.10,9359,7576,106,300
2020.7.11,9553,7730,107,194
2020.7.12,9796,7727,108,243
2020.7.13,9980,7768,108,184
2020.7.14,10250,7835,108,270
2020.7.15,10487,7928,111,237
2020.7.16,10810,8035,113,323
2020.7.17,11235,8117,116,425
2020.7.18,11441,8161,118,206
2020.7.19,11802,8273,122,361
2020.7.20,12069,8444,123,267
2020.7.21,12428,8444,126,359
2020.7.22,12894,8545,128,466
2020.7.23,13302,8656,133,408
2020.7.24,13595,8775,139,293
2020.7.25,13948,9017,145,353
2020.7.26,14403,9019,155,455
2020.7.27,14935,9171,161,532
2020.7.28,15302,9311,167,367
2020.7.29,15580,9431,176,278
2020.7.30,16303,10619,189,723
2020.7.31,16905,9982,197,602
2020.8.1,17282,10202,201,377
2020.8.2,17923,10420,208,641
2020.8.3,18318,10622,221,395
2020.8.4,18730,10622,232,412
2020.8.5,19444,10799,247,714
2020.8.6,19890,10941,255,446
2020.8.7,20272,11147,266,382
2020.8.8,20698,11320,278,426
2020.8.9,21084,11561,295,386
2020.8.10,21407,11876,314,323
2020.8.11,21713,12144,331,306
2020.8.12,22127,12393,352,414
2020.8.13,22358,13001,361,231
2020.8.14,22743,13350,375,385
2020.8.15,23035,13355,379,292
2020.8.16,23287,13634,396,252
2020.8.17,23559,14539,421,272
2020.8.18,23773,14929,438,214
2020.8.19,23993,15246,450,220
2020.8.20,24236,17854,463,243
2020.8.21,24407,18460,472,171
2020.8.22,24602,18759,485,195
2020.8.23,24812,19233,502,210
2020.8.24,24916,19603,517,104
2020.8.25,25053,19603,525,137
2020.8.26,25204,20100,549,151
2020.8.27,25322,20366,572,118
2020.8.28,25448,20633,583,126
2020.8.29,25547,20856,600,99
2020.8.30,25670,21116,611,123
2020.8.31,25746,21350,652,76
2020.9.1,25819,21503,657,73
2020.9.2,25923,21690,663,104
2020.9.3,26049,21912,678,126
2020.9.4,26136,22169,737,87
2020.9.5,26207,22330,748,71
2020.9.6,26278,22462,753,71
2020.9.7,26322,22603,762,44
2020.9.8,26374,22724,770,52
2020.9.9,26465,22863,781,91
2020.9.10,26513,23036,788,48
2020.9.11,26565,23217,797,52
2020.9.12,26607,23329,803,42
2020.9.13,26651,23462,810,44
2020.9.14,26692,23578,816,41
2020.9.15,26739,23652,816,47
2020.9.16,26779,23726,824,40
2020.9.17,26813,23792,832,34
2020.9.18,26861,23855,837,48
2020.9.19,26885,23962,844,24
2020.9.20,26898,24062,849,13
