date,累计确诊,治愈,死亡,新增确诊
2020.4.8,6074,25,235,365
2020.4.9,6574,25,263,500
2020.4.10,7054,25,288,480
2020.4.11,8928,25,320,553
2020.4.12,9655,25,334,727
2020.4.13,10647,25,365,992
2020.4.14,11479,25,406,832
2020.4.15,12547,77,444,1068
2020.4.16,13271,77,486,724
2020.4.17,13980,77,530,709
2020.4.18,14758,77,571,778
2020.4.19,15251,77,610,493
2020.4.20,15652,77,687,401
2020.4.21,16040,9233,730,388
2020.4.22,16671,9233,769,631
2020.4.23,17607,9233,794,936
2020.4.24,18184,9233,1014,577
2020.4.25,18561,9233,1063,377
2020.4.26,19262,9233,1087,701
2020.4.27,19648,9233,1102,386
2020.4.28,19877,9233,1159,229
2020.4.29,20253,13386,1190,376
2020.4.30,20612,13386,1232,359
2020.5.1,20833,13386,1265,221
2020.5.2,21176,13386,1286,343
2020.5.5,21983,13386,1339,211
2020.5.6,22248,17110,1375,265
2020.5.12,23242,17110,1488,107
2020.5.13,23401,19470,1497,159
2020.5.14,23827,19470,1506,426
2020.5.15,23956,19470,1518,129
2020.5.16,24048,19470,1533,92
2020.5.17,24112,19470,1543,64
2020.5.18,24112,19470,1543,0
2020.5.19,24200,19470,1547,88
2020.5.20,24251,19470,1561,51
2020.5.21,24315,21060,1571,64
2020.5.22,24391,21060,1583,76
2020.5.23,24506,21060,1592,115
2020.5.24,24582,21060,1604,76
2020.5.25,24639,21060,1608,57
2020.5.26,24698,21060,1606,59
2020.5.27,24735,21060,1615,37
2020.5.28,24803,22089,1631,68
2020.5.29,24841,22089,1639,38
2020.5.30,24876,22089,1645,35
2020.5.31,24929,22089,1651,53
2020.6.1,24990,22089,1652,61
2020.6.2,25062,22089,1650,72
2020.6.3,25066,22089,1658,4
2020.6.4,25111,22698,1659,45
2020.6.5,25142,22698,1664,31
2020.6.6,25163,22698,1670,21
2020.6.7,25201,22698,1679,38
2020.6.8,25201,22698,1679,0
2020.6.9,25207,22698,1683,6
2020.6.10,25215,22698,1691,8
