date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1185,72,24,36
2020.4.8,1185,72,24,36
2020.4.9,1207,83,24,22
2020.4.10,1258,93,24,51
2020.4.11,1304,93,24,46
2020.4.12,1309,98,25,5
2020.4.13,1332,102,28,23
2020.4.14,1400,117,35,27
2020.4.15,1434,133,36,34
2020.4.16,1459,145,38,25
2020.4.17,1512,162,38,53
2020.4.18,1528,164,40,16
2020.4.19,1535,165,40,7
2020.4.20,1552,169,43,17
2020.4.21,1559,184,44,7
2020.4.22,1592,192,45,33
2020.4.23,1605,206,46,13
2020.4.24,1635,228,46,30
2020.4.25,1643,233,49,8
2020.4.26,1647,233,50,4
2020.4.27,1660,240,50,13
2020.4.28,1666,240,50,6
2020.4.29,1689,249,52,23
2020.4.30,1694,253,52,5
2020.5.1,1699,256,53,5
2020.5.2,1700,259,55,1
2020.5.3,1703,259,55,3
2020.5.4,1711,261,55,8
2020.5.5,1713,264,55,2
2020.5.6,1720,273,56,7
2020.5.7,1725,273,56,5
2020.5.8,1733,747,60,8
2020.5.9,1739,750,60,6
2020.5.10,1741,751,61,6
2020.5.11,1746,777,61,2
2020.5.12,1751,777,61,5
2020.5.13,1758,909,62,7
2020.5.14,1766,923,63,8
2020.5.15,1770,934,63,4
2020.5.16,1774,938,63,4
2020.5.17,1784,938,64,10
2020.5.18,1784,938,64,0
2020.5.19,1791,938,64,7
2020.5.20,1794,956,64,3
2020.5.21,1800,963,64,6
2020.5.22,1807,1508,64,7
2020.5.23,1821,1526,64,14
2020.5.24,1823,1532,64,2
2020.5.25,1824,1538,65,1
2020.5.26,1834,1552,65,10
2020.5.27,1840,1561,66,6
2020.5.28,1851,1574,66,11
2020.5.29,1859,1610,67,8
2020.5.30,1865,1622,67,6
2020.5.31,1869,1624,68,4
2020.6.1,1870,1625,68,1
2020.6.2,1870,1632,68,0
2020.6.3,1880,1650,69,10
2020.6.4,1890,1663,69,10
2020.6.5,1910,1667,69,20
2020.6.6,1931,1675,69,21
2020.6.7,1939,1681,69,8
2020.6.8,1940,1683,69,1
2020.6.9,1947,1684,69,7
2020.6.10,1958,1690,69,11
2020.6.11,1965,1697,69,7
2020.6.12,1970,1703,69,5
2020.6.13,1973,1705,69,3
2020.6.14,1973,1705,69,0
2020.6.15,1974,1717,69,1
2020.6.16,1975,1728,69,1
2020.6.17,1977,1743,69,2
2020.6.18,1977,1748,69,0
2020.6.19,1979,1755,69,2
2020.6.20,1981,1758,69,2
2020.6.21,1981,1764,69,0
2020.6.22,1981,1765,69,0
2020.6.23,1982,1771,69,1
2020.6.24,1983,1783,69,1
2020.6.25,1984,1790,69,1
2020.6.26,1986,1797,69,2
2020.6.27,1986,1812,69,0
2020.6.28,1987,1818,69,1
2020.6.29,1987,1818,69,0
2020.6.30,1989,1829,69,2
2020.7.1,1989,1836,69,0
2020.7.2,1990,1842,69,1
2020.7.3,1991,1859,69,1
2020.7.4,1993,1870,69,2
2020.7.5,1993,1874,69,0
2020.7.6,1994,1875,69,1
2020.7.7,1995,1880,69,1
2020.7.8,2003,1882,69,8
2020.7.9,2011,1889,69,8
2020.7.10,2013,1894,69,2
2020.7.11,2014,1895,69,1
2020.7.12,2014,1895,69,0
2020.7.13,2014,1895,69,0
2020.7.14,2015,1897,69,1
2020.7.15,2016,1901,69,1
2020.7.16,2016,1904,69,0
2020.7.17,2020,1910,69,4
2020.7.18,2021,1912,69,1
2020.7.19,2021,1912,69,0
2020.7.20,2021,1912,69,0
2020.7.21,2022,1912,69,1
2020.7.22,2025,1912,69,3
2020.7.23,2027,1912,69,2
2020.7.24,2028,1915,69,1
2020.7.25,2033,1915,69,5
2020.7.26,2034,1922,69,1
2020.7.27,2034,1923,69,0
2020.7.28,2038,1924,69,4
2020.7.29,2042,1926,69,4
2020.7.30,2051,1926,69,9
2020.7.31,2064,1930,69,13
2020.8.1,2072,1934,69,8
2020.8.2,2079,1934,69,7
2020.8.3,2080,1935,63,1
2020.8.4,2091,1937,63,11
2020.8.5,2113,1948,63,22
2020.8.6,2124,1954,63,11
2020.8.7,2133,1956,63,9
2020.8.8,2147,1961,63,14
2020.8.9,2152,1961,63,5
2020.8.10,2158,1962,63,6
2020.8.11,2167,1968,63,9
2020.8.12,2174,1975,63,7
2020.8.13,2174,1975,63,0
2020.8.14,2177,1976,63,3
2020.8.15,2184,1976,63,7
2020.8.16,2190,1976,63,6
2020.8.17,2192,1976,63,2
2020.8.18,2200,1990,63,8
2020.8.19,2207,2002,63,7
2020.8.20,2227,2009,63,20
2020.8.21,2244,2011,63,17
2020.8.22,2265,2024,63,21
2020.8.23,2272,2024,63,7
2020.8.24,2275,2025,64,3
2020.8.25,2294,2038,64,19
2020.8.26,2311,2054,64,17
2020.8.27,2325,2067,64,14
2020.8.28,2343,2076,64,18
2020.8.29,2363,2086,64,20
2020.8.30,2373,2088,64,10
2020.8.31,2375,2088,64,2
2020.9.1,2395,2112,64,20
2020.9.2,2415,2130,64,20
2020.9.3,2441,2150,64,26
2020.9.4,2456,2157,64,15
2020.9.5,2491,2165,64,35
2020.9.6,2516,2170,64,25
2020.9.7,2532,2176,64,16
2020.9.8,2564,2195,64,32
