date,累计确诊,治愈,死亡,新增确诊
2020.4.8,63,10,4,3
2020.4.9,63,12,4,0
2020.4.10,65,13,4,2
2020.4.11,69,13,4,6
2020.4.12,72,16,4,3
2020.4.13,73,19,4,1
2020.4.14,105,19,4,32
2020.4.15,125,21,5,20
2020.4.16,143,21,5,18
2020.4.17,163,25,5,20
2020.4.18,173,25,5,10
2020.4.19,196,27,5,23
2020.4.20,223,27,5,50
2020.4.21,233,27,6,10
2020.4.22,252,27,6,24
2020.4.23,257,28,6,5
2020.4.24,288,28,7,31
2020.4.25,305,28,7,17
2020.4.26,350,28,7,45
2020.4.27,364,29,7,14
2020.4.28,381,29,7,17
2020.4.30,396,29,7,51
2020.5.1,432,31,8,10
2020.5.2,463,33,8,31
2020.5.3,469,38,9,6
2020.5.4,471,49,9,2
2020.5.5,473,56,9,2
2020.5.6,478,57,9,5
2020.5.7,488,58,9,10
2020.5.10,502,90,9,4
2020.5.12,507,100,9,3
2020.5.15,509,118,9,2
2020.5.16,511,121,9,2
2020.5.17,517,121,9,6
2020.5.18,520,127,9,3
2020.5.19,520,131,9,0
2020.5.20,520,145,9,0
2020.5.21,529,171,9,9
2020.5.22,534,181,9,5
2020.5.23,544,191,9,10
2020.5.24,550,200,9,6
2020.5.25,552,211,9,2
2020.5.26,556,238,9,4
2020.5.27,564,267,9,8
2020.5.28,569,279,9,5
2020.5.29,569,284,9,0
2020.5.30,575,289,9,6
2020.5.31,581,290,9,6
2020.6.1,586,311,9,5
2020.6.2,588,322,9,2
2020.6.3,590,356,9,2
2020.6.4,591,361,10,1
2020.6.5,591,368,10,0
2020.6.6,595,385,10,4
2020.6.7,596,404,10,1
2020.6.8,598,405,10,2
2020.6.9,599,405,10,1
2020.6.10,605,405,10,6
2020.6.11,605,407,10,0
2020.6.12,611,408,10,6
2020.6.13,614,417,10,3
2020.6.14,615,420,10,1
2020.6.15,617,420,10,2
2020.6.16,621,430,10,4
2020.6.17,621,449,10,0
2020.6.18,626,451,10,5
2020.6.19,638,458,10,12
2020.6.20,652,458,10,14
2020.6.21,657,462,10,5
2020.6.22,659,516,10,2
2020.6.23,665,516,10,6
2020.6.24,670,518,10,5
2020.6.25,678,521,10,8
2020.6.26,684,526,10,6
2020.6.27,686,539,10,2
2020.6.28,690,552,10,4
2020.6.29,696,552,10,6
2020.6.30,698,553,10,2
2020.7.1,702,553,10,4
2020.7.2,707,555,10,5
2020.7.3,715,560,10,8
2020.7.4,721,565,10,6
2020.7.5,728,569,10,7
2020.7.6,732,584,10,4
2020.7.7,737,591,10,5
2020.7.8,745,599,10,8
2020.7.9,751,600,10,6
2020.7.10,753,603,10,2
2020.7.11,753,605,10,0
2020.7.12,758,615,10,5
2020.7.13,758,620,10,0
2020.7.14,759,628,10,1
2020.7.15,762,643,10,3
2020.7.16,763,647,10,1
2020.7.17,765,647,10,2
2020.7.18,768,678,10,3
2020.7.19,774,679,10,6
2020.7.20,790,693,10,16
2020.7.21,809,706,10,19
2020.7.22,810,709,10,1
2020.7.23,816,710,10,6
2020.7.24,821,711,10,5
2020.7.25,831,711,10,10
2020.7.26,837,711,10,6
2020.7.27,842,714,10,5
2020.7.28,853,714,10,11
2020.7.29,855,724,10,2
2020.7.30,856,724,10,1
2020.7.31,864,724,10,8
2020.8.1,878,726,10,14
2020.8.2,883,743,10,5
2020.8.3,894,743,12,11
2020.8.4,905,743,12,11
2020.8.5,920,745,12,15
2020.8.6,928,745,12,8
2020.8.7,958,745,12,30
2020.8.8,987,745,13,29
2020.8.9,1003,745,13,16
