date,累计确诊,治愈,死亡,新增确诊
2020.4.11,9,0,1,1
2020.4.13,10,0,1,1
2020.4.16,11,0,1,1
2020.4.22,11,4,1,0
2020.4.26,12,4,1,1
2020.5.15,12,10,1,0
2020.5.16,12,10,1,0
2020.5.17,12,10,1,0
2020.5.18,12,10,1,0
2020.5.19,12,10,1,0
2020.5.20,12,10,1,0
2020.5.21,12,10,1,0
2020.5.22,12,10,1,0
2020.5.23,12,10,1,0
2020.5.24,12,10,1,0
2020.5.25,12,10,1,0
2020.5.26,12,10,1,0
2020.5.27,12,10,1,0
2020.5.28,12,10,1,0
2020.5.29,12,10,1,0
2020.5.30,12,10,1,0
2020.5.31,12,11,1,0
2020.6.1,12,11,1,0
2020.6.2,12,11,1,0
2020.6.3,12,11,1,0
2020.6.4,12,11,1,0
2020.6.5,12,11,1,0
2020.6.6,12,11,1,0
2020.6.7,12,11,1,0
2020.6.8,12,11,1,0
2020.6.9,12,11,1,0
2020.6.10,12,11,1,0
2020.6.11,12,11,1,0
2020.6.12,12,11,1,0
2020.6.13,12,11,1,0
2020.6.14,12,11,1,0
2020.6.15,12,11,1,0
2020.6.16,12,11,1,0
2020.6.17,12,11,1,0
2020.6.18,12,11,1,0
2020.6.19,12,11,1,0
2020.6.20,12,11,1,0
2020.6.21,14,11,1,2
2020.6.22,14,11,1,0
2020.6.23,14,11,1,0
2020.6.24,14,11,1,0
2020.6.25,15,11,1,1
2020.6.26,16,11,1,1
2020.6.27,16,11,1,0
2020.6.28,28,11,1,12
2020.6.29,41,11,1,13
2020.6.30,41,11,2,0
2020.7.1,42,11,2,1
2020.7.2,42,11,2,0
2020.7.3,44,11,2,2
2020.7.4,45,11,2,1
2020.7.5,47,11,2,2
2020.7.6,48,11,2,1
2020.7.7,49,11,2,1
2020.7.8,55,11,2,6
2020.7.9,55,11,2,0
2020.7.10,66,11,2,11
2020.7.11,66,11,2,0
2020.7.12,71,11,2,5
2020.7.13,72,11,2,1
2020.7.14,72,11,2,0
2020.7.15,72,12,2,0
2020.7.16,72,12,2,0
2020.7.17,74,12,2,2
2020.7.18,75,12,2,1
2020.7.19,75,22,2,0
2020.7.20,81,22,2,6
2020.7.21,81,22,2,0
2020.7.22,81,22,2,0
2020.7.23,82,22,2,1
2020.7.24,90,26,2,8
2020.7.25,92,28,2,2
2020.7.26,97,35,2,5
2020.7.27,97,35,2,0
2020.7.28,99,36,2,2
2020.7.29,99,37,2,0
2020.7.30,104,37,2,5
2020.7.31,107,37,2,3
