date,累计确诊,治愈,死亡,新增确诊
2020.4.8,109,1,8,2
2020.4.10,109,3,8,0
2020.4.11,112,12,8,3
2020.4.12,113,16,8,0
2020.4.14,114,19,8,1
2020.4.18,114,21,8,0
2020.4.21,115,28,8,1
2020.4.22,115,37,8,0
2020.4.23,115,48,8,0
2020.4.26,116,58,8,1
2020.4.30,116,72,8,0
2020.5.16,116,107,8,0
2020.5.17,116,107,8,0
2020.5.18,116,107,8,0
2020.5.19,116,107,8,0
2020.5.20,116,107,8,0
2020.5.21,116,107,8,0
2020.5.22,116,108,8,0
2020.5.23,116,108,8,0
2020.5.24,116,108,8,0
2020.5.25,116,108,8,0
2020.5.26,116,108,8,0
2020.5.27,116,108,8,0
2020.5.28,116,108,8,0
2020.5.29,116,108,8,0
2020.5.30,116,108,8,0
2020.5.31,117,108,8,1
2020.6.1,117,108,8,0
2020.6.2,117,108,8,0
2020.6.3,117,108,8,0
2020.6.4,117,108,8,0
2020.6.5,117,108,8,0
2020.6.6,117,108,8,0
2020.6.7,117,108,8,0
2020.6.8,117,109,8,0
2020.6.9,117,109,8,0
2020.6.10,117,109,8,0
2020.6.11,117,109,8,0
2020.6.12,117,109,8,0
2020.6.13,117,109,8,0
2020.6.14,117,109,8,0
2020.6.15,123,109,8,6
2020.6.16,123,109,8,0
2020.6.17,123,109,8,0
2020.6.18,123,109,8,0
2020.6.19,123,109,8,0
2020.6.20,123,109,8,0
2020.6.21,123,109,8,0
2020.6.22,123,109,8,0
2020.6.23,123,109,8,0
2020.6.24,123,109,8,0
2020.6.25,123,109,8,0
2020.6.26,123,109,8,0
2020.6.27,124,109,8,1
2020.6.28,126,109,8,2
2020.6.29,126,109,8,0
2020.6.30,130,113,8,4
2020.7.1,130,113,8,0
2020.7.2,130,115,8,0
2020.7.3,130,115,8,0
2020.7.4,130,115,8,0
2020.7.5,130,115,8,0
2020.7.6,133,115,8,3
2020.7.7,133,117,8,0
2020.7.8,133,117,8,0
2020.7.9,133,117,8,0
2020.7.10,133,120,8,0
2020.7.11,133,120,8,0
2020.7.12,133,120,8,0
2020.7.13,133,120,8,0
2020.7.14,133,124,8,0
2020.7.15,133,124,8,0
2020.7.16,133,124,8,0
2020.7.17,133,124,8,0
2020.7.18,136,124,8,3
2020.7.19,137,124,8,1
2020.7.20,137,124,8,0
2020.7.21,137,124,8,0
2020.7.22,139,124,8,2
2020.7.23,141,127,8,2
2020.7.24,142,128,8,1
2020.7.25,147,128,8,5
2020.7.26,147,128,8,0
2020.7.27,148,128,8,1
2020.7.28,148,128,8,0
2020.7.29,156,128,8,8
2020.7.30,156,128,8,0
2020.7.31,169,132,8,13
2020.8.1,173,132,8,4
2020.8.2,180,132,8,7
2020.8.3,182,132,8,2
2020.8.4,192,135,8,10
2020.8.5,197,135,8,5
2020.8.6,207,135,8,10
2020.8.7,210,135,8,3
2020.8.8,243,135,8,33
2020.8.9,279,135,8,36
2020.8.10,280,138,8,1
2020.8.11,295,139,8,15
2020.8.12,308,139,8,13
2020.8.13,369,139,8,61
2020.8.14,412,139,8,43
2020.8.15,426,139,10,14
2020.8.16,519,140,11,93
2020.8.17,565,140,12,46
2020.8.18,600,140,12,35
2020.8.19,650,140,12,50
2020.8.20,730,140,12,80
2020.8.21,806,162,12,76
2020.8.22,899,165,13,93
2020.8.23,963,165,14,64
2020.8.24,1031,165,15,68
2020.8.25,1184,178,15,153
2020.8.26,1384,192,15,200
2020.8.27,1429,192,15,45
2020.8.28,1476,594,15,47
2020.8.29,1554,628,19,78
2020.8.30,1683,672,21,129
2020.8.31,1683,672,21,0
2020.9.1,1759,676,22,76
2020.9.2,1797,685,27,38
2020.9.3,1941,700,28,144
2020.9.4,1984,700,29,43
2020.9.5,2142,717,32,158
2020.9.6,2234,724,33,92
2020.9.7,2250,724,34,16
2020.9.8,2347,743,38,97
2020.9.9,2493,749,39,146
2020.9.10,2663,755,40,170
2020.9.11,2777,762,45,114
2020.9.12,2825,762,50,48
2020.9.13,2993,766,51,168
2020.9.14,3091,787,54,98
2020.9.15,3183,798,56,92
2020.9.16,3293,810,57,110
2020.9.17,3327,810,58,34
2020.9.18,3434,1469,60,107
2020.9.19,3739,1586,60,305
2020.9.20,3853,1695,61,114
2020.9.21,3901,1753,65,48
2020.9.22,3974,1871,65,73
2020.9.23,4046,1960,67,72
2020.9.24,4222,2037,67,176
2020.9.25,4260,2122,69,38
2020.9.26,4285,2185,70,25
2020.9.27,4321,2234,70,36
2020.9.28,4382,2275,72,61
2020.9.29,4441,2454,74,59
2020.9.30,4517,2560,75,76
2020.10.1,4542,2629,76,25
2020.10.2,4613,2729,76,71
2020.10.3,4709,2802,78,96
2020.10.4,4741,2843,81,32
2020.10.5,4766,2884,81,25
2020.10.6,4818,2951,83,52
2020.10.7,4876,3010,84,58
2020.10.8,4887,3010,84,11
2020.10.9,4963,3076,86,76
2020.10.10,5021,3150,89,58
2020.10.11,5043,3221,90,22
2020.10.12,5101,3252,90,58
2020.10.13,5116,3303,92,15
2020.10.14,5127,3367,93,11
2020.10.15,5154,3452,93,27
2020.10.16,5194,3502,93,40
2020.10.17,5241,3545,95,47
2020.10.18,5281,3584,95,40
2020.10.19,5297,3652,96,16
2020.10.20,5298,3696,97,1
2020.10.21,5333,3758,98,35
2020.10.22,5392,3822,101,59
2020.10.23,5446,3876,103,54
2020.10.24,5487,3945,104,41
2020.10.25,5503,4018,105,16
2020.10.26,5511,4085,105,8
2020.10.27,5535,4126,106,24
2020.10.28,5568,4186,106,33
2020.10.29,5594,4246,107,26
2020.10.30,5636,4293,107,42
2020.10.31,5668,4455,107,32
2020.11.1,5692,4610,108,24
2020.11.2,5704,4763,109,12
2020.11.3,5704,4887,109,0
2020.11.4,5754,4929,110,50
2020.11.5,5764,4993,110,10
2020.11.6,5774,5024,111,10
2020.11.7,5798,5084,111,24
2020.11.8,5838,5127,111,40
2020.11.9,5849,5132,111,11
2020.11.10,5849,5203,111,0
2020.11.11,5880,5238,111,31
2020.11.12,5904,5284,111,24
2020.11.13,5930,5317,111,26
2020.11.14,5980,5343,111,50
2020.11.15,6077,5373,112,97
2020.11.16,6080,5402,112,3
2020.11.17,6096,5440,112,16
2020.11.18,6135,5460,113,39
2020.11.19,6180,5505,113,45
2020.11.20,6233,5531,113,53
2020.11.21,6261,5559,113,28
2020.11.22,6324,5559,115,63
2020.11.23,6450,5610,115,126
2020.11.24,6475,5622,115,25
2020.11.25,6488,5639,115,13
2020.11.26,6503,5655,116,15
2020.11.27,6570,5680,116,67
2020.11.28,6586,5710,118,16
2020.11.29,6630,6632,118,44
2020.11.30,6669,5771,120,30
2020.12.1,6669,5771,120,0
2020.12.2,6685,5807,120,16
2020.12.3,6704,5843,121,19
2020.12.4,6725,5861,121,21
2020.12.5,6735,5884,121,10
2020.12.6,6751,5907,122,16
2020.12.7,6767,5937,122,16
2020.12.8,6775,5962,122,8
2020.12.9,6782,5996,122,7
2020.12.10,6808,6036,122,26
2020.12.11,6833,6060,122,25
2020.12.12,6852,6103,122,19
2020.12.13,6864,6126,122,12
2020.12.14,6879,6145,122,15
2020.12.15,6885,6180,123,6
2020.12.16,6900,6204,123,15
2020.12.17,6917,6230,123,17
2020.12.18,6940,6385,123,23
2020.12.19,6955,6405,123,15
2020.12.20,6974,6426,123,19
2020.12.21,7000,6457,123,26
2020.12.22,7012,6471,125,12
2020.12.23,7024,6488,125,12
2020.12.24,7071,6495,125,47
2020.12.25,7089,6503,125,18
2020.12.26,7097,6527,125,8
