date,累计确诊,治愈,死亡,新增确诊
2020.4.8,264,2,18,54
2020.4.9,268,2,19,4
2020.4.11,300,2,24,25
2020.4.12,330,2,27,30
2020.4.13,354,6,28,24
2020.4.14,397,7,28,43
2020.4.15,441,14,29,44
2020.4.16,465,26,31,24
2020.4.17,493,31,31,28
2020.4.18,520,31,32,27
2020.4.19,564,31,33,44
2020.4.20,598,37,34,34
2020.4.21,609,44,37,11
2020.4.22,672,44,40,63
2020.4.23,703,44,43,31
2020.4.24,807,54,44,104
2020.4.25,866,54,46,59
2020.4.26,950,80,50,84
2020.4.27,1014,98,53,64
2020.4.28,1053,110,55,39
2020.4.29,1110,117,59,57
2020.4.30,1167,132,62,57
2020.5.1,1229,134,66,62
2020.5.2,1470,159,71,241
2020.5.3,1594,166,76,124
2020.5.4,1681,174,82,87
2020.5.5,1802,187,86,121
2020.5.6,1886,198,91,84
2020.5.7,2081,219,102,195
2020.5.8,2266,237,106,185
2020.5.9,2437,258,114,171
2020.5.10,2556,273,118,119
2020.5.11,2831,299,122,275
2020.5.12,2964,313,128,133
2020.5.13,3148,339,142,184
2020.5.14,3372,356,152,224
2020.5.15,3577,434,164,205
2020.5.16,3826,473,165,249
2020.5.17,4088,493,169,262
2020.5.18,4088,493,169,0
2020.5.19,4263,503,174,175
2020.5.20,4481,533,189,218
2020.5.21,4919,553,199,438
2020.5.22,5187,561,215,268
2020.5.23,5579,575,230,392
2020.5.24,5915,609,240,336
2020.5.25,6263,629,250,348
2020.5.26,6660,647,261,397
2020.5.27,7136,677,274,476
2020.5.28,7768,689,280,632
2020.5.29,8387,738,293,619
2020.5.30,8731,749,300,344
2020.5.31,9592,889,310,861
2020.6.1,9982,968,313,390
2020.6.2,10531,1137,343,549
2020.6.3,10991,1298,376,460
2020.6.4,11638,1507,400,647
2020.6.5,12245,1658,415,607
2020.6.6,12728,1739,427,483
2020.6.7,13358,1902,454,630
2020.6.8,13643,2086,465,285
2020.6.9,13949,2159,475,306
2020.6.10,14644,2190,487,695
2020.6.11,15281,2261,512,637
2020.6.12,16165,2372,533,884
2020.6.13,16929,2431,559,764
2020.6.14,17842,2768,585,913
2020.6.15,18459,3113,611,617
2020.6.16,19073,3430,632,614
2020.6.17,19883,3752,659,810
2020.6.18,20685,4002,679,802
2020.6.19,21499,4002,697,814
2020.6.20,22476,4670,715,977
2020.6.21,23512,5086,740,1036
2020.6.22,24388,5454,773,876
2020.6.23,25493,5857,820,1105
2020.6.24,26389,6300,846,896
2020.6.25,27487,6795,876,1098
2020.6.26,28503,7338,913,1016
2020.6.27,29423,7736,934,920
2020.6.28,30676,8158,970,1253
2020.6.29,31524,8517,1014,848
2020.6.30,32125,8928,1071,601
2020.7.1,33219,9340,1123,1094
2020.7.2,34227,9764,1201,1008
2020.7.3,35528,10358,1271,1301
2020.7.4,36818,10766,1320,1290
2020.7.5,38071,11272,1378,1253
2020.7.6,39297,11667,1434,1226
2020.7.7,40509,11929,1476,1212
2020.7.8,41545,12398,1530,1036
2020.7.9,42984,12883,1577,1439
2020.7.10,44113,13354,1638,1129
2020.7.11,45565,13918,1702,1452
2020.7.12,47200,14333,1754,1635
2020.7.13,48187,14843,1807,987
2020.7.14,49250,15294,1866,1063
2020.7.15,50867,15819,1898,1617
2020.7.16,52218,16357,1942,1351
2020.7.17,54156,16979,1984,1938
2020.7.18,56102,17882,2049,1946
2020.7.19,58138,18200,2106,2036
2020.7.20,59582,18553,2151,1444
2020.7.21,60991,18875,2218,1409
2020.7.22,62357,19290,2273,1366
2020.7.23,64135,19721,2328,1778
2020.7.24,65252,20030,2407,1117
2020.7.25,66456,20614,2473,1204
2020.7.26,68281,20951,2535,1825
2020.7.27,69429,21169,2583,1148
2020.7.28,71181,21478,2647,1752
2020.7.29,72327,21971,2720,1146
2020.7.30,73534,22506,2808,1207
2020.7.31,75234,23305,2894,1700
2020.8.1,76789,23582,2977,1555
2020.8.2,78793,23968,3064,2004
2020.8.3,80153,24156,3153,1360
2020.8.4,81846,24510,3228,1693
2020.8.5,83361,25390,3320,1515
2020.8.6,85141,26437,3385,1780
2020.8.7,86423,27373,3465,1282
2020.8.8,87891,28139,3524,1468
2020.8.9,89055,28904,3587,1164
2020.8.10,89999,29808,3640,944
2020.8.11,91635,30823,3712,1636
2020.8.12,93328,31753,3761,1693
2020.8.13,95071,32830,3827,1743
2020.8.14,96459,33720,3884,1388
2020.8.15,97950,34723,3939,1491
2020.8.16,99146,35638,4003,1196
2020.8.17,100344,36491,4058,1198
2020.8.18,101223,37471,4123,879
2020.8.19,103019,38623,4172,1796
2020.8.20,105050,39965,4233,2031
2020.8.21,106065,41111,4305,1015
2020.8.22,107435,42141,4366,1370
2020.8.23,108427,43887,4442,992
2020.8.24,109149,45396,4509,722
2020.8.25,110148,47050,4578,999
2020.8.26,110999,48875,4664,851
2020.8.27,112094,50397,4726,1095
2020.8.28,113129,52521,4791,1035
2020.8.29,114409,54914,4846,1280
2020.8.30,115354,56749,4938,945
2020.8.31,115968,58497,4966,614
2020.9.1,116598,60408,5027,630
2020.9.2,117267,62124,5101,669
2020.9.3,117928,64074,5203,661
2020.9.4,118781,65884,5288,853
2020.9.5,119580,67844,5343,799
2020.9.6,120241,69566,5398,661
2020.9.7,120769,71489,7008,528
2020.9.8,121604,73150,7054,835
2020.9.9,122308,75098,7097,704
2020.9.10,123345,77216,7146,1037
2020.9.11,124205,79483,7193,860
2020.9.12,125172,81240,7250,967
2020.9.13,125982,82796,7297,810
2020.9.14,126791,84286,7344,809
2020.9.15,127619,85198,7394,828
2020.9.16,128286,86216,7447,667
2020.9.17,128872,87031,7478,586
2020.9.18,129419,87716,7511,547
2020.9.19,130051,88457,7550,632
2020.9.20,130470,89032,7586,419
2020.9.21,130676,89617,7617,206
2020.9.22,130986,90240,7654,310
2020.9.23,131453,90853,7693,467
2020.9.24,131990,91556,7731,537
2020.9.25,132618,92101,7765,628
2020.9.26,133222,92868,7800,604
2020.9.27,133592,93406,7828,370
2020.9.28,133901,93791,7858,309
2020.9.29,134223,94324,7900,322
2020.9.30,134641,94895,7931,418
2020.10.1,135311,95529,7965,670
2020.10.2,135716,96165,8001,405
2020.10.3,136219,96654,8045,503
2020.10.4,136569,97105,8073,350
2020.10.5,136868,97547,8101,299
2020.10.6,137107,98007,8129,239
2020.10.7,137468,98542,8156,361
2020.10.8,137706,99268,8192,238
2020.10.9,137969,99812,8228,263
2020.10.10,138226,100347,8262,257
2020.10.11,138463,100786,8292,237
2020.10.12,138574,101103,8308,111
2020.10.13,138695,101523,8326,121
2020.10.14,138922,102083,8351,227
2020.10.15,139141,102642,8377,219
2020.10.16,139319,103499,8407,178
2020.10.17,139562,103896,8439,243
2020.10.18,139710,104202,8463,148
2020.10.19,139771,104483,8481,61
2020.10.20,139890,104957,8502,119
2020.10.21,140037,105526,8526,147
2020.10.22,140228,106330,8558,191
2020.10.23,140445,106950,8584,217
2020.10.24,140612,107633,8608,167
2020.10.25,140779,108067,8627,167
2020.10.26,140853,108658,8645,74
2020.10.27,140952,109228,8658,99
2020.10.28,141124,109769,8672,172
2020.10.29,141321,110303,8694,197
2020.10.30,141484,110759,8705,163
2020.10.31,141631,111178,8715,147
2020.11.1,141757,111503,8725,126
2020.11.2,141833,111848,8731,76
2020.11.3,141867,112055,8741,34
2020.11.4,141936,112526,8751,69
2020.11.5,142062,112842,8758,126
2020.11.6,142201,113386,8768,139
2020.11.7,142343,113899,8781,142
2020.11.8,142427,114225,8790,84
2020.11.9,142475,114466,8795,48
2020.11.10,142561,114881,8802,86
2020.11.11,142664,115199,8808,103
2020.11.12,142776,115718,8818,112
2020.11.13,142889,116137,8825,113
2020.11.14,143069,116505,8835,180
2020.11.15,143181,116828,8841,112
2020.11.16,143246,117137,8849,65
2020.11.17,143371,117454,8859,125
2020.11.18,143473,117789,8866,102
2020.11.19,143569,118333,8875,96
2020.11.20,143756,118691,8889,187
2020.11.21,143854,119029,8900,98
2020.11.22,143922,119180,8904,68
2020.11.23,143978,119338,8907,56
2020.11.24,144034,119548,8916,56
2020.11.25,144147,119835,8928,113
2020.11.26,144276,120209,8933,129
2020.11.27,144390,120720,8939,114
2020.11.28,144494,121050,8943,104
2020.11.29,144592,121280,8949,98
2020.11.30,144708,121702,8957,30
2020.12.1,144708,121702,8957,0
2020.12.2,144810,122495,8963,102
2020.12.3,144994,123673,8972,184
2020.12.4,145186,124015,8982,192
2020.12.5,145325,124390,8987,139
2020.12.6,145492,124596,8992,167
2020.12.7,145560,124799,8995,68
2020.12.8,145657,124981,8997,97
2020.12.9,145846,125230,9002,189
2020.12.10,146060,125490,9004,214
2020.12.11,146385,125716,9008,325
2020.12.12,146697,125886,9013,312
2020.12.13,147030,126092,9014,333
2020.12.14,147150,126221,9018,120
2020.12.15,147345,126439,9024,195
2020.12.16,147716,126720,9026,371
2020.12.17,148214,126950,9029,498
2020.12.18,148665,127155,9031,451
2020.12.19,149149,127540,9033,484
2020.12.20,149770,127815,9035,621
2020.12.21,150023,127969,9036,253
2020.12.22,150385,128308,9043,362
2020.12.23,151059,128540,9052,674
2020.12.24,152064,129052,9065,1005
2020.12.25,153121,129387,9076,1057
2020.12.26,153590,129754,9083,469
2020.12.27,154843,130222,9098,1253
2020.12.28,155594,130620,9106,751
2020.12.29,155594,130620,9106,0
2020.12.30,156887,130910,9135,1293
2020.12.31,158372,131579,9149,1485
2021.1.1,160124,132097,9165,1752
2021.1.2,160985,132510,9175,861
2021.1.3,162055,133013,9186,1070
2021.1.4,162661,133247,9201,606
2021.1.5,163671,133671,9219,1010
2021.1.6,165268,134503,9241,1597
2021.1.7,166981,135186,9287,1713
2021.1.8,168891,136266,9304,1910
2021.1.9,171154,136882,9328,2263
2021.1.10,172798,137704,9351,1644
2021.1.11,173896,138087,9376,1098
2021.1.12,175288,138809,9415,1392
2021.1.13,176761,139672,9454,1473
2021.1.14,178818,140671,9493,2057
2021.1.15,181016,141736,9530,2198
2021.1.16,183589,142279,9571,2573
2021.1.17,185680,142948,9596,2091
2021.1.18,187183,143437,9636,1503
2021.1.19,188733,144227,9680,1550
2021.1.20,191090,145537,9722,2357
2021.1.21,193745,146578,9764,2655
2021.1.22,196393,147744,9818,2648
2021.1.23,198257,148750,9871,1864
2021.1.24,199989,149895,9927,1732
2021.1.25,201037,150439,9985,1048
2021.1.26,202818,151469,10051,1781
2021.1.27,205208,152555,10105,2390
2021.1.28,208074,154377,10167,2866
2021.1.29,210726,155722,10226,2652
2021.1.30,213392,157263,10279,2666
2021.1.31,215397,158499,10330,2005
2021.2.1,216835,159222,10379,1438
2021.2.2,218299,160326,10439,1464
2021.2.3,220426,161764,10513,2127
2021.2.4,222447,163338,10571,2021
2021.2.5,224234,164900,10633,1787
2021.2.6,225910,166446,10687,1676
2021.2.7,227128,167354,10753,1218
2021.2.8,227967,168040,10796,839
2021.2.9,229187,169415,10864,1220
2021.2.10,230731,170972,10929,1544
2021.2.11,232502,172710,10996,1771
2021.2.12,233854,174329,11044,1352
2021.2.13,235098,175958,11107,1244
2021.2.14,236036,177282,11155,938
2021.2.15,236732,177775,11202,696
2021.2.16,237144,179057,11234,412
2021.2.17,237706,180155,11274,562
2021.2.18,238495,181338,11303,789
2021.2.19,239524,182534,11353,1029
2021.2.20,240676,183833,11390,1152
2021.2.21,241771,184717,11417,1095
2021.2.22,242292,185155,11441,521
2021.2.23,243176,186118,11470,884
2021.2.24,244380,188645,11508,1204
2021.2.25,245719,189832,11547,1339
2021.2.26,246822,191081,11577,1103
2021.2.27,247891,191950,11609,1069
2021.2.28,248547,192553,11628,656
2021.3.1,249010,193032,11649,463
2021.3.2,249767,193652,11666,757
2021.3.3,250557,194370,11703,790
2021.3.4,251391,195099,11734,834
2021.3.5,252360,195705,11761,969
2021.3.6,253297,196731,11789,937
2021.3.7,253950,197427,11807,653
2021.3.8,254273,198236,11823,323
2021.3.9,254736,199000,11845,463
2021.3.10,255621,199842,11858,885
2021.3.11,256462,200900,11884,841
2021.3.12,257240,202216,11903,778
2021.3.13,258324,203466,11930,1084
2021.3.14,259004,204211,11944,680
2021.3.15,259389,204813,11958,385
2021.3.16,260059,205628,11974,670
2021.3.17,260988,206586,11997,929
2021.3.18,262056,207643,12015,1068
2021.3.19,262941,209842,12028,885
2021.3.20,263808,210736,12041,867
2021.3.21,264411,211456,12051,603
2021.3.22,264634,212106,12060,223
2021.3.23,265207,212691,12074,573
2021.3.24,266086,213779,12093,879
2021.3.25,267059,214988,12107,973
2021.3.26,267833,216057,12131,774
2021.3.27,268711,217103,12143,878
2021.3.28,269302,217921,12165,591
2021.3.29,269628,218503,12186,326
2021.3.30,270347,219389,12211,719
2021.3.31,271419,220856,12239,1072
2021.4.1,272411,221962,12257,992
2021.4.2,273327,222924,12280,916
2021.4.3,273947,223760,12305,620
2021.4.4,274467,224548,12316,520
2021.4.5,274934,224998,12324,467
2021.4.6,275392,225483,12344,458
2021.4.7,276890,226787,12366,1498
2021.4.8,277966,227812,12385,1076
2021.4.9,279207,229036,12412,1241
2021.4.10,280649,230021,12428,1442
2021.4.11,281570,230807,12442,921
2021.4.12,282095,231546,12451,525
2021.4.13,283084,232422,12469,989
2021.4.14,284183,233646,12496,1099
2021.4.15,285291,234596,12519,1108
2021.4.16,286114,235495,12603,823
2021.4.17,287360,236455,12625,1246
2021.4.18,288545,237313,12634,1185
2021.4.19,289066,238195,12648,521
2021.4.20,290362,239194,12666,1296
