date,累计确诊,治愈,死亡,新增确诊
2020.2.22,1,0,0,0
2020.2.23,1,0,0,0
2020.2.24,1,0,0,0
2020.2.25,1,0,0,0
2020.2.26,1,0,0,0
2020.2.27,2,0,0,1
2020.2.28,7,0,0,5
2020.2.29,12,0,0,5
2020.3.1,13,0,0,1
2020.3.2,14,0,0,1
2020.3.3,24,0,0,10
2020.3.4,35,0,0,11
2020.3.5,60,0,0,25
2020.3.6,101,0,0,41
2020.3.7,161,0,0,60
2020.3.8,203,0,0,42
2020.3.9,248,0,0,45
2020.3.10,346,0,0,98
2020.3.11,464,0,0,118
2020.3.12,635,0,0,171
2020.3.14,961,1,2,147
2020.3.15,1023,1,3,62
2020.3.17,1191,1,8,168
2020.3.18,1301,15,10,110
2020.3.19,1423,15,11,144
2020.3.20,1639,16,16,200
2020.3.21,1746,16,20,123
2020.3.22,1906,16,21,160
2020.3.23,2016,16,25,110
2020.3.24,2272,16,36,256
2020.3.25,2510,16,42,238
2020.3.26,2840,16,70,296
2020.3.27,3046,16,92,240
2020.3.28,3447,16,102,401
2020.3.29,3700,16,110,253
2020.3.30,4028,16,146,328
2020.3.31,4435,16,180,407
2020.4.1,4947,16,239,512
2020.4.2,5568,103,308,621
2020.4.3,6131,205,358,563
2020.4.4,6443,205,373,365
2020.4.5,7206,205,477,376
2020.4.6,7693,205,591,487
2020.4.7,8419,205,687,726
2020.4.8,8419,205,687,726
2020.4.9,9141,205,793,722
2020.4.10,9685,381,870,544
2020.4.11,10151,381,887,466
2020.4.12,10483,381,899,332
2020.4.13,11445,381,1033,497
2020.4.14,11927,381,1203,482
2020.4.16,13216,550,1400,676
2020.4.18,14385,550,1540,563
2020.4.19,14777,550,1580,392
2020.4.20,15322,550,1765,545
2020.4.21,16004,550,1937,682
2020.4.22,16755,550,2021,751
2020.4.23,17567,550,2152,812
2020.4.24,18177,1005,2192,610
2020.4.25,18640,1005,2194,463
2020.4.26,18926,1005,2274,286
2020.4.27,19621,1005,2355,695
2020.4.28,20302,1005,2462,681
2020.4.29,21092,1005,2586,790
2020.4.30,21520,1005,2653,428
2020.5.1,22082,1005,2669,562
2020.5.2,22317,1005,2679,23
2020.5.3,22721,1005,2769,404
2020.5.4,23216,4074,2854,495
2020.5.5,23918,4074,2941,702
2020.5.6,24623,4074,3040,705
2020.5.7,25265,4971,3175,642
2020.5.8,25921,4971,3220,656
2020.5.9,26322,4971,3225,401
2020.5.10,26670,4971,3256,348
2020.5.11,27272,4971,3313,602
2020.5.12,27909,4971,3460,63
2020.5.13,28582,4971,3529,673
2020.5.14,29207,4971,3646,625
2020.5.15,29677,4971,3674,470
2020.5.16,30143,4971,3679,466
2020.5.17,30377,4971,3698,234
2020.5.18,30377,4971,3698,0
2020.5.19,30799,4971,3743,422
2020.5.20,31523,4971,3831,724
2020.5.21,32172,4971,3871,649
2020.5.22,32809,4971,3925,637
2020.5.23,33188,4971,3992,379
2020.5.24,33459,4971,3998,271
2020.5.25,33843,4971,4029,384
2020.5.26,34440,4971,4125,597
2020.5.27,35088,4971,4220,648
2020.5.28,35727,4971,4266,639
2020.5.29,36476,4971,4350,749
2020.5.30,37113,4971,4395,637
2020.5.31,37542,4971,4395,429
2020.6.1,37814,4971,4403,272
2020.6.2,38589,4971,4468,775
2020.6.3,40803,4971,4542,2214
2020.6.4,40803,4971,4542,0
2020.6.5,41883,4971,4562,1080
2020.6.6,43887,4971,4656,2004
2020.6.7,44730,4971,4659,843
2020.6.8,45133,4971,4694,403
2020.6.9,45924,4971,4717,791
2020.6.10,46814,4971,4795,890
