date,累计确诊,治愈,死亡,新增确诊
2020.2.25,1,0,0,1
2020.2.26,1,0,0,0
2020.2.27,1,0,0,0
2020.2.28,6,0,0,5
2020.2.29,6,0,0,0
2020.3.1,24,0,0,18
2020.3.2,27,0,0,3
2020.3.3,46,2,0,19
2020.3.4,66,3,0,20
2020.3.5,81,3,1,15
2020.3.6,210,3,1,129
2020.3.7,228,3,1,18
2020.3.8,281,3,2,53
2020.3.9,337,3,2,56
2020.3.10,476,3,3,139
2020.3.11,645,3,4,169
2020.3.12,815,3,4,170
2020.3.14,1375,4,13,236
2020.3.15,1563,4,11,188
2020.3.16,1680,4,13,117
2020.3.17,2269,4,19,589
2020.3.18,2772,4,21,503
2020.3.19,4222,15,43,1107
2020.3.20,5615,15,56,1393
2020.3.21,6113,131,56,1248
2020.3.22,7014,131,60,1001
2020.3.23,8060,131,98,586
2020.3.24,9877,131,122,1082
2020.3.25,10897,131,153,1020
2020.3.26,11811,131,191,914
2020.3.27,12928,1530,231,1117
2020.3.28,13213,1530,231,1052
2020.3.29,14336,1595,264,1123
2020.3.30,15526,1595,300,1201
2020.3.31,16605,1823,433,701
2020.4.1,17768,2967,488,1163
2020.4.2,18827,4013,536,1059
2020.4.3,19606,4846,591,779
2020.4.4,20505,6415,666,899
2020.4.5,21176,7298,724,671
2020.4.6,21657,8056,765,557
2020.4.7,22253,8704,821,596
2020.4.8,23280,9800,895,1027
2020.4.9,24046,10600,948,766
2020.4.10,24551,11100,1002,500
2020.4.11,25107,12100,1036,556
2020.4.12,25415,12700,1106,308
2020.4.13,25688,13700,1138,273
2020.4.14,25936,13700,1174,248
2020.4.15,26336,15400,1239,400
2020.4.16,27078,15900,1288,346
2020.4.17,27404,16400,1344,326
2020.4.18,27740,17100,1368,336
2020.4.19,27944,17800,1406,204
2020.4.20,28063,18600,1436,119
2020.4.21,28268,19400,1478,205
2020.4.22,28496,19900,1509,228
2020.4.23,28677,20600,1551,181
2020.4.24,28894,21000,1593,217
2020.4.25,29061,21300,1607,167
2020.4.26,29164,21800,1640,103
2020.4.27,29264,22200,1677,100
2020.4.28,29407,22600,1699,143
2020.4.29,29586,22600,1716,179
2020.4.30,29705,23400,1737,119
2020.5.1,29817,23900,1754,112
2020.5.2,29905,24200,1762,88
2020.5.3,29981,24500,1784,76
2020.5.4,30009,25200,1790,28
2020.5.5,30060,25400,1795,51
2020.5.6,30126,25700,1808,66
2020.5.7,30207,25900,1810,81
2020.5.8,30251,26100,1823,44
2020.5.10,30344,26600,1833,39
2020.5.11,30380,26800,1845,3
2020.5.12,30413,26800,1867,36
2020.5.13,30463,27100,1870,50
2020.5.14,30514,27100,1874,51
2020.5.15,30572,27100,1878,58
2020.5.16,30587,27400,1879,15
2020.5.17,30597,27500,1881,10
2020.5.18,30597,27500,1886,0
2020.5.19,30618,27600,1890,21
2020.5.20,30658,27700,1892,40
2020.5.21,30694,27800,1893,36
2020.5.22,30707,27900,1903,13
2020.5.23,30725,27900,1905,18
2020.5.24,30736,28000,1906,11
2020.5.25,30746,28100,1913,10
2020.5.26,30761,28200,1915,15
2020.5.27,30776,28200,1917,15
2020.5.28,30796,28300,1919,20
2020.5.29,30828,28300,1919,32
2020.5.30,30845,28400,1919,17
2020.5.31,30862,28400,1920,17
2020.6.1,30871,28500,1920,9
2020.6.2,30874,28500,1920,3
2020.6.3,30893,28600,1921,19
2020.6.4,30913,28600,1921,20
2020.6.5,30936,28600,1921,23
2020.6.6,30956,28600,1921,20
2020.6.7,30965,28700,1921,9
2020.6.8,30972,28700,1923,7
2020.6.9,30988,28700,1923,16
2020.6.10,31011,28700,1936,23
2020.6.11,31044,28700,1937,33
2020.6.12,31063,28800,1938,19
2020.6.13,31094,28800,1938,31
2020.6.14,31117,28800,1938,23
2020.6.15,31131,28800,1938,14
2020.6.16,31146,28900,1939,15
2020.6.17,31183,28900,1956,37
2020.6.18,31200,28900,1956,17
2020.6.19,31217,28900,1956,17
2020.6.20,31243,28900,1956,26
2020.6.21,31292,29000,1956,49
2020.6.22,31310,29000,1956,18
2020.6.23,31332,29000,1956,22
2020.6.24,31376,29000,1958,44
2020.6.25,31428,29000,1958,52
2020.6.26,31486,29000,1962,58
2020.6.27,31555,29000,1962,69
2020.6.28,31617,29100,1962,62
2020.6.29,31652,29100,1962,35
2020.6.30,31714,29100,1963,62
2020.7.1,31851,29200,1965,137
2020.7.2,31967,29200,1965,116
2020.7.3,32101,29200,1965,134
2020.7.4,32198,29200,1965,97
2020.7.5,32268,29200,1965,70
2020.7.6,32315,29300,1965,47
2020.7.7,32369,29300,1966,54
2020.7.8,32498,29400,1966,129
2020.7.9,32586,29400,1966,88
2020.7.10,32690,29400,1966,104
2020.7.11,32798,29400,1966,108
2020.7.12,32883,29500,1968,85
2020.7.13,32946,29600,1968,63
2020.7.14,33016,29600,1968,70
2020.7.15,33148,29800,1968,132
2020.7.16,33290,29800,1969,142
2020.7.17,33382,29900,1969,92
2020.7.18,33492,29900,1969,110
2020.7.19,33591,29900,1969,99
2020.7.20,33634,30300,1969,43
2020.7.21,33742,30300,1972,108
2020.7.22,33883,30500,1972,141
2020.7.23,34000,30500,1975,117
2020.7.24,34154,30500,1977,154
2020.7.25,34302,30500,1977,148
2020.7.26,34412,30700,1977,110
2020.7.27,34477,30700,1978,65
2020.7.28,34609,30900,1978,132
2020.7.29,34802,31000,1979,193
2020.7.30,35022,31100,1980,220
2020.7.31,35232,31100,1981,210
2020.8.1,35412,31100,1981,180
2020.8.2,35550,31300,1981,138
2020.8.3,35616,31500,1981,66
2020.8.4,35746,31500,1981,130
2020.8.5,35746,31600,1981,0
2020.8.6,36108,31600,1985,362
2020.8.7,36269,31600,1986,161
2020.8.8,36451,31900,1986,182
2020.8.9,36603,32000,1986,152
2020.8.10,36708,32300,1987,105
2020.8.11,36895,32400,1990,187
2020.8.12,37169,32700,1991,274
2020.8.13,37403,32700,1991,234
2020.8.14,37671,32900,1991,268
2020.8.15,37924,32900,1991,253
2020.8.16,38124,33300,1991,200
2020.8.17,38252,33300,1991,128
2020.8.18,38449,33500,1992,197
2020.8.19,38760,33500,1996,311
2020.8.20,39026,33800,1998,266
2020.8.21,39332,33900,2000,306
2020.8.22,39627,33900,2000,295
2020.8.23,39903,34100,2001,276
2020.8.24,40060,34400,2001,157
2020.8.25,40262,34400,2002,202
2020.8.26,40645,34800,2003,383
2020.8.27,41006,34800,2003,361
2020.8.28,41346,34800,2004,340
2020.8.29,41722,35200,2005,376
2020.8.30,42014,35200,2005,292
2020.8.31,42177,35800,2005,163
2020.9.1,42393,36100,2011,216
2020.9.2,42763,36300,2011,370
2020.9.3,43127,36500,2013,364
2020.9.4,43532,36500,2013,405
2020.9.5,43957,37100,2013,425
2020.9.6,44401,37100,2013,444
2020.9.7,44592,37100,2014,191
2020.9.8,44837,37700,2017,245
2020.9.9,45306,38100,2019,469
2020.9.10,45711,38100,2020,405
2020.9.11,46239,38100,2020,528
2020.9.12,46704,38500,2020,465
2020.9.13,47179,38900,2021,475
2020.9.14,47436,39600,2025,257
2020.9.15,47751,39600,2025,315
2020.9.16,48265,39900,2039,514
2020.9.17,48795,39900,2042,530
2020.9.18,49283,39900,2044,488
2020.9.19,49283,40500,2045,0
2020.9.20,49283,40500,2045,0
2020.9.21,50378,40500,2050,1095
2020.9.22,50664,42100,2054,286
2020.9.23,51101,42100,2060,437
2020.9.24,51492,42300,2061,391
2020.9.25,51864,42600,2064,372
2020.9.26,51864,42600,2064,0
2020.9.27,51864,42700,2064,0
2020.9.28,52646,42700,2065,782
2020.9.29,52871,42700,2069,225
2020.9.30,53282,42700,2074,411
2020.10.1,53832,45300,2074,550
2020.10.2,54384,45800,2075,552
2020.10.3,54384,45800,2076,0
2020.10.4,54384,45800,2077,0
2020.10.5,55932,45800,2078,1548
2020.10.6,56632,47300,2081,700
2020.10.7,57709,47300,2082,1077
2020.10.8,58881,47300,2087,1172
2020.10.9,60368,48400,2088,1487
2020.10.10,60368,48400,2088,0
2020.10.11,60368,48400,2088,0
2020.10.12,64436,49500,2096,4068
2020.10.13,65881,49800,2102,1445
2020.10.14,68704,49800,2109,2823
2020.10.15,71317,50500,2113,2613
2020.10.16,74422,50500,2120,3105
2020.10.17,74422,50500,2122,0
2020.10.18,74422,50600,2123,0
2020.10.19,83159,53400,2138,8737
2020.10.20,86167,54600,2145,3008
2020.10.21,91763,54600,2029,5596
2020.10.22,97019,55700,2044,5256
2020.10.23,103653,55800,2063,6634
2020.10.24,103653,55800,2071,0
2020.10.25,103653,55800,2083,0
2020.10.26,121093,61700,2105,17440
2020.10.27,127042,62700,2147,5949
2020.10.28,135658,65100,2158,8616
2020.10.29,145044,65100,2200,9386
2020.10.30,154251,65200,2249,9207
2020.10.31,154251,65200,2286,0
2020.11.1,154251,65200,2306,0
2020.11.2,176177,80400,2362,21926
2020.11.3,182303,83400,2439,6126
2020.11.4,192376,87100,2500,10073
2020.11.5,202504,87100,2580,10128
2020.11.6,211913,87300,2666,9409
2020.11.7,211913,87300,2731,0
2020.11.8,211913,87300,2764,0
2020.11.9,229222,87300,2823,17309
2020.11.10,235202,122600,2968,5980
2020.11.11,243472,122600,3087,8270
2020.11.12,250396,130000,3168,6924
2020.11.13,257135,141000,3280,6739
2020.11.14,257135,141000,3342,0
2020.11.15,257135,141000,3351,0
2020.11.16,269974,141000,3496,12839
2020.11.17,274534,169100,3608,4560
2020.11.18,280648,169100,3726,6114
2020.11.19,285655,180700,3827,5007
2020.11.20,290601,180700,3962,4946
2020.11.21,290601,180700,3992,0
2020.11.22,290601,180700,4031,0
2020.11.23,300352,206700,4124,9751
2020.11.24,304593,211500,4277,4241
2020.11.25,309469,211500,4374,4876
2020.11.26,313978,218900,4451,4509
2020.11.27,313978,218900,4451,0
2020.11.28,313978,218900,4451,0
2020.11.29,313978,218900,4451,0
2020.11.30,327072,250200,4815,8782
2020.12.1,330874,250200,4893,3802
2020.12.2,335660,257600,4991,4786
2020.12.3,340115,257600,5142,4455
2020.12.4,344497,260600,5243,4382
2020.12.5,344497,260600,5314,0
2020.12.6,344497,260600,5344,0
2020.12.7,354306,260600,5422,9809
2020.12.8,358568,279900,5566,4262
2020.12.9,363654,283000,5663,5086
2020.12.10,368695,288400,5791,5041
2020.12.11,373831,288400,5888,5136
2020.12.12,373831,291500,5970,0
2020.12.13,373831,291500,5984,0
2020.12.14,384557,308300,6096,10726
2020.12.15,388828,311500,6185,4271
2020.12.16,394453,311500,6316,5625
2020.12.17,399511,311500,6447,5058
2020.12.18,403989,311500,6541,4478
2020.12.19,403989,311500,6582,0
2020.12.20,403989,311500,6618,0
2020.12.21,413991,311500,6722,10002
2020.12.22,418266,311500,6864,4275
2020.12.23,423299,311500,6975,5033
2020.12.24,428197,311500,7067,4898
2020.12.25,428197,311500,7131,0
2020.12.26,428197,311500,7191,0
2020.12.27,438284,317600,7283,10087
2020.12.28,438284,317600,7362,0
2020.12.29,442481,317600,7392,4197
2020.12.30,447905,317600,7588,5424
2020.12.31,452296,317600,7624,4391
2021.1.1,452296,317600,7662,0
2021.1.2,452296,317600,7725,0
2021.1.3,452296,317600,7745,0
2021.1.4,461961,317600,7831,9665
2021.1.5,465981,317600,7965,4020
2021.1.6,470789,317600,8098,4808
2021.1.7,474764,317600,8146,3975
2021.1.8,477983,317600,8219,3219
2021.1.9,477983,317600,8248,0
2021.1.10,477983,317600,8267,0
2021.1.11,484506,317600,8324,6523
2021.1.12,487357,317600,8421,2851
2021.1.13,490358,317600,8488,3001
2021.1.14,492832,317600,8568,2474
2021.1.15,495228,317600,8621,2396
2021.1.16,495228,317600,8673,0
2021.1.17,495228,317600,8675,0
2021.1.18,499931,317600,8728,4703
2021.1.19,502191,317600,8820,2260
2021.1.20,504918,317600,8891,2727
2021.1.21,507123,317600,8938,2205
2021.1.22,509279,317600,9012,2156
2021.1.23,509279,317600,9046,0
2021.1.24,509279,317600,9064,0
2021.1.25,513599,317600,9093,4320
2021.1.26,515483,317600,9187,1884
2021.1.27,515483,317600,9204,0
2021.1.28,519404,317600,9286,3921
2021.1.29,521320,317600,9343,1916
2021.1.30,521320,317600,9365,0
2021.1.31,521320,317600,9378,0
2021.2.1,525095,317600,9438,3775
2021.2.2,526728,317600,9471,1633
2021.2.3,528524,317600,9515,1796
2021.2.4,530289,317600,9539,1765
2021.2.5,531873,317600,9570,1584
2021.2.6,531873,317600,9603,0
2021.2.7,531873,317600,9612,0
2021.2.8,535153,317600,9628,3280
2021.2.9,536516,317600,9681,1363
2021.2.10,538118,317600,9699,1602
2021.2.11,539474,317600,9716,1356
2021.2.12,540727,317600,9739,1253
2021.2.13,540727,317600,9750,0
2021.2.14,540727,317600,9755,0
2021.2.15,543207,317600,9776,2480
2021.2.16,544282,485615,9809,1075
2021.2.17,545535,490280,9838,1253
2021.2.18,546754,492504,9862,1219
2021.2.19,547775,495207,9880,1021
2021.2.20,547775,495207,9883,0
2021.2.21,547775,497394,9886,0
2021.2.22,550224,499524,9903,2449
2021.2.23,551355,499532,9925,1131
2021.2.24,552698,503807,9938,1343
2021.2.25,553867,505666,9946,1169
2021.2.26,554932,507856,9961,1065
2021.2.27,554932,507856,9961,0
2021.2.28,554932,507856,9966,0
2021.3.1,557492,511437,9971,2560
2021.3.2,558622,511437,10005,1130
2021.3.3,559845,515188,10013,1223
2021.3.4,561068,516798,10019,1223
2021.3.5,562290,518582,10036,1222
2021.3.6,562290,518582,10046,0
2021.3.7,562290,518582,10046,0
2021.3.8,565034,521912,10052,2744
2021.3.9,566412,521912,10062,1378
2021.3.10,567903,525165,10078,1491
2021.3.11,569312,526511,10088,1409
2021.3.12,570645,528104,10100,1333
2021.3.13,570645,529452,10108,0
2021.3.14,570645,529452,10111,0
2021.3.15,573815,530686,10115,3170
2021.3.16,575253,530686,10137,1438
2021.3.17,577111,533151,10158,1858
2021.3.18,578861,534217,10178,1750
2021.3.19,578861,534217,10202,0
2021.3.20,580609,534217,10203,1748
2021.3.21,580609,534217,10213,0
2021.3.22,584252,537671,10233,3643
2021.3.23,586096,537671,10247,1844
2021.3.24,588118,540106,10254,2022
2021.3.25,590164,541208,10278,2046
2021.3.26,592217,542535,10290,2053
2021.3.27,592217,542535,10298,0
2021.3.28,592217,542535,10300,0
2021.3.29,596790,544729,10302,4573
2021.3.30,598713,544729,10310,1923
2021.3.31,601124,547252,10334,2411
2021.4.1,603092,548375,10344,1968
2021.4.2,605342,548375,10350,2250
2021.4.3,605342,548375,10351,0
2021.4.4,605342,548375,10353,0
2021.4.5,605342,548375,10353,0
2021.4.6,610274,551991,10398,4932
2021.4.7,612575,554729,10421,2301
2021.4.8,615024,556090,10441,2449
2021.4.9,617543,557566,10449,2519
2021.4.10,617543,557566,10450,0
2021.4.11,617543,557566,10452,0
2021.4.12,623126,560294,10457,5583
2021.4.13,625367,560294,10469,2241
2021.4.14,627968,563438,10485,2601
2021.4.15,630194,564850,10492,2226
2021.4.16,632399,566679,10499,2205
2021.4.17,632399,566679,10505,0
2021.4.18,632399,568416,10508,0
2021.4.19,637304,570159,10518,4905
2021.4.20,639445,570159,10531,2141
