date,累计确诊,治愈,死亡,新增确诊
2020.4.8,141,43,8,2
2020.4.9,143,67,8,2
2020.4.13,145,67,8,2
2020.4.18,148,73,8,3
2020.4.23,149,82,12,1
2020.4.29,151,95,12,2
2020.5.7,153,104,13,1
2020.5.12,155,109,13,1
2020.5.16,155,109,13,0
2020.5.17,155,109,13,0
2020.5.18,155,109,13,0
2020.5.19,155,109,13,0
2020.5.20,155,109,13,0
2020.5.21,155,109,13,0
2020.5.22,155,109,13,0
2020.5.23,156,115,13,1
2020.5.24,156,115,13,0
2020.5.25,161,115,14,5
2020.5.26,161,115,14,0
2020.5.27,161,115,14,0
2020.5.28,161,115,14,0
2020.5.29,161,115,14,0
2020.5.30,162,138,14,1
2020.5.31,162,138,14,0
2020.6.1,162,138,14,0
2020.6.2,162,138,14,0
2020.6.3,162,138,14,0
2020.6.4,162,138,14,0
2020.6.5,162,138,14,0
2020.6.6,164,144,14,2
2020.6.7,164,144,14,0
2020.6.8,164,144,14,0
2020.6.9,164,144,14,0
2020.6.10,164,144,14,0
2020.6.11,164,144,14,0
2020.6.12,164,144,14,0
2020.6.13,171,157,14,7
2020.6.14,171,157,14,0
2020.6.15,171,157,14,0
2020.6.16,171,157,14,0
2020.6.17,171,157,14,0
2020.6.18,171,157,14,0
2020.6.19,171,157,14,0
2020.6.20,174,157,14,3
2020.6.21,174,157,14,0
2020.6.22,174,157,14,0
2020.6.23,174,157,14,0
2020.6.24,174,157,14,0
2020.6.25,174,157,14,0
2020.6.26,174,157,14,0
2020.6.27,182,157,14,8
2020.6.28,182,157,14,0
2020.6.29,182,157,14,0
2020.6.30,182,157,14,0
2020.7.1,182,157,14,0
2020.7.2,182,157,14,0
2020.7.3,182,157,14,0
2020.7.4,184,157,14,2
2020.7.5,184,157,14,0
2020.7.6,184,157,14,0
2020.7.7,184,157,14,0
2020.7.8,184,157,14,0
2020.7.9,184,157,14,0
2020.7.10,184,157,14,0
2020.7.11,190,157,14,6
2020.7.12,190,157,14,0
2020.7.13,190,157,14,0
2020.7.14,190,157,14,0
2020.7.15,190,157,14,0
2020.7.16,190,157,14,0
2020.7.17,190,157,14,0
2020.7.18,195,172,14,5
2020.7.19,195,172,14,0
2020.7.20,195,172,14,0
2020.7.21,195,172,14,0
2020.7.22,195,172,14,0
2020.7.23,195,172,14,0
2020.7.24,195,172,14,0
2020.7.25,203,176,14,8
2020.7.26,203,176,14,0
2020.7.27,203,176,14,0
2020.7.28,203,176,14,0
2020.7.29,203,176,14,0
2020.7.30,244,176,14,41
2020.7.31,244,176,14,0
2020.8.1,265,179,14,21
2020.8.2,265,179,14,0
2020.8.3,265,179,14,0
2020.8.4,272,179,14,7
2020.8.5,272,179,14,0
2020.8.6,279,179,14,7
2020.8.7,279,179,14,0
2020.8.8,290,186,14,11
2020.8.9,290,186,14,0
2020.8.10,290,186,14,0
2020.8.11,317,186,14,27
2020.8.12,317,186,14,0
2020.8.13,367,289,14,50
2020.8.14,367,289,14,0
2020.8.15,446,289,14,79
2020.8.16,446,289,14,0
2020.8.17,446,289,14,0
2020.8.18,510,289,14,64
2020.8.19,510,289,15,0
2020.8.20,510,289,15,0
2020.8.21,510,289,15,0
2020.8.22,771,289,15,261
2020.8.23,771,289,15,0
2020.8.24,771,289,15,0
2020.8.25,771,289,15,0
2020.8.26,935,289,15,164
2020.8.27,935,289,15,0
2020.8.28,935,289,15,0
2020.8.29,1145,336,16,210
2020.8.30,1145,336,16,0
2020.8.31,1145,336,16,0
2020.9.1,1269,336,16,124
2020.9.2,1269,336,16,0
2020.9.3,1363,336,18,94
2020.9.4,1363,336,18,0
2020.9.5,1363,336,18,0
2020.9.6,1363,336,18,0
2020.9.7,1363,336,18,0
2020.9.8,1363,336,18,0
2020.9.9,1363,336,18,0
2020.9.10,2287,336,23,924
2020.9.11,2287,336,23,0
2020.9.12,3080,837,24,793
2020.9.13,3080,837,24,0
2020.9.14,3080,837,24,0
2020.9.15,3080,837,24,0
2020.9.16,3080,837,24,0
2020.9.17,3426,837,26,346
2020.9.18,3426,837,26,0
2020.9.19,3426,837,26,0
2020.9.20,3426,837,26,0
2020.9.21,3426,837,26,0
2020.9.22,3426,837,26,0
2020.9.23,4487,2199,42,1061
2020.9.24,4487,2199,42,0
2020.9.25,4487,2199,42,0
2020.9.26,4487,2199,42,0
2020.9.27,4487,2199,42,0
2020.9.28,4487,2199,42,0
2020.9.29,4487,2199,42,0
2020.9.30,4487,2199,42,0
2020.10.1,5528,2199,57,1041
2020.10.2,5528,2199,57,0
2020.10.3,5528,2199,57,0
2020.10.4,5528,2199,57,0
2020.10.5,5528,2199,57,0
2020.10.6,5528,2199,57,0
2020.10.7,6319,2199,77,791
2020.10.8,6319,2199,77,0
2020.10.9,6319,2199,77,0
2020.10.10,6483,2199,77,164
2020.10.11,6483,2199,77,0
2020.10.12,6483,2199,77,0
2020.10.13,6483,2199,77,0
2020.10.14,6908,2199,96,425
2020.10.15,6908,2199,96,0
2020.10.16,6908,2199,96,0
2020.10.17,7122,2199,96,214
2020.10.18,7122,2199,96,0
2020.10.19,7122,2199,96,0
2020.10.20,7122,2199,96,0
2020.10.21,7329,2199,115,207
2020.10.22,7329,2199,115,0
2020.10.23,7329,2199,115,0
2020.10.24,7329,2199,115,0
2020.10.25,7329,2199,115,0
2020.10.26,7329,2199,115,0
2020.10.27,7474,2199,115,145
2020.10.28,7474,2199,115,0
2020.10.29,7605,2242,126,131
2020.10.30,7605,2242,126,0
2020.10.31,7605,2242,126,0
2020.11.1,7605,2242,126,0
2020.11.2,7605,2242,126,0
2020.11.3,7605,2242,126,0
2020.11.4,7903,2242,133,298
2020.11.5,7903,2242,133,0
2020.11.6,7903,2242,133,0
2020.11.7,7903,2242,133,0
2020.11.8,7903,2242,133,0
2020.11.9,7903,2242,133,0
2020.11.10,7903,2242,133,0
2020.11.11,8098,2242,139,195
2020.11.12,8098,2242,139,0
2020.11.13,8098,2242,139,0
2020.11.14,8098,2242,139,0
2020.11.15,8098,2242,139,0
2020.11.16,8098,2242,139,0
2020.11.17,8098,2242,139,0
2020.11.18,8225,2242,143,127
2020.11.19,8225,2242,143,0
2020.11.20,8225,2242,144,0
2020.11.21,8225,2242,144,0
2020.11.22,8225,2242,144,0
2020.11.23,8225,2242,144,0
2020.11.24,8225,2242,144,0
2020.11.25,8344,2242,149,119
2020.11.26,8344,2242,149,0
2020.11.27,8344,2242,149,0
2020.11.28,8344,2242,149,0
2020.11.29,8344,2242,149,0
2020.11.30,8344,2242,149,0
2020.12.1,8344,2242,149,0
2020.12.2,8427,2242,149,83
2020.12.3,8427,2242,149,0
2020.12.4,8427,2242,149,0
2020.12.5,8427,2242,149,0
2020.12.6,8427,2242,149,0
2020.12.7,8427,2242,149,0
2020.12.8,8427,2242,149,0
2020.12.9,8472,2242,151,45
2020.12.10,8472,2242,151,0
2020.12.11,8472,2242,151,0
2020.12.12,8472,2242,151,0
2020.12.13,8472,2242,151,0
2020.12.14,8472,2242,151,0
2020.12.15,8472,2242,151,0
2020.12.16,8524,2242,154,52
2020.12.17,8524,2242,154,0
2020.12.18,8524,2242,154,0
2020.12.19,8524,2242,154,0
2020.12.20,8524,2242,154,0
2020.12.21,8524,2242,154,0
2020.12.22,8524,2242,154,0
2020.12.23,8588,2242,154,64
2020.12.24,8588,2242,154,0
2020.12.25,8588,2242,154,0
2020.12.26,8588,2242,154,0
2020.12.27,8588,2242,154,0
2020.12.28,8588,2242,154,0
2020.12.29,8588,2242,154,0
2020.12.30,8588,2242,154,0
2020.12.31,8660,2242,154,72
2021.1.1,8660,2242,154,0
2021.1.2,8660,2242,154,0
2021.1.3,8660,2242,154,0
2021.1.4,8660,2242,154,0
2021.1.5,8660,2242,154,0
2021.1.6,8776,2242,154,116
2021.1.7,8776,2242,154,0
2021.1.8,8776,2242,154,0
2021.1.9,8776,2242,154,0
2021.1.10,8776,2242,154,0
2021.1.11,8776,2242,154,0
2021.1.12,8776,2242,154,0
2021.1.13,8776,2242,154,0
2021.1.14,8886,2242,154,110
2021.1.15,8886,2242,154,0
2021.1.16,8886,2242,154,0
2021.1.17,8886,2242,154,0
