date,累计确诊,治愈,死亡,新增确诊
2020.4.8,362,40,0,4
2020.4.10,382,40,0,20
2020.4.11,388,40,0,6
2020.4.12,389,40,0,1
2020.4.16,394,237,0,3
2020.4.17,402,237,0,8
2020.4.19,408,237,0,1
2020.4.20,410,238,0,2
2020.4.23,412,238,0,2
2020.4.24,412,300,0,0
2020.4.25,417,300,0,5
2020.4.28,418,300,0,1
2020.4.30,420,300,0,2
2020.5.2,423,300,0,1
2020.5.4,424,300,0,1
2020.5.5,425,300,0,1
2020.5.7,427,354,0,2
2020.5.9,431,354,0,5
2020.5.10,436,354,0,5
2020.5.12,437,354,0,5
2020.5.13,439,354,0,2
2020.5.15,441,354,0,1
2020.5.16,443,354,0,0
2020.5.17,443,354,0,2
2020.5.18,443,354,0,0
2020.5.19,446,354,0,3
2020.5.20,447,411,1,1
2020.5.21,449,411,1,2
2020.5.22,449,411,1,0
2020.5.23,452,411,1,3
2020.5.24,452,411,1,0
2020.5.25,452,411,1,0
2020.5.26,459,411,1,7
2020.5.27,460,411,1,1
2020.5.28,465,411,1,5
2020.5.29,470,411,1,5
2020.5.30,471,411,1,1
2020.5.31,471,411,1,0
2020.6.1,471,411,1,0
2020.6.2,477,411,1,6
2020.6.3,478,411,1,1
2020.6.4,479,411,1,1
2020.6.5,479,411,1,0
2020.6.6,480,411,1,1
2020.6.7,480,411,1,0
2020.6.8,480,411,1,0
2020.6.9,481,447,1,1
2020.6.10,486,447,1,5
2020.6.11,486,447,1,0
2020.6.12,488,460,1,2
2020.6.13,488,460,1,0
2020.6.14,495,460,1,7
2020.6.15,495,460,1,0
2020.6.16,496,460,1,1
2020.6.17,495,460,1,0
2020.6.18,497,460,1,2
2020.6.19,502,460,1,5
2020.6.20,504,460,1,2
2020.6.21,505,460,1,1
2020.6.22,506,460,1,1
2020.6.23,507,460,1,1
2020.6.24,507,460,1,0
2020.6.25,516,460,2,9
2020.6.26,516,460,2,0
2020.6.27,520,472,2,4
2020.6.28,520,472,2,0
2020.6.29,521,472,2,1
2020.6.30,526,472,2,5
2020.7.1,528,472,2,2
2020.7.2,531,472,2,3
2020.7.3,533,472,2,2
2020.7.4,533,472,2,0
2020.7.5,536,472,2,3
2020.7.6,547,472,2,11
2020.7.7,550,472,2,3
2020.7.8,551,472,3,1
2020.7.9,566,472,3,15
2020.7.10,566,472,3,0
2020.7.11,571,472,3,5
2020.7.12,577,472,3,6
2020.7.13,596,472,3,19
2020.7.14,596,472,3,0
2020.7.15,599,472,3,3
2020.7.16,608,472,3,9
2020.7.17,614,472,3,6
2020.7.18,614,472,3,0
2020.7.19,628,472,3,14
2020.7.20,628,472,3,0
2020.7.21,631,472,3,3
2020.7.22,639,472,3,8
2020.7.23,646,558,3,7
2020.7.24,646,558,3,0
2020.7.25,654,558,3,8
2020.7.26,657,558,3,3
2020.7.27,657,558,3,0
2020.7.28,657,592,4,0
2020.7.29,657,592,4,0
2020.7.30,657,592,4,0
2020.7.31,660,592,4,3
2020.8.1,660,592,4,0
2020.8.2,664,592,4,4
2020.8.3,667,592,4,3
2020.8.4,667,592,4,0
2020.8.5,669,592,4,2
2020.8.6,671,592,5,2
2020.8.7,671,592,5,0
2020.8.8,675,631,5,4
2020.8.9,681,631,5,6
2020.8.10,687,631,5,6
2020.8.11,690,631,5,3
2020.8.12,702,631,5,12
2020.8.13,734,631,5,32
2020.8.14,754,631,5,20
2020.8.15,776,657,5,22
2020.8.16,816,657,5,40
2020.8.17,855,657,5,39
2020.8.18,880,657,5,25
2020.8.19,903,657,5,23
2020.8.20,945,657,5,42
2020.8.21,996,657,5,51
2020.8.22,1117,692,6,121
2020.8.23,1117,692,6,0
2020.8.24,1209,692,6,92
2020.8.25,1244,692,6,35
2020.8.26,1292,692,6,48
2020.8.27,1372,692,6,80
2020.8.28,1487,692,6,115
2020.8.29,1487,692,6,0
2020.8.30,1634,880,6,147
2020.8.31,1634,880,9,0
2020.9.1,1679,880,9,45
2020.9.2,1796,880,10,117
2020.9.3,1796,880,10,0
2020.9.4,2002,880,10,206
2020.9.5,2115,1313,11,113
2020.9.6,2115,1313,11,0
2020.9.7,2277,1313,13,162
2020.9.8,2277,1313,13,0
2020.9.9,2416,1313,13,139
2020.9.10,2416,1313,13,0
2020.9.11,2510,1313,14,94
2020.9.12,2623,1313,14,113
2020.9.13,2805,1313,15,182
2020.9.14,2872,1313,15,67
2020.9.15,2872,1313,15,0
2020.9.16,3002,1313,15,130
2020.9.17,3002,1313,15,0
2020.9.18,3099,1794,15,97
2020.9.19,3194,1794,15,95
2020.9.20,3194,2482,15,0
2020.9.21,3194,2482,15,0
2020.9.22,3415,2482,15,221
2020.9.23,3415,2482,15,0
2020.9.24,3501,2482,11,86
2020.9.25,3501,2482,11,0
2020.9.26,3685,2819,11,184
2020.9.27,3685,2819,11,0
2020.9.28,3882,2819,14,197
2020.9.29,3882,2819,14,0
2020.9.30,3993,2819,16,111
2020.10.1,3993,2819,16,0
2020.10.2,3993,2819,16,0
2020.10.3,4178,3360,16,185
2020.10.4,4178,3360,16,0
2020.10.5,4328,3360,16,150
2020.10.6,4328,3360,16,0
2020.10.7,4328,3360,16,0
2020.10.8,4385,3360,16,57
2020.10.9,4491,3994,16,106
