date,累计确诊,治愈,死亡,新增确诊
2020.4.7,1066,77,13,205
2020.4.8,1486,139,16,420
2020.4.9,1981,169,19,495
2020.4.11,2226,172,23,301
2020.4.12,2919,203,29,341
2020.4.13,3281,203,33,362
2020.4.14,3728,203,36,447
2020.4.15,4204,203,40,476
2020.4.16,4779,342,42,575
2020.4.19,6264,514,51,1485
2020.4.21,6723,577,55,459
2020.4.22,8022,938,60,741
2020.4.23,8773,1120,63,751
2020.4.24,9590,1573,67,817
2020.4.25,10463,1695,72,873
2020.4.26,11289,1740,75,826
2020.4.27,12208,1993,79,919
2020.4.28,13181,2072,84,973
2020.4.29,14027,2386,89,846
2020.4.30,14917,2918,93,890
2020.5.1,15828,3117,97,911
2020.5.2,16705,3196,99,877
2020.5.3,17489,3259,103,784
2020.5.4,18350,3771,107,861
2020.5.5,19255,4388,112,905
2020.5.6,20168,5067,116,913
2020.5.7,21101,5484,121,933
2020.5.8,22052,6050,126,951
2020.5.9,22973,6406,131,921
2020.5.10,23906,6531,135,921
2020.5.11,24873,6974,142,967
2020.5.12,25825,7711,146,952
2020.5.13,26772,8168,151,947
2020.5.14,27730,8807,156,958
2020.5.15,28681,9498,160,951
2020.5.16,29650,9932,165,969
2020.5.17,30572,10130,171,922
2020.5.18,30572,10130,171,0
2020.5.19,31508,10620,175,936
2020.5.20,32426,11415,179,918
2020.5.21,33371,12057,185,945
2020.5.22,34303,12833,190,932
2020.5.23,35244,13528,194,941
2020.5.24,36198,14155,199,954
2020.5.25,37144,14449,204,946
2020.5.26,38059,15086,208,915
2020.5.27,38956,15923,214,897
2020.5.28,39858,16660,219,902
2020.5.29,40764,17390,224,906
2020.5.30,41658,17964,229,894
2020.5.31,42556,18514,235,898
2020.6.1,43403,18776,240,847
2020.6.2,44255,19195,243,852
2020.6.3,45116,20171,248,861
2020.6.4,45981,21162,253,865
2020.6.5,46868,22066,259,887
2020.6.6,47751,23015,263,883
2020.6.7,48630,23647,269,879
2020.6.8,49453,23880,276,823
2020.6.9,50265,24506,282,812
2020.6.10,51066,25667,288,801
2020.6.11,51816,26643,293,750
2020.6.12,52520,27760,298,704
2020.6.13,53241,29111,303,721
2020.6.14,53973,30103,308,732
2020.6.15,54680,30420,312,707
2020.6.16,55369,31273,318,689
2020.6.17,56032,32735,324,663
2020.6.18,56657,34023,331,625
2020.6.19,57333,35275,337,676
2020.6.20,57936,36749,343,603
2020.6.21,58505,37666,346,569
2020.6.22,59023,37923,351,518
2020.6.23,59487,38688,357,464
2020.6.24,59945,40136,362,458
2020.6.25,60382,41448,367,437
2020.6.26,60713,42689,373,331
2020.6.27,61095,44126,377,382
2020.6.28,61475,45027,383,380
2020.6.29,61790,45213,387,315
2020.6.30,62118,46054,392,328
2020.7.1,62424,47553,398,306
2020.7.2,62698,48738,405,274
2020.7.3,62997,49909,412,299
2020.7.4,63270,50669,418,273
2020.7.5,63554,50871,423,284
2020.7.6,63804,51120,429,250
2020.7.7,64003,51902,436,199
2020.7.8,64224,52854,443,221
2020.7.9,64411,53609,449,187
2020.7.10,64604,54254,454,193
2020.7.11,64767,54919,459,163
2020.7.12,64932,55380,464,165
2020.7.13,65114,55492,468,182
2020.7.14,65269,55799,474,155
2020.7.15,65443,56379,480,174
2020.7.16,65623,56915,485,180
2020.7.17,65782,57370,491,159
2020.7.18,65953,57856,495,171
2020.7.19,66095,58204,499,142
2020.7.20,66213,58290,503,118
2020.7.21,66348,58592,507,135
2020.7.22,66521,59061,513,173
2020.7.23,66688,59439,519,167
2020.7.24,66846,59755,524,158
2020.7.25,67002,60092,530,156
2020.7.26,67132,60425,534,130
2020.7.27,67251,60492,538,119
2020.7.28,67366,60669,543,115
2020.7.29,67518,61442,548,152
2020.7.30,67665,61765,553,147
2020.7.31,67808,62444,559,143
2020.8.1,67946,62686,563,138
2020.8.2,68067,62896,567,121
2020.8.3,68166,62943,571,99
2020.8.4,68250,63163,574,84
2020.8.5,68376,63425,577,126
2020.8.6,68503,63756,580,127
2020.8.7,68614,64200,583,111
2020.8.8,68738,64744,585,124
2020.8.9,68850,64935,587,112
2020.8.10,68947,64991,589,97
2020.8.11,69005,65219,592,58
2020.8.12,69102,65893,595,97
