date,累计确诊,治愈,死亡,新增确诊
2020.4.8,39,23,3,2
2020.4.9,48,25,4,9
2020.4.11,50,28,4,2
2020.4.12,57,29,4,7
2020.4.13,57,30,5,0
2020.4.16,83,35,5,2
2020.4.18,86,35,5,3
2020.4.21,98,39,5,12
2020.4.22,99,39,5,1
2020.4.25,109,39,5,10
2020.4.28,110,44,6,1
2020.4.29,111,48,6,1
2020.5.1,114,48,6,3
2020.5.6,118,59,7,3
2020.5.11,119,66,8,1
2020.5.12,121,66,8,2
2020.5.14,122,66,9,1
2020.5.16,123,73,9,1
2020.5.17,123,73,9,0
2020.5.18,123,73,9,0
2020.5.19,125,77,9,2
2020.5.20,125,78,9,0
2020.5.21,125,80,9,0
2020.5.22,125,80,9,0
2020.5.23,128,81,9,3
2020.5.24,133,81,9,5
2020.5.25,133,81,9,0
2020.5.26,133,89,9,0
2020.5.27,139,91,9,6
2020.5.28,139,91,9,0
2020.5.29,140,92,9,1
2020.5.30,140,92,9,0
2020.5.31,140,92,9,0
2020.6.1,140,92,9,0
2020.6.2,141,112,9,1
2020.6.3,141,113,9,0
2020.6.4,141,113,9,0
2020.6.5,141,113,9,0
2020.6.6,141,114,9,0
2020.6.7,141,114,9,0
2020.6.8,141,114,9,0
2020.6.9,141,120,9,0
2020.6.10,141,120,9,0
2020.6.11,141,125,9,0
2020.6.12,141,127,9,0
2020.6.13,141,127,9,0
2020.6.14,142,127,9,1
2020.6.15,142,127,9,0
2020.6.16,144,127,9,2
2020.6.17,144,128,9,0
2020.6.18,144,128,9,0
2020.6.19,144,128,9,0
2020.6.20,146,132,9,2
2020.6.21,146,132,9,0
2020.6.22,146,132,9,0
2020.6.23,146,132,9,0
2020.6.24,146,132,9,0
2020.6.25,146,132,9,0
2020.6.26,146,133,9,0
2020.6.27,146,133,9,0
2020.6.28,146,134,9,0
2020.6.29,146,134,9,0
2020.6.30,146,135,9,0
2020.7.1,146,135,9,0
2020.7.2,146,135,9,0
2020.7.3,146,135,9,0
2020.7.4,146,137,9,0
2020.7.5,146,137,9,0
2020.7.6,146,137,9,0
2020.7.7,146,137,9,0
2020.7.8,148,137,9,2
2020.7.9,149,137,9,1
2020.7.10,149,137,9,0
2020.7.11,150,137,9,1
2020.7.12,150,137,9,0
2020.7.13,150,137,9,0
2020.7.14,150,137,9,0
2020.7.15,150,137,9,0
2020.7.16,150,137,9,0
2020.7.17,152,137,9,2
2020.7.18,152,137,9,0
2020.7.19,153,137,9,1
2020.7.20,153,137,9,0
2020.7.21,153,137,9,0
2020.7.22,153,137,9,0
2020.7.23,153,139,9,0
2020.7.24,153,139,9,0
2020.7.25,153,139,9,0
2020.7.26,153,139,9,0
2020.7.27,153,139,9,0
2020.7.28,154,141,9,1
2020.7.29,156,141,9,2
2020.7.30,156,141,9,0
2020.7.31,156,141,9,0
2020.8.1,156,141,9,0
2020.8.2,156,141,9,0
2020.8.3,157,143,9,1
2020.8.4,157,144,9,0
2020.8.5,157,144,9,0
2020.8.6,157,144,9,0
2020.8.7,157,144,9,0
2020.8.8,157,144,9,0
2020.8.9,157,144,9,0
2020.8.10,158,144,9,1
2020.8.11,159,144,9,1
2020.8.12,159,145,9,0
2020.8.13,159,145,9,0
2020.8.14,159,145,9,0
2020.8.15,159,145,9,0
2020.8.16,162,147,9,3
2020.8.17,162,147,9,0
2020.8.18,166,147,9,4
2020.8.19,166,147,9,0
2020.8.20,166,147,9,0
2020.8.21,166,147,9,0
2020.8.22,167,147,9,1
2020.8.23,167,149,9,0
2020.8.24,167,149,9,0
2020.8.25,168,150,9,1
2020.8.26,168,151,9,0
2020.8.27,168,151,9,0
2020.8.28,168,151,9,0
2020.8.29,168,151,9,0
2020.8.30,169,153,9,1
2020.8.31,169,153,9,0
2020.9.1,172,155,9,3
2020.9.2,172,157,9,0
2020.9.3,172,157,9,0
2020.9.4,174,157,9,2
2020.9.5,175,158,9,1
2020.9.6,175,158,9,0
2020.9.7,175,158,9,0
2020.9.8,175,158,9,0
2020.9.9,175,158,9,0
2020.9.10,177,159,9,2
2020.9.11,177,160,9,0
2020.9.12,177,161,9,0
2020.9.13,177,161,9,0
2020.9.14,177,161,9,0
2020.9.15,177,161,9,0
2020.9.16,177,164,9,0
2020.9.17,178,164,9,1
2020.9.18,178,164,9,0
2020.9.19,178,164,9,0
2020.9.20,180,166,9,2
2020.9.21,180,166,9,0
2020.9.22,180,166,9,0
2020.9.23,180,166,9,0
2020.9.24,181,167,9,1
2020.9.25,181,167,9,0
2020.9.26,181,167,9,0
2020.9.27,181,167,9,0
2020.9.28,181,167,9,0
2020.9.29,181,167,9,0
2020.9.30,181,167,9,0
2020.10.1,181,167,9,0
2020.10.2,181,168,9,0
2020.10.3,181,169,9,0
2020.10.4,181,169,9,0
2020.10.5,181,169,9,0
2020.10.6,181,170,9,0
2020.10.7,181,170,9,0
2020.10.8,181,170,9,0
2020.10.9,184,170,9,3
2020.10.10,184,170,9,0
2020.10.11,184,170,9,0
2020.10.12,184,170,9,0
2020.10.13,184,172,9,0
2020.10.14,185,172,9,1
2020.10.15,185,172,9,0
2020.10.16,185,172,9,0
2020.10.17,185,172,9,0
2020.10.18,185,172,9,0
2020.10.19,185,172,9,0
2020.10.20,185,172,9,0
2020.10.21,188,174,9,3
2020.10.22,188,174,9,0
2020.10.23,188,175,9,0
2020.10.24,190,175,9,2
2020.10.25,190,175,9,0
2020.10.26,190,175,9,0
2020.10.27,193,175,9,3
2020.10.28,194,175,9,1
2020.10.29,194,175,9,0
2020.10.30,198,176,9,4
2020.10.31,199,176,9,1
2020.11.1,199,176,9,0
2020.11.2,199,176,9,0
2020.11.3,206,176,9,7
2020.11.4,206,176,9,0
2020.11.5,206,179,9,0
2020.11.6,207,179,9,1
2020.11.7,209,181,9,2
2020.11.8,209,181,9,0
2020.11.9,209,181,9,0
2020.11.10,214,182,9,5
2020.11.11,214,182,9,0
2020.11.12,214,182,9,0
2020.11.13,220,188,9,6
2020.11.14,222,189,9,2
2020.11.15,222,189,9,0
2020.11.16,222,189,9,0
2020.11.17,223,189,9,1
2020.11.18,223,189,9,0
2020.11.19,224,196,9,1
2020.11.20,226,200,9,2
2020.11.21,227,200,9,1
2020.11.22,227,200,9,0
2020.11.23,227,200,9,0
2020.11.24,227,200,9,0
2020.11.25,239,205,9,12
2020.11.26,239,205,9,0
2020.11.27,241,206,9,2
2020.11.28,242,207,9,1
2020.11.29,251,213,9,9
2020.11.30,260,214,9,9
2020.12.1,260,214,9,0
2020.12.2,262,214,9,2
2020.12.3,267,215,9,5
2020.12.4,272,216,9,5
2020.12.5,278,216,9,6
2020.12.6,288,216,9,10
2020.12.7,288,216,9,0
2020.12.8,306,222,9,18
2020.12.9,330,223,9,24
2020.12.10,340,228,9,10
2020.12.11,364,229,9,24
2020.12.12,391,233,9,27
2020.12.13,391,233,9,0
2020.12.14,391,233,9,0
2020.12.15,431,238,9,40
2020.12.16,467,250,9,36
2020.12.17,485,255,9,18
2020.12.18,497,261,9,12
2020.12.19,516,267,9,19
2020.12.20,527,276,9,11
2020.12.21,527,276,9,0
2020.12.22,527,276,9,0
2020.12.23,553,291,9,26
2020.12.24,553,321,9,0
2020.12.25,561,338,9,8
2020.12.26,561,338,9,0
2020.12.27,581,394,10,20
2020.12.28,581,394,10,0
2020.12.29,581,394,10,0
2020.12.30,595,421,10,14
2020.12.31,595,421,10,0
2021.1.1,604,445,10,9
2021.1.2,604,445,10,0
2021.1.3,622,478,10,18
2021.1.4,622,478,10,0
2021.1.5,624,519,10,2
2021.1.6,632,522,11,8
2021.1.7,636,531,11,4
2021.1.8,641,538,12,5
2021.1.9,646,540,12,5
2021.1.10,652,551,12,6
2021.1.11,652,551,12,0
2021.1.12,656,554,12,4
2021.1.13,661,558,12,5
2021.1.14,664,566,12,3
2021.1.15,667,571,12,3
2021.1.16,670,583,12,3
2021.1.17,670,583,12,0
2021.1.18,670,583,12,0
2021.1.19,683,598,12,13
2021.1.20,684,603,12,1
2021.1.21,684,611,12,0
2021.1.22,684,611,12,0
2021.1.23,684,625,12,0
2021.1.24,686,625,12,2
2021.1.25,686,625,12,0
2021.1.26,686,640,12,0
2021.1.27,688,646,12,2
2021.1.28,689,648,12,1
2021.1.29,690,650,12,1
2021.1.30,691,653,12,1
2021.1.31,691,653,12,0
2021.2.1,691,653,12,0
2021.2.2,692,668,12,1
2021.2.3,692,668,12,0
2021.2.4,692,668,12,0
2021.2.5,692,669,12,0
2021.2.6,692,670,12,0
2021.2.7,692,670,12,0
