date,累计确诊,治愈,死亡,新增确诊
2020.4.8,120,60,0,7
2020.4.9,123,60,0,3
2020.4.10,127,69,0,4
2020.4.11,129,84,0,2
2020.4.15,131,104,0,2
2020.4.16,132,105,0,1
2020.4.23,133,129,0,1
2020.4.25,136,131,0,3
2020.4.26,141,131,0,5
2020.4.30,144,131,0,3
2020.5.7,144,141,0,0
2020.5.8,146,142,0,2
2020.5.12,147,144,0,1
2020.5.16,147,145,0,0
2020.5.17,147,145,0,0
2020.5.18,147,145,0,0
2020.5.19,147,145,0,0
2020.5.20,149,145,0,2
2020.5.21,149,145,0,0
2020.5.22,151,147,0,2
2020.5.23,152,147,0,1
2020.5.24,154,147,0,2
2020.5.25,154,147,0,0
2020.5.26,154,147,0,0
2020.5.27,157,147,0,3
2020.5.28,158,147,0,1
2020.5.29,161,148,0,3
2020.5.30,169,149,0,8
2020.5.31,170,149,0,1
2020.6.1,170,151,0,0
2020.6.2,172,151,0,2
2020.6.3,173,153,0,1
2020.6.4,173,153,0,0
2020.6.5,174,153,0,1
2020.6.6,175,155,0,1
2020.6.7,176,164,0,1
2020.6.8,176,165,0,0
2020.6.9,176,165,0,0
2020.6.10,176,169,0,0
2020.6.11,176,169,0,0
2020.6.12,176,172,0,0
2020.6.13,176,173,0,0
2020.6.14,176,173,0,0
2020.6.15,176,174,0,0
2020.6.16,176,174,0,0
2020.6.17,176,176,0,0
2020.6.18,176,176,0,0
2020.6.19,176,176,0,0
2020.6.20,176,176,0,0
2020.6.21,176,176,0,0
2020.6.22,176,176,0,0
2020.6.23,176,176,0,0
2020.6.24,176,176,0,0
2020.6.25,176,176,0,0
2020.6.26,176,176,0,0
2020.6.27,177,176,0,1
2020.6.28,177,176,0,0
2020.6.29,177,176,0,0
2020.6.30,177,176,0,0
2020.7.1,178,176,0,1
2020.7.2,178,176,0,0
2020.7.3,178,176,0,0
2020.7.4,178,176,0,0
2020.7.5,179,176,0,1
2020.7.6,179,176,0,0
2020.7.7,179,176,0,0
2020.7.8,179,176,0,0
2020.7.9,180,176,0,1
2020.7.10,180,176,0,0
2020.7.11,180,176,0,0
2020.7.12,180,176,0,0
2020.7.13,180,176,0,0
2020.7.14,180,179,0,0
2020.7.15,180,180,0,0
2020.7.16,180,180,0,0
2020.7.17,180,180,0,0
2020.7.18,180,180,0,0
2020.7.19,180,180,0,0
2020.7.20,180,180,0,0
2020.7.21,180,180,0,0
2020.7.22,182,180,0,2
2020.7.23,182,180,0,0
2020.7.24,184,180,0,2
2020.7.25,185,180,0,1
2020.7.26,185,180,0,0
2020.7.27,185,180,0,0
2020.7.28,186,180,0,1
2020.7.29,186,180,0,0
2020.7.30,187,180,0,1
2020.7.31,187,181,0,0
2020.8.1,188,182,0,1
2020.8.2,188,183,0,0
2020.8.3,188,183,0,0
2020.8.4,189,183,0,1
2020.8.5,189,183,0,0
2020.8.6,190,184,0,1
2020.8.7,190,184,0,0
2020.8.8,197,184,0,7
2020.8.9,197,184,0,0
2020.8.10,201,186,0,4
2020.8.11,202,187,0,1
2020.8.12,203,187,0,1
2020.8.13,205,188,0,2
2020.8.14,205,188,0,0
2020.8.15,209,190,0,4
2020.8.16,215,190,0,6
2020.8.17,217,194,0,2
