date,累计确诊,治愈,死亡,新增确诊
2020.4.7,855,111,1,112
2020.4.8,855,112,1,112
2020.4.9,910,111,1,55
2020.4.10,993,133,1,0
2020.4.12,1300,150,2,66
2020.4.13,1355,176,3,55
2020.4.14,1405,206,3,50
2020.4.15,1524,225,3,119
2020.4.16,1658,258,5,134
2020.4.17,1751,280,5,93
2020.4.18,1915,305,7,164
2020.4.19,1995,367,7,80
2020.4.20,2080,412,11,85
2020.4.21,2248,443,13,168
2020.4.22,2399,498,14,151
2020.4.23,2614,613,15,215
2020.4.24,2892,656,19,278
2020.4.25,3075,806,20,183
2020.4.26,3288,1012,22,213
2020.4.27,3440,1176,23,152
2020.4.28,3740,1389,24,300
2020.4.29,4024,1539,26,284
2020.4.30,4377,1602,30,353
2020.5.1,4619,1703,33,242
2020.5.2,4983,1776,38,364
2020.5.3,5278,1947,40,295
2020.5.4,5804,2032,40,526
2020.5.5,6289,2219,42,485
2020.5.6,6567,2381,44,278
2020.5.7,7208,2466,47,641
2020.5.8,7623,2622,49,415
2020.5.9,8688,2729,58,1065
2020.5.10,9286,2907,65,598
2020.5.11,10277,3101,75,991
2020.5.12,11028,3263,82,751
2020.5.13,11975,3451,88,947
2020.5.14,12860,3640,96,885
2020.5.15,13802,3843,107,942
2020.5.16,14850,4093,112,1048
2020.5.17,15691,4339,118,841
2020.5.18,15691,4339,118,0
2020.5.19,16764,4681,121,1073
2020.5.20,17568,4885,124,804
2020.5.21,18609,5205,129,1041
2020.5.22,19564,5515,138,955
2020.5.23,20464,5747,148,900
2020.5.24,21302,6117,156,838
2020.5.25,21967,6621,165,665
2020.5.26,22575,7306,172,608
2020.5.27,23267,7946,175,692
2020.5.28,24112,8698,185,845
2020.5.29,25184,9273,194,1072
2020.5.30,26192,10156,205,1008
2020.5.31,27043,11386,212,851
2020.6.1,27762,12899,220,719
2020.6.2,28649,14281,226,887
2020.6.3,29359,15750,230,710
2020.6.4,29921,17223,236,562
2020.6.5,30644,18277,244,723
2020.6.6,31131,19282,254,487
2020.6.7,31848,20205,264,717
2020.6.8,32510,21242,269,662
2020.6.9,33140,22162,273,630
2020.6.10,33823,23288,275,683
2020.6.11,34432,24137,279,609
2020.6.12,34952,25048,285,520
2020.6.13,35466,25882,289,514
2020.6.14,35920,26759,296,454
2020.6.15,36431,27531,298,511
2020.6.16,36958,28206,303,527
2020.6.17,37533,28896,306,575
2020.6.18,38074,29512,308,541
2020.6.19,38678,30190,313,604
2020.6.20,39145,30726,319,467
2020.6.21,39650,31240,326,505
2020.6.22,40291,31770,330,641
2020.6.23,41033,32304,334,742
2020.6.24,41879,32809,337,846
2020.6.25,42788,33367,339,909
2020.6.26,43703,33969,341,915
2020.6.27,44391,34586,344,688
2020.6.28,44942,35494,348,551
2020.6.29,45524,36313,350,582
2020.6.30,46195,37030,354,671
2020.7.1,46940,37715,358,745
2020.7.2,47859,38390,359,919
2020.7.3,48672,39276,360,813
2020.7.4,49303,39943,365,631
2020.7.5,49941,40463,368,638
2020.7.6,50644,41001,373,703
2020.7.7,51245,41515,377,601
2020.7.8,52007,42108,379,762
