date,累计确诊,治愈,死亡,新增确诊
2020.4.8,384,48,3,35
2020.4.9,444,52,3,60
2020.4.10,480,54,3,36
2020.4.11,533,58,4,53
2020.4.12,574,85,5,41
2020.4.13,626,89,6,52
2020.4.14,638,114,6,12
2020.4.15,654,146,6,16
2020.4.16,688,193,6,34
2020.4.17,742,220,6,54
2020.4.18,801,239,8,54
2020.4.19,847,260,9,46
2020.4.20,879,287,10,32
2020.4.21,916,303,13,37
2020.4.22,952,320,14,36
2020.4.23,1004,359,14,52
2020.4.24,1077,419,14,73
2020.4.25,1111,449,14,34
2020.4.26,1150,468,14,39
2020.4.27,1164,499,14,14
2020.4.28,1183,525,14,19
2020.4.29,1238,557,14,55
2020.4.30,1275,574,14,37
2020.5.1,1333,597,15,58
2020.5.2,1362,622,15,29
2020.5.3,1398,653,17,36
2020.5.5,1464,701,18,32
2020.5.6,1516,721,18,52
2020.5.7,1571,742,20,55
2020.5.9,1667,769,21,65
2020.5.12,1857,820,21,127
2020.5.13,1912,902,24,55
2020.5.15,2017,942,24,46
2020.5.16,2061,987,25,44
2020.5.17,2109,1004,27,48
2020.5.18,2109,1004,27,0
2020.5.19,2119,1040,28,10
2020.5.20,2153,1050,28,34
2020.5.21,2231,1083,29,78
2020.5.22,2301,1100,29,70
2020.5.23,2341,1146,29,40
2020.5.24,2366,1188,30,25
2020.5.25,2376,1219,30,10
2020.5.26,2423,1257,30,47
2020.5.27,2477,1286,30,54
2020.5.28,2556,1302,31,79
2020.5.29,2641,1326,32,85
2020.5.30,2750,1370,32,109
2020.5.31,2799,1385,33,49
2020.6.1,2833,1435,33,34
2020.6.2,2951,1467,33,118
2020.6.3,3024,1501,33,73
2020.6.4,3110,1530,35,86
2020.6.5,3262,1584,35,152
2020.6.6,3431,1604,36,169
2020.6.7,3557,1750,36,126
2020.6.8,3739,1818,36,182
2020.6.9,3881,1869,38,142
2020.6.10,3995,2045,38,114
2020.6.11,4181,2174,41,186
2020.6.12,4404,2212,41,223
2020.6.13,4684,2263,45,280
2020.6.14,4848,2397,45,164
2020.6.15,5084,2505,45,236
2020.6.16,5439,2590,46,355
2020.6.17,5679,2637,46,240
2020.6.18,6063,2749,48,384
2020.6.19,6444,2863,49,381
2020.6.20,6874,2942,49,430
2020.6.21,7276,2992,52,402
2020.6.22,7492,3068,54,216
2020.6.23,7677,3493,56,185
2020.6.24,7904,3182,58,227
2020.6.25,8164,3419,58,260
2020.6.26,8334,3487,60,170
2020.6.27,8739,3587,64,405
2020.6.28,8944,3722,66,205
2020.6.29,9101,3808,66,157
2020.6.30,9214,3996,66,113
2020.7.1,9499,4273,68,285
2020.7.2,9702,4381,68,203
2020.7.3,9992,4660,68,290
2020.7.4,10244,4726,70,252
2020.7.5,10462,4807,72,218
2020.7.6,10772,5067,74,310
2020.7.7,10966,5384,75,194
2020.7.8,11194,5487,76,228
2020.7.9,11504,5571,78,310
2020.7.10,11750,5752,79,246
2020.7.11,12052,6080,81,302
2020.7.12,12443,6357,82,391
2020.7.13,12766,6654,84,323
2020.7.14,12872,6810,84,106
2020.7.15,13037,6908,87,165
