date,累计确诊,治愈,死亡,新增确诊
2020.4.8,4342,1333,121,1388
2020.4.9,5256,1438,138,914
2020.4.10,5897,1569,169,641
2020.4.11,6848,1739,181,951
2020.4.12,7519,1798,193,671
2020.4.13,9784,2642,216,2265
2020.4.14,10303,2869,230,519
2020.4.15,11475,3108,254,1172
2020.4.16,12491,6120,274,1016
2020.4.17,13489,6541,300,998
2020.4.18,14420,6684,348,931
2020.4.19,15628,6811,400,1208
2020.4.20,16325,6968,445,697
2020.4.21,17837,6982,484,1512
2020.4.22,19250,7027,530,1413
2020.4.23,20914,7422,572,1664
2020.4.24,21648,7496,634,734
2020.4.25,25331,7797,700,3683
2020.4.26,27517,8088,728,2186
2020.4.27,28699,8425,782,1182
2020.4.28,31190,9179,854,2491
2020.4.29,33931,10037,943,2741
2020.4.30,36976,10405,1051,3045
2020.5.1,40459,11129,1124,3483
2020.5.2,42534,12434,1200,2075
2020.5.3,45928,13550,1286,3394
2020.5.4,47372,14427,1344,1444
2020.5.5,51189,15413,1444,3817
2020.5.6,54817,17527,1533,3628
2020.5.7,58526,18388,1627,3709
2020.5.8,61847,19012,1714,3321
2020.5.9,65015,20246,1814,3168
2020.5.10,67307,21349,1889,2292
2020.5.11,68822,22406,1961,1515
2020.5.12,72059,22406,2057,3237
2020.5.13,76306,24324,2169,4247
2020.5.14,80604,25151,2267,4298
2020.5.15,84495,27147,2392,3891
2020.5.16,88541,28272,2523,4046
2020.5.17,92273,28621,2648,3732
2020.5.18,92273,28621,2648,0
2020.5.19,94933,30306,2789,2660
2020.5.20,99483,36524,2914,4550
2020.5.21,104020,41968,3024,4537
2020.5.22,108769,43587,3148,4749
2020.5.23,111698,44848,3244,2929
2020.5.24,115754,47915,3373,4056
2020.5.25,119959,49795,3456,4205
2020.5.26,123979,50949,3629,4020
2020.5.27,129751,52906,3788,5772
2020.5.28,135905,56169,3983,6154
2020.5.29,141779,59442,4099,5874
2020.5.30,148285,62791,4230,6506
2020.5.31,155671,66447,4371,7386
2020.6.1,164476,67208,4506,8805
2020.6.2,170039,68507,4634,5563
2020.6.3,174884,69257,4767,4845
2020.6.4,178914,72319,4894,4030
2020.6.5,183198,76228,5031,4284
2020.6.6,187400,79214,5162,4202
2020.6.7,191758,82731,5301,4358
2020.6.8,196515,86219,5465,4757
2020.6.9,199696,89556,5571,3181
2020.6.10,203736,92929,5738,4040
2020.6.11,208823,98031,5903,5087
2020.6.12,214788,102429,6109,5965
