date,累计确诊,治愈,死亡,新增确诊
2020.4.8,628,25,24,5
2020.4.9,643,25,25,15
2020.4.10,671,25,25,28
2020.4.11,685,43,28,14
2020.4.12,707,43,31,22
2020.4.13,726,43,34,19
2020.4.14,747,43,34,21
2020.4.15,780,43,35,33
2020.4.16,822,43,37,42
2020.4.17,864,43,37,42
2020.4.18,866,43,37,2
2020.4.19,879,43,38,13
2020.4.20,884,148,38,5
2020.4.21,901,170,38,17
2020.4.22,909,190,38,8
2020.4.23,918,190,38,9
2020.4.24,922,194,38,4
2020.4.25,939,207,38,17
2020.4.26,949,216,38,10
2020.4.27,967,279,39,18
2020.4.28,975,279,40,8
2020.4.29,980,294,40,5
2020.4.30,994,305,41,14
2020.5.1,998,316,41,4
2020.5.2,1009,323,42,11
2020.5.4,1018,406,43,5
2020.5.5,1022,482,43,4
2020.5.6,1025,591,43,3
2020.5.8,1030,638,45,4
2020.5.14,1032,759,45,0
2020.5.15,1035,802,45,0
2020.5.16,1037,807,45,2
2020.5.17,1037,816,45,0
2020.5.18,1037,816,45,0
2020.5.19,1043,819,46,6
2020.5.20,1044,826,47,1
2020.5.21,1045,862,47,1
2020.5.22,1046,883,47,1
2020.5.23,1048,903,47,2
2020.5.24,1048,914,48,0
2020.5.25,1051,917,48,3
2020.5.26,1051,919,48,0
2020.5.27,1051,929,48,0
2020.5.28,1068,938,48,17
2020.5.29,1071,946,48,3
2020.5.30,1076,950,48,5
2020.5.31,1077,960,48,1
2020.6.1,1084,964,48,7
2020.6.2,1086,965,48,2
2020.6.3,1087,965,49,1
2020.6.4,1087,968,49,0
2020.6.5,1087,969,49,0
2020.6.6,1087,977,49,0
2020.6.7,1087,982,49,0
2020.6.8,1087,982,49,0
2020.6.9,1087,982,49,0
2020.6.10,1087,983,49,0
2020.6.11,1087,989,49,0
2020.6.12,1093,995,49,6
2020.6.13,1094,995,49,1
2020.6.14,1096,998,49,2
2020.6.15,1110,999,49,14
2020.6.16,1125,1002,49,15
2020.6.17,1128,1004,50,3
2020.6.18,1132,1006,50,4
2020.6.19,1146,1014,50,14
2020.6.20,1156,1017,50,10
2020.6.21,1157,1020,50,1
2020.6.22,1159,1020,50,2
2020.6.23,1159,1023,50,0
2020.6.24,1159,1023,50,0
2020.6.25,1162,1023,50,3
2020.6.26,1164,1023,50,2
2020.6.27,1164,1023,50,0
2020.6.28,1169,1029,50,5
2020.6.29,1169,1029,50,0
2020.6.30,1172,1029,50,3
2020.7.1,1175,1038,50,3
2020.7.2,1178,1039,50,3
2020.7.3,1178,1039,50,0
2020.7.4,1181,1045,50,3
2020.7.5,1186,1046,50,5
2020.7.6,1188,1048,50,2
2020.7.7,1199,1049,50,11
2020.7.8,1205,1049,50,6
2020.7.9,1221,1050,50,16
2020.7.10,1240,1067,50,19
2020.7.11,1240,1067,50,0
2020.7.12,1263,1076,50,23
2020.7.13,1302,1082,50,39
2020.7.14,1306,1087,50,4
2020.7.15,1319,1091,50,13
2020.7.16,1327,1093,50,8
2020.7.17,1336,1095,50,9
2020.7.18,1348,1095,50,12
2020.7.19,1374,1097,50,26
2020.7.20,1374,1097,50,0
2020.7.21,1389,1103,50,15
2020.7.22,1394,1108,50,5
2020.7.23,1394,1108,50,0
2020.7.24,1406,1118,50,12
2020.7.25,1425,1124,50,19
2020.7.26,1443,1133,50,18
2020.7.27,1452,1142,50,9
2020.7.28,1455,1157,50,3
2020.7.29,1468,1168,50,13
2020.7.30,1488,1178,50,20
2020.7.31,1514,1187,50,26
2020.8.1,1535,1195,50,21
2020.8.2,1552,1217,51,17
2020.8.3,1561,1221,51,9
2020.8.4,1565,1225,51,4
2020.8.5,1601,1233,51,36
2020.8.6,1601,1233,51,0
2020.8.7,1642,1241,51,41
2020.8.8,1656,1251,51,14
2020.8.9,1678,1259,51,22
2020.8.10,1697,1263,51,19
2020.8.11,1717,1265,51,20
2020.8.12,1738,1272,52,21
2020.8.13,1780,1278,52,42
2020.8.14,1847,1302,53,67
2020.8.15,1903,1320,53,56
2020.8.16,2107,1358,54,204
2020.8.17,2107,1358,54,0
2020.8.18,2185,1362,56,78
2020.8.19,2314,1370,57,129
2020.8.20,2427,1395,60,113
2020.8.21,2543,1397,63,116
2020.8.22,2607,1420,64,64
2020.8.23,2738,1434,68,131
2020.8.24,2818,1443,71,80
2020.8.25,2893,1454,71,75
2020.8.26,3069,1456,71,176
2020.8.27,3206,1476,71,137
2020.8.28,3323,1504,73,117
2020.8.29,3461,1522,74,138
2020.8.30,3572,1536,76,111
2020.8.31,3685,1562,76,113
2020.9.1,3803,1573,77,118
2020.9.2,3963,1624,80,160
2020.9.3,4196,1628,81,233
2020.9.4,4394,1681,84,198
2020.9.5,4542,1699,87,148
2020.9.6,4776,1701,93,234
2020.9.7,5041,1752,93,265
2020.9.8,5124,1788,94,83
2020.9.9,5417,1862,96,293
2020.9.10,5417,1862,96,0
2020.9.11,5882,1862,99,465
2020.9.12,6259,1956,103,377
2020.9.13,6635,1991,107,376
2020.9.14,6635,1991,107,0
2020.9.15,7382,2175,117,747
2020.9.16,7623,2262,123,241
2020.9.17,8100,2309,129,477
2020.9.18,8570,2342,133,470
2020.9.19,9110,2366,138,540
2020.9.20,9736,2386,155,626
2020.9.21,10732,2386,159,996
2020.9.22,11260,2386,164,528
2020.9.23,12479,2386,174,1219
2020.9.24,13305,5032,180,826
2020.9.25,13305,5032,180,0
2020.9.26,14392,5032,191,1087
2020.9.27,15178,5032,207,786
2020.9.28,16114,5032,214,936
2020.9.29,17405,5032,246,1291
2020.9.30,17405,5032,246,0
2020.10.1,18413,5032,265,1008
2020.10.2,19721,5032,271,1308
2020.10.3,19721,5032,271,0
2020.10.4,22230,5032,321,2509
2020.10.5,22230,5032,321,0
2020.10.6,22230,5032,321,0
2020.10.7,24542,5032,364,2312
2020.10.8,24542,5032,364,0
2020.10.9,26899,5032,409,2357
2020.10.10,26899,5032,409,0
2020.10.11,31259,5032,456,4360
2020.10.12,32556,5032,478,1297
2020.10.13,32556,5032,478,0
2020.10.14,34790,5032,512,2234
2020.10.15,34790,5032,512,0
2020.10.16,34790,5032,512,0
2020.10.17,34790,5032,512,0
2020.10.18,40542,5032,626,5752
2020.10.19,40542,5032,626,0
2020.10.20,42727,5032,687,2185
2020.10.21,44450,5032,711,1723
2020.10.22,45892,5032,740,1442
2020.10.23,47214,5032,784,1322
2020.10.24,48799,5032,819,1585
2020.10.25,48799,5032,819,0
2020.10.26,52399,5032,983,3600
2020.10.27,52399,5032,983,0
2020.10.28,52399,5032,983,0
2020.10.29,54278,5032,1153,1879
2020.10.30,58029,5032,1253,3751
2020.10.31,59813,5032,1317,1784
2020.11.1,61115,5032,1348,1302
2020.11.2,61906,5032,1381,791
2020.11.3,61906,5032,1381,0
2020.11.4,64363,5032,1512,2457
2020.11.5,66334,36727,1577,1971
2020.11.6,66334,36727,1577,0
2020.11.7,67918,46192,1753,1584
2020.11.8,69543,47416,1794,1625
2020.11.9,71119,48103,1873,1576
2020.11.10,71569,48103,1920,450
