date,累计确诊,治愈,死亡,新增确诊
2020.4.8,912,8,15,32
2020.4.9,955,8,16,43
2020.4.10,999,54,22,44
2020.4.11,1026,54,23,27
2020.4.12,1053,97,23,27
2020.4.13,1070,101,24,8
2020.4.14,1091,101,29,21
2020.4.15,1128,178,30,37
2020.4.16,1149,210,32,21
2020.4.17,1239,228,33,90
2020.4.18,1298,242,33,59
2020.4.19,1326,242,36,28
2020.4.20,1348,298,37,22
2020.4.21,1370,357,38,20
2020.4.22,1398,399,38,28
2020.4.23,1410,430,40,12
2020.4.24,1426,460,41,16
2020.4.25,1438,467,41,12
2020.4.26,1449,474,41,11
2020.4.28,1344,536,44,11
2020.4.29,1385,589,45,10
2020.5.1,1406,632,46,7
2020.5.2,1410,635,46,4
2020.5.3,1419,638,46,9
2020.5.4,1423,678,46,4
2020.5.5,1428,718,48,5
2020.5.6,1433,739,49,5
2020.5.7,1436,765,49,3
2020.5.8,1444,828,49,8
2020.5.9,1479,828,50,35
2020.5.10,1485,833,50,35
2020.5.11,1491,850,50,6
2020.5.12,1505,908,54,14
2020.5.13,1511,934,54,6
2020.5.14,1523,965,54,12
2020.5.15,1534,988,55,11
2020.5.16,1541,997,56,7
2020.5.17,1547,997,59,6
2020.5.18,1547,997,59,0
2020.5.19,1562,1025,60,15
2020.5.20,1577,1049,60,15
2020.5.21,1593,1049,61,16
2020.5.22,1604,1111,61,11
2020.5.23,1616,1135,63,12
2020.5.24,1623,1138,63,7
2020.5.25,1635,1138,63,12
2020.5.26,1639,1165,65,4
2020.5.27,1647,1184,66,8
2020.5.28,1656,1193,68,9
2020.5.29,1662,1216,68,6
2020.5.30,1670,1229,70,8
2020.5.31,1675,1236,70,5
2020.6.1,1678,1236,70,3
2020.6.2,1682,1249,71,4
2020.6.3,1684,1260,71,2
2020.6.4,1687,1273,71,3
2020.6.5,1694,1302,71,7
2020.6.6,1705,1321,71,11
2020.6.7,1714,1328,71,9
2020.6.8,1720,1331,71,6
2020.6.9,1727,1338,72,7
2020.6.10,1733,1369,74,6
2020.6.11,1752,1372,74,19
2020.6.12,1756,1400,74,4
2020.6.13,1763,1416,75,7
2020.6.14,1768,1427,75,5
2020.6.15,1773,1429,76,5
2020.6.16,1776,1441,76,3
2020.6.17,1778,1447,76,2
2020.6.18,1784,1449,76,6
2020.6.19,1792,1462,76,8
2020.6.20,1795,1470,76,3
2020.6.21,1798,1475,76,3
2020.6.22,1801,1475,76,3
2020.6.23,1803,1483,77,2
2020.6.24,1804,1484,78,1
2020.6.25,1806,1494,78,2
2020.6.26,1808,1501,78,2
