date,累计确诊,治愈,死亡,新增确诊
2020.4.8,12,1,1,4
2020.4.10,21,1,1,9
2020.4.11,21,1,1,9
2020.4.12,25,2,1,4
2020.4.13,60,2,2,35
2020.4.15,80,2,5,20
2020.4.18,135,2,7,19
2020.4.19,164,3,7,29
2020.4.20,237,4,8,73
2020.4.21,286,4,8,49
2020.4.23,328,8,16,42
2020.4.24,390,8,18,62
2020.4.26,436,10,23,46
2020.4.28,528,19,28,48
2020.4.30,601,31,28,19
2020.5.2,671,34,31,70
2020.5.3,722,44,32,51
2020.5.4,756,61,35,34
2020.5.5,835,75,38,79
2020.5.6,873,87,39,38
2020.5.7,928,106,44,55
2020.5.9,997,110,48,69
2020.5.11,1089,121,52,35
2020.5.12,1170,126,52,81
2020.5.13,1219,130,52,49
2020.5.14,1284,135,53,65
2020.5.16,1357,148,55,73
2020.5.17,1421,152,56,64
2020.5.18,1421,152,56,0
2020.5.19,1455,163,57,34
2020.5.20,1502,178,59,47
2020.5.21,1573,188,61,71
2020.5.22,1594,204,61,21
2020.5.23,1594,204,61,0
2020.5.24,1594,204,61,0
2020.5.25,1594,204,61,0
2020.5.26,1711,253,67,117
2020.5.27,1711,253,67,0
2020.5.28,1731,265,67,20
2020.5.29,1828,310,72,97
2020.5.30,1828,310,72,0
2020.5.31,1976,348,78,148
2020.6.1,2023,361,79,47
2020.6.2,2089,361,79,66
2020.6.3,2146,406,79,57
2020.6.4,2204,418,79,58
2020.6.5,2204,418,79,0
2020.6.6,2289,431,82,85
2020.6.7,2289,431,82,0
2020.6.8,2368,470,84,79
2020.6.9,2416,489,85,48
2020.6.10,2452,506,85,36
2020.6.11,2513,532,85,61
2020.6.12,2513,532,85,0
2020.6.13,2579,559,87,66
2020.6.14,2618,577,88,39
2020.6.15,2618,577,88,0
2020.6.16,2642,622,88,24
2020.6.17,2658,649,88,16
2020.6.18,2719,724,88,61
2020.6.19,2719,724,88,0
2020.6.20,2719,724,88,0
2020.6.21,2755,751,88,36
2020.6.22,2779,782,90,24
2020.6.23,2812,818,90,33
2020.6.24,2835,829,90,23
2020.6.25,2878,868,90,43
2020.6.26,2878,868,90,0
2020.6.27,2878,868,90,0
2020.6.28,2878,868,90,0
2020.6.29,2894,887,90,16
2020.6.30,2904,910,90,10
2020.7.1,2924,910,90,20
2020.7.2,2924,932,90,0
2020.7.3,2944,951,90,20
2020.7.4,2944,951,90,0
2020.7.5,2961,973,92,17
2020.7.6,2997,1014,92,36
2020.7.7,3006,1051,92,9
2020.7.8,3015,1096,92,9
2020.7.9,3028,1147,92,13
2020.7.10,3038,1209,92,10
2020.7.11,3038,1209,92,0
2020.7.12,3051,1264,92,13
2020.7.13,3059,1264,93,8
2020.7.14,3072,1343,93,13
2020.7.15,3076,1380,93,4
2020.7.16,3083,1425,93,7
2020.7.17,3106,1444,93,23
2020.7.18,3106,1444,93,0
2020.7.19,3111,1452,93,5
2020.7.20,3119,1457,93,8
2020.7.21,3130,1462,93,11
2020.7.22,3135,1464,93,5
2020.7.23,3161,1495,93,26
2020.7.24,3171,1499,93,10
2020.7.25,3171,1499,93,0
2020.7.26,3178,1521,93,7
2020.7.27,3178,1521,93,0
2020.7.28,3196,1543,93,18
2020.7.29,3212,1562,93,16
2020.7.30,3212,1562,93,0
2020.7.31,3212,1562,93,0
2020.8.1,3212,1562,93,0
2020.8.2,3212,1562,93,0
2020.8.3,3220,1598,93,8
2020.8.4,3220,1598,93,0
2020.8.5,3220,1598,93,0
2020.8.6,3227,1728,93,7
2020.8.7,3227,1728,93,0
2020.8.8,3227,1728,93,0
2020.8.9,3227,1728,93,0
2020.8.10,3227,1728,93,0
2020.8.11,3227,1728,93,0
2020.8.12,3227,1728,93,0
2020.8.13,3227,1728,93,0
2020.8.14,3227,1728,93,0
2020.8.15,3250,2268,93,23
2020.8.16,3256,2374,93,6
2020.8.17,3257,2374,93,1
2020.8.18,3257,2374,93,0
2020.8.19,3265,2396,93,8
2020.8.20,3265,2396,93,0
2020.8.21,3265,2396,93,0
2020.8.22,3265,2396,93,0
2020.8.23,3269,2396,93,4
2020.8.24,3269,2396,93,0
2020.8.25,3269,2443,93,0
2020.8.26,3275,2443,95,6
2020.8.27,3275,2443,95,0
2020.8.28,3275,2443,95,0
2020.8.29,3275,2481,95,0
2020.8.30,3310,2481,97,35
2020.8.31,3310,2481,98,0
2020.9.1,3310,2481,98,0
2020.9.2,3310,2481,98,0
2020.9.3,3310,2481,98,0
2020.9.4,3332,2696,97,22
2020.9.5,3332,2696,97,0
2020.9.6,3362,2696,97,30
2020.9.7,3362,2696,97,0
2020.9.8,3362,2696,97,0
2020.9.9,3371,2738,97,9
2020.9.10,3371,2738,97,0
2020.9.11,3376,2791,98,5
2020.9.12,3376,2791,98,0
2020.9.13,3389,2803,98,13
