date,累计确诊,治愈,死亡,新增确诊
2020.4.8,358,150,6,5
2020.4.9,372,161,7,14
2020.4.10,372,170,7,0
2020.4.11,381,177,7,9
2020.4.12,389,201,7,8
2020.4.13,391,215,7,2
2020.4.14,397,235,7,6
2020.4.15,401,250,7,4
2020.4.16,402,259,7,1
2020.4.17,407,265,7,5
2020.4.18,413,269,7,6
2020.4.19,417,276,7,4
2020.4.20,425,282,7,8
2020.4.21,428,297,7,3
2020.4.22,435,297,7,7
2020.4.23,437,318,7,2
2020.4.24,441,326,7,4
2020.4.26,447,337,7,3
2020.4.27,449,342,7,2
2020.4.29,451,356,8,2
2020.4.30,453,362,8,2
2020.5.1,459,364,9,2
2020.5.2,460,367,9,1
2020.5.5,471,375,9,6
2020.5.6,473,377,9,2
2020.5.7,494,381,9,21
2020.5.9,522,387,9,14
2020.5.12,576,390,9,14
2020.5.13,582,392,9,6
2020.5.15,596,401,9,10
2020.5.16,607,401,9,11
2020.5.17,613,408,9,6
2020.5.18,613,408,9,0
2020.5.19,629,413,9,16
2020.5.20,649,417,9,20
2020.5.21,672,446,9,23
2020.5.22,700,461,9,28
2020.5.23,700,461,9,0
2020.5.24,708,471,9,8
2020.5.25,708,471,9,0
2020.5.26,718,479,9,10
2020.5.27,718,586,9,0
2020.5.28,720,486,9,2
2020.5.29,730,507,9,10
2020.5.30,734,507,9,4
2020.5.31,739,522,9,5
2020.6.1,746,535,9,7
2020.6.2,755,549,9,9
2020.6.3,757,549,9,2
2020.6.4,757,561,9,0
2020.6.5,765,566,9,8
2020.6.6,795,586,9,30
2020.6.7,808,607,9,13
2020.6.8,831,627,9,23
2020.6.9,845,657,9,14
2020.6.10,863,663,9,18
2020.6.11,890,670,9,27
2020.6.12,890,670,9,0
2020.6.13,953,678,9,63
2020.6.14,961,682,9,8
2020.6.15,979,692,9,18
2020.6.16,981,693,9,2
2020.6.17,987,693,9,6
2020.6.18,1001,697,9,14
2020.6.19,1001,697,9,0
2020.6.20,1015,722,9,14
2020.6.21,1033,739,9,18
2020.6.22,1033,739,9,0
2020.6.23,1047,772,9,14
2020.6.24,1047,772,9,0
2020.6.25,1086,797,9,39
2020.6.26,1086,797,9,0
2020.6.27,1104,830,9,18
2020.6.28,1121,860,9,17
2020.6.29,1128,867,9,7
2020.6.30,1128,867,9,0
2020.7.1,1133,886,9,5
2020.7.2,1136,889,9,3
2020.7.3,1147,892,9,11
2020.7.4,1150,903,10,3
2020.7.5,1164,902,10,14
2020.7.6,1164,942,10,0
2020.7.7,1167,957,10,3
