date,累计确诊,治愈,死亡,新增确诊
2020.4.26,16,8,0,0
2020.5.6,16,9,0,0
2020.5.14,16,12,0,0
2020.5.15,16,13,0,0
2020.5.16,16,13,0,0
2020.5.18,16,13,0,0
2020.5.19,16,13,0,0
2020.5.20,16,14,0,0
2020.5.21,18,14,0,2
2020.5.22,19,14,0,1
2020.5.23,20,14,0,1
2020.5.24,21,14,0,1
2020.5.25,21,14,0,0
2020.5.26,21,14,0,0
2020.5.27,22,14,0,1
2020.5.28,22,14,0,0
2020.5.29,23,14,0,1
2020.5.30,23,14,0,0
2020.5.31,24,14,0,1
2020.6.1,25,16,0,1
2020.6.2,25,16,0,0
2020.6.3,25,16,0,0
2020.6.4,25,16,0,0
2020.6.5,25,16,0,0
2020.6.6,29,16,0,4
2020.6.7,29,16,0,0
2020.6.8,31,16,0,2
2020.6.9,31,16,0,0
2020.6.10,31,17,0,0
2020.6.11,31,17,0,0
2020.6.12,31,17,0,0
2020.6.13,32,17,0,1
2020.6.14,32,17,0,0
2020.6.15,32,17,0,0
2020.6.16,34,18,0,2
2020.6.17,34,18,0,0
2020.6.18,39,19,0,5
2020.6.19,40,19,0,1
2020.6.20,46,19,0,6
2020.6.21,55,19,0,9
2020.6.22,63,21,0,8
2020.6.23,67,21,0,4
2020.6.24,76,21,0,9
2020.6.25,90,21,0,14
2020.6.26,105,21,0,15
2020.6.27,121,22,0,16
2020.6.28,150,22,0,29
2020.6.29,183,24,0,33
2020.6.30,203,24,0,20
2020.7.1,257,24,0,54
2020.7.2,293,24,0,36
2020.7.3,335,25,0,42
2020.7.4,375,25,0,40
2020.7.5,412,25,0,37
2020.7.6,485,25,0,73
2020.7.7,539,25,0,54
2020.7.8,593,25,0,54
2020.7.9,615,25,0,22
2020.7.10,667,25,1,52
2020.7.11,668,25,1,1
2020.7.12,785,26,1,117
2020.7.13,861,28,1,76
2020.7.14,864,29,2,3
2020.7.15,960,31,2,96
2020.7.16,1032,31,2,72
2020.7.17,1032,31,2,0
2020.7.18,1203,32,2,171
2020.7.19,1203,32,2,0
2020.7.20,1344,42,4,141
2020.7.21,1366,57,7,22
2020.7.22,1402,64,7,36
2020.7.23,1522,69,7,120
2020.7.24,1618,72,7,96
2020.7.25,1687,72,7,69
2020.7.26,1775,75,8,88
2020.7.27,1843,101,8,68
2020.7.28,1917,104,8,74
2020.7.29,1986,104,9,69
2020.7.30,1986,104,9,0
2020.7.31,2052,164,10,66
2020.8.1,2129,166,10,77
2020.8.2,2224,171,11,95
2020.8.3,2294,187,11,70
2020.8.4,2470,211,12,176
2020.8.5,2540,556,12,70
2020.8.6,2540,556,12,0
2020.8.7,2802,575,16,262
2020.8.8,2802,575,16,0
2020.8.9,2802,575,16,0
2020.8.10,3101,715,19,299
2020.8.11,3229,715,19,128
2020.8.12,3229,715,19,0
2020.8.13,3406,835,22,177
2020.8.14,3544,848,27,138
2020.8.15,3726,848,31,182
2020.8.16,3907,2352,35,181
2020.8.17,4344,2379,36,437
2020.8.18,4464,2407,37,120
2020.8.19,4464,2407,37,0
2020.8.20,4665,2426,39,201
2020.8.21,4912,2442,41,247
2020.8.22,5227,2457,42,315
2020.8.23,5538,2460,46,311
2020.8.24,5854,2509,52,316
2020.8.25,6160,2732,57,306
2020.8.26,6431,2734,59,271
2020.8.27,6712,2776,60,281
2020.8.28,6712,2776,60,0
2020.8.29,6906,2789,65,194
2020.8.30,7116,2817,69,210
2020.8.31,7365,2929,72,249
2020.9.1,7550,3327,75,185
2020.9.2,7692,3379,81,142
2020.9.3,8082,3483,86,390
2020.9.4,8323,3611,87,241
2020.9.5,8323,3611,87,0
2020.9.6,8514,3643,87,191
2020.9.7,8810,3806,91,296
2020.9.8,8810,3806,91,0
2020.9.9,8928,3981,91,118
2020.9.10,9256,4767,96,328
2020.9.11,9256,4767,96,0
2020.9.12,9604,5811,98,348
2020.9.13,9719,6543,101,115
2020.9.14,9818,6693,103,99
2020.9.15,9818,6693,103,0
2020.9.16,9964,7502,108,146
2020.9.17,9964,7502,108,0
2020.9.18,10078,7685,108,114
2020.9.19,10292,7969,111,214
2020.9.20,10377,8033,112,85
2020.9.21,10526,8112,113,149
2020.9.22,10607,8359,116,81
2020.9.23,10607,8359,116,0
2020.9.24,10663,8431,117,56
2020.9.25,10740,8482,119,77
2020.9.26,10918,8749,120,178
2020.9.27,11033,8776,120,115
2020.9.28,11033,8776,120,0
2020.9.29,11140,8937,121,107
2020.9.30,11265,9014,121,125
2020.10.1,11265,9014,121,0
2020.10.2,11373,9083,123,108
2020.10.3,11480,9351,123,107
2020.10.4,11572,9419,123,92
2020.10.5,11626,9429,123,54
2020.10.6,11654,9451,125,28
2020.10.7,11673,9611,125,19
2020.10.8,11714,9673,126,41
2020.10.9,11829,9778,127,115
2020.10.10,11829,9778,127,0
2020.10.11,11936,9817,128,107
2020.10.12,11936,9817,128,0
2020.10.13,11989,9913,129,53
2020.10.14,12000,10120,129,11
2020.10.15,12069,10145,130,69
2020.10.16,12103,10329,130,34
2020.10.17,12215,10360,131,112
2020.10.18,12263,10419,131,48
2020.10.19,12293,10422,131,30
2020.10.20,12326,10426,131,33
2020.10.21,12367,10528,132,41
2020.10.22,12406,10587,133,39
2020.10.23,12460,10609,133,54
2020.10.24,12501,10748,133,41
2020.10.25,12660,10779,133,159
2020.10.26,12660,10779,133,0
2020.10.27,12675,10813,133,15
2020.10.28,12729,10878,133,54
2020.10.29,12806,10929,133,77
2020.10.30,12858,10972,133,52
2020.10.31,12935,11036,133,77
2020.11.1,12988,11038,133,53
2020.11.2,12988,11038,133,0
2020.11.3,13012,11201,133,24
2020.11.4,13030,11304,133,18
2020.11.5,13046,11344,133,16
2020.11.6,13143,11578,133,97
2020.11.7,13170,11602,134,27
2020.11.8,13170,11602,134,0
2020.11.9,13211,11605,134,41
2020.11.10,13240,11620,134,29
2020.11.11,13253,11701,134,13
2020.11.12,13292,11739,134,39
2020.11.13,13345,12188,135,53
2020.11.14,13372,12243,138,27
2020.11.15,13449,12467,138,77
2020.11.16,13508,12680,138,59
2020.11.17,13555,12843,138,47
2020.11.18,13566,13140,140,11
2020.11.19,13610,13152,140,44
2020.11.20,13662,13182,141,52
2020.11.21,13712,13191,143,50
2020.11.22,13811,13209,145,99
