date,累计确诊,治愈,死亡,新增确诊
2020.4.9,27,2,3,4
2020.4.10,28,2,3,1
2020.4.11,38,2,3,11
2020.4.12,41,2,4,2
2020.4.13,62,2,4,21
2020.4.14,74,2,4,11
2020.4.15,85,2,4,11
2020.4.16,88,2,4,3
2020.4.17,94,5,5,6
2020.4.18,107,5,5,9
2020.4.19,111,7,5,13
2020.4.20,119,9,5,8
2020.4.21,121,9,5,2
2020.4.22,123,9,5,2
2020.4.23,139,9,5,7
2020.4.24,144,9,5,12
2020.4.25,146,10,5,2
2020.4.27,149,16,5,3
2020.4.28,150,16,5,1
2020.4.30,151,27,6,1
2020.5.2,155,43,6,4
2020.5.3,161,49,6,6
2020.5.6,162,50,6,1
2020.5.8,178,68,6,1
2020.5.9,180,72,6,2
2020.5.12,180,76,6,2
2020.5.13,181,79,6,1
2020.5.15,182,89,6,1
2020.5.16,182,96,6,1
2020.5.17,184,97,6,2
2020.5.18,187,97,6,3
2020.5.19,191,101,6,4
2020.5.20,193,104,6,2
2020.5.21,199,108,6,6
2020.5.22,199,108,6,0
2020.5.23,201,116,6,2
2020.5.24,201,122,6,0
2020.5.25,201,122,6,0
2020.5.26,206,124,6,5
2020.5.27,206,126,6,0
2020.5.28,206,126,6,0
2020.5.29,207,130,6,1
2020.5.30,224,130,6,17
2020.5.31,224,130,6,0
2020.6.1,228,138,6,4
2020.6.2,228,138,6,0
2020.6.3,233,145,6,5
2020.6.4,236,148,6,3
2020.6.5,236,151,6,0
2020.6.6,240,156,6,4
2020.6.7,242,156,6,2
2020.6.8,243,156,6,1
2020.6.9,246,159,6,3
2020.6.10,248,165,6,2
2020.6.11,260,165,6,12
2020.6.12,261,165,6,1
2020.6.13,261,167,6,0
2020.6.14,261,167,6,0
2020.6.15,262,175,6,1
2020.6.16,262,175,6,0
2020.6.17,262,185,6,0
2020.6.18,263,185,6,1
2020.6.19,286,187,6,23
2020.6.20,287,196,6,1
2020.6.21,290,200,6,3
2020.6.22,290,200,6,0
2020.6.23,292,204,6,2
2020.6.24,293,208,6,1
2020.6.25,293,208,6,0
2020.6.26,293,211,6,0
2020.6.27,293,216,6,0
2020.6.28,296,216,6,3
2020.6.29,299,221,6,3
2020.6.30,299,222,6,0
2020.7.1,303,222,6,4
2020.7.2,304,222,6,1
2020.7.3,306,237,6,2
2020.7.4,313,240,6,7
2020.7.5,313,240,6,0
2020.7.6,316,245,6,3
2020.7.7,316,245,6,0
2020.7.8,316,245,6,0
2020.7.9,317,250,6,1
2020.7.10,326,256,6,9
2020.7.11,330,260,6,4
2020.7.12,331,261,6,1
2020.7.13,331,261,6,0
2020.7.14,337,261,6,6
2020.7.15,337,266,6,0
2020.7.16,337,266,6,0
2020.7.17,339,270,6,2
2020.7.18,339,271,6,0
2020.7.19,341,273,6,2
2020.7.20,341,276,6,0
2020.7.21,341,278,6,0
2020.7.22,343,280,6,2
2020.7.23,343,280,6,0
2020.7.24,343,282,6,0
2020.7.25,348,288,6,5
2020.7.26,349,288,6,1
2020.7.27,350,290,6,1
2020.7.28,350,293,6,0
2020.7.29,351,294,6,1
2020.7.30,353,294,6,2
2020.7.31,353,296,6,0
2020.8.1,353,297,6,0
2020.8.2,353,298,6,0
2020.8.3,353,298,6,0
2020.8.4,355,302,6,2
2020.8.5,357,305,6,2
2020.8.6,357,308,6,0
2020.8.7,359,309,6,2
2020.8.8,359,311,6,0
2020.8.9,360,312,6,1
2020.8.10,360,312,6,0
2020.8.11,360,313,6,0
2020.8.12,361,318,6,1
2020.8.13,369,321,6,8
2020.8.14,369,321,6,0
2020.8.15,374,322,6,5
2020.8.16,375,329,6,1
2020.8.17,375,329,6,0
2020.8.18,376,331,6,1
2020.8.19,394,333,6,18
2020.8.20,399,333,6,5
2020.8.21,419,337,6,20
2020.8.22,441,338,6,22
2020.8.23,450,341,6,9
2020.8.24,474,341,6,24
2020.8.25,504,341,6,30
2020.8.26,580,345,6,76
2020.8.27,602,345,6,22
2020.8.28,628,349,6,26
2020.8.29,733,351,6,105
2020.8.30,749,351,6,16
2020.8.31,775,352,6,26
2020.9.1,919,357,6,144
2020.9.2,938,357,6,19
2020.9.3,1111,359,6,173
2020.9.4,1111,359,6,0
2020.9.5,1253,371,7,142
2020.9.6,1419,385,8,166
2020.9.7,1419,385,8,0
2020.9.8,1610,388,8,191
2020.9.9,1889,553,12,279
2020.9.10,2150,625,14,261
2020.9.11,2422,625,14,272
2020.9.12,2595,676,16,173
2020.9.13,2796,676,16,201
2020.9.14,3015,699,24,219
2020.9.15,3502,832,35,487
2020.9.16,3636,832,39,134
2020.9.17,4043,944,46,407
2020.9.18,4467,1130,70,424
2020.9.19,4870,1188,81,403
2020.9.20,5541,1260,92,671
2020.9.21,5805,1260,94,264
2020.9.22,6743,1951,115,938
2020.9.23,7177,1951,129,434
2020.9.24,8344,2381,150,1167
2020.9.25,9112,2381,174,768
2020.9.26,9991,2681,198,879
2020.9.27,10734,2862,226,743
2020.9.28,11631,3073,256,897
2020.9.29,12425,3391,284,794
2020.9.30,13373,3755,310,948
2020.10.1,14383,4156,321,1010
2020.10.2,15525,4378,353,1142
2020.10.3,16503,4795,371,978
2020.10.4,17794,5195,412,1291
2020.10.5,18781,5548,444,987
2020.10.6,20033,5782,471,1252
2020.10.7,21433,6084,510,1400
2020.10.8,22445,6366,535,1012
2020.10.9,23906,6738,566,1461
2020.10.10,26064,7050,598,2158
2020.10.11,27974,9742,646,1910
2020.10.12,29314,10260,664,1340
2020.10.13,30437,11769,693,1123
2020.10.14,31325,13866,732,888
2020.10.15,32351,14706,765,1026
2020.10.16,33488,15477,799,1137
2020.10.17,34875,16370,838,1387
2020.10.18,36025,17076,880,1150
2020.10.19,37205,17568,914,1180
2020.10.20,38502,18874,945,1297
2020.10.21,39696,18865,972,1194
2020.10.22,41008,21144,1005,1312
2020.10.23,42365,22445,1038,1357
2020.10.24,43788,23708,1066,1423
2020.10.25,44774,24920,1095,986
2020.10.26,46200,26007,1122,1426
2020.10.27,47666,27373,1147,1466
2020.10.28,49072,28636,1172,1406
2020.10.29,50403,30007,1199,1331
2020.10.30,51496,31330,1219,1093
2020.10.31,52706,32774,1237,1210
2020.11.1,53405,34189,1258,699
2020.11.2,54607,37954,1282,1202
2020.11.3,55804,39063,1307,1197
2020.11.4,56940,40778,1330,1136
2020.11.5,57935,42178,1352,995
2020.11.6,59277,43277,1376,1342
