date,累计确诊,治愈,死亡,新增确诊
2020.4.7,4761,528,210,344
2020.4.8,4761,528,220,344
2020.4.9,5202,647,229,441
2020.4.10,5467,729,270,265
2020.4.11,5990,758,282,265
2020.4.12,6300,852,306,310
2020.4.13,6633,914,331,333
2020.4.14,7216,1217,362,337
2020.4.15,7707,1357,387,491
2020.4.16,8067,1508,400,360
2020.4.17,8418,1730,417,351
2020.4.18,8746,1892,434,328
2020.4.19,8936,2017,451,190
2020.4.20,9242,2153,482,306
2020.4.21,9710,2406,508,468
2020.4.22,10096,2478,527,386
2020.4.23,10417,2478,552,321
2020.4.24,10635,2890,575,218
2020.4.25,11036,3054,608,401
2020.4.26,11339,3141,631,303
2020.4.27,11616,3404,650,277
2020.4.28,11978,3569,675,362
2020.4.29,12240,4017,695,262
2020.4.30,12567,4328,726,327
2020.5.1,12732,4547,755,165
2020.5.2,13163,4869,780,431
2020.5.3,13512,5269,803,349
2020.5.4,13837,5454,841,325
2020.5.5,14107,5788,858,270
2020.5.6,14499,6144,876,392
2020.5.7,14811,6423,898,312
2020.5.8,15131,6912,926,320
2020.5.9,15362,7051,952,231
2020.5.10,15588,7245,972,226
2020.5.11,15778,7685,991,190
2020.5.12,16002,7961,1016,22
2020.5.13,16247,9053,1046,245
2020.5.14,16437,9370,1056,190
2020.5.15,16704,9574,1081,267
2020.5.16,16871,9890,1097,167
2020.5.17,17036,9930,1107,165
2020.5.18,17036,9930,1107,0
2020.5.19,17191,10166,1126,155
2020.5.20,17387,10356,1144,196
2020.5.21,17585,10581,1151,198
2020.5.22,17712,10777,1166,127
2020.5.23,17857,11187,1170,145
2020.5.24,18070,11399,1185,213
2020.5.25,18283,11630,1202,213
2020.5.26,18429,11874,1210,146
2020.5.27,18594,12162,1223,165
2020.5.28,18791,12629,1231,197
2020.5.29,18982,12829,1240,191
2020.5.30,19133,13046,1259,151
2020.5.31,19257,13256,1266,124
2020.6.1,19398,13426,1276,141
2020.6.2,19517,13526,1279,119
2020.6.3,19669,13800,1296,152
2020.6.4,19907,13919,1299,238
2020.6.5,20103,14145,1315,196
2020.6.6,20290,14419,1318,187
2020.6.7,20479,14638,1326,189
2020.6.8,20604,14826,1339,125
2020.6.9,20749,14910,1354,145
2020.6.10,20945,15103,1360,196
2020.6.11,21182,15283,1369,237
2020.6.12,21404,15445,1380,222
2020.6.13,21679,15635,1394,275
2020.6.14,21999,15719,1410,320
2020.6.15,22165,15817,1427,166
2020.6.16,22415,16071,1437,250
2020.6.17,22760,16117,1451,345
2020.6.18,23080,16308,1473,320
2020.6.19,23400,16555,1484,320
2020.6.20,23730,16735,1500,330
2020.6.21,24045,16911,1512,315
2020.6.22,24291,17031,1523,246
2020.6.23,24505,17187,1539,214
2020.6.24,24826,17391,1555,321
2020.6.25,25286,17906,1565,460
2020.6.26,25697,18181,1579,411
2020.6.27,26022,18530,1589,325
2020.6.28,26313,18814,1612,291
2020.6.29,26582,18912,1634,269
2020.6.30,26970,19050,1651,388
2020.7.1,27296,19314,1667,326
2020.7.2,27746,19363,1687,450
2020.7.3,28166,19545,1708,420
2020.7.4,28582,19854,1731,416
2020.7.5,28973,20026,1750,391
2020.7.6,29223,20213,1768,250
2020.7.7,29620,20534,1799,397
2020.7.8,30175,20799,1817,555
2020.7.9,30789,20969,1834,614
2020.7.10,31381,21129,1847,592
2020.7.11,32079,21414,1871,698
2020.7.12,32535,21545,1884,456
2020.7.13,32948,21692,1901,413
2020.7.14,33585,21803,1931,637
2020.7.15,34226,22049,1952,641
2020.7.16,35003,22189,1971,777
2020.7.17,35802,22312,1988,799
2020.7.18,36691,22488,2009,889
2020.7.19,37458,22617,2026,767
2020.7.20,38139,22747,2038,681
2020.7.21,39133,24454,2074,994
2020.7.22,40163,24663,2101,1030
2020.7.23,41275,24862,2126,1112
2020.7.24,42394,25349,2150,1119
2020.7.25,43678,25373,2165,1284
2020.7.26,44798,25643,2187,1120
2020.7.27,45902,25794,2206,1104
2020.7.28,47053,26128,2239,1151
2020.7.29,48235,26446,2269,1182
2020.7.30,49591,26609,2304,1356
2020.7.31,50886,27007,2343,1295
2020.8.1,52111,27346,2379,1225
2020.8.2,53186,27592,2413,1075
2020.8.3,54009,27750,2432,823
2020.8.4,55241,28006,2480,1232
2020.8.5,56550,28584,2521,1309
2020.8.6,57895,28992,2566,1345
2020.8.7,59273,29289,2616,1378
2020.8.8,60623,29872,2659,1350
2020.8.9,61768,30119,2700,1145
2020.8.10,62547,30311,2729,779
2020.8.11,63762,30585,2764,1215
2020.8.12,65177,31048,2807,1415
2020.8.13,66631,31547,2860,1454
2020.8.14,68046,31920,2904,1415
2020.8.15,69374,32334,2954,1328
2020.8.16,70461,32587,2991,1087
2020.8.17,71194,32759,3029,733
2020.8.18,72208,33135,3074,1014
2020.8.19,73617,33566,3106,1409
2020.8.20,74963,34196,3154,1346
2020.8.21,76355,34523,3196,1392
2020.8.22,77544,35079,3233,1189
2020.8.23,78505,35287,3272,961
2020.8.24,79330,35517,3309,825
2020.8.25,80390,35816,3367,1060
2020.8.26,81646,36286,3421,1256
2020.8.27,83150,36677,3459,1504
2020.8.28,84468,37056,3507,1318
2020.8.29,85833,37388,3539,1365
2020.8.30,86785,37665,3578,952
2020.8.31,87540,37869,3621,755
2020.9.1,88593,38454,3681,1053
2020.9.2,89891,38701,3721,1298
2020.9.3,91256,39275,3765,1365
2020.9.4,92595,39626,3812,1339
2020.9.5,93864,40028,3850,1269
2020.9.6,95014,40307,3893,1150
2020.9.7,95897,40454,3926,883
2020.9.8,97033,40838,3967,1136
2020.9.9,98304,41002,4018,1271
2020.9.10,99684,41010,4065,1380
2020.9.11,101075,41010,4100,1391
2020.9.12,102386,42811,4127,1311
2020.9.13,103495,43025,4163,1109
2020.9.14,104187,43244,4185,692
2020.9.15,105298,43244,4236,1111
2020.9.16,107011,43244,4285,1713
2020.9.17,108690,43244,4312,1679
2020.9.18,110217,43244,4360,1527
2020.9.19,111550,89119,4402,1333
2020.9.20,112781,89771,4435,1231
2020.9.21,113589,90649,4458,808
2020.9.22,114648,92169,4503,1059
2020.9.23,116415,93558,4550,1767
2020.9.24,118054,94877,4591,1639
2020.9.25,119683,96158,4633,1629
2020.9.26,121235,97554,4687,1552
2020.9.27,122673,98607,4718,1438
2020.9.28,123944,99344,4748,1271
2020.9.29,125414,100636,4792,1470
2020.9.30,127572,102476,4825,2158
2020.10.1,129658,103994,4862,2086
2020.10.2,132001,105582,4915,2343
2020.10.3,134065,107058,4947,2064
2020.10.4,135900,108135,5003,1835
2020.10.5,137491,108526,5048,1591
2020.10.6,139612,109898,5121,2121
2020.10.7,142570,111564,5203,2958
2020.10.8,145700,113112,5247,3130
2020.10.9,148886,114792,5299,3186
2020.10.10,152403,116628,5358,3517
2020.10.11,155283,117942,5411,2880
2020.10.12,157352,118912,5467,2069
2020.10.13,160461,120515,5535,3109
2020.10.14,164477,122714,5601,4016
2020.10.15,168490,125009,5674,4013
2020.10.16,172516,127076,5749,4026
2020.10.17,176468,129556,5812,3952
2020.10.18,180388,130894,5872,3920
2020.10.19,182854,132082,5931,2466
2020.10.20,186254,134395,5996,3400
2020.10.21,191102,137835,6065,4848
2020.10.22,196004,141089,6163,4902
2020.10.23,201032,144429,6245,5028
2020.10.24,205793,147932,6318,4761
2020.10.25,209648,149741,6391,3855
2020.10.26,212492,151811,6470,2844
2020.10.27,217216,155630,6574,4724
2020.10.28,222559,159855,6681,5343
2020.10.29,229040,163852,6764,6481
2020.10.30,235586,167897,6867,6546
2020.10.31,241339,172513,6968,5753
2020.11.1,246663,175975,7067,5324
2020.11.2,250704,177361,7153,4041
2020.11.3,258437,181175,7273,7733
2020.11.4,267088,186260,7419,8651
2020.11.5,276802,191085,7540,9714
2020.11.6,287062,195971,7663,10260
2020.11.7,296999,201114,7793,9937
2020.11.8,303751,204679,7879,6752
2020.11.9,306991,206793,8009,3240
2020.11.10,314295,211408,8186,7304
2020.11.11,324094,218086,8389,9799
2020.11.12,334236,224916,8510,10142
2020.11.13,343725,231808,8684,9489
2020.11.14,353185,239051,8813,9460
2020.11.15,360281,243832,8926,7096
2020.11.16,365212,246633,9075,4931
2020.11.17,373474,253244,9261,8262
2020.11.18,383743,261387,9429,10269
2020.11.19,393851,269590,9596,10108
2020.11.20,403123,278676,9756,9272
2020.11.21,412808,287310,9916,9685
2020.11.22,418645,295148,10047,5837
2020.11.23,422852,296844,10177,4207
2020.11.24,430605,304188,10373,7753
2020.11.25,440344,313885,10541,9739
2020.11.26,449349,323514,10712,9005
2020.11.27,457848,326657,10884,8499
2020.11.28,465982,335764,11045,8134
2020.11.29,471536,348852,11193,5554
2020.11.30,475362,353188,11331,3826
2020.12.1,479634,360934,11530,4272
2020.12.2,484550,371231,11665,4916
2020.12.3,492211,381001,11876,7661
2020.12.4,500273,390212,12052,8062
2020.12.5,508345,399207,12186,8072
2020.12.6,513576,405612,12320,5231
2020.12.7,517236,409121,12447,3660
2020.12.8,524675,416797,12660,7439
2020.12.9,532040,425816,12821,7365
2020.12.10,539107,434679,12948,7067
2020.12.11,545567,443168,13116,6460
2020.12.12,551900,451477,13264,6333
2020.12.13,556335,457360,13385,4435
2020.12.14,559587,460780,13494,3252
2020.12.15,565758,465050,13698,6171
2020.12.16,571749,469499,13862,5991
2020.12.17,577446,477139,13969,5697
2020.12.18,582786,484948,14157,5340
2020.12.19,587944,493379,14296,5158
2020.12.20,591294,498777,14394,3350
2020.12.21,593783,501896,14481,2489
2020.12.22,598792,508979,14636,5009
2020.12.23,604251,516423,14766,5459
2020.12.24,608561,523829,14912,4310
2020.12.25,612373,530308,15023,3812
2020.12.26,613760,536332,15108,1387
2020.12.27,618429,543341,15334,4669
2020.12.28,618429,543341,15334,0
2020.12.29,623066,549262,15469,4637
2020.12.30,627941,554056,15596,4875
2020.12.31,632263,560793,15767,4322
2021.1.1,636201,566365,15841,3938
2021.1.2,637395,571333,15919,1194
2021.1.3,640429,574897,15979,3034
2021.1.4,643559,577198,16057,3130
2021.1.5,648288,581856,16178,4729
2021.1.6,654007,586764,16299,5719
2021.1.7,658958,591596,16410,4951
2021.1.8,663799,595007,16506,4841
2021.1.9,668202,596515,16592,4403
2021.1.10,671284,598610,16654,3082
2021.1.11,673271,600710,16725,1987
2021.1.12,676968,605045,16881,3697
2021.1.13,681392,610122,16969,4424
2021.1.14,684917,614545,17035,3525
2021.1.15,688270,618673,17098,3353
2021.1.16,691488,620058,17164,3218
2021.1.17,693644,622414,17221,2156
2021.1.18,695153,625449,17271,1509
2021.1.19,697898,630236,17369,2745
2021.1.20,700898,635871,17485,3000
2021.1.21,703776,641288,17554,2878
2021.1.22,706475,645923,17628,2699
2021.1.23,709194,650189,17722,2719
2021.1.24,711010,653125,17776,1816
2021.1.25,712561,654875,17841,1551
2021.1.26,715438,658595,17938,2877
2021.1.27,718612,662400,18015,3174
2021.1.28,721513,666001,18105,2901
2021.1.29,724250,669175,18196,2737
2021.1.30,726918,672532,18264,2668
2021.1.31,728743,674594,18335,1825
2021.2.1,730056,675767,18402,1313
2021.2.2,732732,678473,18513,2676
2021.2.3,735484,681271,18600,2752
2021.2.4,738152,684095,18675,2668
2021.2.5,740732,686692,18748,2580
2021.2.6,743343,689474,18809,2611
2021.2.7,745318,691377,18881,1975
2021.2.8,746637,692681,18961,1319
2021.2.9,749434,695398,19056,2797
2021.2.10,752482,698534,19135,3048
2021.2.11,755126,701283,19200,2644
2021.2.12,757676,703966,19277,2550
2021.2.13,760091,706394,19325,2415
2021.2.14,761963,708151,19366,1872
2021.2.15,763294,709520,19445,1331
2021.2.16,765970,711977,19526,2676
2021.2.17,768785,714709,19588,2815
2021.2.18,771843,717179,19659,3058
2021.2.19,774555,719693,19738,2712
2021.2.20,777276,722484,19795,2721
2021.2.21,779695,724333,19847,2419
2021.2.22,781329,725526,19894,1634
2021.2.23,784711,728252,20013,3382
2021.2.24,788048,731049,20086,3337
2021.2.25,791971,733616,20167,3923
2021.2.26,795732,736020,20233,3761
2021.2.27,799164,738569,20287,3432
2021.2.28,801994,740352,20350,2830
2021.3.1,804090,741471,20403,2096
2021.3.2,808040,744040,20509,3950
2021.3.3,812318,746779,20586,4278
2021.3.4,816589,749673,20684,4271
2021.3.5,820931,752234,20785,4342
2021.3.6,824995,754335,20854,4064
2021.3.7,828283,754335,20900,3288
2021.3.8,830563,761631,20963,2280
2021.3.9,835552,767219,21056,4989
2021.3.10,840116,770854,21156,4564
2021.3.11,845352,774277,21252,5236
2021.3.12,850362,777715,21360,5010
2021.3.13,855326,781154,21439,4964
2021.3.14,859709,783642,21483,4383
2021.3.15,862681,787392,21565,2972
2021.3.16,868799,787392,21698,6118
2021.3.17,874985,790813,21787,6186
2021.3.18,881159,794950,21877,6174
2021.3.19,881159,794950,21877,0
2021.3.20,892848,803226,22132,11689
2021.3.21,897115,806200,22208,4267
2021.3.22,900858,808754,22268,3743
2021.3.23,907007,814182,22442,6149
2021.3.24,913143,819799,22579,6136
2021.3.25,919794,825208,22719,6651
2021.3.26,926310,830270,22835,6516
2021.3.27,932179,834162,22997,5869
2021.3.28,936618,837060,23114,4439
2021.3.29,940443,840127,23234,3825
2021.3.30,946647,845357,23409,6204
2021.3.31,952803,850672,23538,6156
2021.4.1,958918,856405,23674,6115
2021.4.2,964726,862137,23819,5808
2021.4.3,970224,867663,23973,5498
2021.4.4,974375,871950,24070,4151
2021.4.5,977986,875487,24190,3611
2021.4.6,983217,880429,24386,5231
2021.4.7,988624,885710,24561,5407
2021.4.8,993613,890528,24733,4989
2021.4.9,998555,896573,24867,4942
2021.4.10,1002865,902239,25006,4310
2021.4.11,1006167,906659,25135,3302
2021.4.12,1008490,910298,25248,2323
2021.4.13,1012373,915464,25441,3883
2021.4.14,1016449,920653,25605,4076
2021.4.15,1020301,925395,25800,3852
2021.4.16,1023565,930942,25937,3264
2021.4.17,1027039,936515,26072,3474
2021.4.18,1029304,940792,26232,2265
2021.4.19,1031072,944774,26381,1768
2021.4.20,1034003,950242,26618,2931
2021.4.21,1037009,954868,26793,3006
