date,累计确诊,治愈,死亡,新增确诊
2020.2.22,34,0,0,23
2020.2.23,34,0,0,0
2020.2.24,34,3,0,0
2020.2.25,53,0,0,19
2020.2.26,57,0,0,4
2020.2.27,60,0,0,3
2020.2.28,60,0,0,0
2020.2.29,64,0,0,4
2020.3.1,69,0,1,5
2020.3.2,89,0,2,12
2020.3.3,106,3,6,17
2020.3.4,125,3,9,19
2020.3.5,161,8,11,36
2020.3.6,233,8,14,72
2020.3.7,345,10,17,112
2020.3.8,445,10,19,100
2020.3.9,572,10,22,127
2020.3.10,717,10,26,145
2020.3.11,1010,10,31,293
2020.3.12,1322,15,38,312
2020.3.13,1264,41,36,277
2020.3.14,1678,56,41,414
2020.3.15,3499,56,62,255
2020.3.16,4629,56,90,860
2020.3.17,5894,56,97,826
2020.3.18,9345,106,150,2769
2020.3.19,14250,121,205,5892
2020.3.20,19624,147,260,5374
2020.3.21,22043,147,278,5374
2020.3.22,32717,178,409,6670
2020.3.23,46332,178,552,10497
2020.3.24,53268,178,696,10054
2020.3.25,65285,378,926,12017
2020.3.26,83507,680,1201,14886
2020.3.27,101657,869,1581,19253
2020.3.28,121117,961,2010,20400
2020.3.29,139675,2661,2436,18500
2020.3.30,161367,5595,2956,21692
2020.3.31,184183,6043,3606,21371
2020.4.1,206207,8434,4542,22741
2020.4.2,236339,8861,5648,25508
2020.4.3,270473,9445,6889,28048
2020.4.4,312076,14997,8496,32467
2020.4.5,334125,16848,9458,22768
2020.4.6,363349,19313,10755,26676
2020.4.7,394182,21571,12716,27178
2020.4.8,425828,23292,14604,25493
2020.4.9,463433,25139,16504,28506
2020.4.10,498674,27744,18509,30108
2020.4.11,530384,29444,20513,26272
2020.4.12,559245,32091,22036,24751
2020.4.13,586941,36948,23640,23570
2020.4.14,610632,38562,25856,23691
2020.4.15,641397,48105,28394,27511
2020.4.16,674829,57256,34475,26826
2020.4.17,710021,60510,37158,22566
2020.4.18,738697,68269,39011,28962
2020.4.19,762496,69956,40478,23704
2020.4.20,789383,72015,42303,24747
2020.4.21,825306,82973,45343,23577
2020.4.22,844992,83910,47430,26248
2020.4.23,877497,85021,49729,27457
2020.4.24,916348,93275,51742,38958
2020.4.25,955488,116167,54120,30256
2020.4.26,985060,118735,55357,24409
2020.4.27,1004942,137591,56527,19882
2020.4.28,1029878,140138,58640,24936
2020.4.29,1056646,145320,61180,26768
2020.4.30,1092656,151774,63765,36010
2020.5.1,1125305,160173,65540,30282
2020.5.2,1156744,161782,67228,25714
2020.5.3,1185167,178219,68495,19299
2020.5.4,1209702,184354,69476,21580
2020.5.5,1234592,199151,72054,21757
2020.5.6,1256639,205268,74121,19006
2020.5.7,1289028,215580,76791,25936
2020.5.8,1318686,222008,78498,26063
2020.5.9,1342723,232869,79926,20938
2020.5.10,1365308,240853,80717,17999
2020.5.11,1381665,260188,81552,14027
2020.5.12,1406519,280509,83262,20685
2020.5.13,1427587,307755,85029,18951
2020.5.14,1453381,316244,86770,23033
2020.5.15,1480975,321348,88309,23382
2020.5.16,1503684,337563,89454,19399
2020.5.17,1526134,344805,90931,18361
2020.5.18,1532861,347225,91092,6727
2020.5.19,1555133,359137,92198,22272
2020.5.20,1573778,361419,93707,18645
2020.5.21,1597130,371077,95118,23352
2020.5.22,1627409,383099,96683,30279
2020.5.23,1650677,403315,97800,23268
2020.5.24,1672527,447211,98792,21850
2020.5.25,1689727,451749,99381,17200
2020.5.26,1711569,467962,99987,21842
2020.5.27,1730595,480321,100825,19026
2020.5.28,1750377,490262,102293,19782
2020.5.29,1772643,499768,103452,22266
2020.5.30,1797949,519736,104634,25306
2020.5.31,1822117,536234,105680,24168
2020.6.1,1842243,600150,106302,20126
2020.6.2,1862879,615719,107135,20636
2020.6.3,1887708,646614,108291,24829
2020.6.4,1907840,689282,109271,20132
2020.6.5,1928026,712437,110331,20186
2020.6.6,1973883,738998,111599,45857
2020.6.7,1995854,752848,112187,21971
2020.6.8,2012001,761736,112596,16147
2020.6.9,2030323,773696,113267,18322
2020.6.10,2052816,788969,114379,22493
2020.6.11,2072274,808556,115291,19458
2020.6.12,2094368,817337,116138,22094
2020.6.13,2123102,842329,116952,28734
2020.6.14,2150245,854659,117587,27143
2020.6.15,2166685,870080,117902,16440
2020.6.16,2188198,891068,118487,21513
2020.6.17,2215580,903176,119269,27382
2020.6.18,2242914,919108,120079,27334
2020.6.19,2275218,931355,120844,32304
2020.6.20,2303692,956316,121520,28474
2020.6.21,2342597,974746,122067,38905
2020.6.22,2363825,980836,122292,21228
2020.6.23,2396101,1003322,122764,32276
2020.6.24,2426500,1020499,123521,30399
2020.6.25,2474962,1040711,124422,48462
2020.6.26,2511784,1052529,126911,36822
2020.6.27,2571448,1069342,127803,59664
2020.6.28,2615417,1081793,128233,43969
2020.6.29,2649774,1093951,128503,34357
2020.6.30,2695685,1122678,129031,45911
2020.7.1,2744570,1143923,130345,48885
2020.7.2,2797737,1168436,130984,53167
2020.7.3,2855961,1191892,131666,58224
2020.7.4,2909123,1237767,132174,53162
2020.7.5,2948587,1260695,132374,39464
2020.7.6,2996027,1291315,132664,47440
2020.7.7,3055548,1326669,133268,59521
2020.7.8,3116430,1355898,134163,60882
2020.7.9,3174924,1393363,135189,58494
2020.7.10,3242086,1426645,136024,67162
2020.7.11,3311844,1461374,136949,69758
2020.7.12,3381274,1501866,137577,69430
2020.7.13,3436152,1518254,137863,54878
2020.7.14,3490706,1551021,138459,54554
2020.7.15,3565476,1601508,139447,74770
2020.7.16,3642907,1646933,140460,77431
2020.7.17,3719446,1681060,141432,76539
2020.7.18,3790373,1751902,142400,70927
2020.7.19,3854368,1775491,143012,63995
2020.7.20,3901026,1802550,143321,46658
2020.7.21,3979579,1851157,144220,78553
2020.7.22,4046552,1889285,145271,66973
2020.7.23,4118684,1943698,146500,72132
2020.7.24,4197515,1982124,147676,78831
2020.7.25,4273303,2035976,148848,75788
2020.7.26,4333464,2061879,149541,60161
2020.7.27,4384069,2090298,149945,50605
2020.7.28,4451396,2139817,151478,67327
2020.7.29,4515787,2190356,152729,64391
2020.7.30,4570103,2246212,153887,54316
2020.7.31,4655611,2286492,155746,85508
2020.8.1,4729242,2331327,157184,73631
2020.8.2,4778177,2363229,158039,48935
2020.8.3,4821556,2381407,158457,43379
2020.8.4,4873925,2449120,159386,52369
2020.8.5,4925454,2483903,160502,51529
2020.8.6,4988431,2541859,161895,62977
2020.8.7,5041384,2579191,162975,52953
2020.8.8,5108144,2618203,164377,66760
2020.8.9,5164221,2639927,165235,56077
2020.8.10,5212499,2667649,165766,48278
2020.8.11,5263777,2717642,166707,51278
2020.8.12,5321984,2758382,168253,58207
2020.8.13,5365527,2813845,169225,43543
2020.8.14,5427637,2844525,170734,62110
2020.8.15,5478009,2876080,171568,50372
2020.8.16,5539841,2904440,172762,61832
2020.8.17,5573475,2924268,173187,33634
2020.8.18,5614889,2974788,173804,41414
2020.8.19,5663371,3012244,175429,48482
2020.8.20,5710773,3063412,176628,47402
2020.8.21,5757944,3097040,177652,47171
2020.8.22,5809339,3127665,179489,51395
2020.8.23,5848860,3148165,180295,39521
2020.8.24,5886045,3168960,180720,37185
2020.8.25,5923582,3219333,181479,37537
2020.8.26,5967010,3257748,182817,43428
2020.8.27,6013451,3315120,183931,46441
2020.8.28,6059951,3350304,185160,46500
2020.8.29,6103820,3376815,186179,43869
2020.8.30,6141778,3409063,186883,37958
2020.8.31,6177207,3425925,187248,35429
2020.9.1,6214690,3458244,187839,37483
2020.9.2,6260881,3498209,188975,46191
2020.9.3,6302203,3548122,190300,41322
2020.9.4,6341126,3575866,191221,38923
2020.9.5,6400670,3637002,192308,59544
2020.9.6,6434850,3707191,192887,34180
2020.9.7,6466100,3726119,193283,31250
2020.9.8,6490632,3759134,193648,24532
2020.9.9,6521356,3797941,194381,30724
2020.9.10,6559509,3856749,195590,38153
2020.9.11,6594419,3882295,196412,34910
2020.9.12,6645500,3919169,197629,51081
2020.9.13,6684292,3950648,198189,38792
2020.9.14,6718969,3981346,198643,34677
2020.9.15,6753195,4029477,199216,34226
2020.9.16,6797153,4069609,200667,43958
2020.9.17,6838556,4120577,201631,41403
2020.9.18,6880182,4156472,202306,41626
2020.9.19,6932328,4192963,203274,52146
2020.9.20,6972440,4223996,203881,40112
2020.9.21,7011038,4251943,204165,38598
2020.9.22,7053783,4301523,204801,42745
2020.9.23,7106699,4360093,205864,52916
2020.9.24,7148986,4400872,206895,42287
2020.9.25,7196972,4440485,207794,47986
2020.9.26,7251328,4483950,208625,54356
2020.9.27,7294643,4524760,209238,43315
2020.9.28,7325115,4571265,209502,30472
2020.9.29,7365427,4611282,209922,40312
2020.9.30,7413600,4651017,211098,48173
2020.10.1,7457857,4711997,211988,44257
2020.10.2,7507524,4750176,212912,49667
2020.10.3,7564910,4779402,213684,57386
2020.10.4,7607545,4828654,214341,42635
2020.10.5,7644713,4862023,214697,37168
2020.10.6,7687269,4906808,215221,42556
2020.10.7,7730931,4950141,216064,43662
2020.10.8,7787879,4997380,217081,56948
2020.10.9,7842831,5026952,217857,54952
2020.10.10,7909037,5066257,218855,66206
2020.10.11,7957615,5092941,219341,48578
2020.10.12,8000852,5138374,219797,43237
2020.10.13,8049854,5197125,220281,49002
2020.10.14,8106263,5238565,221147,56409
2020.10.15,8165007,5290510,222092,58744
2020.10.16,8230184,5329151,222973,65177
2020.10.17,8306024,5402456,223885,75840
2020.10.18,8351444,5438389,224389,45420
2020.10.19,8393773,5463410,224824,42329
2020.10.20,8468223,5513584,225451,74450
2020.10.21,8528732,5549360,226360,60509
2020.10.22,8595023,5612505,227516,66291
2020.10.23,8675199,5662998,228577,80176
2020.10.24,8769097,5704352,229551,93898
2020.10.25,8839609,5742963,230126,70512
2020.10.26,8898410,5781451,230556,58801
2020.10.27,8976435,5842665,231308,78025
2020.10.28,9053778,5885393,232305,77343
2020.10.29,9136784,5940558,233340,83006
2020.10.30,9226558,5986309,234405,89774
2020.10.31,9336073,6030186,235453,109515
2020.11.1,9414641,6066893,236154,78568
2020.11.2,9487088,6109683,236564,72447
2020.11.3,9574004,6173165,237068,86916
2020.11.4,9702484,6237659,238746,128480
2020.11.5,9806960,6294444,239894,104476
2020.11.6,9937271,6342279,241126,130311
2020.11.7,10071095,6392425,242339,133824
2020.11.8,10191335,6442590,243316,120240
2020.11.9,10297867,6484054,243807,106532
2020.11.10,10433356,6554526,244589,135489
2020.11.11,10579938,6603478,246034,146582
2020.11.12,10725002,6651545,247537,145064
2020.11.13,10888324,6729527,248686,163322
2020.11.14,11078662,6790898,250105,190338
2020.11.15,11235666,6891461,251285,157004
2020.11.16,11381956,6939835,251965,146290
2020.11.17,11545530,7023230,252792,163574
2020.11.18,11699233,7090336,254329,153703
2020.11.19,11896039,7171883,256609,196806
2020.11.20,12094052,7248771,258655,198013
2020.11.21,12293770,7320373,260479,199718
2020.11.22,12463498,7405265,261885,169728
2020.11.23,12598889,7453661,262757,135391
2020.11.24,12786174,7553556,263899,187285
2020.11.25,12978833,7641913,266285,192659
2020.11.26,13150740,7809461,268439,171907
2020.11.27,13466984,7945585,271038,46567
2020.11.28,13612512,8041239,272253,145528
2020.11.29,13750608,8107270,273077,138096
2020.11.30,13920038,8223391,274332,138370
2020.12.1,13933653,8230001,274743,13615
2020.12.2,14131866,8345995,277396,198213
2020.12.3,14333241,8468702,280210,201375
2020.12.4,14568192,8570636,283300,234951
2020.12.5,14784825,8663942,285786,216633
2020.12.6,14995863,8790495,287894,211038
2020.12.7,15169648,8859465,288984,173785
2020.12.8,15383380,8994191,291016,213732
2020.12.9,15609610,9095080,293739,226230
2020.12.10,15845642,9235316,297173,236032
2020.12.11,16073829,9340223,300272,228187
2020.12.12,16308192,9511911,302904,234363
2020.12.13,16563650,9645924,305144,255458
2020.12.14,16752408,9727555,306529,188758
2020.12.15,16958845,9879331,308335,206437
2020.12.16,17159794,10015012,311316,200949
