date,累计确诊,治愈,死亡,新增确诊
2020.4.7,15,0,0,2
2020.4.8,16,0,0,0
2020.4.15,19,2,0,0
2020.4.22,19,4,0,0
2020.4.25,19,7,0,0
2020.4.30,19,8,0,0
2020.5.9,19,13,0,0
2020.5.12,19,14,0,0
2020.5.16,19,14,0,0
2020.5.18,19,14,0,0
2020.5.19,19,14,0,0
2020.5.20,19,14,0,0
2020.5.21,19,14,0,0
2020.5.22,19,14,0,0
2020.5.23,19,14,0,0
2020.5.24,19,14,0,0
2020.5.25,19,14,0,0
2020.5.26,19,14,0,0
2020.5.27,19,16,0,0
2020.5.28,19,16,0,0
2020.5.29,19,16,0,0
2020.5.30,19,16,0,0
2020.5.31,19,16,0,0
2020.6.1,19,16,0,0
2020.6.2,19,16,0,0
2020.6.3,19,18,0,0
2020.6.4,19,18,0,0
2020.6.5,19,18,0,0
2020.6.6,19,18,0,0
2020.6.7,19,18,0,0
2020.6.8,19,18,0,0
2020.6.9,19,19,0,0
2020.6.10,19,19,0,0
2020.6.11,19,19,0,0
2020.6.12,19,19,0,0
2020.6.13,19,19,0,0
2020.6.14,19,19,0,0
2020.6.15,19,19,0,0
2020.6.16,19,19,0,0
2020.6.17,19,19,0,0
2020.6.18,19,19,0,0
2020.6.19,19,19,0,0
2020.6.20,19,19,0,0
2020.6.21,19,19,0,0
2020.6.22,19,19,0,0
2020.6.23,19,19,0,0
2020.6.24,19,19,0,0
2020.6.25,19,19,0,0
2020.6.26,19,19,0,0
2020.6.27,19,19,0,0
2020.6.28,19,19,0,0
2020.6.29,19,19,0,0
2020.6.30,19,19,0,0
2020.7.1,19,19,0,0
2020.7.2,19,19,0,0
2020.7.3,19,19,0,0
2020.7.4,19,19,0,0
2020.7.5,19,19,0,0
2020.7.6,19,19,0,0
2020.7.7,19,19,0,0
2020.7.8,19,19,0,0
2020.7.9,19,19,0,0
2020.7.10,19,19,0,0
2020.7.11,19,19,0,0
2020.7.12,19,19,0,0
2020.7.13,19,19,0,0
2020.7.14,19,19,0,0
2020.7.15,19,19,0,0
2020.7.16,19,19,0,0
2020.7.17,19,19,0,0
2020.7.18,19,19,0,0
2020.7.19,19,19,0,0
2020.7.20,19,19,0,0
2020.7.21,19,19,0,0
2020.7.22,19,19,0,0
2020.7.23,19,19,0,0
2020.7.24,20,19,0,1
2020.7.25,20,19,0,0
2020.7.26,20,19,0,0
2020.7.27,20,19,0,0
2020.7.28,20,19,0,0
2020.7.29,20,19,0,0
2020.7.30,20,19,0,0
2020.7.31,20,19,0,0
2020.8.1,20,19,0,0
2020.8.2,20,19,0,0
2020.8.3,20,19,0,0
2020.8.4,20,19,0,0
2020.8.5,20,19,0,0
2020.8.6,20,19,0,0
2020.8.7,20,19,0,0
2020.8.8,20,19,0,0
2020.8.9,20,19,0,0
2020.8.10,20,19,0,0
2020.8.11,20,19,0,0
2020.8.12,20,19,0,0
2020.8.13,20,19,0,0
2020.8.14,22,19,0,2
2020.8.15,22,19,0,0
2020.8.16,22,19,0,0
2020.8.17,22,19,0,0
2020.8.18,22,19,0,0
2020.8.19,22,19,0,0
2020.8.20,22,19,0,0
2020.8.21,22,20,0,0
2020.8.22,22,20,0,0
2020.8.23,22,20,0,0
2020.8.24,22,20,0,0
2020.8.25,22,21,0,0
2020.8.26,22,21,0,0
2020.8.27,22,21,0,0
2020.8.28,22,21,0,0
2020.8.29,22,21,0,0
2020.8.30,22,21,0,0
2020.8.31,22,21,0,0
2020.9.1,22,21,0,0
2020.9.2,22,21,0,0
2020.9.3,22,21,0,0
2020.9.4,22,21,0,0
2020.9.5,22,21,0,0
2020.9.6,22,21,0,0
2020.9.7,22,21,0,0
2020.9.8,22,21,0,0
2020.9.9,22,21,0,0
2020.9.10,22,21,0,0
2020.9.11,23,21,0,1
2020.9.12,23,21,0,0
2020.9.13,23,21,0,0
2020.9.14,23,22,0,0
2020.9.15,23,22,0,0
2020.9.16,23,22,0,0
2020.9.17,23,22,0,0
2020.9.18,23,22,0,0
2020.9.19,23,22,0,0
2020.9.20,23,22,0,0
2020.9.21,23,22,0,0
2020.9.22,23,22,0,0
2020.9.23,23,22,0,0
2020.9.24,23,22,0,0
2020.9.25,23,22,0,0
2020.9.26,23,22,0,0
2020.9.27,23,22,0,0
2020.9.28,23,22,0,0
2020.9.29,23,22,0,0
2020.9.30,23,22,0,0
2020.10.1,23,22,0,0
2020.10.2,23,22,0,0
2020.10.3,23,22,0,0
2020.10.4,23,22,0,0
2020.10.5,23,22,0,0
