date,累计确诊,治愈,死亡,新增确诊
2020.4.7,179,9,6,7
2020.4.8,184,9,6,5
2020.4.9,189,22,7,5
2020.4.12,208,40,9,11
2020.4.13,216,40,9,8
2020.4.14,225,53,10,9
2020.4.16,246,53,11,12
2020.4.17,262,60,13,16
2020.4.18,270,60,14,8
2020.4.19,281,69,14,11
2020.4.20,296,69,14,15
2020.4.21,303,74,14,7
2020.4.22,320,83,14,17
2020.4.23,336,89,14,16
2020.4.24,343,94,14,7
2020.4.25,355,106,14,12
2020.4.26,363,106,14,8
2020.4.27,374,124,14,11
2020.4.28,384,129,14,10
2020.4.29,396,144,17,12
2020.4.30,411,150,21,15
2020.5.2,435,152,22,24
2020.5.3,490,173,24,25
2020.5.4,535,182,24,45
2020.5.5,582,190,26,47
2020.5.6,607,197,29,25
2020.5.7,621,202,29,14
2020.5.8,649,207,30,28
2020.5.9,672,239,32,23
2020.5.10,700,239,32,2
2020.5.11,715,259,36,15
2020.5.12,737,281,40,15
2020.5.13,758,284,42,21
2020.5.15,781,284,45,2
2020.5.16,887,301,50,57
2020.5.17,912,336,50,25
2020.5.18,912,336,50,0
2020.5.19,963,358,50,51
2020.5.20,1029,366,50,66
2020.5.21,1029,366,50,0
2020.5.22,1161,380,50,132
2020.5.23,1192,380,50,31
2020.5.24,1214,383,51,22
2020.5.25,1286,402,52,72
2020.5.26,1348,405,52,62
2020.5.27,1471,408,55,123
2020.5.28,1618,421,58,147
2020.5.29,1745,438,62,127
2020.5.30,1888,464,63,143
2020.5.31,1962,478,64,74
2020.6.1,2021,482,69,59
2020.6.2,2093,499,71,72
2020.6.3,2216,553,74,123
2020.6.4,2340,592,78,124
2020.6.5,2474,643,79,134
2020.6.6,2600,643,83,126
2020.6.7,2767,752,84,167
2020.6.8,2872,849,85,105
2020.6.9,2989,873,88,117
2020.6.10,3094,1048,89,105
2020.6.11,3215,1092,92,121
2020.6.12,3305,1164,96,90
2020.6.13,3457,1221,100,152
2020.6.14,3594,1221,100,137
2020.6.15,3727,1286,104,133
2020.6.16,3860,1328,105,133
2020.6.17,4044,1353,107,184
2020.6.18,4257,1459,117,213
2020.6.19,4374,1550,119,117
2020.6.20,4478,1586,121,104
2020.6.21,4478,1586,121,0
2020.6.22,4797,1680,125,319
2020.6.23,4952,1782,128,155
2020.6.24,5206,1823,130,254
2020.6.25,5384,1857,132,178
2020.6.26,5533,1905,137,149
2020.6.27,5811,1936,141,278
2020.6.28,6070,1971,143,259
2020.6.29,6190,2013,144,120
2020.6.30,6366,2013,144,176
2020.7.1,6673,2089,149,307
2020.7.2,6941,2109,152,268
2020.7.3,7188,2109,154,247
2020.7.4,7577,2236,159,389
2020.7.5,7886,2287,160,309
