date,累计确诊,治愈,死亡,新增确诊
2020.3.16,272,10,0,29
2020.3.29,1218,10,11,55
2020.4.4,1927,300,25,45
2020.4.8,2487,300,43,179
2020.4.9,2605,300,42,118
2020.4.10,2769,300,48,164
2020.4.11,2905,300,49,136
2020.4.12,2974,300,56,69
2020.4.13,3161,300,59,97
2020.4.14,3237,300,64,76
2020.4.15,3369,300,72,132
2020.4.16,3489,1700,75,120
2020.4.17,3681,1700,90,192
2020.4.18,3783,1700,90,102
2020.4.19,3868,1700,94,85
2020.4.20,4014,2000,98,146
2020.4.21,4129,2000,141,115
2020.4.22,4284,2000,149,155
2020.4.23,4395,2000,172,111
2020.4.24,4475,2500,177,80
2020.4.25,4576,2500,186,101
2020.4.26,4695,2500,190,119
2020.4.27,4740,2500,193,45
2020.4.28,4906,2800,199,166
2020.4.29,4995,2800,206,89
2020.4.30,5051,3000,218,56
2020.5.1,5176,3000,220,125
2020.5.2,5254,3000,230,78
2020.5.3,5327,3000,240,73
2020.5.4,5412,3500,246,85
2020.5.5,5573,3500,252,161
2020.5.6,5673,3500,255,100
2020.5.7,5738,3500,260,65
2020.5.8,5880,4000,265,142
2020.5.9,5963,4000,267,83
2020.5.10,5984,4000,267,22
2020.5.11,6003,4300,271,19
2020.5.12,6054,4300,284,51
2020.5.13,6145,4300,284,91
2020.5.14,6228,4300,287,83
2020.5.15,6286,5000,297,58
2020.5.16,6347,5000,298,61
2020.5.17,6380,5000,298,33
2020.5.18,6380,5000,300,0
2020.5.19,6399,5000,301,19
2020.5.20,6443,5000,304,44
2020.5.21,6493,4800,306,50
2020.5.22,6537,4800,306,44
2020.5.23,6568,4800,306,31
2020.5.24,6579,4800,307,11
2020.5.25,6599,5100,308,20
2020.5.26,6628,5100,312,29
2020.5.27,6692,5100,313,64
2020.5.28,6743,5500,313,51
2020.5.29,6776,5500,314,33
2020.5.30,6826,5500,316,50
2020.5.31,6859,5500,320,33
2020.6.1,6885,5500,318,26
2020.6.2,6887,5500,320,2
2020.6.3,6911,5500,321,24
2020.6.4,6911,5800,322,0
2020.6.5,6941,5800,322,30
2020.6.6,6964,5800,322,23
2020.6.7,6981,5800,323,17
2020.6.8,7001,5800,323,20
2020.6.9,7025,5800,324,24
2020.6.10,7040,5800,324,15
2020.6.11,7064,6200,325,24
2020.6.12,7073,6200,325,9
2020.6.13,7087,6200,325,14
2020.6.14,7104,6200,326,17
2020.6.15,7108,6200,326,4
2020.6.16,7112,6200,326,4
2020.6.17,7117,6200,326,5
2020.6.18,7119,6200,326,2
2020.6.19,7133,6200,326,14
2020.6.20,7142,6200,326,9
2020.6.21,7143,6200,326,1
2020.6.22,7144,6400,327,1
2020.6.23,7155,6400,327,11
2020.6.24,7167,6600,327,12
2020.6.25,7172,6600,327,5
2020.6.26,7191,6600,328,19
2020.6.27,7198,6600,328,7
2020.6.28,7198,6600,328,0
2020.6.29,7209,6600,328,11
2020.6.30,7214,6600,328,5
2020.7.1,7236,6700,328,22
2020.7.2,7241,6700,328,5
2020.7.3,7242,6700,329,1
2020.7.4,7248,6700,329,6
2020.7.5,7253,6700,329,5
2020.7.6,7257,6700,329,4
2020.7.7,7262,6700,329,5
2020.7.8,7265,6800,329,3
2020.7.9,7273,6800,329,8
2020.7.10,7279,6800,329,6
