date,累计确诊,治愈,死亡,新增确诊
2020.4.9,15,2,2,1
2020.4.10,17,2,2,2
2020.4.13,29,4,4,10
2020.4.14,32,4,5,3
2020.4.16,35,4,6,3
2020.4.17,66,6,10,33
2020.4.19,92,8,12,26
2020.4.20,107,8,12,41
2020.4.21,140,8,13,33
2020.4.22,162,14,13,22
2020.4.23,174,14,16,12
2020.4.25,213,19,17,39
2020.4.26,275,21,22,38
2020.4.28,318,31,25,43
2020.4.29,375,32,28,57
2020.4.30,442,39,31,67
2020.5.1,534,39,33,92
2020.5.2,592,52,41,59
2020.5.4,778,70,45,100
2020.5.6,930,92,52,78
2020.5.8,1111,102,59,181
2020.5.9,1164,119,64,53
2020.5.10,1365,149,70,201
2020.5.11,1526,162,74,161
2020.5.12,1661,173,80,135
2020.5.13,1818,198,90,157
2020.5.14,1964,205,91,146
2020.5.16,2289,222,97,325
2020.5.17,2591,247,105,302
2020.5.18,2591,247,105,0
2020.5.19,2591,247,105,0
2020.5.20,2728,286,111,137
2020.5.21,3138,309,121,410
2020.5.22,3138,309,121,0
2020.5.23,3378,372,137,240
2020.5.24,3628,424,146,250
2020.5.25,3820,458,165,192
2020.5.26,3976,503,170,156
2020.5.27,4146,588,184,170
2020.5.28,4346,749,195,200
2020.5.29,4521,816,233,175
2020.5.30,4521,816,233,0
2020.5.31,4800,1272,262,279
2020.6.1,5026,1423,286,226
2020.6.2,5173,1522,298,147
2020.6.3,5310,1625,307,137
2020.6.4,5499,1711,314,189
2020.6.5,5714,1825,333,215
2020.6.6,5865,1924,347,151
2020.6.7,6081,2014,359,216
2020.6.8,6081,2014,359,0
2020.6.9,6242,2059,372,161
2020.6.10,6427,2127,389,185
2020.6.11,6582,2202,401,155
2020.6.12,6730,2278,413,148
2020.6.13,6879,2416,433,149
2020.6.14,7007,2556,447,128
2020.6.15,7220,2610,459,213
2020.6.16,7435,2720,468,215
2020.6.17,7740,2820,477,305
2020.6.18,8020,2966,487,280
2020.6.19,8020,2966,487,0
2020.6.20,8316,3086,506,296
2020.6.21,8580,3325,521,264
2020.6.22,8698,3460,533,118
2020.6.23,8698,3460,533,0
2020.6.24,8889,3699,548,191
2020.6.25,8889,3699,548,0
2020.6.26,9084,3912,559,195
2020.6.27,9257,4014,572,173
2020.6.28,9257,4014,572,0
2020.6.29,9257,4014,572,0
2020.6.30,9257,4014,572,0
2020.7.1,9257,4014,572,0
2020.7.2,9573,4606,602,316
2020.7.3,9663,4624,604,90
2020.7.4,9663,4624,604,0
2020.7.5,9767,4673,608,104
2020.7.6,9767,4673,608,0
2020.7.7,9894,4899,616,127
2020.7.8,9997,5034,622,103
2020.7.9,10084,5074,636,87
2020.7.10,10204,5277,649,120
2020.7.11,10250,5341,650,46
2020.7.12,10250,5341,650,0
2020.7.13,10250,5341,650,0
2020.7.14,10316,5403,657,66
2020.7.15,10417,5579,659,101
2020.7.16,10527,5601,668,110
2020.7.17,10527,5601,668,0
2020.7.18,10682,5637,673,155
2020.7.19,10682,5637,673,0
2020.7.20,10992,5707,693,310
2020.7.21,10992,5707,693,0
2020.7.22,10992,5707,693,0
2020.7.23,11237,5835,708,245
2020.7.24,11302,5855,715,65
2020.7.25,11302,5855,715,0
2020.7.26,11385,5890,717,83
2020.7.27,11385,5890,717,0
2020.7.28,11496,6001,725,111
2020.7.29,11496,6001,725,0
2020.7.30,11496,6001,725,0
2020.7.31,11496,6001,725,0
2020.8.1,11644,6119,746,148
2020.8.2,11738,6137,752,94
2020.8.3,11738,6137,752,0
2020.8.4,11780,6194,763,42
2020.8.5,11780,6194,763,0
2020.8.6,11780,6194,763,0
2020.8.7,11780,6194,763,0
2020.8.8,11894,6243,773,114
2020.8.9,11894,6243,773,0
2020.8.10,11956,6266,781,62
2020.8.11,12033,6282,786,77
2020.8.12,12033,6282,786,0
2020.8.13,12115,6305,792,82
2020.8.14,12162,6325,793,47
2020.8.15,12211,6340,796,49
2020.8.16,12314,6350,798,103
2020.8.17,12410,6385,803,96
2020.8.18,12485,6398,805,75
2020.8.19,12546,6429,808,61
2020.8.20,12582,6456,812,36
2020.8.21,12623,6476,812,41
2020.8.22,12623,6476,812,0
2020.8.23,12682,6492,815,59
2020.8.24,12836,6497,815,154
2020.8.25,12974,6557,819,138
2020.8.26,12974,6557,819,0
2020.8.27,13045,6594,823,71
2020.8.28,13045,6594,823,0
2020.8.29,13189,6612,823,144
2020.8.30,13189,6612,823,0
2020.8.31,13189,6612,823,0
2020.9.1,13189,6612,823,0
2020.9.2,13189,6612,823,0
2020.9.3,13189,6612,823,0
2020.9.4,13189,6612,823,0
2020.9.5,13189,6612,823,0
2020.9.6,13407,6725,832,218
2020.9.7,13437,6730,833,30
2020.9.8,13437,6730,833,0
2020.9.9,13437,6730,833,0
2020.9.10,13437,6730,833,0
2020.9.11,13437,6730,833,0
2020.9.12,13470,6731,834,33
2020.9.13,13470,6731,834,0
2020.9.14,13516,6757,835,46
2020.9.15,13535,6759,836,19
2020.9.16,13535,6759,836,0
2020.9.17,13535,6759,836,0
2020.9.18,13535,6759,836,0
2020.9.19,13535,6759,836,0
2020.9.20,13535,6759,836,0
2020.9.21,13555,6760,836,20
2020.9.22,13555,6760,836,0
2020.9.23,13578,6760,836,23
2020.9.24,13578,6760,836,0
2020.9.25,13592,6764,836,14
2020.9.26,13592,6764,836,0
2020.9.27,13606,6764,836,14
2020.9.28,13606,6764,836,0
2020.9.29,13606,6764,836,0
2020.9.30,13640,6764,836,34
2020.10.1,13640,6764,836,0
2020.10.2,13653,6764,836,13
2020.10.3,13653,6764,836,0
2020.10.4,13653,6764,836,0
2020.10.5,13653,6764,836,0
2020.10.6,13653,6764,836,0
2020.10.7,13653,6764,836,0
2020.10.8,13668,6764,836,15
2020.10.9,13670,6764,836,2
2020.10.10,13670,6764,836,0
2020.10.11,13670,6764,836,0
2020.10.12,13685,6764,836,15
2020.10.13,13691,6764,836,6
2020.10.14,13691,6764,836,0
2020.10.15,13691,6764,836,0
2020.10.16,13691,6764,836,0
2020.10.17,13691,6764,836,0
2020.10.18,13691,6764,836,0
2020.10.19,13697,6764,836,6
2020.10.20,13724,6764,836,27
2020.10.21,13724,6764,836,0
2020.10.22,13724,6764,836,0
2020.10.23,13724,6764,836,0
2020.10.24,13724,6764,836,0
2020.10.25,13742,6764,837,18
2020.10.26,13747,6764,837,5
2020.10.27,13747,6764,837,0
2020.10.28,13747,6764,837,0
2020.10.29,13765,6764,837,18
2020.10.30,13772,6764,837,7
2020.10.31,13804,6764,837,32
2020.11.1,13804,6764,837,0
2020.11.2,13819,6764,837,15
2020.11.3,13866,6764,837,47
2020.11.4,13905,6764,837,39
2020.11.5,13943,6764,837,38
2020.11.6,13943,6764,837,0
2020.11.7,13943,6764,837,0
2020.11.8,14090,6764,837,147
2020.11.9,14090,9484,1115,0
2020.11.10,14155,9492,1116,65
2020.11.11,14155,9492,1116,0
2020.11.12,14346,9525,1116,191
2020.11.13,14401,9535,1116,55
2020.11.14,14401,9535,1116,0
2020.11.15,14626,9571,1116,225
2020.11.16,14626,9571,1116,0
2020.11.17,15047,9609,1175,421
2020.11.18,15047,9609,1175,0
2020.11.19,15047,9609,1175,0
2020.11.20,15299,9670,1179,252
2020.11.21,15530,9682,1185,231
2020.11.22,15839,9727,1193,309
2020.11.23,16052,9737,1197,213
2020.11.24,16431,9854,1202,379
2020.11.25,16431,9854,1202,0
2020.11.26,16649,9908,1210,218
2020.11.27,16864,9964,1215,215
2020.11.28,16864,9964,1215,0
2020.11.29,17404,10175,1235,540
2020.11.30,17810,10302,1249,406
2020.12.1,17810,10302,1249,0
2020.12.2,18045,10369,1255,235
2020.12.3,18254,10493,1265,209
2020.12.4,18535,10672,1271,281
2020.12.5,19196,10942,1290,661
2020.12.6,19196,10942,1290,0
2020.12.7,19468,11021,1295,272
2020.12.8,19747,11184,1301,279
2020.12.9,20084,11344,1307,337
2020.12.10,20468,11673,1319,384
2020.12.11,20468,11673,1319,0
2020.12.12,20844,11855,1340,376
2020.12.13,21147,12227,1344,303
2020.12.14,21386,12313,1347,239
2020.12.15,21591,12452,1355,205
2020.12.16,21864,12667,1372,273
2020.12.17,22265,12873,1408,401
2020.12.18,22265,12873,1408,0
2020.12.19,22621,13024,1425,356
2020.12.20,22621,13024,1425,0
2020.12.21,22963,13260,1450,342
2020.12.22,23316,13524,1468,353
2020.12.23,23316,13524,1468,0
2020.12.24,23316,13524,1468,0
2020.12.25,23316,13524,1468,0
2020.12.26,23316,13524,1468,0
2020.12.27,23316,13524,1468,0
2020.12.28,23316,13524,1468,0
2020.12.29,23316,13524,1468,0
2020.12.30,23316,13524,1468,0
2020.12.31,23316,13524,1468,0
2021.1.1,23316,13524,1468,0
2021.1.2,23316,13524,1468,0
2021.1.3,23316,13524,1468,0
2021.1.4,23316,13524,1468,0
2021.1.5,23316,13524,1468,0
2021.1.6,23316,13524,1468,0
2021.1.7,23316,13524,1468,0
2021.1.8,23316,13524,1468,0
2021.1.9,23316,13524,1468,0
2021.1.10,23316,13524,1468,0
2021.1.11,23316,13524,1468,0
2021.1.12,23316,13524,1468,0
2021.1.13,24694,14424,1520,1378
2021.1.14,25730,15240,1576,1036
2021.1.15,25730,15240,1576,0
2021.1.16,25730,15240,1576,0
2021.1.17,25730,15240,1576,0
2021.1.18,26279,15688,1603,549
2021.1.19,26279,15688,1603,0
2021.1.20,26279,15688,1603,0
2021.1.21,26279,15688,1603,0
2021.1.22,26279,15688,1603,0
2021.1.23,26279,15688,1603,0
2021.1.24,26279,15688,1603,0
2021.1.25,26279,15688,1603,0
2021.1.26,26596,20680,1750,317
2021.1.27,26596,20680,1750,0
2021.1.28,26671,20936,1760,75
2021.1.29,26898,21155,1798,227
2021.1.30,26898,21155,1798,0
2021.1.31,27133,21300,1804,235
2021.2.1,27202,21410,1807,69
2021.2.2,27402,21614,1829,200
2021.2.3,27402,21614,1829,0
2021.2.4,27443,21695,1830,41
2021.2.5,27500,21794,1831,57
2021.2.6,27500,21794,1831,0
2021.2.7,27500,21794,1831,0
2021.2.8,27631,21986,1835,131
2021.2.9,27717,22052,1835,86
2021.2.10,27717,22052,1835,0
2021.2.11,27820,22208,1849,103
2021.2.12,27820,22208,1849,0
2021.2.13,27820,22208,1849,0
2021.2.14,27820,22208,1849,0
2021.2.15,27820,22208,1849,0
2021.2.16,27956,22485,1858,136
2021.2.17,27985,22523,1863,29
2021.2.18,28025,22606,1864,40
2021.2.19,28038,22638,1864,13
2021.2.20,28038,22638,1864,0
2021.2.21,28038,22638,1864,0
2021.2.22,28038,22638,1864,0
2021.2.23,28137,22797,1871,99
2021.2.24,28210,22823,1876,73
2021.2.25,28210,22823,1876,0
2021.2.26,28270,22844,1878,60
2021.2.27,28303,22863,1878,33
2021.2.28,28334,22887,1880,31
2021.3.1,28351,22907,1880,17
2021.3.2,28406,22975,1890,55
2021.3.3,28545,23084,1895,139
2021.3.4,28545,23084,1895,0
2021.3.5,28545,23084,1895,0
2021.3.6,28545,23084,1895,0
2021.3.7,28605,23156,1895,60
2021.3.8,28605,23156,1895,0
2021.3.9,28766,23268,1915,161
2021.3.10,28766,23268,1915,0
2021.3.11,28766,23268,1915,0
2021.3.12,28984,23397,1940,218
2021.3.13,28984,23397,1940,0
2021.3.14,28984,23397,1940,0
2021.3.15,28984,23397,1940,0
2021.3.16,29135,23583,1959,151
2021.3.17,29135,23583,1959,0
2021.3.18,29135,23583,1959,0
2021.3.19,29135,23583,1959,0
2021.3.20,29135,23583,1959,0
2021.3.21,29135,23583,1959,0
2021.3.22,29419,23725,1986,284
2021.3.23,29419,23725,1986,0
2021.3.24,29542,23858,2003,123
2021.3.25,29661,23990,2028,119
2021.3.26,29661,23990,2028,0
2021.3.27,29661,23990,2028,0
