date,累计确诊,治愈,死亡,新增确诊
2020.4.9,10,4,1,0
2020.4.24,10,7,1,0
2020.4.29,10,8,1,0
2020.5.16,10,9,1,0
2020.5.17,11,9,1,1
2020.5.18,11,9,1,1
2020.5.19,11,9,1,0
2020.5.20,11,9,1,0
2020.5.21,11,9,1,0
2020.5.22,11,9,1,0
2020.5.23,11,9,1,0
2020.5.24,11,9,1,0
2020.5.25,11,9,1,0
2020.5.26,11,9,1,0
2020.5.27,11,9,1,0
2020.5.28,12,9,1,1
2020.5.29,12,9,1,0
2020.5.30,12,9,1,0
2020.5.31,14,9,1,2
2020.6.1,23,9,1,9
2020.6.2,44,9,1,21
2020.6.3,54,9,1,10
2020.6.4,74,9,1,20
2020.6.5,82,9,1,8
2020.6.6,91,9,1,9
2020.6.7,101,9,1,10
2020.6.8,122,9,1,21
2020.6.9,130,9,2,8
2020.6.10,137,9,2,7
2020.6.11,144,9,2,7
2020.6.12,168,9,2,24
2020.6.13,187,9,3,19
2020.6.14,196,9,3,9
2020.6.15,208,9,3,12
2020.6.16,229,48,5,21
2020.6.17,236,48,6,7
2020.6.18,261,48,6,25
2020.6.19,277,74,7,16
2020.6.20,293,74,8,16
2020.6.21,302,74,8,9
2020.6.22,314,106,8,12
2020.6.23,319,132,8,5
2020.6.24,319,132,9,0
2020.6.25,357,154,10,38
2020.6.26,373,176,10,16
2020.6.27,391,181,10,18
2020.6.28,467,191,11,76
2020.6.29,492,199,13,25
2020.6.30,501,217,13,9
2020.7.1,517,227,13,16
2020.7.2,535,242,13,18
2020.7.3,547,254,13,12
2020.7.4,561,267,13,14
2020.7.5,565,276,14,4
2020.7.6,594,292,14,29
2020.7.7,614,315,15,20
2020.7.8,634,405,15,20
2020.7.9,671,435,17,37
2020.7.10,699,456,17,28
2020.7.11,729,481,18,30
2020.7.12,741,495,18,12
2020.7.13,762,509,18,21
2020.7.14,780,526,18,18
2020.7.15,801,544,18,21
2020.7.16,849,573,18,48
2020.7.17,919,582,19,70
2020.7.18,943,600,19,24
2020.7.19,1001,610,20,58
2020.7.20,1029,627,21,28
2020.7.21,1079,656,21,50
2020.7.22,1131,705,21,52
2020.7.23,1176,739,21,45
2020.7.24,1234,774,23,58
2020.7.25,1305,804,23,71
2020.7.26,1381,853,23,76
2020.7.27,1439,890,23,58
2020.7.28,1483,925,24,44
2020.7.29,1510,965,24,27
2020.7.30,1607,1003,26,97
2020.7.31,1650,1080,26,43
2020.8.1,1706,1123,26,56
2020.8.2,1760,1161,26,54
2020.8.3,1849,1194,27,89
2020.8.4,1893,1227,27,44
2020.8.5,1981,1278,27,88
2020.8.6,2050,1327,27,69
2020.8.7,2096,1446,29,46
2020.8.8,2203,1505,29,107
2020.8.9,2306,1558,29,103
2020.8.10,2391,1635,29,85
2020.8.11,2489,1674,30,98
2020.8.12,2559,1712,39,70
2020.8.13,2653,1789,39,94
2020.8.14,2761,1830,40,108
2020.8.15,2838,1894,41,77
2020.8.16,2961,1990,42,123
2020.8.17,3016,2036,47,55
2020.8.18,3077,2138,48,61
2020.8.19,3216,2196,54,139
2020.8.20,3295,2227,54,79
2020.8.21,3366,2383,55,71
2020.8.22,3460,2498,56,94
2020.8.23,3569,2559,57,109
2020.8.24,3607,2688,58,38
2020.8.25,3632,2758,60,25
2020.8.26,3698,2818,61,66
2020.8.27,3724,2863,62,26
2020.8.28,3793,2893,66,69
2020.8.29,3848,2971,66,55
2020.8.30,3954,2991,67,106
2020.8.31,4009,3073,67,55
2020.9.1,4034,3140,71,25
2020.9.2,4089,3171,72,55
2020.9.3,4149,3272,72,60
2020.9.4,4215,3318,73,66
2020.9.5,4252,3366,75,37
2020.9.6,4320,3426,77,68
2020.9.7,4346,3494,85,26
2020.9.8,4360,3544,91,14
2020.9.9,4419,3595,91,59
2020.9.10,4447,3622,92,28
2020.9.11,4477,3706,93,30
2020.9.12,4529,3747,93,52
2020.9.13,4579,3788,93,50
2020.9.14,4582,3850,93,3
2020.9.15,4611,3935,95,29
2020.9.16,4625,3996,95,14
2020.9.17,4645,4089,95,20
2020.9.18,4671,4160,95,26
2020.9.19,4691,4280,96,20
2020.9.20,4709,4383,97,18
2020.9.21,4723,4488,97,14
2020.9.22,4740,4525,97,17
2020.9.23,4759,4541,100,19
2020.9.24,4779,4560,101,20
2020.9.25,4789,4578,102,10
2020.9.26,4817,4596,102,28
2020.9.27,4831,4620,102,14
2020.9.28,4835,4661,102,4
2020.9.29,4836,4667,102,1
2020.9.30,4863,4676,104,27
2020.10.1,4877,4695,104,14
2020.10.2,4891,4702,105,14
2020.10.3,4899,4715,105,8
2020.10.4,4924,4723,106,25
2020.10.5,4941,4741,106,17
2020.10.6,4954,4755,106,13
2020.10.7,4965,4766,106,11
2020.10.8,4979,4781,106,14
2020.10.9,5004,4794,106,25
2020.10.10,5018,4816,106,14
2020.10.11,5035,4830,107,17
2020.10.12,5051,4845,107,16
2020.10.13,5058,4862,107,7
2020.10.14,5072,4870,107,14
2020.10.15,5083,4886,108,11
2020.10.16,5094,4907,109,11
2020.10.17,5113,4921,109,19
2020.10.18,5123,4936,109,10
