date,累计确诊,治愈,死亡,新增确诊
2020.2.22,9,8,0,0
2020.2.23,9,8,0,0
2020.2.24,13,8,0,4
2020.2.25,13,8,0,0
2020.2.26,13,8,0,0
2020.2.27,15,8,0,2
2020.2.28,19,8,0,4
2020.2.29,23,8,0,4
2020.3.1,35,8,0,12
2020.3.2,40,8,0,5
2020.3.3,51,8,0,11
2020.3.4,85,8,0,34
2020.3.5,87,8,0,2
2020.3.6,163,8,1,76
2020.3.7,206,8,2,43
2020.3.8,273,18,2,67
2020.3.9,319,18,2,46
2020.3.10,321,18,5,2
2020.3.11,456,18,6,135
2020.3.12,596,18,10,140
2020.3.15,1372,19,35,232
2020.3.16,1543,19,53,171
2020.3.17,1950,19,71,407
2020.3.18,2626,65,104,676
2020.3.19,3269,65,144,643
2020.3.20,3983,65,177,714
2020.3.21,5018,65,233,1035
2020.3.22,5683,65,281,665
2020.3.23,6650,65,335,967
2020.3.24,8077,65,422,1427
2020.3.25,9529,65,465,1452
2020.3.26,11658,142,578,2129
2020.3.27,14579,150,759,2921
2020.3.28,17312,151,1021,2546
2020.3.29,19522,151,1228,2433
2020.3.30,22141,171,1408,2619
2020.3.31,25474,179,1793,3009
2020.4.1,29857,179,2357,4324
2020.4.2,34164,191,2926,4244
2020.4.3,38688,205,3611,4450
2020.4.4,42479,215,4320,3735
2020.4.5,48436,229,4943,5903
2020.4.6,51608,229,5373,3802
2020.4.7,55957,332,6171,4349
2020.4.8,60733,345,7097,5492
2020.4.9,65863,357,7992,4344
2020.4.10,74605,588,8974,5706
2020.4.11,79885,625,9892,5234
2020.4.12,84279,625,10612,5288
2020.4.13,89569,625,11346,4342
2020.4.14,94845,625,12129,5252
2020.4.15,98476,625,12868,4603
2020.4.16,108692,625,14576,5599
2020.4.17,114217,625,15464,5525
2020.4.18,120067,625,16060,5850
2020.4.19,121173,625,16489,1106
2020.4.20,125851,625,16550,4676
2020.4.21,130172,638,17378,4301
2020.4.22,134638,683,18151,1143
2020.4.23,139246,712,18791,1168
2020.4.24,144635,721,19566,4913
2020.4.25,149569,774,20381,4934
2020.4.26,152840,778,20732,4463
2020.4.27,157149,778,21092,4310
2020.4.28,161145,807,21678,3996
2020.4.29,165221,807,26097,4076
2020.4.30,171253,807,26771,6032
