date,累计确诊,治愈,死亡,新增确诊
2020.4.11,3,2,0,0
2020.4.16,4,2,0,1
2020.4.19,5,3,1,1
2020.4.25,6,3,1,1
2020.5.6,7,3,1,1
2020.5.14,8,6,1,1
2020.5.16,8,6,1,0
2020.5.18,8,6,1,0
2020.5.19,8,6,1,0
2020.5.20,8,6,1,0
2020.5.21,8,6,1,0
2020.5.22,8,6,1,0
2020.5.23,8,6,1,0
2020.5.24,8,6,1,0
2020.5.25,8,6,1,0
2020.5.26,8,6,1,0
2020.5.27,8,7,1,0
2020.5.28,8,7,1,0
2020.5.29,8,7,1,0
2020.5.30,8,7,1,0
2020.5.31,8,7,1,0
2020.6.1,8,7,1,0
2020.6.2,8,7,1,0
2020.6.3,8,7,1,0
2020.6.4,8,7,1,0
2020.6.5,8,7,1,0
2020.6.6,8,7,1,0
2020.6.7,8,7,1,0
2020.6.8,8,7,1,0
2020.6.9,8,7,1,0
2020.6.10,8,7,1,0
2020.6.11,8,7,1,0
2020.6.12,8,7,1,0
2020.6.13,8,7,1,0
2020.6.14,8,7,1,0
2020.6.15,8,7,1,0
2020.6.16,8,7,1,0
2020.6.17,8,7,1,0
2020.6.18,8,7,1,0
2020.6.19,8,7,1,0
2020.6.20,8,7,1,0
2020.6.21,8,7,1,0
2020.6.22,8,7,1,0
2020.6.23,8,7,1,0
2020.6.24,8,7,1,0
2020.6.25,8,7,1,0
2020.6.26,8,7,1,0
2020.6.27,8,7,1,0
2020.6.28,8,7,1,0
2020.6.29,8,7,1,0
2020.6.30,8,7,1,0
2020.7.1,8,7,1,0
2020.7.2,8,7,1,0
2020.7.3,8,7,1,0
2020.7.4,8,7,1,0
2020.7.5,8,7,1,0
2020.7.6,8,7,1,0
2020.7.7,8,7,1,0
2020.7.8,8,7,1,0
2020.7.9,8,7,1,0
2020.7.10,8,7,1,0
2020.7.11,8,7,1,0
2020.7.12,8,7,1,0
2020.7.13,8,7,1,0
2020.7.14,8,7,1,0
2020.7.15,8,7,1,0
2020.7.16,8,7,1,0
2020.7.17,8,7,1,0
2020.7.18,8,7,1,0
2020.7.19,8,7,1,0
2020.7.20,8,7,1,0
2020.7.21,8,7,1,0
2020.7.22,8,7,1,0
2020.7.23,8,7,1,0
2020.7.24,8,7,1,0
2020.7.25,8,7,1,0
2020.7.26,8,7,1,0
2020.7.27,8,7,1,0
2020.7.28,8,7,1,0
2020.7.29,8,7,1,0
2020.7.30,8,7,1,0
2020.7.31,8,7,1,0
2020.8.1,8,7,1,0
2020.8.2,8,7,1,0
