date,累计确诊,治愈,死亡,新增确诊
2020.2.28,2,0,0,2
2020.2.29,4,0,0,2
2020.3.1,10,0,0,6
2020.3.2,10,0,0,0
2020.3.3,24,0,0,14
2020.3.4,38,0,0,14
2020.3.5,82,0,0,44
2020.3.6,82,0,1,0
2020.3.7,188,0,1,106
2020.3.8,265,0,3,77
2020.3.9,321,0,3,56
2020.3.10,382,0,4,61
2020.3.11,503,0,5,121
2020.3.12,614,0,5,111
2020.3.14,959,0,12,155
2020.3.15,1135,0,20,17
2020.3.16,1413,0,24,278
2020.3.17,1705,0,43,292
2020.3.18,2051,2,58,346
2020.3.19,2460,2,76,409
2020.3.20,2994,2,106,534
2020.3.21,3631,2,136,637
2020.3.22,4204,2,179,573
2020.3.24,5560,2,276,811
2020.3.25,6412,3,356,852
2020.3.26,7431,3,434,1019
2020.3.27,8642,6,547,1172
2020.3.28,9762,6,639,1159
2020.3.29,10866,253,771,1104
2020.3.30,11817,253,865,884
2020.3.31,12667,253,1040,845
2020.4.1,13696,260,1175,1019
2020.4.2,14784,260,1341,1083
2020.4.3,15821,260,1490,1026
2020.4.4,16727,262,1656,1026
2020.4.5,18803,262,1867,952
2020.4.6,18926,262,1874,952
2020.4.7,19709,272,2108,777
2020.4.8,20682,272,2255,969
2020.4.9,21903,278,2403,1213
2020.4.10,23249,287,2520,152
2020.4.11,24413,287,2643,1316
2020.4.12,25746,295,2747,159
2020.4.13,26710,295,2833,964
2020.4.14,27580,295,2945,161
2020.4.15,28153,297,3134,734
2020.4.16,30449,311,3459,1235
2020.4.17,31589,311,3601,1140
2020.4.18,32655,317,3684,1066
2020.4.19,32838,322,3697,750
2020.4.20,33588,322,3764,183
2020.4.21,34318,322,3929,184
2020.4.22,35729,322,4177,887
2020.4.23,35921,322,4192,806
2020.4.24,37190,322,4409,655
2020.4.25,37845,322,4475,655
2020.4.26,38245,322,4518,400
2020.4.27,38416,322,4566,171
2020.4.28,38802,322,4711,386
2020.4.29,39316,322,4795,514
2020.4.30,39791,322,4893,475
2020.5.1,40236,322,4987,445
2020.5.2,40571,322,5056,335
2020.5.3,40770,322,5082,199
2020.5.4,41087,322,5168,317
2020.5.5,41319,322,5204,232
2020.5.6,41774,322,5288,455
2020.5.7,42093,322,5359,319
2020.5.8,42382,322,5422,289
2020.5.9,42627,322,5440,245
2020.5.10,42788,322,5456,161
2020.5.11,42984,322,5510,196
2020.5.12,43211,322,5562,277
2020.5.13,43481,322,5590,270
2020.5.14,43681,322,5643,200
2020.5.15,43870,322,5670,189
2020.5.16,43995,322,5680,125
2020.5.17,44141,322,5694,146
2020.5.18,44141,322,5694,0
2020.5.19,44249,322,5715,108
2020.5.20,44447,322,5748,198
2020.5.21,44700,322,5775,253
2020.5.22,44888,322,5788,188
2020.5.23,45064,322,5811,176
2020.5.24,45236,322,5822,172
2020.5.25,45445,322,5830,209
2020.5.26,45578,322,5856,133
2020.5.27,45768,322,5871,190
2020.5.28,45950,322,5903,182
2020.5.29,46126,322,5931,176
2020.5.30,46257,322,5951,131
2020.5.31,46442,322,5956,185
2020.6.1,46545,322,5962,103
2020.6.2,46647,322,5967,102
2020.6.3,46733,322,5977,86
2020.6.4,46942,322,5990,209
2020.6.5,47152,322,6005,210
2020.6.6,47335,322,6011,183
2020.6.7,47574,322,6013,239
2020.6.8,47739,322,6016,165
2020.6.9,47903,322,6031,164
2020.6.10,48087,322,6042,184
2020.6.11,48251,322,6044,164
2020.6.12,48461,322,6053,210
2020.6.13,48640,322,6057,179
