date,累计确诊,治愈,死亡,新增确诊
2020.4.7,17,1,0,7
2020.4.8,17,1,0,7
2020.4.10,20,2,0,3
2020.4.12,21,2,0,1
2020.4.14,28,2,0,7
2020.4.15,29,2,0,1
2020.4.16,34,2,0,3
2020.4.18,35,4,0,1
2020.4.21,41,8,0,2
2020.4.23,46,8,0,5
2020.4.24,65,12,0,19
2020.4.25,76,12,0,6
2020.5.1,79,12,0,3
2020.5.3,80,19,0,1
2020.5.5,81,19,0,1
2020.5.7,82,27,0,1
2020.5.9,87,34,0,5
2020.5.10,103,34,0,12
2020.5.12,104,34,0,1
2020.5.13,107,35,0,3
2020.5.14,115,35,0,11
2020.5.15,119,42,0,4
2020.5.16,129,43,0,10
2020.5.17,137,44,0,8
2020.5.18,145,44,0,8
2020.5.19,146,44,0,1
2020.5.20,156,48,0,10
2020.5.21,162,48,0,6
2020.5.22,164,48,0,2
2020.5.23,168,48,0,4
2020.5.24,194,51,0,26
2020.5.25,209,51,1,15
2020.5.26,213,71,1,4
2020.5.27,227,71,1,14
2020.5.28,227,71,1,0
2020.5.29,234,84,2,7
2020.5.30,244,90,2,10
2020.5.31,254,91,2,10
2020.6.1,254,91,2,0
2020.6.2,307,98,2,53
2020.6.3,307,98,2,0
2020.6.4,352,114,2,45
2020.6.5,352,114,2,0
2020.6.6,409,126,2,57
2020.6.7,424,127,2,15
2020.6.8,433,131,2,9
2020.6.9,453,136,2,20
2020.6.10,472,138,2,19
2020.6.11,489,144,2,17
2020.6.12,509,145,2,20
2020.6.13,553,151,2,44
2020.6.14,583,151,3,30
2020.6.15,583,151,3,0
2020.6.16,609,157,3,26
2020.6.17,638,160,4,29
2020.6.18,662,175,4,24
2020.6.19,668,177,4,6
2020.6.20,688,177,4,20
2020.6.21,733,181,5,45
2020.6.22,733,181,5,0
2020.6.23,757,206,5,24
2020.6.24,757,206,5,0
2020.6.25,788,221,5,31
2020.6.26,816,223,5,28
2020.6.27,816,223,5,0
2020.6.28,839,225,5,23
2020.6.29,859,228,5,20
2020.6.30,883,229,6,24
2020.7.1,903,248,6,20
2020.7.2,903,248,6,0
2020.7.3,918,249,6,15
2020.7.4,969,256,7,51
2020.7.5,987,256,8,18
2020.7.6,987,270,8,0
2020.7.7,1012,277,8,25
2020.7.8,1071,337,8,59
2020.7.9,1071,337,8,0
2020.7.10,1111,344,9,40
2020.7.11,1135,349,9,24
2020.7.12,1135,349,9,0
2020.7.13,1157,364,9,22
2020.7.14,1268,373,9,111
2020.7.15,1330,375,9,62
2020.7.16,1383,375,9,53
2020.7.17,1402,397,9,19
2020.7.18,1435,408,10,33
2020.7.19,1491,472,10,56
2020.7.20,1491,472,10,0
2020.7.21,1536,505,11,45
2020.7.22,1557,523,11,21
2020.7.23,1557,523,11,0
2020.7.24,1582,528,11,25
2020.7.25,1616,543,11,34
2020.7.26,1669,593,11,53
2020.7.27,1669,593,11,0
2020.7.28,1701,596,11,32
2020.7.29,1748,616,11,47
2020.7.30,1748,616,11,0
2020.7.31,1808,638,11,60
2020.8.1,1864,641,11,56
2020.8.2,1907,645,12,43
2020.8.3,1946,654,13,39
2020.8.4,1973,676,14,27
2020.8.5,2029,765,15,56
2020.8.6,2079,778,15,50
2020.8.7,2120,795,15,41
2020.8.8,2213,827,15,93
2020.8.9,2241,832,16,28
2020.8.10,2269,840,16,28
2020.8.11,2411,860,16,142
2020.8.12,2481,910,17,70
2020.8.13,2559,951,19,78
2020.8.14,2638,1015,19,79
2020.8.15,2708,1075,19,70
2020.8.16,2855,1163,19,147
2020.8.17,2855,1163,19,0
2020.8.18,2914,1196,19,59
2020.8.19,2991,1245,19,77
2020.8.20,3045,1291,19,54
2020.8.21,3115,1380,20,70
2020.8.22,3195,1406,20,80
2020.8.23,3395,1503,20,200
2020.8.24,3395,1503,20,0
2020.8.25,3440,1661,21,45
2020.8.26,3508,1809,21,68
2020.8.27,3590,1927,21,82
2020.8.28,3651,1968,21,61
2020.8.29,3697,2055,21,46
2020.8.30,3760,2078,22,63
2020.8.31,3821,2100,23,61
2020.9.1,3916,2170,23,95
2020.9.2,4039,2170,23,123
2020.9.3,4207,2370,26,168
2020.9.4,4207,2370,26,0
2020.9.5,4341,2579,26,134
2020.9.6,4341,2579,26,0
2020.9.7,4444,2615,27,103
2020.9.8,4557,2697,27,113
2020.9.9,4647,2715,28,90
2020.9.10,4764,2763,28,117
2020.9.11,4832,2857,31,68
2020.9.12,4918,2899,31,86
2020.9.13,5040,2905,35,122
2020.9.14,5269,2960,35,229
2020.9.15,5482,3024,35,213
2020.9.16,5713,3181,37,231
2020.9.17,5994,3267,39,281
2020.9.18,6161,3393,39,167
2020.9.19,6264,3502,40,103
2020.9.20,6537,3620,41,273
2020.9.21,6771,3622,43,234
2020.9.22,6912,3738,44,141
2020.9.23,7114,4064,45,202
2020.9.24,7262,4350,49,148
2020.9.25,7399,4558,51,137
2020.9.26,7589,4649,53,190
2020.9.27,7757,4769,54,168
2020.9.28,7983,4807,58,226
2020.9.29,8288,4836,59,305
2020.9.30,8556,5205,59,268
2020.10.1,8728,5232,61,172
2020.10.2,8979,5595,64,251
2020.10.3,8979,5595,64,0
2020.10.4,9049,5736,64,70
2020.10.5,9296,6104,66,247
2020.10.6,9398,6358,67,102
2020.10.7,9398,6358,67,0
2020.10.8,9494,6812,68,96
2020.10.9,9639,6911,68,145
2020.10.10,9742,7171,69,103
2020.10.11,10001,7338,71,259
2020.10.12,10001,7338,71,0
2020.10.13,10088,7550,72,87
2020.10.14,10258,7880,73,170
2020.10.15,10392,8035,73,134
2020.10.16,10537,8214,73,145
2020.10.17,10707,8272,74,170
2020.10.18,10707,8272,74,0
2020.10.19,10866,8513,75,159
2020.10.20,11190,9007,78,324
2020.10.21,11190,9007,78,0
2020.10.22,11331,9165,79,141
2020.10.23,11559,9226,81,228
2020.10.24,11748,9234,82,189
2020.10.25,11895,9244,85,147
2020.10.26,11986,9253,86,91
2020.10.27,12273,9282,89,287
2020.10.28,12415,9785,91,142
2020.10.29,12525,10001,91,110
2020.10.30,12525,10001,91,0
2020.10.31,12777,10437,91,252
2020.11.1,12869,10437,92,92
2020.11.2,12988,10439,93,119
2020.11.3,13130,10439,94,142
2020.11.4,13202,10695,95,72
2020.11.5,13283,10983,95,81
2020.11.6,13391,11177,97,108
2020.11.7,13577,11581,99,186
2020.11.8,13577,11581,99,0
2020.11.9,13768,11605,99,191
2020.11.10,13823,11659,99,55
2020.11.11,13991,11959,104,168
2020.11.12,13991,11959,104,0
2020.11.13,14094,12134,104,103
2020.11.14,14340,12505,110,246
2020.11.15,14448,12505,113,108
2020.11.16,14448,12505,113,0
2020.11.17,14514,12599,116,66
2020.11.18,14566,12646,118,52
