date,累计确诊,治愈,死亡,新增确诊
2020.4.7,3870,96,182,106
2020.4.8,4076,124,203,206
2020.4.9,4195,140,221,119
2020.4.12,4932,242,315,284
2020.4.13,5223,295,335,291
2020.4.14,5453,353,349,291
2020.4.15,5660,435,362,207
2020.4.16,5878,487,387,218
2020.4.17,6087,516,397,209
2020.4.18,6259,572,409,172
2020.4.19,6459,613,428,200
2020.4.20,6599,654,437,140
2020.4.21,6710,693,446,111
2020.4.22,6981,722,462,271
2020.4.23,7192,762,477,211
2020.4.24,7294,792,494,102
2020.4.25,7579,862,501,285
2020.4.26,7777,932,511,198
2020.4.27,7958,975,530,181
2020.4.28,8212,1023,558,254
2020.4.29,8488,1043,568,276
2020.4.30,8772,1084,579,284
2020.5.1,8928,1124,603,156
2020.5.2,9223,1214,607,295
2020.5.3,9485,1315,623,262
2020.5.4,9684,1408,637,199
2020.5.5,10004,1506,658,320
2020.5.6,10343,1618,685,339
2020.5.7,10463,1734,696,120
2020.5.8,10610,1842,704,147
2020.5.9,10794,1924,719,184
2020.5.10,11086,1999,726,292
2020.5.11,11350,2106,751,264
2020.5.12,11618,2251,772,268
2020.5.13,11876,2337,790,258
2020.5.14,12091,2460,806,215
2020.5.15,12305,2561,817,214
2020.5.16,12513,2635,824,208
2020.5.17,12718,2729,831,205
2020.5.18,12718,2729,831,0
2020.5.19,12942,2843,837,224
2020.5.20,13221,2932,842,279
2020.5.21,13434,3000,846,213
2020.5.22,13597,3092,857,163
2020.5.23,13777,3177,863,180
2020.5.24,14035,3249,868,258
2020.5.25,14319,3323,873,284
2020.5.26,14669,3412,886,350
2020.5.27,15049,3506,904,380
2020.5.28,15588,3598,921,539
2020.5.29,16634,3720,942,1046
2020.5.30,17224,3808,950,590
2020.5.31,18086,3909,957,862
2020.6.1,18638,3979,960,552
2020.6.2,18997,4063,966,359
2020.6.3,19748,4153,974,751
2020.6.4,20382,4248,984,634
2020.6.5,20626,4330,987,244
2020.6.6,21340,4441,994,714
2020.6.7,21895,4530,1003,555
2020.6.8,22474,4637,1011,579
2020.6.9,22992,4736,1017,518
2020.6.10,23732,4895,1027,740
2020.6.11,24175,5165,1036,443
2020.6.12,24787,5454,1052,612
2020.6.13,25392,5706,1074,605
2020.6.14,25930,5954,1088,538
2020.6.15,26420,6252,1098,490
2020.6.16,26781,6552,1103,361
2020.6.17,27238,6820,1108,457
2020.6.18,27799,7090,1116,561
2020.6.19,28459,7378,1130,660
2020.6.20,29400,7650,1150,941
2020.6.21,30052,7893,1169,652
2020.6.22,30682,8143,1177,630
2020.6.23,31825,8442,1186,1143
2020.6.24,32295,8656,1204,470
2020.6.25,33069,8910,1212,774
2020.6.26,34073,9182,1224,1004
2020.6.27,34803,9430,1236,730
2020.6.28,35455,9686,1244,652
2020.6.29,36438,9956,1255,983
2020.6.30,37514,10233,1266,1076
2020.7.1,38511,10438,1270,997
2020.7.2,38805,10673,1274,294
2020.7.3,40336,11073,1280,1531
2020.7.4,41830,11453,1290,1494
2020.7.5,44254,11942,1297,2424
2020.7.6,46333,12185,1303,2079
2020.7.7,47873,12386,1309,1540
2020.7.8,50359,12588,1314,2486
2020.7.9,51754,12813,1314,1395
2020.7.10,52914,13230,1360,1160
2020.7.11,54222,14037,1372,1308
2020.7.12,54222,14037,1372,0
2020.7.13,57006,20371,1599,2784
2020.7.14,57545,20459,1603,539
2020.7.15,58850,20976,1614,1305
2020.7.16,61266,21440,1643,2416
2020.7.17,63001,21748,1660,1735
2020.7.18,65304,22067,1773,2303
2020.7.19,67456,22465,1831,2152
2020.7.20,68898,23072,1835,1442
2020.7.21,70764,23281,1837,1866
2020.7.22,72269,23623,1843,1505
2020.7.23,74390,24383,1871,2121
2020.7.24,76444,24502,1879,2054
2020.7.25,78412,25752,1897,1968
2020.7.26,80448,26110,1932,2036
2020.7.27,82040,26446,1945,1592
2020.7.28,83673,26617,1947,1633
2020.7.29,85486,26996,1962,1813
2020.7.30,89374,65064,1983,3888
2020.7.31,93354,65178,2023,3980
2020.8.1,98232,65265,2039,4878
2020.8.2,103185,65557,2059,4953
2020.8.3,106330,65821,2104,3145
2020.8.4,112593,66049,2115,6263
2020.8.5,115980,66270,2123,3387
2020.8.6,119460,66837,2150,3480
2020.8.7,122754,66852,2168,3294
2020.8.8,126885,67117,2209,4131
2020.8.9,129913,67673,2270,3028
2020.8.10,136638,68159,2294,6725
2020.8.11,139538,68432,2312,2900
2020.8.12,143749,68997,2404,4211
2020.8.13,147526,70387,2426,3777
2020.8.14,153660,71405,2442,6134
2020.8.15,157918,72209,2600,4258
2020.8.16,157918,72209,2600,0
2020.8.17,164474,112759,2681,6556
2020.8.18,169213,112861,2687,4739
2020.8.19,173774,113481,2795,4561
2020.8.20,178022,114114,2883,4248
2020.8.21,182365,114519,2940,4343
2020.8.22,187249,114921,2966,4884
2020.8.23,189601,131367,2998,2352
2020.8.24,194252,132042,3010,4651
2020.8.25,197164,132396,3038,2912
2020.8.26,202361,133460,3137,5197
2020.8.27,205581,133990,3234,3220
2020.8.28,209544,134474,3325,3963
2020.8.29,213131,135101,3419,3587
2020.8.30,217396,157403,3520,4265
2020.8.31,220819,157562,3558,3423
2020.9.1,224264,158012,3597,3445
2020.9.2,226440,158610,3623,2176
2020.9.3,228403,159475,3688,1963
2020.9.4,232072,160549,3737,3669
2020.9.5,234570,161668,3790,2498
2020.9.6,237365,184687,3875,2795
2020.9.7,238727,184906,3890,1362
2020.9.8,241987,185178,3916,3260
2020.9.9,245143,185543,3986,3156
2020.9.10,248947,186058,4066,3804
2020.9.11,252964,186606,4108,4017
2020.9.12,257863,187116,4292,4899
2020.9.13,261216,207568,4371,3353
2020.9.14,265888,207504,4630,4672
2020.9.15,269407,207352,4663,3519
2020.9.16,272934,207858,4732,3527
2020.9.17,276289,208096,4785,3355
2020.9.18,279526,208790,4830,3237
2020.9.19,283460,209885,4930,3934
2020.9.20,286743,229865,4984,3283
2020.9.21,290190,230233,4999,3447
2020.9.22,291789,230643,5049,1599
2020.9.23,294591,231373,5091,2802
2020.9.24,296755,231928,5127,2164
2020.9.25,299361,232399,5196,2606
2020.9.26,301256,232906,5284,1895
2020.9.27,304226,252510,5344,2970
2020.9.28,307288,252665,5381,3062
2020.9.29,309303,252930,5448,2015
2020.9.30,311694,253488,5504,2391
2020.10.1,314079,254223,5562,2385
2020.10.2,316678,254617,5616,2599
2020.10.3,319330,255046,5678,2652
2020.10.4,322497,273079,5776,3167
2020.10.5,324762,273123,5840,2265
2020.10.6,326833,273313,5865,2071
2020.10.7,329637,273723,5925,2804
2020.10.8,331869,274318,6069,2232
2020.10.9,334770,275307,6152,2901
2020.10.10,336926,276094,6238,2156
2020.10.11,339341,293075,6321,2415
2020.10.12,342816,293152,6332,3475
2020.10.13,344713,293383,6372,1897
2020.10.14,346536,293860,6449,1823
2020.10.15,348698,294161,6497,2162
2020.10.16,351750,294865,6531,3052
2020.10.17,354338,295312,6603,2588
2020.10.18,356618,310158,6652,2280
2020.10.19,359169,310303,6675,2551
2020.10.20,360775,310642,6690,1606
2020.10.21,362243,311506,6747,1468
2020.10.22,363888,312333,6783,1645
2020.10.23,365799,312691,6915,1911
2020.10.24,367819,313112,6934,2020
2020.10.25,370028,328036,6977,2209
2020.10.26,371630,328258,7039,1602
2020.10.27,373144,328602,7053,1514
2020.10.28,375180,329111,7114,2036
2020.10.29,376935,329848,7147,1755
2020.10.30,378933,330457,7185,1998
2020.10.31,380729,331046,7221,1796
2020.11.1,383113,348760,7238,2384
2020.11.2,385400,348830,7269,2287
2020.11.3,387161,348967,7318,1761
2020.11.4,388137,349091,7367,976
2020.11.5,389725,349543,7409,1588
2020.11.6,391809,349974,7461,2084
2020.11.7,393961,350216,7485,2152
2020.11.8,396395,361638,7539,2434
2020.11.9,398449,361784,7647,2054
2020.11.10,399749,361919,7661,1300
2020.11.11,401416,362217,7710,1667
2020.11.12,402820,362417,7721,1404
2020.11.13,404713,362903,7752,1893
2020.11.14,406337,363068,7791,1624
2020.11.15,407838,374329,7832,1501
2020.11.16,409574,374366,7839,1736
2020.11.17,410718,374543,7862,1144
2020.11.18,412097,374666,7957,1379
2020.11.19,413430,374939,7998,1333
2020.11.20,415067,375237,8025,1637
2020.11.21,416852,375548,8080,1785
2020.11.22,418818,386486,8123,1966
2020.11.23,420614,386604,8173,1796
2020.11.24,421722,386792,8185,1108
2020.11.25,422915,386955,8215,1193
2020.11.26,424297,387266,8242,1382
2020.11.27,425918,387616,8255,1621
2020.11.28,427797,388062,8333,1879
2020.11.29,429864,398624,8373,2607
2020.11.30,431630,398658,8392,1766
2020.12.1,432925,398782,8418,1295
2020.12.2,434357,399005,8436,1432
2020.12.3,435413,399325,8446,1056
2020.12.4,436345,399345,8509,932
2020.12.5,438069,399582,8526,1724
2020.12.6,439834,408634,8554,1765
2020.12.7,441399,408702,8572,1565
2020.12.8,442785,408790,8670,1386
2020.12.9,444164,408942,8677,1379
2020.12.10,445540,409058,8701,1376
2020.12.11,447039,409329,8709,1499
2020.12.12,448331,409433,8730,1292
2020.12.13,449400,418687,8733,1069
2020.12.14,450733,418723,8757,1333
2020.12.15,451839,418867,8812,1106
2020.12.16,452988,419282,8833,1149
2020.12.17,454447,419902,8850,1459
2020.12.18,456562,420666,8875,2115
2020.12.19,458044,421086,8911,1482
2020.12.20,459789,429134,8947,1745
2020.12.21,461505,429207,8957,1716
2020.12.22,462815,429419,9021,1310
2020.12.23,464004,429972,9048,1189
2020.12.24,465724,430490,9055,1720
2020.12.25,467601,430791,9062,1877
2020.12.26,469005,431055,9067,1404
2020.12.27,470650,438780,9124,1645
2020.12.28,470650,438780,9124,0
2020.12.29,471526,439016,9162,876
2020.12.30,472532,439509,9230,1006
2020.12.31,474064,439796,9244,1532
2021.1.1,475820,439895,9248,1756
2021.1.2,476916,439942,9253,1096
2021.1.3,477807,448258,9257,891
2021.1.4,478761,448279,9263,954
2021.1.5,479693,448375,9321,932
2021.1.6,480737,448700,9347,1044
2021.1.7,482083,449052,9356,1346
2021.1.8,483852,449330,9364,1769
2021.1.9,485797,449615,9398,1945
2021.1.10,487690,458198,9405,1893
2021.1.11,489736,458206,9416,2046
2021.1.12,491258,458172,9554,1522
2021.1.13,492700,458523,9699,1442
2021.1.14,494605,459252,9739,1905
2021.1.15,496646,459737,9876,2041
2021.1.16,498691,460133,9884,2045
2021.1.17,500577,465991,9895,1886
2021.1.18,502736,465988,9909,2159
2021.1.19,504084,466249,9978,1348
2021.1.20,505939,466993,10042,1855
2021.1.21,507717,467475,10116,1778
2021.1.22,509887,467720,10136,2170
2021.1.23,511679,467886,10190,1792
2021.1.24,513619,475612,10242,1940
2021.1.25,514996,475422,10292,1377
2021.1.26,516166,475423,10386,1170
2021.1.27,518407,475542,10481,2241
2021.1.28,519575,475596,10552,1168
2021.1.29,521413,475765,10600,1838
2021.1.30,523516,475904,10669,2103
2021.1.31,525618,487551,10749,2102
2021.2.1,527272,487574,10807,1654
2021.2.2,528853,487611,10874,1581
2021.2.3,530118,487721,10942,1265
2021.2.4,531699,487927,10997,1581
2021.2.5,533587,488274,11058,1888
2021.2.6,535521,488465,11110,1934
2021.2.7,537310,499798,11179,1789
2021.2.8,538995,499772,11231,1685
2021.2.9,540227,499764,11296,1232
2021.2.10,541560,499971,11401,1333
2021.2.11,543282,500335,11469,1722
2021.2.12,545300,500654,11495,2018
2021.2.13,547255,500781,11507,1955
2021.2.14,549176,511743,11515,1921
2021.2.15,550860,511755,11517,1684
2021.2.16,552246,511796,11524,1386
2021.2.17,553424,512033,11577,1178
2021.2.18,555163,512163,11673,1739
2021.2.19,557058,512789,11829,1895
2021.2.20,559288,513120,12068,2230
2021.2.21,561169,522843,12088,1881
2021.2.22,563456,522874,12094,2287
2021.2.23,564865,522941,12107,1409
2021.2.24,566420,523321,12129,1555
2021.2.25,568680,524042,12201,2260
2021.2.26,571327,524582,12247,2647
2021.2.27,574247,524865,12289,2920
2021.2.28,576352,534271,12318,2105
2021.3.1,578381,534351,12322,2029
2021.3.2,580442,534463,12369,2061
2021.3.3,582223,534778,12389,1781
2021.3.4,584667,535037,12404,2444
2021.3.5,587704,535207,12423,3037
2021.3.6,591138,535350,12465,3434
2021.3.7,594412,545853,12516,3274
2021.3.8,597763,545912,12521,3351
2021.3.9,600428,546078,12528,2665
2021.3.10,603308,546293,12545,2880
2021.3.11,607048,546671,12608,3740
2021.3.12,611618,546912,12694,4570
2021.3.13,616611,547166,12766,4993
2021.3.14,621498,560512,12829,4887
2021.3.15,626893,560577,12837,5395
2021.3.16,631320,560736,12848,4427
2021.3.17,635698,561099,12866,4378
2021.3.18,640984,561530,12887,5286
2021.3.19,648066,561902,12900,7082
2021.3.20,656056,562484,12930,7990
2021.3.21,663794,577754,12968,7738
2021.3.22,671792,577850,12972,7998
2021.3.23,677653,578461,12992,5861
2021.3.24,684311,579518,13039,6658
2021.3.25,693048,580062,13095,8737
2021.3.26,702856,580689,13149,9808
2021.3.27,712442,581161,13159,9586
2021.3.28,721892,603154,13170,9450
2021.3.29,731894,603213,13186,10002
2021.3.30,741181,603310,13191,9287
2021.3.31,747288,603746,13297,6107
2021.4.1,756199,603948,13303,8911
2021.4.2,771497,604368,13320,15298
2021.4.3,784043,604905,13423,12546
2021.4.4,795051,646100,13425,11008
2021.4.5,803398,646237,13435,8347
2021.4.6,812760,646381,13817,9362
2021.4.7,819164,646404,14059,6404
2021.4.8,828366,646968,14119,9202
2021.4.9,840554,647683,14520,12188
2021.4.10,853209,648220,14744,12655
2021.4.11,864868,703404,14945,11659
2021.4.12,876225,703625,15149,11357
2021.4.13,884783,703963,15286,8558
2021.4.14,892880,704386,15447,8097
2021.4.15,904285,705164,15594,11405
2021.4.16,914971,705757,15738,10686
2021.4.17,926052,706532,15810,11081
2021.4.18,936133,779084,15960,10081
2021.4.19,945745,788322,16048,9612
2021.4.20,953106,809959,16141,7361
