date,累计确诊,治愈,死亡,新增确诊
2020.4.7,93,9,5,15
2020.4.8,103,10,5,10
2020.4.9,103,14,6,10
2020.4.10,118,19,6,1
2020.4.11,124,19,6,6
2020.4.12,137,22,6,12
2020.4.13,149,22,6,12
2020.4.14,149,25,6,12
2020.4.15,164,33,6,5
2020.4.16,177,33,7,13
2020.4.17,190,43,7,13
2020.4.18,201,44,7,11
2020.4.19,218,46,7,17
2020.4.20,225,48,7,7
2020.4.21,237,63,7,12
2020.4.22,250,67,8,13
2020.4.23,261,67,8,11
2020.4.24,274,75,8,13
2020.4.25,298,83,8,24
2020.4.26,323,89,8,25
2020.4.27,345,97,8,22
2020.4.28,377,106,9,32
2020.4.29,395,118,9,18
2020.4.30,424,124,10,29
2020.5.1,446,138,10,22
2020.5.2,490,154,11,22
2020.5.3,555,180,12,65
2020.5.4,587,201,13,32
2020.5.5,633,219,14,46
2020.5.6,695,245,15,62
2020.5.7,742,257,15,47
2020.5.11,998,349,18,40
2020.5.12,1037,374,20,39
2020.5.13,1112,405,20,75
2020.5.15,1265,441,25,98
2020.5.16,1338,462,27,73
2020.5.17,1413,474,30,75
2020.5.18,1413,474,30,0
2020.5.19,1498,502,30,85
2020.5.20,1571,531,31,73
2020.5.21,1640,540,32,69
2020.5.22,1725,562,33,85
2020.5.23,1819,570,33,94
2020.5.24,1915,594,35,96
2020.5.25,1983,698,35,68
2020.5.26,2042,787,36,59
2020.5.27,2109,873,37,67
2020.5.28,2194,1002,39,85
2020.5.29,2278,1015,42,84
2020.5.30,2395,1026,44,117
2020.5.31,2517,1040,46,122
2020.6.1,2582,1063,46,65
2020.6.2,2653,1116,46,71
2020.6.3,2705,1179,49,52
2020.6.4,2781,1208,51,76
2020.6.5,2849,1249,53,68
2020.6.6,2934,1281,53,85
2020.6.7,3015,1305,53,81
2020.6.8,3104,1361,55,89
2020.6.9,3191,1413,58,87
2020.6.10,3274,1438,60,83
2020.6.11,3373,1497,64,99
2020.6.12,3481,1587,68,108
2020.6.13,3603,1738,72,122
2020.6.14,3720,1837,72,117
2020.6.15,3826,1912,74,106
2020.6.16,3941,2041,76,115
2020.6.17,4066,2137,78,125
2020.6.18,4200,2235,82,134
2020.6.19,4329,2310,86,129
2020.6.20,4475,2449,93,146
2020.6.21,4626,2535,98,151
2020.6.22,4808,2655,107,182
2020.6.23,4973,2814,113,165
2020.6.24,5150,2924,119,177
2020.6.25,5336,3116,126,186
2020.6.26,5517,3291,133,181
2020.6.27,5727,3447,143,210
2020.6.28,5934,3557,152,207
2020.6.29,6173,3648,164,239
2020.6.30,6438,3770,174,265
2020.7.1,6736,3964,182,298
2020.7.2,7000,4115,191,264
2020.7.3,7267,4268,202,267
2020.7.4,7507,4434,210,240
2020.7.5,7777,4573,217,270
2020.7.6,8027,4730,223,250
2020.7.7,8307,4929,229,280
2020.7.8,8566,5133,235,259
2020.7.9,8844,5289,243,278
2020.7.10,9142,5428,249,298
2020.7.11,9391,5516,254,249
2020.7.12,9674,5634,260,283
2020.7.13,9978,5732,267,304
2020.7.14,10303,5919,278,325
2020.7.15,10645,6120,286,342
2020.7.16,10957,6257,298,312
2020.7.17,11207,6422,309,250
2020.7.18,11508,6560,324,301
2020.7.19,11846,6705,335,338
2020.7.20,12207,6831,344,361
2020.7.21,12582,6965,352,375
2020.7.22,12975,7119,363,393
2020.7.23,13377,7276,372,402
2020.7.24,13792,7415,379,415
2020.7.25,14221,7549,390,429
2020.7.26,14630,7648,400,409
2020.7.27,15035,7778,408,405
2020.7.28,15446,7903,417,411
2020.7.29,15841,8071,430,395
2020.7.30,16230,8206,439,389
2020.7.31,16632,8362,448,402
2020.8.1,17050,8495,459,418
2020.8.2,17448,8634,467,398
2020.8.3,17843,8809,477,395
2020.8.4,17843,8845,486,0
2020.8.5,18701,9111,498,858
2020.8.6,19126,9236,513,425
2020.8.7,19544,9379,520,418
2020.8.8,19978,9515,536,434
2020.8.9,20423,9626,549,445
2020.8.10,20872,9720,563,449
2020.8.11,21269,9875,570,397
2020.8.12,21644,10056,577,375
2020.8.13,21993,10254,584,349
2020.8.14,22314,10455,595,321
2020.8.15,22619,10618,603,305
2020.8.16,22912,10807,612,293
2020.8.17,22912,10814,618,0
2020.8.18,23462,11179,625,550
2020.8.19,23717,11388,633,255
2020.8.20,23964,11558,640,247
2020.8.21,24200,11781,646,236
2020.8.22,24420,12021,654,220
2020.8.23,24622,12246,661,202
2020.8.24,24811,12492,669,189
2020.8.25,24986,12717,678,175
2020.8.26,25140,13046,687,154
2020.8.27,25284,13291,694,144
2020.8.28,25415,13570,702,131
2020.8.29,25537,13799,708,122
2020.8.30,25635,14013,713,98
2020.8.31,25729,14292,717,94
2020.9.1,25820,14570,724,91
2020.9.2,25904,14879,731,84
2020.9.3,26000,15119,739,96
2020.9.4,26099,15347,744,99
2020.9.5,26206,15587,752,107
2020.9.6,26308,15815,759,102
2020.9.7,26413,16137,764,105
2020.9.8,26511,16462,765,98
2020.9.9,26602,16786,770,91
2020.9.10,26688,17106,774,86
2020.9.11,26773,17433,777,85
2020.9.12,26851,17874,782,78
