date,累计确诊,治愈,死亡,新增确诊
2020.4.7,13141,196,380,699
2020.4.8,13956,205,409,409
2020.4.9,13956,205,409,815
2020.4.10,15472,233,435,1516
2020.4.11,15987,266,470,515
2020.4.12,16585,277,504,598
2020.4.13,16934,277,535,349
2020.4.14,18091,383,599,643
2020.4.15,18841,493,629,750
2020.4.16,19022,519,657,181
2020.4.17,19685,610,687,663
2020.4.18,20206,610,714,521
2020.4.19,20863,610,735,657
2020.4.20,21379,917,762,516
2020.4.21,21982,1143,785,603
2020.4.22,22353,1201,820,371
2020.4.23,22797,1228,854,444
2020.4.24,23294,1277,880,497
2020.4.25,23688,1329,903,394
2020.4.26,23824,1357,928,136
2020.4.27,24070,1389,948,246
2020.4.28,24223,1470,973,153
2020.4.29,24674,1519,989,451
2020.4.30,24987,1647,1007,313
2020.5.1,25190,1671,1023,203
2020.5.2,25282,1689,1043,92
2020.5.3,25524,1712,1063,242
2020.5.4,25702,1743,1074,178
2020.5.5,26182,2076,1089,480
2020.5.6,26715,2258,1105,533
2020.5.7,27268,2422,1114,553
2020.5.8,27406,2499,1126,138
2020.5.9,27581,2549,1135,175
2020.5.10,27679,2549,1144,98
2020.5.11,27913,3013,1163,234
2020.5.12,28132,3182,1175,21
2020.5.13,28319,3198,1184,187
2020.5.14,28583,3328,1190,264
2020.5.15,28810,3822,1203,227
2020.5.16,29036,4636,1218,226
2020.5.17,29209,6430,1231,173
2020.5.18,29209,6430,1231,0
2020.5.19,29432,6431,1247,223
2020.5.20,29660,6452,1263,228
2020.5.21,29912,6452,1277,252
2020.5.22,30200,7590,1289,288
2020.5.23,30471,7705,1302,271
2020.5.24,30623,17549,1316,152
2020.5.25,30788,17822,1330,165
2020.5.26,31007,18096,1342,219
2020.5.27,31292,18349,1356,285
2020.5.28,31596,18637,1369,304
2020.5.29,31946,18911,1383,350
2020.5.30,32203,19186,1396,257
2020.5.31,32500,19409,1410,297
2020.6.1,32700,19552,1424,200
2020.6.2,32895,19869,1436,195
2020.6.3,33261,20079,1447,366
2020.6.4,33592,20323,1455,331
2020.6.5,33969,20526,1465,377
2020.6.6,33969,20526,1465,0
2020.6.7,34693,20995,1479,724
2020.6.8,34885,21156,1485,192
2020.6.9,35306,21339,1492,421
2020.6.10,35600,21742,1497,294
2020.6.11,35910,22002,1504,310
2020.6.12,36180,22200,1505,270
2020.6.13,36463,22438,1512,283
2020.6.14,36690,22669,1517,227
2020.6.15,37036,22852,1520,346
2020.6.16,37336,23212,1522,300
2020.6.17,37672,23580,1523,336
2020.6.18,38089,24010,1524,417
2020.6.19,38464,24477,1527,375
2020.6.20,38841,24906,1528,377
2020.6.21,39133,25376,1530,292
2020.6.22,39392,25548,1534,259
2020.6.23,39737,25829,1540,345
2020.6.24,40104,26083,1543,367
2020.6.25,40415,26382,1549,311
2020.6.26,40866,26633,1555,451
2020.6.27,41189,26864,1561,323
2020.6.28,41646,27066,1564,457
2020.6.29,41912,27205,1568,266
2020.6.30,42141,27505,1576,229
2020.7.1,42454,27798,1579,313
2020.7.2,42782,28097,1587,328
2020.7.3,42782,28097,1587,0
2020.7.4,43569,28772,1605,787
2020.7.5,43897,29017,1614,328
2020.7.6,44129,29166,1620,232
2020.7.7,44416,29445,1629,287
2020.7.8,44859,29714,1631,443
2020.7.9,45277,30049,1644,418
2020.7.10,45679,30350,1646,402
2020.7.11,46221,30655,1654,542
2020.7.12,46221,30655,1654,0
2020.7.13,46818,31065,1662,597
2020.7.14,47051,31550,1668,233
2020.7.15,47426,32110,1676,375
2020.7.16,47765,32476,1679,339
2020.7.17,48077,32790,1682,312
2020.7.18,48390,33153,1684,313
2020.7.19,48636,33369,1689,246
2020.7.20,48771,33547,1691,135
2020.7.21,48898,33769,1697,127
2020.7.22,49150,33999,1702,252
2020.7.23,49379,34369,1705,229
2020.7.24,49692,34687,1712,313
2020.7.25,49955,35010,1716,263
2020.7.26,50164,35217,1717,209
2020.7.27,50299,35375,1719,135
2020.7.28,50410,35626,1722,111
2020.7.29,50410,35626,1722,0
2020.7.30,50868,36140,1727,458
2020.7.31,51072,36483,1735,204
2020.8.1,51310,36783,1737,238
2020.8.2,51463,36984,1738,153
2020.8.3,51569,37111,1738,106
2020.8.4,51681,37318,1739,112
2020.8.5,51848,37565,1740,167
2020.8.6,52061,37840,1743,213
2020.8.7,52351,38087,1746,290
2020.8.8,52537,38364,1750,186
2020.8.9,52668,38511,1756,131
2020.8.10,52825,38600,1759,157
2020.8.11,52945,38760,1761,120
2020.8.12,53223,38940,1764,278
2020.8.13,53548,38940,1770,325
2020.8.14,53783,39374,1772,235
2020.8.15,53783,39374,1772,0
2020.8.16,54102,39697,1778,319
2020.8.17,54234,39800,1779,132
2020.8.18,54448,39936,1784,214
2020.8.19,54701,40129,1786,253
2020.8.20,54992,40264,1788,291
2020.8.21,55211,40473,1792,219
2020.8.22,55452,40652,1794,241
2020.8.23,55597,40774,1796,145
2020.8.24,55720,40880,1801,123
2020.8.25,55912,41021,1805,192
2020.8.26,56274,41184,1807,362
2020.8.27,56673,41357,1809,399
2020.8.28,57074,41556,1815,401
2020.8.29,57448,41766,1818,374
2020.8.30,57768,41885,1819,320
2020.8.31,58012,41961,1822,244
2020.9.1,58243,42104,1824,231
2020.9.2,58633,42233,1827,390
2020.9.3,59051,42427,1829,418
2020.9.4,59457,42576,1833,406
2020.9.5,59943,42793,1838,486
2020.9.6,60258,42953,1840,315
2020.9.7,60507,43016,1843,249
2020.9.8,60895,43146,1846,388
2020.9.9,61541,43284,1849,646
2020.9.10,62126,43441,1852,585
2020.9.11,62813,43644,1855,687
2020.9.12,63310,43894,1860,497
2020.9.13,63983,44069,1867,673
2020.9.14,64596,44185,1871,613
2020.9.15,65021,44362,1875,425
2020.9.16,65626,44528,1878,605
2020.9.17,66396,44794,1888,770
2020.9.18,67176,45053,1894,780
2020.9.19,68025,45404,1899,849
2020.9.20,68577,45596,1912,552
2020.9.21,69200,45736,1920,623
2020.9.22,69663,45974,1925,463
2020.9.23,70465,46290,1928,802
2020.9.24,71156,46676,1931,691
2020.9.25,72055,47003,1936,899
2020.9.26,72939,47380,1944,884
2020.9.27,73604,47647,1953,665
2020.9.28,74029,47884,1957,425
2020.9.29,74717,48193,1963,688
2020.9.30,75542,48530,1971,825
2020.10.1,76396,48937,1977,854
2020.10.2,77284,49359,1983,888
2020.10.3,78247,49845,1995,963
2020.10.4,79151,50207,2005,904
2020.10.5,79885,50454,2018,734
2020.10.6,80312,50712,2032,427
2020.10.7,81256,51037,2040,944
2020.10.8,82534,51517,2050,1278
2020.10.9,83928,52164,2062,1394
2020.10.10,85574,52803,2067,1646
2020.10.11,86664,53187,2080,1090
2020.10.12,87913,53498,2094,1249
2020.10.13,89121,54047,2110,1208
2020.10.14,91193,54493,2117,2072
2020.10.15,93294,55081,2128,2101
2020.10.16,95902,56066,2149,2608
2020.10.17,98055,57919,2162,2153
2020.10.18,99911,59000,2181,1856
2020.10.19,101860,59966,2198,1949
2020.10.20,103736,61898,2213,1876
2020.10.21,106271,63238,2229,2535
2020.10.22,109541,64531,2245,3270
2020.10.23,112440,65880,2276,2899
2020.10.24,116109,67842,2297,3669
2020.10.25,116109,67842,2297,0
2020.10.26,121133,69956,2343,5024
2020.10.27,124432,72344,2371,3299
2020.10.28,128392,74001,2395,3960
2020.10.29,132616,75702,2428,4224
2020.10.30,137272,77449,2468,4656
2020.10.31,141279,80280,2507,4007
2020.11.1,144341,81771,2544,3062
2020.11.2,146847,83294,2590,2506
2020.11.3,149443,86589,2635,2596
2020.11.4,156940,88946,2694,7497
2020.11.5,161350,91453,2740,4410
2020.11.6,166900,93754,2792,5550
2020.11.7,173540,97747,2848,6640
2020.11.8,179324,99781,2896,5784
2020.11.9,183420,102083,2959,4096
2020.11.10,187237,106878,3021,3817
2020.11.11,192172,110353,3103,4935
2020.11.12,192172,110353,3103,0
