date,累计确诊,治愈,死亡,新增确诊
2020.4.12,17,4,0,1
2020.4.13,30,5,0,13
2020.4.15,31,5,0,1
2020.4.18,32,7,0,1
2020.4.19,33,7,0,1
2020.4.20,34,8,0,1
2020.4.21,35,8,0,1
2020.4.23,36,9,0,1
2020.4.24,37,9,0,1
2020.4.25,38,9,0,1
2020.4.26,38,10,0,0
2020.5.1,39,10,0,1
2020.5.3,40,12,0,1
2020.5.4,41,13,0,1
2020.5.7,42,13,0,1
2020.5.8,42,14,0,0
2020.5.13,61,15,0,19
2020.5.15,135,20,0,37
2020.5.16,135,20,0,37
2020.5.17,140,24,0,4
2020.5.18,140,24,0,0
2020.5.19,140,26,0,0
2020.5.20,140,26,0,0
2020.5.21,140,26,0,0
2020.5.22,141,28,0,1
2020.5.23,141,30,0,0
2020.5.24,141,32,0,0
2020.5.25,141,33,0,0
2020.5.26,141,37,0,0
2020.5.27,148,43,0,7
2020.5.28,161,43,0,13
2020.5.29,179,43,0,18
2020.5.30,179,44,0,0
2020.5.31,179,44,0,0
2020.6.1,185,44,0,6
2020.6.2,185,44,0,0
2020.6.3,185,44,0,0
2020.6.4,186,65,0,1
2020.6.5,191,70,0,5
2020.6.6,193,71,0,2
2020.6.7,193,75,0,0
2020.6.8,194,75,0,1
2020.6.9,194,85,0,0
2020.6.10,194,87,0,0
2020.6.11,194,89,0,0
2020.6.12,197,95,0,3
2020.6.13,197,95,0,0
2020.6.14,197,98,0,0
2020.6.15,197,108,0,0
2020.6.16,197,109,0,0
2020.6.17,197,111,0,0
2020.6.18,201,127,0,4
2020.6.19,204,132,0,3
2020.6.20,204,139,0,0
2020.6.21,206,139,0,2
2020.6.22,213,153,0,7
2020.6.23,215,158,0,2
2020.6.24,215,168,0,0
2020.6.25,216,169,0,1
2020.6.26,219,170,0,3
2020.6.27,219,175,0,0
2020.6.28,219,175,0,0
2020.6.29,220,175,0,1
2020.6.30,220,175,0,0
2020.7.1,220,176,0,0
2020.7.2,220,177,0,0
2020.7.3,220,179,0,0
2020.7.4,220,183,0,0
2020.7.5,220,185,0,0
2020.7.6,220,188,0,0
2020.7.7,225,194,0,5
2020.7.8,227,195,0,2
2020.7.9,227,197,0,0
2020.7.10,227,197,0,0
2020.7.11,227,200,0,0
2020.7.12,230,202,0,3
2020.7.13,230,203,0,0
2020.7.14,243,204,0,13
2020.7.15,261,207,0,18
2020.7.16,261,209,0,0
2020.7.17,262,211,0,1
2020.7.18,287,211,0,25
2020.7.19,287,213,0,0
2020.7.20,287,213,0,0
2020.7.21,287,213,0,0
2020.7.22,287,213,0,0
2020.7.23,287,214,0,0
2020.7.24,288,217,0,1
2020.7.25,288,218,0,0
2020.7.26,288,218,0,0
2020.7.27,288,218,0,0
2020.7.28,289,222,0,1
2020.7.29,291,225,0,2
2020.7.30,291,225,0,0
2020.7.31,291,225,0,0
2020.8.1,291,230,0,0
2020.8.2,293,230,0,2
2020.8.3,293,230,0,0
2020.8.4,293,230,0,0
2020.8.5,293,244,0,0
2020.8.6,293,260,0,0
2020.8.7,293,260,0,0
2020.8.8,293,260,0,0
2020.8.9,293,263,0,0
2020.8.10,293,263,0,0
2020.8.11,293,263,0,0
2020.8.12,293,269,0,0
2020.8.13,297,269,0,4
2020.8.14,297,269,0,0
2020.8.15,298,272,0,1
2020.8.16,298,276,0,0
2020.8.17,298,276,0,0
2020.8.18,298,278,0,0
2020.8.19,298,281,0,0
2020.8.20,298,281,0,0
2020.8.21,298,283,0,0
2020.8.22,298,288,0,0
2020.8.23,298,288,0,0
2020.8.24,298,289,0,0
2020.8.25,298,289,0,0
2020.8.26,300,289,0,2
2020.8.27,301,291,0,1
2020.8.28,301,291,0,0
2020.8.29,301,291,0,0
2020.8.30,301,295,0,0
2020.8.31,301,295,0,0
2020.9.1,304,295,0,3
2020.9.2,306,296,0,2
2020.9.3,306,296,0,0
2020.9.4,310,296,0,4
2020.9.5,310,296,0,0
2020.9.6,310,296,0,0
2020.9.7,310,296,0,0
2020.9.8,310,296,0,0
2020.9.9,310,296,0,0
2020.9.10,310,298,0,0
2020.9.11,311,298,0,1
2020.9.12,311,298,0,0
2020.9.13,311,298,0,0
2020.9.14,311,300,0,0
2020.9.15,311,301,0,0
2020.9.16,311,301,0,0
2020.9.17,311,301,0,0
2020.9.18,311,302,0,0
2020.9.19,311,302,0,0
2020.9.20,312,302,0,1
2020.9.21,312,302,0,0
2020.9.22,313,302,0,1
2020.9.23,313,302,0,0
2020.9.24,313,302,0,0
2020.9.25,313,303,0,0
2020.9.26,313,303,0,0
2020.9.27,313,303,0,0
2020.9.28,313,305,0,0
2020.9.29,313,305,0,0
2020.9.30,313,305,0,0
2020.10.1,313,307,0,0
2020.10.2,313,307,0,0
2020.10.3,313,307,0,0
2020.10.4,313,307,0,0
2020.10.5,314,307,0,1
2020.10.6,315,307,0,1
2020.10.7,315,308,0,0
2020.10.8,315,308,0,0
2020.10.9,315,308,0,0
2020.10.10,315,310,0,0
2020.10.11,316,310,0,1
2020.10.12,318,310,0,2
2020.10.13,320,311,0,2
2020.10.14,320,311,0,0
2020.10.15,320,311,0,0
2020.10.16,320,311,0,0
2020.10.17,320,311,0,0
2020.10.18,324,312,0,4
2020.10.19,324,312,0,0
2020.10.20,326,312,0,2
2020.10.21,327,312,0,1
2020.10.22,328,312,0,1
2020.10.23,328,312,0,0
2020.10.24,337,312,0,9
2020.10.25,338,312,0,1
2020.10.26,339,312,0,1
2020.10.27,340,312,0,1
2020.10.28,340,312,0,0
2020.10.29,340,312,0,0
2020.10.30,340,313,0,0
2020.10.31,346,313,0,6
2020.11.1,346,313,0,0
2020.11.2,349,313,0,3
2020.11.3,350,313,0,1
2020.11.4,352,314,0,2
2020.11.5,353,314,0,1
2020.11.6,356,314,0,3
2020.11.7,357,314,0,1
2020.11.8,362,317,0,5
2020.11.9,368,317,0,6
2020.11.10,374,317,0,6
2020.11.11,382,317,0,8
2020.11.12,406,317,0,24
2020.11.13,412,317,0,6
2020.11.14,416,328,0,4
2020.11.15,428,328,0,12
2020.11.16,431,328,0,3
2020.11.17,440,328,0,9
2020.11.18,473,329,0,33
2020.11.19,518,329,0,45
2020.11.20,557,337,0,39
2020.11.21,582,337,0,25
2020.11.22,629,340,0,47
2020.11.23,640,340,0,11
2020.11.24,672,342,0,32
2020.11.25,699,342,0,27
2020.11.26,712,345,0,13
2020.11.27,738,347,0,26
2020.11.28,760,347,0,22
2020.11.29,784,354,0,24
2020.11.30,801,358,0,24
2020.12.1,801,358,0,0
2020.12.2,812,358,0,11
2020.12.3,819,365,0,7
2020.12.4,831,365,0,12
2020.12.5,842,368,0,11
2020.12.6,849,384,0,7
2020.12.7,887,384,0,38
2020.12.8,888,384,0,1
2020.12.9,893,384,0,5
2020.12.10,898,384,0,5
2020.12.11,905,384,0,7
2020.12.12,906,384,0,1
2020.12.13,907,384,0,1
2020.12.14,912,384,0,5
2020.12.15,917,384,0,5
2020.12.16,918,384,0,1
2020.12.17,923,384,0,5
2020.12.18,941,473,0,18
2020.12.19,953,509,0,12
2020.12.20,961,509,0,8
2020.12.21,993,509,0,32
2020.12.22,1006,541,0,13
2020.12.23,1063,541,0,57
2020.12.24,1069,584,0,6
2020.12.25,1075,584,0,6
2020.12.26,1082,711,0,7
2020.12.27,1137,711,0,55
2020.12.28,1137,711,0,0
2020.12.29,1175,745,1,38
2020.12.30,1195,824,1,20
2020.12.31,1215,830,1,20
2021.1.1,1220,837,1,5
2021.1.2,1242,855,1,22
2021.1.3,1263,869,1,21
2021.1.4,1286,878,1,23
2021.1.5,1308,884,2,22
2021.1.6,1349,887,2,41
2021.1.7,1362,889,2,13
2021.1.8,1395,896,2,33
2021.1.9,1408,896,2,13
2021.1.10,1429,896,2,21
2021.1.11,1442,896,2,13
2021.1.12,1456,909,2,14
2021.1.13,1469,909,2,13
2021.1.14,1479,909,2,10
2021.1.15,1491,909,2,12
2021.1.16,1512,909,2,21
2021.1.17,1517,947,2,5
2021.1.18,1526,967,2,9
2021.1.19,1536,995,2,10
2021.1.20,1568,1033,2,32
2021.1.21,1584,1046,2,16
2021.1.22,1592,1097,2,8
2021.1.23,1611,1125,2,19
2021.1.24,1627,1149,2,16
2021.1.25,1643,1169,2,16
2021.1.26,1656,1211,2,13
2021.1.27,1667,1236,2,11
2021.1.28,1692,1244,2,25
2021.1.29,1710,1303,2,18
2021.1.30,1742,1321,2,32
2021.1.31,1779,1333,2,37
2021.2.1,1814,1358,2,35
2021.2.2,1832,1371,2,18
2021.2.3,1859,1392,2,27
2021.2.4,1890,1398,2,31
2021.2.5,1928,1430,2,38
2021.2.6,1989,1449,2,61
2021.2.7,2023,1449,2,34
2021.2.8,2073,1493,2,50
2021.2.9,2120,1546,2,47
2021.2.10,2174,1546,2,54
2021.2.11,2207,1618,2,33
2021.2.12,2247,1640,2,40
2021.2.13,2293,1653,2,46
2021.2.14,2351,1682,2,58
2021.2.15,2383,1711,2,32
2021.2.16,2416,1760,2,33
2021.2.17,2444,1777,2,28
2021.2.18,2493,1802,2,49
2021.2.19,2551,1819,2,58
2021.2.20,2586,1846,2,35
2021.2.21,2638,1846,2,52
2021.2.22,2693,1933,2,55
2021.2.23,2723,2003,2,30
2021.2.24,2755,2070,2,32
2021.2.25,2801,2097,2,46
2021.2.26,2831,2150,2,30
2021.2.27,2866,2183,2,35
2021.2.28,2907,2249,2,41
2021.3.1,2952,2299,2,45
2021.3.2,3000,2330,2,48
2021.3.3,3032,2360,2,32
2021.3.4,3076,2415,2,44
2021.3.5,3153,2442,2,77
2021.3.6,3161,2442,2,8
2021.3.7,3228,2481,2,67
2021.3.8,3336,2588,3,108
2021.3.9,3372,2765,3,36
2021.3.10,3481,2797,3,109
2021.3.11,3561,2847,4,80
2021.3.12,3664,2907,4,103
2021.3.13,3833,2907,4,169
2021.3.14,3961,2907,4,128
2021.3.15,4083,2907,4,122
2021.3.16,4210,3083,4,127
2021.3.17,4340,3131,4,130
2021.3.18,4498,3212,4,158
2021.3.19,4658,3286,4,160
2021.3.20,4806,3351,5,148
2021.3.21,4976,3477,5,170
2021.3.22,5186,3606,5,210
2021.3.23,5392,3758,5,206
2021.3.24,5610,3947,5,218
2021.3.25,5895,4044,5,285
2021.3.26,6332,4150,5,437
2021.3.27,6693,4237,6,361
2021.3.28,7014,4341,6,321
2021.3.29,7589,4711,6,575
2021.3.30,8070,4835,6,481
2021.3.31,8447,4920,8,377
2021.4.1,8841,5070,8,394
2021.4.2,9327,5216,10,486
2021.4.3,9598,5379,10,271
2021.4.4,10218,5649,11,620
2021.4.5,10820,5931,12,602
2021.4.6,11651,6010,13,831
2021.4.7,12226,6912,17,575
2021.4.8,12780,8140,18,554
2021.4.9,13494,8522,19,714
2021.4.10,14183,8875,20,689
2021.4.11,15014,9159,22,831
2021.4.12,15718,9516,25,704
2021.4.13,16603,9887,27,885
