date,累计确诊,治愈,死亡,新增确诊
2020.4.12,11,1,0,2
2020.4.24,11,2,1,0
2020.5.16,11,10,1,0
2020.5.18,11,10,1,0
2020.5.19,11,10,1,0
2020.5.20,11,10,1,0
2020.5.21,11,10,1,0
2020.5.22,11,10,1,0
2020.5.23,11,10,1,0
2020.5.24,11,10,1,0
2020.5.25,11,10,1,0
2020.5.26,11,10,1,0
2020.5.27,11,10,1,0
2020.5.28,11,10,1,0
2020.5.29,11,10,1,0
2020.5.30,11,10,1,0
2020.5.31,11,10,1,0
2020.6.1,11,10,1,0
2020.6.2,11,10,1,0
2020.6.3,11,10,1,0
2020.6.4,11,10,1,0
2020.6.5,11,10,1,0
2020.6.6,11,10,1,0
2020.6.7,11,10,1,0
2020.6.8,11,10,1,0
2020.6.9,11,10,1,0
2020.6.10,11,10,1,0
2020.6.11,11,10,1,0
2020.6.12,11,10,1,0
2020.6.13,11,10,1,0
2020.6.14,11,10,1,0
2020.6.15,11,10,1,0
2020.6.16,11,10,1,0
2020.6.17,11,10,1,0
2020.6.18,11,10,1,0
2020.6.19,11,10,1,0
2020.6.20,11,10,1,0
2020.6.21,11,10,1,0
2020.6.22,11,10,1,0
2020.6.23,11,10,1,0
2020.6.24,11,10,1,0
2020.6.25,11,10,1,0
2020.6.26,11,10,1,0
2020.6.27,11,10,1,0
2020.6.28,11,10,1,0
2020.6.29,11,10,1,0
2020.6.30,11,10,1,0
2020.7.1,11,10,1,0
2020.7.2,11,10,1,0
2020.7.3,11,10,1,0
2020.7.4,11,10,1,0
2020.7.5,11,10,1,0
2020.7.6,11,10,1,0
2020.7.7,11,10,1,0
2020.7.8,11,10,1,0
2020.7.9,11,10,1,0
2020.7.10,11,10,1,0
2020.7.11,12,10,1,1
2020.7.12,12,10,1,0
2020.7.13,12,10,1,0
2020.7.14,12,10,1,0
2020.7.15,12,10,1,0
2020.7.16,12,10,1,0
2020.7.17,12,10,1,0
2020.7.18,12,10,1,0
2020.7.19,12,10,1,0
2020.7.20,12,10,1,0
2020.7.21,12,10,1,0
2020.7.22,12,10,1,0
2020.7.23,12,10,1,0
2020.7.24,12,10,1,0
2020.7.25,12,10,1,0
2020.7.26,12,10,1,0
2020.7.27,12,10,1,0
2020.7.28,12,10,1,0
2020.7.29,12,10,1,0
2020.7.30,12,10,1,0
2020.7.31,12,10,1,0
2020.8.1,12,10,1,0
2020.8.2,12,10,1,0
2020.8.3,13,10,1,1
2020.8.4,13,10,1,0
2020.8.5,13,10,1,0
2020.8.6,13,10,1,0
2020.8.7,13,10,1,0
2020.8.8,13,11,1,0
2020.8.9,13,12,1,0
2020.8.10,13,12,1,0
2020.8.11,13,12,1,0
2020.8.12,13,12,1,0
2020.8.13,13,12,1,0
2020.8.14,13,12,1,0
2020.8.15,13,12,1,0
2020.8.16,13,12,1,0
2020.8.17,13,12,1,0
2020.8.18,13,12,1,0
2020.8.19,13,12,1,0
2020.8.20,13,12,1,0
2020.8.21,13,12,1,0
2020.8.22,13,12,1,0
2020.8.23,13,12,1,0
2020.8.24,13,12,1,0
2020.8.25,13,12,1,0
2020.8.26,13,12,1,0
2020.8.27,13,12,1,0
2020.8.28,13,12,1,0
2020.8.29,13,12,1,0
2020.8.30,13,12,1,0
2020.8.31,13,12,1,0
2020.9.1,13,12,1,0
2020.9.2,13,12,1,0
2020.9.3,13,12,1,0
2020.9.4,13,12,1,0
2020.9.5,13,12,1,0
2020.9.6,13,12,1,0
2020.9.7,13,12,1,0
2020.9.8,13,12,1,0
2020.9.9,13,12,1,0
2020.9.10,13,12,1,0
2020.9.11,13,11,1,0
2020.9.12,13,11,1,0
2020.9.13,13,11,1,0
2020.9.14,13,12,1,0
2020.9.15,13,12,1,0
2020.9.16,13,12,1,0
2020.9.17,13,12,1,0
2020.9.18,13,12,1,0
2020.9.19,13,12,1,0
2020.9.20,13,12,1,0
2020.9.21,13,12,1,0
2020.9.22,13,12,1,0
2020.9.23,13,12,1,0
2020.9.24,13,12,1,0
2020.9.25,13,12,1,0
