date,累计确诊,治愈,死亡,新增确诊
2020.2.23,2,0,0,0
2020.2.24,2,0,0,0
2020.2.25,2,2,0,0
2020.2.26,2,2,0,0
2020.2.27,12,2,0,10
2020.2.28,25,2,0,13
2020.2.29,32,2,0,7
2020.3.1,45,2,0,13
2020.3.2,45,2,0,0
2020.3.3,114,3,0,69
2020.3.4,151,3,0,37
2020.3.5,198,3,1,47
2020.3.6,257,3,3,59
2020.3.7,374,3,5,117
2020.3.8,430,30,5,56
2020.3.9,589,30,10,159
2020.3.10,1024,30,28,435
2020.3.11,1639,32,36,615
2020.3.12,2140,183,55,501
2020.3.13,4334,189,120,125
2020.3.14,6393,571,195,350
2020.3.15,9191,571,309,1438
2020.3.16,9942,571,309,751
2020.3.17,11826,1028,533,1987
2020.3.18,14769,1081,638,2943
2020.3.19,18077,1107,831,3431
2020.3.20,24926,1107,1326,4946
2020.3.21,25496,2125,1381,4964
2020.3.22,28768,2575,1772,4964
2020.3.23,35136,3355,2311,2047
2020.3.24,39885,3355,2696,6584
2020.3.25,49515,5367,3647,7457
2020.3.26,57786,7015,4365,8271
2020.3.27,65719,9357,5138,7933
2020.3.28,72469,12285,5826,8189
2020.3.29,80031,14709,6803,6549
2020.3.30,85195,16780,7340,6398
2020.3.31,94417,16780,8189,9222
2020.4.1,102179,22647,9131,6256
2020.4.2,110238,26743,10096,6256
2020.4.3,117710,30513,11009,7134
2020.4.4,126168,34219,11947,7026
2020.4.5,131646,38080,12641,5478
2020.4.6,136675,40437,13341,5029
2020.4.7,140618,43208,13912,3943
2020.4.8,148220,48021,14792,6278
2020.4.9,153222,52165,15447,5002
2020.4.10,158273,55668,16081,5051
2020.4.11,163027,59109,16606,4754
2020.4.12,166831,62391,17209,3804
2020.4.13,169628,64727,17628,2797
2020.4.14,174060,67504,18255,3961
2020.4.15,177644,70853,18708,3584
2020.4.16,184948,74797,19315,4289
2020.4.17,191726,74797,20043,3658
2020.4.18,194416,74797,20639,3577
2020.4.19,198674,77357,21238,4258
2020.4.20,200210,80587,20852,1536
2020.4.21,204178,82514,21282,3968
2020.4.22,208389,85915,21717,4211
2020.4.23,213024,89250,22157,4635
2020.4.24,219764,92355,22524,6740
2020.4.25,223759,95708,22902,3995
2020.4.26,226629,117727,23190,2870
2020.4.27,229422,119876,23521,2793
2020.4.28,232128,123245,23822,3423
2020.4.29,236899,129169,24275,3306
2020.4.30,239340,134484,24543,3617
2020.5.1,242979,140738,24824,3639
2020.5.2,245589,144892,25100,2594
2020.5.3,247122,147442,25264,1533
2020.5.4,248301,149948,25428,1179
2020.5.5,250561,153358,25613,2260
2020.5.6,256855,163919,26070,3173
2020.5.7,260117,168408,26299,3262
2020.5.8,262783,173157,26478,2666
2020.5.9,264663,176439,26621,1880
2020.5.10,268143,177846,26744,3480
2020.5.11,269520,180470,26920,1377
2020.5.12,271095,183227,27104,1575
2020.5.13,272646,186480,27321,1551
2020.5.14,274367,188967,27459,1721
2020.5.15,276505,192253,27563,2138
2020.5.16,277719,195945,27650,1214
2020.5.17,277719,195945,27650,0
2020.5.18,277719,195945,27650,0
2020.5.19,278188,196958,27709,469
2020.5.20,278803,196958,27778,615
2020.5.21,279524,196958,27888,721
2020.5.22,280117,196958,27940,593
2020.5.23,281904,196958,28628,1787
2020.5.24,282370,196958,28678,466
2020.5.25,282852,196958,28752,482
2020.5.26,282480,196958,26837,0
2020.5.27,283339,196958,27117,859
2020.5.28,283849,196958,27118,510
2020.5.29,285644,196958,27121,1795
2020.5.30,285644,196958,27121,0
2020.5.31,286308,196958,27125,664
2020.6.1,286509,196958,27127,201
2020.6.2,286718,196958,27127,209
2020.6.3,287012,196958,27127,294
2020.6.4,287406,196958,27128,394
2020.6.5,287740,196958,27133,334
2020.6.6,288058,196958,27134,318
2020.6.7,288390,196958,27135,332
2020.6.8,288630,196958,27136,240
2020.6.9,288797,196958,27136,167
2020.6.10,289046,196958,27136,249
2020.6.11,289360,196958,27136,314
2020.6.12,290289,196958,27136,929
2020.6.13,290289,196958,27136,0
2020.6.14,290685,196958,27136,396
2020.6.15,291008,196958,27136,323
2020.6.16,291189,196958,27136,181
2020.6.17,291408,196958,27136,219
2020.6.18,291763,196958,27136,355
2020.6.19,292348,196958,27136,585
2020.6.20,292655,196958,28315,307
2020.6.21,293018,196958,28322,363
2020.6.22,293352,196958,28323,334
2020.6.23,293584,196958,28324,232
2020.6.24,293832,196958,28325,248
2020.6.25,294166,196958,28327,334
2020.6.26,294985,196958,28338,819
2020.6.27,294985,196958,28338,0
2020.6.28,295549,196958,28341,564
2020.6.29,295850,196958,28343,301
2020.6.30,296351,196958,28355,501
2020.7.1,296351,196958,28355,0
2020.7.2,296739,196958,28363,388
2020.7.3,297183,196958,28368,444
2020.7.4,297625,196958,28385,442
2020.7.5,297625,196958,28385,0
2020.7.6,297625,196958,28385,0
2020.7.7,298869,196958,28388,1244
2020.7.8,299593,196958,28396,724
2020.7.9,299593,196958,28396,0
2020.7.10,300136,196958,28401,543
2020.7.11,300988,196958,28403,852
2020.7.12,301670,196958,28404,682
2020.7.13,302352,196958,28405,682
2020.7.14,303033,196958,28406,681
2020.7.15,303699,196958,28409,666
2020.7.16,304574,196958,28413,875
2020.7.17,307335,196958,28420,2761
2020.7.18,307335,196958,28420,0
2020.7.19,307335,196958,28420,0
2020.7.20,307335,196958,28420,0
2020.7.21,311916,196958,28422,4581
2020.7.22,313274,196958,28424,1358
2020.7.23,314631,196958,28426,1357
2020.7.24,317246,196958,28429,2615
2020.7.25,319501,196958,28432,2255
2020.7.26,319501,196958,28432,0
2020.7.27,319501,196958,28432,0
2020.7.28,327690,196958,28436,8189
2020.7.29,327690,196958,28436,0
2020.7.30,329721,196958,28441,2031
2020.7.31,335602,196958,28445,5881
2020.8.1,335602,196958,28445,0
2020.8.2,335602,196958,28445,0
2020.8.3,335602,196958,28445,0
2020.8.4,344134,196958,28472,8532
2020.8.5,352847,196958,28499,8713
2020.8.6,352847,196958,28499,0
2020.8.7,354530,196958,28500,1683
2020.8.8,361442,196958,28503,6912
2020.8.9,361442,196958,28503,0
2020.8.10,361442,196958,28503,0
2020.8.11,370060,196958,28576,8618
2020.8.12,373692,196958,28581,3632
2020.8.13,376864,196958,28579,3172
2020.8.14,355856,196958,28605,0
2020.8.15,358843,196958,28617,2987
2020.8.16,358843,196958,28617,0
2020.8.17,358843,196958,28617,0
2020.8.18,382142,196958,28646,23299
2020.8.19,384270,196958,28670,2128
2020.8.20,387985,196958,28797,3715
2020.8.21,404229,196958,28813,16244
2020.8.22,407879,196958,28838,3650
2020.8.23,407879,196958,28838,0
2020.8.24,407879,196958,28838,0
2020.8.25,420809,196958,28872,12930
2020.8.26,423224,196958,28924,2415
2020.8.27,426818,196958,28971,3594
2020.8.28,451792,196958,28996,24974
2020.8.29,455621,196958,29011,3829
2020.8.30,455621,196958,29011,0
2020.8.31,455621,196958,29011,0
2020.9.1,462858,196958,29094,7237
2020.9.2,470973,196958,29152,8115
2020.9.3,479554,196958,29194,8581
2020.9.4,488513,196958,29234,8959
2020.9.5,517133,196958,29418,28620
2020.9.6,517133,196958,29418,0
2020.9.7,517133,196958,29418,0
2020.9.8,525549,196958,29516,8416
2020.9.9,534513,196958,29594,8964
2020.9.10,543379,196958,29628,8866
2020.9.11,554143,196958,29699,10764
2020.9.12,576697,196958,29747,22554
2020.9.13,576697,196958,29747,0
2020.9.14,576697,196958,29747,0
2020.9.15,593730,196958,29848,17033
2020.9.16,603167,196958,30004,9437
2020.9.17,614360,196958,30243,11193
2020.9.18,654637,196958,30405,40277
2020.9.19,659334,196958,30495,4697
2020.9.20,659334,196958,30495,0
2020.9.21,659334,196958,30495,0
2020.9.22,671468,196958,30663,12134
2020.9.23,682267,196958,30904,10799
2020.9.24,693556,196958,31034,11289
2020.9.25,704209,196958,31118,10653
2020.9.26,735198,196958,31232,30989
2020.9.27,735198,196958,31232,0
2020.9.28,735198,196958,31232,0
2020.9.29,748266,196958,31411,13068
2020.9.30,758172,196958,31614,9906
2020.10.1,769188,196958,31791,11016
2020.10.2,778607,196958,31973,9419
2020.10.3,810807,196958,32086,32200
2020.10.4,810807,196958,32086,0
2020.10.5,810807,196958,32086,0
2020.10.6,852838,196958,32225,42031
2020.10.7,865631,196958,32486,12793
2020.10.8,872276,196958,32562,6645
2020.10.9,884381,196958,32688,12105
2020.10.10,890367,196958,32929,5986
2020.10.11,890367,196958,32929,0
2020.10.12,890367,196958,32929,0
2020.10.13,918223,196958,33124,27856
2020.10.14,937311,196958,33413,19088
2020.10.15,937311,196958,33413,0
2020.10.16,972958,196958,33553,35647
2020.10.17,982723,196958,33775,9765
2020.10.18,982723,196958,33775,0
2020.10.19,982723,196958,33775,0
2020.10.20,1015795,196958,33992,33072
2020.10.21,1029668,196958,34210,13873
2020.10.22,1046641,196958,34366,16973
2020.10.23,1090521,196958,34521,43880
2020.10.24,1110372,196958,34752,19851
2020.10.25,1110372,196958,34752,0
2020.10.26,1110372,196958,34752,0
2020.10.27,1156498,196958,35031,46126
2020.10.28,1174916,196958,35298,18418
2020.10.29,1194681,196958,35466,19765
2020.10.30,1238922,196958,35639,44241
2020.10.31,1264517,196958,35878,25595
2020.11.1,1264517,196958,35878,0
2020.11.2,1264517,196958,35878,0
2020.11.3,1313087,196958,36257,48570
2020.11.4,1331756,196958,36495,18669
2020.11.5,1356798,196958,38118,25042
2020.11.6,1365895,196958,38486,9097
2020.11.7,1388411,196958,38833,22516
2020.11.8,1388411,196958,38833,0
2020.11.9,1388411,196958,38833,0
2020.11.10,1426602,196958,39345,38191
2020.11.11,1443997,196958,39756,17395
2020.11.12,1463093,196958,40105,19096
2020.11.13,1484868,196958,40461,21775
2020.11.14,1492608,196958,40769,7740
2020.11.15,1492608,196958,40769,0
2020.11.16,1492608,196958,40769,0
2020.11.17,1521899,196958,41253,29291
2020.11.18,1535058,196958,41688,13159
2020.11.19,1542467,196958,42039,7409
2020.11.20,1574063,196958,42291,31596
2020.11.21,1589219,196958,42619,15156
2020.11.22,1589219,196958,42619,0
2020.11.23,1589219,196958,42619,0
2020.11.24,1606905,196958,43131,17686
2020.11.25,1614126,196958,43668,7221
2020.11.26,1622632,196958,44037,8506
2020.11.27,1646192,196958,44374,23560
2020.11.28,1652322,196958,44668,6130
2020.11.29,1658286,196958,44668,12094
2020.11.30,1664945,196958,44668,6659
2020.12.1,1664945,196958,45069,0
2020.12.2,1673202,196958,45511,8257
2020.12.3,1682533,196958,45784,9331
2020.12.4,1693591,196958,46038,11058
2020.12.5,1699145,196958,46252,5554
2020.12.6,1699145,196958,46252,0
2020.12.7,1699145,196958,46252,0
2020.12.8,1715700,196958,46646,16555
2020.12.9,1715700,196958,46646,0
2020.12.10,1725473,196958,47019,9773
2020.12.11,1734386,196958,47344,8913
2020.12.12,1741439,196958,47624,7053
2020.12.13,1741439,196958,47624,0
2020.12.14,1741439,196958,47624,0
2020.12.15,1762036,196958,48013,20597
2020.12.16,1771488,196958,48401,9452
2020.12.17,1782566,196958,48596,11078
2020.12.18,1805633,196958,48777,23067
2020.12.19,1817448,196958,48926,11815
2020.12.20,1817448,196958,48926,0
2020.12.21,1817448,196958,48926,0
2020.12.22,1830110,196958,49260,12662
2020.12.23,1838654,196958,49520,8544
2020.12.24,1847874,196958,49698,9220
2020.12.25,1869610,196958,49824,21736
2020.12.26,1869610,196958,49824,0
2020.12.27,1869610,196958,49824,0
2020.12.28,1894072,196958,50122,24462
2020.12.29,1894072,196958,50122,0
2020.12.30,1906057,196958,50442,11985
2020.12.31,1921115,196958,50689,15058
2021.1.1,1936718,196958,50837,15603
2021.1.2,1936718,196958,50837,0
2021.1.3,1936718,196958,50837,0
2021.1.4,1936718,196958,50837,0
2021.1.5,1958844,196958,51078,22126
2021.1.6,1982544,196958,51430,23700
2021.1.7,1982544,196958,51430,0
2021.1.8,2024904,196958,51675,42360
2021.1.9,2050360,196958,51874,25456
2021.1.10,2050360,196958,51874,0
2021.1.11,2050360,196958,51874,0
2021.1.12,2111782,196958,52275,61422
2021.1.13,2137220,196958,52683,25438
2021.1.14,2176089,196958,52878,38869
2021.1.15,2211967,196958,53079,35878
2021.1.16,2252164,196958,53314,40197
2021.1.17,2252164,196958,53314,0
2021.1.18,2252164,196958,53314,0
2021.1.19,2336451,196958,53769,84287
2021.1.20,2370742,196958,54173,34291
2021.1.21,2412318,196958,54637,41576
2021.1.22,2560587,196958,55041,148269
2021.1.23,2603472,196958,55441,42885
2021.1.24,2603472,196958,55441,0
2021.1.25,2603472,196958,55441,0
2021.1.26,2697294,196958,56208,93822
2021.1.27,2733729,196958,56799,36435
2021.1.28,2774014,196958,57291,40285
2021.1.29,2792360,196958,57806,18346
2021.1.30,2830478,196958,58319,38118
2021.1.31,2830478,196958,58319,0
2021.2.1,2830478,196958,58319,0
2021.2.2,2852729,196958,59081,22251
2021.2.3,2881793,196958,59805,29064
2021.2.4,2913389,196958,60370,31596
2021.2.5,2943349,196958,60802,29960
2021.2.6,2971914,196958,61386,28565
2021.2.7,2971914,196958,61386,0
2021.2.8,2971914,196958,61386,0
2021.2.9,2989085,196958,62295,17171
2021.2.10,3005487,196958,63061,16402
2021.2.11,3023601,196958,63704,18114
2021.2.12,3041454,196958,64217,17853
2021.2.13,3056035,196958,64747,14581
2021.2.14,3056035,196958,64747,0
2021.2.15,3056035,196958,64747,0
2021.2.16,3086286,2360709,65449,30251
2021.2.17,3096343,2380998,65979,10057
2021.2.18,3107172,2410846,66316,10829
2021.2.19,3121687,2442795,66704,14515
2021.2.20,3133122,2471589,67101,11435
2021.2.21,3133122,2497956,67101,0
2021.2.22,3133122,2497956,67101,0
2021.2.23,3153971,2542353,67636,20849
2021.2.24,3161432,2561102,68079,7461
2021.2.25,3170644,2589996,68468,9212
2021.2.26,3180212,2617239,68813,9568
2021.2.27,3188553,2647446,69142,8341
2021.2.28,3188553,2647446,69142,0
2021.3.1,3188553,2647446,69142,0
2021.3.2,3204531,2722304,69609,15978
2021.3.3,3130184,2722304,69801,0
2021.3.4,3136321,2722304,70247,6137
2021.3.5,3142358,2722304,70501,6037
2021.3.6,3149012,2744664,71138,6654
2021.3.7,3149012,2744664,71138,0
2021.3.8,3149012,2744664,71138,0
2021.3.9,3160970,2810929,71436,11958
2021.3.10,3164983,2823433,71727,4013
2021.3.11,3178442,2823433,71961,13459
2021.3.12,3178356,2857714,72085,0
2021.3.13,3183704,2857714,72258,5348
2021.3.14,3183704,2857714,72258,0
2021.3.15,3183704,2857714,72258,0
2021.3.16,3195062,2857714,72424,11358
2021.3.17,3200024,2857714,72565,4962
2021.3.18,3206116,2857714,72793,6092
2021.3.19,3212332,2945446,72910,6216
2021.3.20,3212332,2945446,72910,0
2021.3.21,3212332,2945446,72910,0
2021.3.22,3212332,2945446,72910,0
2021.3.23,3228803,2987474,73543,16471
2021.3.24,3234319,2992848,73744,5516
2021.3.25,3241345,3000670,74064,7026
2021.3.26,3247738,3007623,74420,6393
2021.3.27,3255324,3016247,75010,7586
