date,累计确诊,治愈,死亡,新增确诊
2020.4.10,35,5,1,9
2020.4.19,54,27,1,19
2020.4.26,64,33,1,10
2020.5.1,90,42,2,26
2020.5.3,96,50,2,6
2020.5.6,140,53,2,44
2020.5.7,242,62,2,102
2020.5.8,284,62,2,42
2020.5.9,319,62,2,35
2020.5.11,327,76,2,35
2020.5.16,339,83,2,0
2020.5.17,339,83,2,0
2020.5.18,339,83,2,0
2020.5.19,339,83,2,0
2020.5.20,130,83,2,0
2020.5.21,130,57,2,0
2020.5.22,135,61,3,5
2020.5.23,135,61,3,0
2020.5.24,135,61,3,0
2020.5.25,191,84,3,56
2020.5.26,208,118,3,17
2020.5.27,210,134,3,2
2020.5.28,210,134,3,0
2020.5.29,224,136,3,14
2020.5.30,224,136,3,0
2020.5.31,232,143,3,8
2020.6.1,232,143,3,0
2020.6.2,243,147,3,11
2020.6.3,244,148,3,1
2020.6.4,261,151,3,17
2020.6.5,261,151,3,0
2020.6.6,261,151,3,0
2020.6.7,261,151,3,0
2020.6.8,288,186,4,27
2020.6.9,305,188,4,17
2020.6.10,305,188,4,0
2020.6.11,305,188,4,0
2020.6.12,388,217,5,83
2020.6.13,412,222,6,24
2020.6.14,412,222,6,0
2020.6.15,483,232,9,71
2020.6.16,532,236,9,49
2020.6.17,572,237,9,40
2020.6.18,597,238,11,25
2020.6.19,597,238,11,0
2020.6.20,650,247,11,53
2020.6.21,765,253,13,115
2020.6.22,807,253,13,42
2020.6.23,850,272,13,43
2020.6.24,902,277,13,52
2020.6.25,1017,288,14,115
2020.6.26,1053,292,14,36
2020.6.27,1053,292,14,0
2020.6.28,1149,306,16,96
2020.6.29,1187,323,19,38
2020.6.30,1199,333,21,12
2020.7.1,1199,333,21,0
2020.7.2,1199,333,21,0
2020.7.3,1199,333,21,0
2020.7.4,1199,333,21,0
2020.7.5,1199,333,21,0
2020.7.6,1199,333,21,0
2020.7.7,1199,333,21,0
2020.7.8,1199,333,21,0
2020.7.9,1199,333,21,0
2020.7.10,1285,333,23,86
2020.7.11,1285,333,23,0
2020.7.12,1378,557,26,93
2020.7.13,1378,557,26,0
2020.7.14,1378,557,26,0
2020.7.15,1378,557,26,0
2020.7.16,1378,557,26,0
2020.7.17,1602,782,31,224
2020.7.18,1602,782,31,0
2020.7.19,1602,782,31,0
2020.7.20,1602,782,31,0
2020.7.21,1602,782,31,0
2020.7.22,1602,782,31,0
2020.7.23,1694,918,34,92
2020.7.24,1694,918,34,0
2020.7.25,1694,918,34,0
2020.7.26,1770,1036,35,76
2020.7.27,1770,1036,35,0
2020.7.28,1770,1036,35,0
2020.7.29,1770,1036,35,0
2020.7.30,1805,1036,36,35
2020.7.31,1805,1036,36,0
2020.8.1,1805,1036,36,0
2020.8.2,1805,1036,36,0
2020.8.3,1805,1036,36,0
2020.8.4,1805,1036,36,0
2020.8.5,1914,1036,38,109
2020.8.6,1936,1600,38,22
2020.8.7,1936,1600,38,0
2020.8.8,1936,1600,38,0
2020.8.9,1936,1600,38,0
2020.8.10,1936,1600,38,0
2020.8.11,2001,1681,38,65
2020.8.12,2001,1681,38,0
2020.8.13,2014,1681,38,13
2020.8.14,2014,1681,38,0
2020.8.15,2014,1681,38,0
2020.8.16,2063,1690,39,49
2020.8.17,2063,1690,39,0
2020.8.18,2063,1690,39,0
2020.8.19,2063,1690,39,0
2020.8.20,2095,1690,39,32
2020.8.21,2095,1705,39,0
2020.8.22,2095,1705,39,0
2020.8.23,2115,1705,39,20
2020.8.24,2115,1705,39,0
2020.8.25,2115,1705,39,0
2020.8.26,2115,1705,39,0
2020.8.27,2145,1738,40,30
2020.8.28,2145,1738,40,0
2020.8.29,2145,1738,40,0
2020.8.30,2145,1738,40,0
2020.8.31,2145,1738,40,0
2020.9.1,2145,1738,40,0
2020.9.2,2145,1738,40,0
2020.9.3,2194,1738,40,49
2020.9.4,2194,1738,40,0
2020.9.5,2194,1793,40,0
2020.9.6,2213,1793,40,19
2020.9.7,2213,1793,40,0
2020.9.8,2213,1793,40,0
2020.9.9,2242,1793,40,29
2020.9.10,2242,1793,40,0
2020.9.11,2242,1793,40,0
2020.9.12,2242,1793,40,0
2020.9.13,2267,1942,40,25
2020.9.14,2267,1942,40,0
2020.9.15,2267,1942,40,0
2020.9.16,2267,1942,40,0
2020.9.17,2280,1942,40,13
2020.9.18,2280,1950,40,0
2020.9.19,2280,1950,40,0
2020.9.20,2280,1950,40,0
2020.9.21,2294,1954,40,14
2020.9.22,2294,1954,40,0
2020.9.23,2294,1954,40,0
2020.9.24,2325,1954,40,31
2020.9.25,2325,1954,40,0
2020.9.26,2325,1960,40,0
2020.9.27,2325,1960,40,0
2020.9.28,2340,1960,40,15
2020.9.29,2340,1960,40,0
2020.9.30,2357,1973,41,17
2020.10.1,2357,1973,41,0
2020.10.2,2357,1973,41,0
2020.10.3,2357,1973,41,0
2020.10.4,2357,1973,41,0
2020.10.5,2357,1973,41,0
2020.10.6,2357,1973,41,0
2020.10.7,2357,1973,41,0
2020.10.8,2411,1973,41,54
2020.10.9,2411,1973,41,0
2020.10.10,2411,1973,41,0
2020.10.11,2411,1973,41,0
2020.10.12,2411,1973,41,0
2020.10.13,2411,1973,41,0
2020.10.14,2478,2330,41,67
2020.10.15,2478,2330,41,0
2020.10.16,2496,2330,41,18
2020.10.17,2496,2330,41,0
2020.10.18,2496,2330,41,0
2020.10.19,2496,2330,41,0
2020.10.20,2496,2330,41,0
2020.10.21,2496,2330,41,0
2020.10.22,2557,2330,41,61
2020.10.23,2557,2330,41,0
2020.10.24,2557,2330,41,0
2020.10.25,2557,2330,41,0
2020.10.26,2557,2330,41,0
2020.10.27,2557,2330,41,0
2020.10.28,2557,2330,41,0
2020.10.29,2643,2330,41,86
2020.10.30,2643,2330,41,0
2020.10.31,2643,2330,41,0
2020.11.1,2683,2455,41,40
2020.11.2,2683,2455,41,0
2020.11.3,2683,2455,41,0
2020.11.4,2683,2455,41,0
2020.11.5,2745,2455,43,62
2020.11.6,2745,2466,43,0
2020.11.7,2745,2466,43,0
2020.11.8,2745,2466,43,0
2020.11.9,2745,2466,43,0
2020.11.10,2781,2515,43,36
2020.11.11,2781,2515,43,0
2020.11.12,2844,2515,43,63
2020.11.13,2844,2515,43,0
2020.11.14,2844,2515,43,0
2020.11.15,2844,2515,43,0
2020.11.16,2884,2579,43,40
2020.11.17,2884,2579,43,0
2020.11.18,2884,2579,43,0
2020.11.19,2916,2579,43,32
2020.11.20,2916,2579,43,0
2020.11.21,2916,2579,43,0
2020.11.22,2916,2579,43,0
2020.11.23,2916,2579,43,0
2020.11.24,2916,2579,43,0
2020.11.25,2916,2579,43,0
2020.11.26,2974,2579,43,58
2020.11.27,2974,2579,43,0
2020.11.28,2974,2579,43,0
2020.11.29,2974,2579,43,0
2020.11.30,3015,2839,43,41
2020.12.1,3015,2839,43,0
2020.12.2,3015,2839,43,0
2020.12.3,3055,2839,44,40
2020.12.4,3055,2907,44,0
2020.12.5,3055,2907,44,0
2020.12.6,3055,2907,44,0
2020.12.7,3073,2922,44,18
2020.12.8,3073,2922,44,0
2020.12.9,3090,2972,44,17
2020.12.10,3090,2972,44,0
2020.12.11,3090,2972,44,0
2020.12.12,3090,2972,44,0
2020.12.13,3090,2972,44,0
2020.12.14,3090,2972,44,0
2020.12.15,3090,2972,44,0
2020.12.16,3090,2972,44,0
2020.12.17,3152,2972,44,62
2020.12.18,3152,2972,44,0
2020.12.19,3152,2972,44,0
2020.12.20,3152,2972,44,0
2020.12.21,3167,3061,44,15
2020.12.22,3167,3061,44,0
2020.12.23,3167,3061,44,0
2020.12.24,3205,3061,44,38
2020.12.25,3205,3061,44,0
2020.12.26,3205,3061,44,0
2020.12.27,3205,3061,44,0
2020.12.28,3205,3061,44,0
2020.12.29,3205,3061,44,0
2020.12.30,3205,3061,44,0
2020.12.31,3251,3061,44,46
2021.1.1,3251,3061,44,0
2021.1.2,3251,3061,44,0
2021.1.3,3251,3061,44,0
2021.1.4,3251,3061,44,0
2021.1.5,3251,3061,44,0
2021.1.6,3304,3185,44,53
2021.1.7,3304,3185,44,0
2021.1.8,3304,3185,44,0
2021.1.9,3304,3185,44,0
2021.1.10,3304,3185,44,0
2021.1.11,3363,3222,46,59
2021.1.12,3363,3222,46,0
2021.1.13,3363,3222,46,0
2021.1.14,3413,3222,46,50
2021.1.15,3413,3222,46,0
2021.1.16,3413,3245,46,0
2021.1.17,3413,3245,46,0
2021.1.18,3413,3245,46,0
2021.1.19,3413,3245,46,0
2021.1.20,3557,3284,46,144
2021.1.21,3557,3284,46,0
2021.1.22,3582,3284,48,25
2021.1.23,3643,3317,48,61
2021.1.24,3643,3317,48,0
2021.1.25,3643,3317,48,0
2021.1.26,3643,3317,48,0
2021.1.27,3643,3317,48,0
2021.1.28,3786,3317,48,143
2021.1.29,3786,3398,48,0
2021.1.30,3786,3398,48,0
2021.1.31,3786,3398,48,0
2021.2.1,3893,3421,52,107
2021.2.2,3893,3421,52,0
2021.2.3,4119,3552,54,226
2021.2.4,4119,3552,54,0
2021.2.5,4193,3563,55,74
2021.2.6,4193,3563,55,0
2021.2.7,4193,3563,55,0
2021.2.8,4193,3563,55,0
2021.2.9,4193,3563,55,0
2021.2.10,4193,3563,55,0
2021.2.11,4560,3772,56,367
2021.2.12,4560,3772,56,0
2021.2.13,4560,3772,56,0
2021.2.14,4560,3772,56,0
2021.2.15,4560,3772,56,0
2021.2.16,5039,3960,62,479
2021.2.17,5143,4119,65,104
2021.2.18,5143,4119,65,0
2021.2.19,5143,4119,65,0
2021.2.20,5143,4119,65,0
2021.2.21,5434,4248,70,291
2021.2.22,5434,4248,70,0
2021.2.23,5434,4248,70,0
2021.2.24,5434,4248,70,0
2021.2.25,5434,4248,70,0
2021.2.26,5434,4248,70,0
2021.2.27,5434,4248,70,0
2021.2.28,5434,4248,70,0
2021.3.1,5434,4248,70,0
2021.3.2,5434,4248,70,0
2021.3.3,6071,4963,75,637
2021.3.4,6071,4963,75,0
2021.3.5,6071,4963,75,0
2021.3.6,6071,4963,75,0
2021.3.7,6071,4963,75,0
2021.3.8,6338,5383,81,267
2021.3.9,6338,5383,81,0
2021.3.10,6501,5552,81,163
2021.3.11,6501,5552,81,0
2021.3.12,6501,5552,81,0
2021.3.13,6501,5552,81,0
2021.3.14,6501,5552,81,0
2021.3.15,6501,5552,81,0
2021.3.16,6501,5552,81,0
2021.3.17,6501,5552,81,0
2021.3.18,6501,5552,81,0
2021.3.19,6501,5552,81,0
2021.3.20,6818,5552,90,317
2021.3.21,6818,5552,90,0
2021.3.22,6818,5552,90,0
2021.3.23,6818,5552,90,0
2021.3.24,6818,5552,90,0
2021.3.25,7100,5552,90,282
2021.3.26,7100,6452,90,0
2021.3.27,7100,6452,90,0
2021.3.28,7100,6452,90,0
2021.3.29,7100,6452,90,0
2021.3.30,7100,6452,90,0
2021.3.31,7100,6452,90,0
2021.4.1,7100,6452,90,0
2021.4.2,7313,6452,93,213
2021.4.3,7313,6452,93,0
2021.4.4,7313,6452,93,0
2021.4.5,7313,6452,93,0
2021.4.6,7313,6452,93,0
2021.4.7,7313,6452,93,0
