date,累计确诊,治愈,死亡,新增确诊
2020.4.9,39,24,1,0
2020.4.12,45,30,2,2
2020.4.14,48,30,2,3
2020.4.16,52,30,2,4
2020.4.17,57,33,2,5
2020.4.18,61,33,2,4
2020.4.19,65,35,3,4
2020.4.20,70,35,3,5
2020.4.21,74,35,3,4
2020.4.23,76,37,3,2
2020.4.25,88,42,3,4
2020.4.27,89,42,3,4
2020.4.28,97,54,3,2
2020.4.30,106,55,3,9
2020.5.1,119,75,3,10
2020.5.2,124,78,3,5
2020.5.3,137,78,3,13
2020.5.5,138,92,3,1
2020.5.6,146,101,4,8
2020.5.7,153,103,4,7
2020.5.8,252,112,7,85
2020.5.9,267,117,7,15
2020.5.11,441,117,7,174
2020.5.12,446,124,7,174
2020.5.13,654,124,7,208
2020.5.15,668,152,7,14
2020.5.16,679,188,7,74
2020.5.17,753,188,7,74
2020.5.18,761,192,7,8
2020.5.19,772,192,7,11
2020.5.20,832,197,7,60
2020.5.21,832,197,7,0
2020.5.22,866,302,7,34
2020.5.23,920,336,7,54
2020.5.24,920,336,7,0
2020.5.25,920,336,7,0
2020.5.26,920,336,7,0
2020.5.27,1057,779,7,137
2020.5.28,1057,779,7,0
2020.5.29,1057,779,7,0
2020.5.30,1057,779,7,0
2020.5.31,1057,779,7,0
2020.6.1,1089,912,7,32
2020.6.2,1089,912,7,0
2020.6.3,1089,912,7,0
2020.6.4,1089,912,7,0
2020.6.5,1089,912,7,0
2020.6.6,1089,912,7,0
2020.6.7,1089,912,7,0
2020.6.8,1200,912,10,111
2020.6.9,1200,912,10,0
2020.6.10,1200,912,10,0
2020.6.11,1200,912,10,0
2020.6.12,1200,912,10,0
2020.6.13,1321,1104,10,121
2020.6.14,1357,1114,10,36
2020.6.15,1382,1142,11,25
2020.6.16,1405,1142,11,23
2020.6.17,1405,1142,11,0
2020.6.18,1416,1144,11,11
2020.6.19,1416,1144,11,0
2020.6.20,1430,1194,11,14
2020.6.21,1430,1194,11,0
2020.6.22,1430,1194,11,0
2020.6.23,1430,1194,11,0
2020.6.24,1489,1223,18,59
2020.6.25,1497,1223,18,8
2020.6.26,1497,1223,18,0
2020.6.27,1531,1233,21,34
2020.6.28,1531,1233,21,0
2020.6.29,1557,1311,22,26
2020.6.30,1568,1311,22,11
2020.7.1,1632,1348,30,64
2020.7.2,1632,1348,30,0
2020.7.3,1632,1348,30,0
2020.7.4,1632,1348,30,0
2020.7.5,1632,1348,30,0
2020.7.6,1632,1348,30,0
2020.7.7,1632,1348,30,0
2020.7.8,1895,1348,42,263
2020.7.9,1895,1348,42,0
2020.7.10,1895,1348,42,0
2020.7.11,1895,1348,42,0
2020.7.12,1895,1348,42,0
2020.7.13,1895,1412,42,0
2020.7.14,1895,1412,42,0
2020.7.15,1895,1412,42,0
2020.7.16,1895,1412,42,0
2020.7.17,2810,1450,109,915
2020.7.18,2980,1462,120,170
2020.7.19,2980,1462,120,0
2020.7.20,3326,1620,128,346
2020.7.21,3326,1620,128,0
2020.7.22,3583,1677,128,257
2020.7.23,3583,1677,128,0
2020.7.24,3789,1677,134,206
2020.7.25,4328,1953,139,539
2020.7.26,4328,1953,139,0
2020.7.27,4552,2815,140,224
2020.7.28,5002,3195,142,450
2020.7.29,5249,3285,146,247
2020.7.30,5555,3289,149,306
2020.7.31,5963,3803,151,408
2020.8.1,6228,4130,165,265
2020.8.2,6347,4493,170,119
2020.8.3,6580,4701,171,233
2020.8.4,6793,5109,173,213
2020.8.5,7022,5667,176,229
2020.8.6,7022,5667,176,0
2020.8.7,7486,6264,200,464
2020.8.8,7903,6431,203,417
2020.8.9,8085,6698,235,182
2020.8.10,8085,6698,235,0
2020.8.11,8275,7004,241,190
2020.8.12,8275,7004,241,0
2020.8.13,8663,7401,246,388
2020.8.14,8663,7401,246,0
2020.8.15,9021,7586,256,358
2020.8.16,9343,8412,260,322
2020.8.17,9343,8412,260,0
2020.8.18,9981,8776,264,638
2020.8.19,10218,9126,269,237
2020.8.20,10372,9126,274,154
2020.8.21,10372,9126,274,0
2020.8.22,10627,9126,277,255
2020.8.23,11082,9942,280,455
2020.8.24,11082,9942,280,0
2020.8.25,11148,10208,280,66
2020.8.26,11285,10400,282,137
2020.8.27,11376,10693,282,91
2020.8.28,11779,10945,283,403
2020.8.29,11902,11092,284,123
2020.8.30,12025,11454,287,123
2020.8.31,12097,11469,288,72
2020.9.1,12097,11469,288,0
2020.9.2,12415,11494,292,318
2020.9.3,12523,11562,292,108
2020.9.4,12639,11572,292,116
2020.9.5,12709,11668,292,70
2020.9.6,12776,11674,295,67
2020.9.7,12776,11674,295,0
2020.9.8,12836,11748,295,60
2020.9.9,13112,11839,300,276
2020.9.10,13214,11899,300,102
2020.9.11,13323,11899,306,109
2020.9.12,13466,12007,312,143
2020.9.13,13539,12260,312,73
2020.9.14,13720,12380,320,181
2020.9.15,13819,12590,324,99
2020.9.16,13887,12869,326,68
2020.9.17,13887,12869,326,0
2020.9.18,13928,13029,326,41
2020.9.19,14022,13207,329,94
2020.9.20,14131,13365,330,109
2020.9.21,14175,13365,330,44
2020.9.22,14389,13629,331,214
2020.9.23,14389,13629,331,0
2020.9.24,14491,13643,332,102
2020.9.25,14515,13643,332,24
2020.9.26,14515,13643,332,0
2020.9.27,14612,13727,332,97
2020.9.28,14660,13821,332,48
2020.9.29,14715,13937,332,55
2020.9.30,14759,13959,332,44
2020.10.1,14759,13959,332,0
2020.10.2,14830,13980,333,71
2020.10.3,14830,13980,333,0
2020.10.4,14974,14094,333,144
2020.10.5,15089,14306,334,115
2020.10.6,15170,14313,335,81
2020.10.7,15170,14313,335,0
2020.10.8,15224,14342,335,54
2020.10.9,15301,14365,335,77
2020.10.10,15415,14541,337,114
2020.10.11,15415,14541,337,0
2020.10.12,15549,14682,345,134
2020.10.13,15549,14682,345,0
2020.10.14,15616,14850,345,67
2020.10.15,15616,14850,345,0
2020.10.16,15659,14899,346,43
2020.10.17,15659,14899,346,0
2020.10.18,15853,15005,346,194
2020.10.19,15897,15031,346,44
2020.10.20,15982,15038,346,85
2020.10.21,16000,15168,346,18
2020.10.22,16000,15168,346,0
2020.10.23,16095,15179,346,95
2020.10.24,16095,15179,346,0
2020.10.25,16117,15179,348,22
2020.10.26,16200,15445,348,83
2020.10.27,16200,15445,348,0
2020.10.28,16243,15481,348,43
2020.10.29,16325,15585,348,82
2020.10.30,16415,15600,349,90
2020.10.31,16415,15600,349,0
2020.11.1,16480,15733,349,65
2020.11.2,16543,15733,349,63
2020.11.3,16661,15763,349,118
2020.11.4,16698,15819,349,37
2020.11.5,16698,15819,349,0
2020.11.6,16819,15862,349,121
2020.11.7,16908,15873,349,89
2020.11.8,16954,15950,349,46
2020.11.9,16971,16011,349,17
2020.11.10,16997,16019,350,26
2020.11.11,16997,16019,350,0
2020.11.12,17056,16102,350,59
2020.11.13,17093,16134,350,37
2020.11.14,17093,16134,350,0
2020.11.15,17123,16137,353,30
2020.11.16,17187,16400,353,64
2020.11.17,17187,16400,353,0
2020.11.18,17280,16495,356,93
2020.11.19,17350,16591,356,70
2020.11.20,17373,16606,356,23
2020.11.21,17394,16659,356,21
2020.11.22,17424,16701,357,30
