date,累计确诊,治愈,死亡,新增确诊
2020.4.8,18,3,0,2
2020.4.12,21,3,0,3
2020.4.13,21,4,0,0
2020.4.14,41,4,0,20
2020.4.15,51,4,0,10
2020.4.17,79,4,0,28
2020.4.21,83,7,0,4
2020.4.22,84,7,1,1
2020.4.24,214,7,1,130
2020.4.25,258,8,1,44
2020.4.27,258,9,1,0
2020.4.28,315,9,1,57
2020.5.3,315,13,1,57
2020.5.5,439,13,4,124
2020.5.12,522,13,6,83
2020.5.14,583,13,7,61
2020.5.15,594,22,7,11
2020.5.16,594,22,7,0
2020.5.18,594,22,7,0
2020.5.19,719,22,7,125
2020.5.20,825,22,7,106
2020.5.21,890,22,7,65
2020.5.22,960,165,11,70
2020.5.23,960,165,11,0
2020.5.24,960,165,11,0
2020.5.25,1043,165,12,83
2020.5.26,1043,165,12,0
2020.5.27,1043,165,12,0
2020.5.28,1043,165,12,0
2020.5.29,1306,200,12,263
2020.5.30,1306,200,12,0
2020.5.31,1306,200,12,0
2020.6.1,1306,200,12,0
2020.6.2,1306,200,12,0
2020.6.3,1306,200,12,0
2020.6.4,1306,200,12,0
2020.6.5,1306,200,12,0
2020.6.6,1306,200,12,0
2020.6.7,1306,200,12,0
2020.6.8,1306,200,12,0
2020.6.9,1306,200,12,0
2020.6.10,1306,200,12,0
2020.6.11,1306,200,12,0
2020.6.12,1306,200,12,0
2020.6.13,1306,200,12,0
2020.6.14,1306,200,12,0
2020.6.15,1306,200,12,0
2020.6.16,1306,200,12,0
2020.6.17,1664,515,32,358
2020.6.18,1664,515,32,0
2020.6.19,1664,515,32,0
2020.6.20,1664,515,32,0
2020.6.21,1664,515,32,0
2020.6.22,1664,515,32,0
2020.6.23,1664,515,32,0
2020.6.24,1664,515,32,0
2020.6.25,1664,515,32,0
2020.6.26,2001,515,32,337
2020.6.27,2001,515,32,0
2020.6.28,2001,515,32,0
2020.6.29,2001,515,32,0
2020.6.30,2001,515,32,0
2020.7.1,2001,515,32,0
2020.7.2,2001,515,32,0
2020.7.3,3071,842,51,1070
2020.7.4,3071,842,51,0
2020.7.5,3071,842,51,0
2020.7.6,3071,842,51,0
2020.7.7,3071,842,51,0
2020.7.8,3071,842,51,0
2020.7.9,3071,842,51,0
2020.7.10,3071,842,51,0
2020.7.11,3071,842,51,0
2020.7.12,3071,842,51,0
2020.7.13,3071,842,51,0
2020.7.14,3071,842,51,0
2020.7.15,3071,842,51,0
2020.7.16,3071,842,51,0
2020.7.17,3071,842,51,0
2020.7.18,3071,842,51,0
2020.7.19,3071,842,51,0
2020.7.20,3071,842,51,0
2020.7.21,3071,842,51,0
2020.7.22,3071,842,51,0
2020.7.23,3071,842,51,0
2020.7.24,3071,842,51,0
2020.7.25,3071,842,51,0
2020.7.26,3071,842,51,0
2020.7.27,3071,842,51,0
2020.7.28,3071,842,51,0
2020.7.29,3071,842,51,0
2020.7.30,3071,842,51,0
2020.7.31,3071,842,51,0
2020.8.1,4821,2182,83,1750
2020.8.2,4821,2182,83,0
2020.8.3,4821,2182,83,0
2020.8.4,4821,2182,83,0
2020.8.5,4821,2182,83,0
2020.8.6,4821,2182,83,0
2020.8.7,4821,2182,83,0
2020.8.8,4821,2182,83,0
