date,累计确诊,治愈,死亡,新增确诊
2020.4.8,255,128,0,4
2020.4.9,257,144,0,2
2020.4.10,257,144,0,2
2020.4.12,262,144,0,2
2020.4.13,265,146,0,0
2020.4.14,267,169,0,1
2020.4.15,268,171,0,1
2020.4.23,270,225,0,2
2020.5.2,271,225,0,1
2020.5.6,288,233,0,17
2020.5.10,288,249,0,0
2020.5.11,288,252,0,0
2020.5.14,288,260,0,24
2020.5.15,314,260,0,2
2020.5.16,320,260,0,2
2020.5.17,320,260,0,0
2020.5.18,324,263,0,4
2020.5.19,324,263,0,0
2020.5.20,324,263,0,0
2020.5.21,324,264,0,0
2020.5.22,324,266,0,0
2020.5.23,324,267,0,0
2020.5.24,325,267,0,1
2020.5.25,326,272,0,1
2020.5.26,327,272,0,1
2020.5.27,327,278,0,0
2020.5.28,327,278,0,0
2020.5.29,327,279,0,0
2020.5.30,328,279,0,1
2020.5.31,328,279,0,0
2020.6.1,328,293,0,0
2020.6.2,328,298,0,0
2020.6.3,328,302,0,0
2020.6.4,328,302,0,0
2020.6.5,328,307,0,0
2020.6.6,329,307,0,1
2020.6.7,329,307,0,0
2020.6.8,332,316,0,3
2020.6.9,332,316,0,0
2020.6.10,332,320,0,0
2020.6.11,332,321,0,0
2020.6.12,333,323,0,1
2020.6.13,334,323,0,1
2020.6.14,334,323,0,0
2020.6.15,334,323,0,0
2020.6.16,334,325,0,0
2020.6.17,335,325,0,1
2020.6.18,342,325,0,7
2020.6.19,349,326,0,7
2020.6.20,349,326,0,0
2020.6.21,349,327,0,0
2020.6.22,349,327,0,0
2020.6.23,349,328,0,0
2020.6.24,352,329,0,3
2020.6.25,352,329,0,0
2020.6.26,353,330,0,1
2020.6.27,355,330,0,2
2020.6.28,355,330,0,0
2020.6.29,355,330,0,0
2020.6.30,355,335,0,0
2020.7.1,355,335,0,0
2020.7.2,355,336,0,0
2020.7.3,355,340,0,0
2020.7.4,355,340,0,0
2020.7.5,355,340,0,0
2020.7.6,369,341,0,14
2020.7.7,369,341,0,0
2020.7.8,369,347,0,0
2020.7.9,369,347,0,0
2020.7.10,369,347,0,0
2020.7.11,370,350,0,1
2020.7.12,372,350,0,2
2020.7.13,372,350,0,0
2020.7.14,373,352,0,1
2020.7.15,381,353,0,8
2020.7.16,381,353,0,0
2020.7.17,382,356,0,1
2020.7.18,382,356,0,0
2020.7.19,383,357,0,1
2020.7.20,384,360,0,1
2020.7.21,396,365,0,12
2020.7.22,408,365,0,12
2020.7.23,412,365,0,4
2020.7.24,413,365,0,1
2020.7.25,417,365,0,4
2020.7.26,420,365,0,3
2020.7.27,431,365,0,11
2020.7.28,438,369,0,7
2020.7.29,450,369,0,12
2020.7.30,464,369,0,14
2020.7.31,546,373,1,82
2020.8.1,586,373,3,40
2020.8.2,620,373,6,34
2020.8.3,642,373,6,22
2020.8.4,670,378,8,28
2020.8.5,713,381,8,43
2020.8.6,747,392,10,34
2020.8.7,784,395,10,37
2020.8.8,797,395,10,13
2020.8.9,841,395,11,44
2020.8.10,847,399,14,6
2020.8.11,863,399,16,16
2020.8.12,880,400,17,17
2020.8.13,905,421,20,25
2020.8.14,929,437,21,24
2020.8.15,950,437,23,21
2020.8.16,962,456,24,12
2020.8.17,976,467,24,14
2020.8.18,989,526,26,13
2020.8.19,993,533,25,4
2020.8.20,1007,542,25,14
2020.8.21,1009,545,25,2
2020.8.22,1014,563,26,5
2020.8.23,1016,563,27,2
2020.8.24,1022,587,27,6
2020.8.25,1029,592,27,7
2020.8.26,1034,632,29,5
2020.8.27,1036,637,30,2
2020.8.28,1038,663,30,2
2020.8.29,1040,677,32,2
2020.8.30,1040,695,32,0
2020.8.31,1044,707,34,4
2020.9.1,1044,735,34,0
2020.9.2,1046,746,34,2
2020.9.3,1046,746,35,0
2020.9.4,1049,772,35,3
2020.9.5,1049,786,35,0
2020.9.6,1049,815,35,0
2020.9.7,1049,853,35,0
2020.9.8,1054,868,35,5
2020.9.9,1059,890,35,5
2020.9.10,1059,890,35,0
2020.9.11,1060,902,35,1
2020.9.12,1060,902,35,0
2020.9.13,1063,918,35,3
2020.9.14,1063,918,35,0
2020.9.15,1063,926,35,0
2020.9.16,1063,936,35,0
2020.9.17,1066,940,35,3
2020.9.18,1068,941,35,2
2020.9.19,1068,942,35,0
2020.9.20,1068,942,35,0
2020.9.21,1068,947,35,0
2020.9.22,1068,957,35,0
2020.9.23,1069,991,35,1
2020.9.24,1069,991,35,0
2020.9.25,1069,999,35,0
2020.9.26,1069,999,35,0
2020.9.27,1074,999,35,5
2020.9.28,1077,999,35,3
2020.9.29,1094,1007,35,17
2020.9.30,1094,1010,35,0
2020.10.1,1095,1010,35,1
2020.10.2,1095,1020,35,0
2020.10.3,1096,1020,35,1
2020.10.4,1096,1020,35,0
2020.10.5,1097,1022,35,1
2020.10.6,1098,1023,35,1
2020.10.7,1099,1023,35,1
2020.10.8,1099,1023,35,0
2020.10.9,1105,1024,35,6
2020.10.10,1107,1024,35,2
2020.10.11,1109,1024,35,2
2020.10.12,1110,1025,35,1
2020.10.13,1113,1025,35,3
2020.10.14,1122,1029,35,9
2020.10.15,1124,1030,35,2
2020.10.16,1124,1030,35,0
2020.10.17,1126,1031,35,2
2020.10.18,1134,1031,35,8
2020.10.19,1140,1046,35,6
2020.10.20,1141,1046,35,1
2020.10.21,1144,1046,35,3
2020.10.22,1148,1049,35,4
2020.10.23,1148,1049,35,0
2020.10.24,1160,1051,35,12
2020.10.25,1168,1057,35,8
2020.10.26,1169,1061,35,1
2020.10.27,1172,1062,35,3
2020.10.28,1173,1062,35,1
2020.10.29,1177,1062,35,4
2020.10.30,1177,1062,35,0
2020.10.31,1180,1062,35,3
2020.11.1,1180,1063,35,0
2020.11.2,1192,1065,35,12
2020.11.3,1202,1069,35,10
2020.11.4,1203,1069,35,1
2020.11.5,1207,1069,35,4
2020.11.6,1212,1070,35,5
2020.11.7,1213,1070,35,1
2020.11.8,1213,1070,35,0
2020.11.9,1215,1087,35,2
2020.11.10,1226,1087,35,11
2020.11.11,1252,1087,35,26
2020.11.12,1253,1093,35,1
2020.11.13,1256,1101,35,3
2020.11.14,1256,1103,35,0
2020.11.15,1281,1103,35,25
2020.11.16,1283,1124,35,2
2020.11.17,1288,1124,35,5
2020.11.18,1300,1124,35,12
2020.11.19,1304,1142,35,4
2020.11.20,1305,1142,35,1
2020.11.21,1305,1142,35,0
2020.11.22,1307,1142,35,2
2020.11.23,1312,1151,35,5
2020.11.24,1316,1153,35,4
2020.11.25,1321,1153,35,5
2020.11.26,1331,1166,35,10
2020.11.27,1339,1170,35,8
2020.11.28,1341,1179,35,2
2020.11.29,1343,1179,35,2
2020.11.30,1347,1179,35,3
2020.12.1,1351,1195,35,4
2020.12.2,1358,1201,35,7
2020.12.3,1361,1209,35,3
2020.12.4,1361,1220,35,0
2020.12.5,1365,1220,35,4
2020.12.6,1366,1220,35,1
2020.12.7,1367,1224,35,1
2020.12.8,1377,1224,35,10
2020.12.9,1381,1225,35,4
2020.12.10,1385,1225,35,4
2020.12.11,1391,1238,35,6
2020.12.12,1395,1238,35,4
2020.12.13,1397,1241,35,2
2020.12.14,1402,1246,35,5
2020.12.15,1405,1252,35,3
2020.12.16,1405,1252,35,0
2020.12.17,1407,1263,35,2
2020.12.18,1410,1266,35,3
2020.12.19,1411,1269,35,1
2020.12.20,1413,1269,35,2
2020.12.21,1414,1269,35,1
2020.12.22,1420,1281,35,6
2020.12.23,1421,1281,35,1
2020.12.24,1432,1281,35,11
2020.12.25,1438,1303,35,6
2020.12.26,1440,1303,35,2
2020.12.27,1451,1303,35,11
2020.12.28,1451,1303,35,0
2020.12.29,1454,1319,35,3
2020.12.30,1456,1323,35,2
2020.12.31,1465,1325,35,9
2021.1.1,1474,1325,35,9
2021.1.2,1482,1337,35,8
2021.1.3,1494,1339,35,12
2021.1.4,1497,1339,35,3
2021.1.5,1504,1339,35,7
2021.1.6,1505,1353,35,1
2021.1.7,1509,1353,35,4
2021.1.8,1512,1357,35,3
2021.1.9,1513,1361,35,1
2021.1.10,1514,1361,35,1
2021.1.11,1515,1361,35,1
2021.1.12,1520,1361,35,5
2021.1.13,1521,1369,35,1
2021.1.14,1531,1369,35,10
2021.1.15,1536,1380,35,5
2021.1.16,1537,1380,35,1
2021.1.17,1537,1380,35,0
2021.1.18,1539,1402,35,2
2021.1.19,1540,1402,35,1
2021.1.20,1544,1406,35,4
2021.1.21,1546,1411,35,2
2021.1.22,1548,1411,35,2
2021.1.23,1548,1411,35,0
2021.1.24,1548,1411,35,0
2021.1.25,1549,1425,35,1
2021.1.26,1551,1430,35,2
2021.1.27,1551,1430,35,0
2021.1.28,1560,1430,35,9
2021.1.29,1657,1448,35,97
2021.1.30,1767,1456,35,110
2021.1.31,1817,1457,35,50
2021.2.1,1850,1460,35,33
2021.2.2,1850,1460,35,0
2021.2.3,1911,1461,35,61
2021.2.4,1957,1465,35,46
2021.2.5,1976,1465,35,19
2021.2.6,1981,1468,35,5
2021.2.7,2001,1472,35,20
2021.2.8,2050,1472,35,49
2021.2.9,2064,1472,35,14
2021.2.10,2091,1480,35,27
2021.2.11,2140,1528,35,49
2021.2.12,2142,1529,35,2
2021.2.13,2195,1529,35,53
2021.2.14,2228,1532,35,33
2021.2.15,2269,1541,35,41
2021.2.16,2311,1573,35,42
2021.2.17,2329,1574,35,18
2021.2.18,2347,1605,35,18
2021.2.19,2362,1627,35,15
2021.2.20,2368,1627,35,6
2021.2.21,2383,1702,35,15
2021.2.22,2392,1717,35,9
2021.2.23,2401,1717,35,9
2021.2.24,2412,1790,35,11
2021.2.25,2420,1804,35,8
2021.2.26,2426,1839,35,6
2021.2.27,2432,1844,35,6
2021.2.28,2448,1876,35,16
2021.3.1,2448,1876,35,0
2021.3.2,2472,1898,35,24
2021.3.3,2482,1898,35,10
2021.3.4,2488,1920,35,6
2021.3.5,2494,1920,35,6
2021.3.6,2501,1920,35,7
2021.3.7,2512,1920,35,11
2021.3.8,2524,1920,35,12
2021.3.9,2526,2004,35,2
2021.3.10,2529,2004,35,3
2021.3.11,2533,2048,35,4
