date,累计确诊,治愈,死亡,新增确诊
2020.4.9,712,638,11,0
2020.4.10,712,639,12,0
2020.4.29,712,651,13,0
2020.5.18,712,651,13,0
2020.5.19,712,651,13,0
2020.5.20,712,651,13,0
2020.5.21,712,651,13,0
2020.5.22,712,651,13,0
2020.5.23,712,651,13,0
2020.5.24,712,651,13,0
2020.5.25,712,651,13,0
2020.5.26,712,651,13,0
2020.5.27,712,651,13,0
2020.5.28,712,651,13,0
2020.5.29,712,651,13,0
2020.5.30,712,651,13,0
2020.5.31,712,651,13,0
2020.6.1,712,651,13,0
2020.6.2,712,651,13,0
2020.6.3,712,651,13,0
2020.6.4,712,651,13,0
2020.6.5,712,651,13,0
2020.6.6,712,651,13,0
2020.6.7,712,651,13,0
2020.6.8,712,651,13,0
2020.6.9,712,651,13,0
2020.6.10,712,651,13,0
2020.6.11,712,651,13,0
2020.6.12,712,651,13,0
2020.6.13,712,651,13,0
2020.6.14,712,651,13,0
2020.6.15,712,651,13,0
2020.6.16,712,651,13,0
2020.6.17,712,651,13,0
2020.6.18,712,651,13,0
2020.6.19,712,651,13,0
2020.6.20,712,651,13,0
2020.6.21,712,651,13,0
2020.6.22,712,651,13,0
2020.6.23,712,651,13,0
2020.6.24,712,651,13,0
2020.6.25,712,651,13,0
2020.6.26,712,651,13,0
2020.6.27,712,651,13,0
2020.6.28,712,651,13,0
2020.6.29,712,651,13,0
2020.6.30,712,651,13,0
2020.7.1,712,651,13,0
2020.7.2,712,651,13,0
2020.7.3,712,651,13,0
2020.7.4,712,651,13,0
2020.7.5,712,651,13,0
2020.7.6,712,651,13,0
2020.7.7,712,651,13,0
2020.7.8,712,651,13,0
2020.7.9,712,651,13,0
2020.7.10,712,651,13,0
2020.7.11,712,651,13,0
2020.7.12,712,651,13,0
2020.7.13,712,651,13,0
2020.7.14,712,651,13,0
2020.7.15,712,651,13,0
2020.7.16,712,651,13,0
2020.7.17,712,651,13,0
2020.7.18,712,651,13,0
2020.7.19,712,651,13,0
2020.7.20,712,651,13,0
2020.7.21,712,651,13,0
2020.7.22,712,651,13,0
2020.7.23,712,651,13,0
2020.7.24,712,651,13,0
2020.7.25,712,651,13,0
2020.7.26,712,651,13,0
2020.7.27,712,651,13,0
2020.7.28,712,651,13,0
2020.7.29,712,651,13,0
2020.7.30,712,651,13,0
