date,累计确诊,治愈,死亡,新增确诊
2020.4.7,822,63,8,105
2020.4.8,926,101,9,104
2020.4.9,926,101,9,104
2020.4.10,991,159,10,65
2020.4.11,1058,200,11,67
2020.4.12,1148,289,12,50
2020.4.13,1197,351,13,49
2020.4.14,1253,404,13,56
2020.4.16,1340,528,15,57
2020.4.17,1373,590,18,33
2020.4.18,1398,712,19,25
2020.4.19,1436,791,19,38
2020.4.20,1480,865,20,44
2020.4.21,1518,907,20,38
2020.4.22,1548,948,20,30
2020.4.23,1592,1013,21,44
2020.4.24,1617,1080,21,25
2020.4.25,1645,1139,21,28
2020.4.26,1678,1162,22,33
2020.4.27,1717,1221,22,39
2020.4.29,1766,1267,23,49
2020.4.30,1854,1365,25,50
2020.5.1,1894,1411,25,40
2020.5.2,1932,1411,25,38
2020.5.4,1984,1480,26,52
2020.5.5,2127,1536,28,67
2020.5.6,2204,1551,28,77
2020.5.7,2279,1576,28,75
2020.5.8,2422,1620,31,143
2020.5.10,2519,1650,32,97
2020.5.12,2693,1680,33,104
2020.5.13,2879,1833,35,121
2020.5.14,2980,1886,36,101
2020.5.15,3138,1944,36,158
2020.5.16,3274,2015,39,136
2020.5.17,3387,2055,40,113
2020.5.18,3387,2055,40,113
2020.5.19,3518,2198,41,131
2020.5.20,3631,2253,43,113
2020.5.21,3749,2340,44,118
2020.5.22,3855,2399,46,106
2020.5.23,3982,2506,49,127
2020.5.24,4122,2607,49,140
2020.5.25,4271,2741,51,149
2020.5.26,4403,2819,52,132
2020.5.27,4568,2897,54,165
2020.5.28,4759,3022,56,191
2020.5.29,4989,3125,58,230
2020.5.30,5246,3327,61,257
2020.5.31,5494,3428,63,248
2020.6.1,5662,3508,68,168
2020.6.2,5935,3564,71,273
2020.6.3,6260,3665,76,325
2020.6.4,6522,3737,78,262
2020.6.5,6860,3871,82,338
2020.6.6,7239,4024,84,379
2020.6.7,7553,4149,88,314
2020.6.8,7876,4377,93,323
2020.6.9,8191,4606,98,315
2020.6.10,8530,4720,102,339
2020.6.11,8882,4930,108,352
2020.6.12,9218,5116,113,336
2020.6.13,9570,5309,115,352
2020.6.14,9957,5583,119,387
2020.6.15,9957,5583,119,0
2020.6.16,10662,5948,126,705
2020.6.17,10662,5948,126,0
2020.6.18,11329,6192,139,667
2020.6.19,11329,6192,139,0
2020.6.20,12238,6516,148,909
2020.6.21,12729,6799,154,491
2020.6.22,13207,7168,161,478
2020.6.23,13715,7503,167,508
2020.6.24,14305,7768,174,590
2020.6.25,14852,8059,180,547
2020.6.26,15369,8364,187,517
2020.6.27,15890,8719,193,521
2020.6.28,16424,9026,198,534
2020.6.29,16424,9026,198,0
2020.6.30,17524,9715,213,1100
2020.7.1,17524,9715,213,0
2020.7.2,18684,10425,228,1160
2020.7.3,19267,10820,235,583
2020.7.4,19801,11291,241,534
2020.7.5,20324,11742,250,523
2020.7.6,20837,12182,258,513
2020.7.7,21374,12635,265,537
2020.7.8,21916,13100,274,542
2020.7.9,22464,13591,284,548
2020.7.10,22990,14093,292,526
2020.7.11,23521,14607,298,531
2020.7.12,24041,15093,306,520
2020.7.13,24570,15640,313,529
2020.7.14,24570,15640,313,0
2020.7.15,25672,16695,326,1102
2020.7.16,26165,17256,334,493
2020.7.17,26636,17805,341,471
2020.7.18,27133,18450,349,497
2020.7.19,27521,18967,354,388
2020.7.20,27521,18967,354,0
2020.7.21,27890,19490,363,369
2020.7.22,28633,20443,385,743
2020.7.23,28980,20974,391,347
2020.7.24,29312,21547,400,332
2020.7.25,29633,22082,408,321
2020.7.26,30050,22684,417,417
2020.7.27,30446,23242,423,396
2020.7.28,30858,23873,430,412
2020.7.29,31221,24495,438,363
2020.7.30,31560,25168,441,339
2020.7.31,31878,25882,448,318
2020.8.1,32157,26474,454,279
2020.8.2,32443,27113,462,286
2020.8.3,32684,27760,468,241
2020.8.4,32910,28348,473,226
2020.8.5,33103,28840,476,193
2020.8.6,33247,29275,479,144
2020.8.7,33376,29696,483,129
2020.8.8,33481,30056,488,105
2020.8.9,33568,30364,490,87
2020.8.10,33647,30642,492,79
2020.8.11,33731,30856,495,84
2020.8.12,33824,31058,497,93
2020.8.13,33915,31269,500,91
2020.8.14,34018,31490,504,103
2020.8.15,34018,31490,504,0
2020.8.16,34219,31875,506,201
2020.8.17,34343,32042,508,124
2020.8.18,34343,32042,508,0
2020.8.19,34620,32363,510,277
2020.8.20,34759,32511,510,139
2020.8.21,34921,32682,512,162
2020.8.22,35105,32842,515,184
2020.8.23,35274,32993,518,169
2020.8.24,35426,33104,519,152
2020.8.25,35559,33190,521,133
2020.8.26,35707,33281,522,148
2020.8.27,35844,33364,524,137
2020.8.28,35844,33364,524,0
2020.8.29,36174,33576,529,330
2020.8.30,36309,33703,531,135
2020.8.31,36435,33847,534,126
2020.9.1,36578,33977,536,143
2020.9.2,36732,34116,538,154
2020.9.3,36899,34116,541,167
2020.9.4,37031,34419,543,132
2020.9.5,37192,34565,545,161
2020.9.6,37329,34705,548,137
2020.9.7,37418,34837,551,89
2020.9.8,37557,34965,552,139
2020.9.9,37732,35119,555,175
2020.9.10,37874,35269,556,142
2020.9.11,38037,35440,557,163
2020.9.12,38172,35607,559,135
2020.9.13,38327,35756,562,155
2020.9.14,38403,35860,564,76
2020.9.15,38517,35998,566,114
2020.9.16,38658,36149,569,141
2020.9.17,38777,36289,571,119
2020.9.18,38894,36424,572,117
2020.9.19,39042,36601,574,148
2020.9.20,39188,36755,575,146
2020.9.21,39280,36836,576,92
2020.9.22,39378,36949,578,98
2020.9.23,39524,37122,580,146
2020.9.24,39686,37255,581,162
2020.9.25,39787,37392,583,101
2020.9.26,39895,37523,585,108
2020.9.27,40023,37655,586,128
2020.9.28,40061,37725,588,38
2020.9.29,40119,37827,590,58
2020.9.30,40229,37954,591,110
2020.10.1,40309,38068,593,80
2020.10.2,40453,38217,594,144
2020.10.3,40561,38354,595,108
2020.10.4,40561,38354,595,0
2020.10.5,40788,38587,598,227
2020.10.6,40931,38713,600,143
2020.10.7,41113,38858,602,182
2020.10.8,41304,39012,603,191
2020.10.9,41519,39129,605,215
2020.10.10,41752,39235,608,233
2020.10.11,41982,39357,609,230
2020.10.12,42104,39404,609,122
2020.10.13,42381,39468,612,277
2020.10.14,42750,39570,616,369
2020.10.15,42750,39570,616,0
2020.10.16,43789,39800,621,1039
2020.10.17,44317,39903,623,528
2020.10.18,44964,40037,626,647
2020.10.19,45295,40144,630,331
2020.10.20,45879,40272,635,584
2020.10.21,46593,40448,642,714
2020.10.22,47418,40619,648,825
2020.10.23,48221,40831,656,803
2020.10.24,49013,41051,664,792
2020.10.25,49959,41279,671,946
2020.10.26,50486,41410,679,527
2020.10.27,51149,41693,688,663
2020.10.28,52137,42033,699,988
2020.10.29,53152,42516,708,1015
2020.10.30,54174,42996,718,1022
2020.10.31,55269,43543,730,1095
2020.11.1,56444,44157,740,1175
2020.11.2,57040,44479,753,596
2020.11.3,58282,45030,768,1242
2020.11.4,59509,45697,780,1227
2020.11.5,60873,46465,794,1364
2020.11.6,62338,47270,811,1465
2020.11.7,63748,48049,824,1410
2020.11.8,65411,48908,840,1663
2020.11.9,65411,48908,840,0
2020.11.10,67392,50009,867,1981
2020.11.11,68594,51007,885,1202
2020.11.12,70216,51986,905,1622
2020.11.13,71580,53001,927,1364
2020.11.14,73429,54049,946,1849
2020.11.15,75688,55150,967,2259
2020.11.16,77083,55755,985,1395
2020.11.17,79158,56894,1005,2075
