date,累计确诊,治愈,死亡,新增确诊
2020.4.7,444,18,14,21
2020.4.8,484,32,15,40
2020.4.9,521,32,15,37
2020.4.12,607,32,18,52
2020.4.13,714,40,23,49
2020.4.14,784,43,25,70
2020.4.15,840,54,30,56
2020.4.16,906,99,30,66
2020.4.17,933,112,30,27
2020.4.18,993,131,32,60
2020.4.19,996,131,33,63
2020.4.20,1092,150,36,66
2020.4.21,1143,150,36,51
2020.4.22,1226,177,40,50
2020.4.23,1330,179,42,51
2020.4.24,1463,188,47,112
2020.4.25,1531,206,47,68
2020.4.26,1703,220,57,172
2020.4.27,1828,228,58,125
2020.4.28,1938,231,58,110
2020.4.29,2171,252,60,232
2020.4.30,2335,310,68,164
2020.5.1,2469,331,72,134
2020.5.2,2704,345,85,235
2020.5.3,2894,397,90,190
2020.5.4,3224,421,95,330
2020.5.5,3392,458,104,168
2020.5.6,3563,468,106,171
2020.5.7,3778,472,109,215
2020.5.8,4033,502,115,255
2020.5.9,4402,558,120,369
2020.5.10,4687,558,122,285
2020.5.11,4963,610,127,276
2020.5.12,5226,648,132,263
2020.5.13,5639,691,136,413
2020.5.14,6053,745,153,414
2020.5.15,6402,745,168,349
2020.5.16,6664,778,169,262
2020.5.17,7072,801,173,408
2020.5.18,7072,801,173,0
2020.5.19,7653,850,178,581
2020.5.20,8145,930,187,492
2020.5.21,8676,938,193,531
2020.5.22,9216,996,205,540
2020.5.23,9998,1040,216,782
2020.5.24,10582,1075,218,584
2020.5.25,11173,1097,219,591
2020.5.26,11831,1128,220,658
2020.5.27,12456,1138,227,625
2020.5.28,13036,1209,235,580
2020.5.29,13659,1259,246,623
2020.5.30,14525,1303,249,866
2020.5.31,15205,1328,257,680
2020.6.1,15750,1428,265,545
2020.6.2,16492,1450,270,742
2020.6.3,17267,1522,294,775
2020.6.4,18054,1585,300,787
2020.6.5,18969,1762,309,915
2020.6.6,19551,1820,320,582
2020.6.7,20342,1875,357,791
2020.6.8,20917,2171,369,575
2020.6.9,21459,2651,384,542
