date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1572,237,205,104
2020.4.9,1666,347,235,94
2020.4.10,1761,405,256,95
2020.4.11,1825,460,275,64
2020.4.12,1914,591,293,89
2020.4.13,1983,601,313,69
2020.4.14,2070,691,326,87
2020.4.15,2160,708,336,90
2020.4.16,2268,783,348,108
2020.4.17,2418,846,364,150
2020.4.18,2534,894,367,116
2020.4.19,2629,1047,375,95
2020.4.20,2718,1099,384,89
2020.4.21,2811,1152,392,93
2020.4.22,2910,1204,402,99
2020.4.23,3007,1355,407,97
2020.4.24,3127,1408,415,120
2020.4.25,3256,1479,419,129
2020.4.26,3382,1508,425,126
2020.4.27,3517,1558,432,135
2020.4.28,3649,1651,437,132
2020.4.29,3848,1702,444,199
2020.4.30,4006,1779,450,158
2020.5.1,4154,1821,453,148
2020.5.2,4295,1872,459,141
2020.5.3,4474,1936,463,179
2020.5.4,4648,1998,465,174
2020.5.5,4838,2067,470,190
2020.5.6,4997,2197,476,159
2020.5.7,5182,2197,483,185
2020.5.8,5369,2467,488,187
2020.5.9,5558,2546,494,189
2020.5.10,5723,2678,502,165
2020.5.11,5891,2841,507,168
2020.5.12,6067,2841,515,176
2020.5.13,6253,3058,522,186
2020.5.14,6442,3158,529,189
2020.5.15,6629,3271,536,187
2020.5.16,6821,3409,542,192
2020.5.17,7019,3507,548,198
2020.5.18,7201,3625,555,182
2020.5.19,7377,3625,561,176
2020.5.20,7542,3968,568,165
2020.5.21,7542,3968,568,0
2020.5.22,7918,4256,582,376
2020.5.23,8113,4426,592,195
2020.5.24,8113,4426,592,0
2020.5.25,8306,4578,600,193
2020.5.26,8503,4747,609,197
2020.5.27,8697,4918,617,194
2020.5.28,8857,5129,623,160
2020.5.29,8997,5277,630,140
2020.5.30,9134,5422,638,137
2020.5.31,9394,5748,653,260
2020.6.1,9513,5894,661,119
2020.6.2,9513,5894,661,0
2020.6.3,9626,6067,667,113
2020.6.4,9831,6297,681,205
2020.6.5,9831,6297,681,0
2020.6.6,10050,6631,698,219
2020.6.7,10154,6717,707,104
2020.6.8,10265,6799,715,111
2020.6.9,10382,6951,724,117
2020.6.10,10484,6951,732,102
2020.6.11,10484,7074,732,0
2020.6.12,10589,7255,741,105
2020.6.13,10698,7322,751,109
2020.6.14,10919,7606,767,221
2020.6.15,10919,7606,767,0
2020.6.16,11031,7735,777,112
2020.6.17,11147,7842,788,116
2020.6.18,11268,7943,799,121
2020.6.19,11504,8196,825,236
2020.6.20,11504,8196,825,0
2020.6.21,11771,8422,845,267
2020.6.22,11771,8422,845,0
2020.6.23,12077,8653,861,306
2020.6.24,12076,8674,861,0
2020.6.25,12248,8792,869,172
2020.6.26,12445,8920,878,197
2020.6.27,12685,9066,885,240
2020.6.28,13273,9371,897,588
2020.6.29,13571,9671,905,298
2020.6.30,13571,9674,905,0
2020.7.1,13907,9897,912,336
2020.7.2,14272,10040,920,365
2020.7.3,14657,10342,928,385
2020.7.4,15070,10832,937,413
2020.7.5,15500,11181,946,430
2020.7.6,15941,11492,952,441
2020.7.7,16404,11884,959,463
2020.7.8,16879,12094,968,475
2020.7.9,17348,12329,978,469
2020.7.10,17808,12637,988,460
2020.7.11,18712,13124,1004,904
2020.7.12,18712,13124,1004,0
2020.7.13,19195,13743,1011,483
2020.7.14,20216,14295,1028,1021
2020.7.15,20216,14295,1028,0
2020.7.16,20770,14792,1040,554
2020.7.17,21355,15107,1052,585
2020.7.18,21948,15430,1057,593
2020.7.19,23084,16051,1078,1136
2020.7.20,23084,16051,1078,0
2020.7.21,23691,16400,1087,607
2020.7.22,24278,16646,1100,587
2020.7.23,24872,16983,1111,594
2020.7.24,26159,17369,1136,1287
2020.7.25,26159,17369,1136,0
2020.7.26,26764,18076,1146,605
2020.7.27,27357,18088,1155,593
2020.7.28,28615,18837,1174,1258
2020.7.29,28615,19233,1174,0
2020.7.30,29229,19592,1186,614
2020.7.31,29831,20082,1200,602
2020.8.1,30394,20537,1210,563
2020.8.2,30950,20988,1223,556
2020.8.3,31465,21419,1231,515
2020.8.4,31972,21901,1239,507
2020.8.5,33055,22375,1261,1083
2020.8.6,33055,22802,1261,0
2020.8.7,33626,23238,1273,571
2020.8.8,34155,23667,1282,529
2020.8.9,34693,24083,1293,538
2020.8.10,35214,24506,1302,521
2020.8.11,35712,24920,1312,498
2020.8.12,36204,25263,1322,492
2020.8.13,36699,25627,1333,495
2020.8.14,37187,26004,1341,488
2020.8.15,37664,26308,1351,477
2020.8.16,38133,26644,1360,469
2020.8.17,38583,27017,1370,450
2020.8.18,39025,27347,1379,442
2020.8.19,39444,27653,1391,419
2020.8.20,39847,27971,1402,403
2020.8.21,40258,28281,1411,411
2020.8.22,40667,28587,1418,409
2020.8.23,41068,28874,1424,401
2020.8.24,41460,29142,1435,392
2020.8.25,41858,29369,1446,398
2020.8.26,42228,29587,1456,370
2020.8.27,42619,29886,1465,391
2020.8.28,43016,30157,1475,397
2020.8.29,43403,30436,1483,387
2020.8.30,43781,30717,1491,378
2020.8.31,44146,30978,1501,365
2020.9.1,44494,31244,1510,348
2020.9.2,44833,31493,1518,339
2020.9.3,45158,31746,1523,325
2020.9.4,45469,32006,1529,311
2020.9.5,45773,32259,1539,304
2020.9.6,46071,32481,1549,298
2020.9.7,46364,32745,1556,293
2020.9.8,46653,32985,1562,289
2020.9.9,46938,33183,1571,285
2020.9.10,47216,33379,1581,278
2020.9.11,47488,33562,1591,272
2020.9.12,47752,33723,1599,264
2020.9.13,48007,33875,1605,255
2020.9.14,48254,34037,1612,247
2020.9.15,48496,34204,1620,242
2020.9.16,48734,34385,1632,238
2020.9.17,48966,34517,1645,232
2020.9.18,49194,34675,1654,228
2020.9.19,49413,34818,1659,219
2020.9.20,49623,34923,1665,210
2020.9.21,49826,35047,1672,203
2020.9.22,50023,35180,1679,197
2020.9.23,50214,35307,1689,191
2020.9.24,50400,35428,1698,186
2020.9.25,50579,35544,1703,179
