date,累计确诊,治愈,死亡,新增确诊
2020.4.7,400,154,22,17
2020.4.8,400,154,22,16
2020.4.9,409,165,23,9
2020.4.12,467,232,23,21
2020.4.14,494,251,25,19
2020.4.15,518,277,26,24
2020.4.16,539,283,26,21
2020.4.17,548,302,26,9
2020.4.18,548,302,26,9
2020.4.19,584,327,26,22
2020.4.20,609,345,26,25
2020.4.21,634,356,27,25
2020.4.22,663,385,27,29
2020.4.23,678,394,27,15
2020.4.24,712,403,27,34
2020.4.25,726,410,28,14
2020.4.27,736,422,28,10
2020.4.28,766,455,30,16
2020.4.29,773,470,31,7
2020.4.30,782,488,31,9
2020.5.1,789,519,31,7
2020.5.2,795,531,31,6
2020.5.3,803,543,31,8
2020.5.4,820,570,31,17
2020.5.5,832,595,31,12
2020.5.6,842,605,31,10
2020.5.7,850,620,31,8
2020.5.8,856,627,31,6
2020.5.9,868,650,31,12
2020.5.10,872,654,31,12
2020.5.11,876,682,31,4
2020.5.12,880,688,31,4
2020.5.13,898,694,31,18
2020.5.14,916,705,31,18
2020.5.15,933,714,31,17
2020.5.16,946,715,31,13
2020.5.17,948,727,31,2
2020.5.18,948,727,31,2
2020.5.19,949,742,31,1
2020.5.20,964,758,31,15
2020.5.21,969,771,31,5
2020.5.22,981,777,31,12
2020.5.23,989,783,31,8
2020.5.24,998,789,32,9
2020.5.25,1004,795,32,6
2020.5.26,1029,803,33,25
2020.5.27,1050,812,33,21
2020.5.28,1076,823,33,26
2020.5.29,1099,851,33,23
2020.5.30,1122,857,33,23
2020.5.31,1136,872,33,14
2020.6.1,1143,877,33,7
2020.6.2,1164,891,33,21
2020.6.3,1184,898,33,20
2020.6.4,1197,898,33,13
2020.6.5,1212,910,33,15
2020.6.6,1232,925,34,20
2020.6.7,1246,938,34,14
2020.6.8,1263,945,34,17
2020.6.9,1299,960,34,36
2020.6.10,1341,980,34,42
2020.6.11,1385,1001,35,44
2020.6.12,1416,1034,36,31
2020.6.13,1464,1039,36,48
2020.6.14,1521,1044,36,57
2020.6.15,1590,1055,36,69
2020.6.16,1672,1064,37,82
2020.6.17,1722,1077,38,50
2020.6.18,1788,1086,39,66
2020.6.19,1838,1114,42,50
2020.6.20,1891,1126,43,53
2020.6.21,1962,1134,44,71
2020.6.22,1995,1159,44,33
2020.6.23,2047,1195,45,52
2020.6.24,2114,1217,47,67
2020.6.25,2192,1250,49,78
2020.6.26,2269,1298,51,77
2020.6.27,2330,1346,53,61
2020.6.28,2402,1384,55,72
2020.6.29,2466,1438,58,64
2020.6.30,2535,1459,62,69
2020.7.1,2580,1516,65,45
2020.7.2,2662,1559,69,82
2020.7.3,2752,1592,72,90
2020.7.4,2819,1637,74,67
2020.7.5,2893,1657,76,74
2020.7.6,2964,1702,79,71
2020.7.7,3038,1744,81,74
2020.7.8,3106,1791,83,68
2020.7.9,3188,1832,83,82
2020.7.10,3278,1875,85,90
2020.7.11,3371,1881,89,93
2020.7.12,3454,1946,93,83
2020.7.13,3571,2014,95,117
2020.7.14,3667,2062,97,96
2020.7.15,3752,2091,101,85
2020.7.16,3851,2137,104,99
2020.7.17,3906,2214,107,55
