date,累计确诊,治愈,死亡,新增确诊
2020.4.7,2659,239,12,283
2020.4.8,2659,239,12,300
2020.4.9,2990,268,14,331
2020.4.10,3360,418,16,370
2020.4.12,4123,680,22,387
2020.4.13,4521,852,25,398
2020.4.14,4933,933,28,412
2020.4.15,5365,1034,33,432
2020.4.16,5825,1095,35,460
2020.4.17,6302,1188,37,477
2020.4.18,6781,1188,41,479
2020.4.19,7265,1286,41,484
2020.4.20,7755,1443,46,490
2020.4.21,8238,1546,52,483
2020.4.22,8756,1637,56,518
2020.4.24,9281,1760,64,525
2020.4.25,9813,1887,71,532
2020.4.27,10839,2090,82,490
2020.4.29,11929,2329,98,148
2020.4.30,13038,2543,111,557
2020.5.2,13599,2664,119,561
2020.5.4,14730,2966,137,567
2020.5.6,15738,3359,157,546
2020.5.7,16793,3837,174,553
2020.5.9,17417,4295,185,624
2020.5.11,18878,5381,201,680
2020.5.13,20386,6523,206,725
2020.5.14,21831,7328,210,747
2020.5.16,22627,7931,214,796
2020.5.18,23358,8512,220,731
2020.5.19,25063,10791,227,1705
2020.5.20,25063,10791,227,0
2020.5.21,26004,11809,233,941
2020.5.22,26898,12755,237,894
2020.5.23,27892,13798,241,994
2020.5.24,29485,15056,245,1593
2020.5.25,29485,15056,245,0
2020.5.26,31086,15982,253,1601
2020.5.27,31086,15982,253,0
2020.5.28,32532,16685,258,1446
2020.5.29,33170,17097,260,638
2020.5.30,33170,17097,260,0
2020.5.31,34557,17932,264,1387
2020.6.1,34557,17932,264,0
2020.6.2,35788,18726,269,1231
2020.6.3,35788,18726,269,0
2020.6.4,37018,19572,273,1230
2020.6.5,37018,19572,273,0
2020.6.6,37642,20337,274,624
2020.6.7,38808,21806,276,1166
2020.6.8,38808,21806,276,0
2020.6.9,39904,22740,283,1096
2020.6.10,39904,22740,283,0
2020.6.11,40986,25234,286,1082
2020.6.12,41499,25946,287,513
2020.6.13,41990,26761,288,491
2020.6.14,42294,27462,289,304
2020.6.15,42294,27462,289,0
2020.6.16,42982,28861,293,688
2020.6.17,42982,28861,293,0
2020.6.18,43752,30241,298,770
2020.6.19,44145,30996,300,393
2020.6.20,44533,31754,301,388
2020.6.21,44925,32415,302,392
2020.6.22,44925,32415,302,0
2020.6.23,45683,33703,305,758
2020.6.24,45683,33703,305,0
2020.6.25,46563,35165,308,880
2020.6.26,46973,35469,310,410
2020.6.27,46973,35469,310,0
2020.6.28,47797,36411,313,824
2020.6.29,47797,36411,313,0
2020.6.30,48667,37566,315,870
2020.7.1,48667,37566,315,0
2020.7.2,49069,38160,316,402
2020.7.3,49469,38664,317,400
2020.7.4,50857,39857,321,1388
2020.7.5,51540,40297,323,683
2020.7.6,51540,40297,323,0
2020.7.7,52600,41714,326,1060
2020.7.8,53045,42282,327,445
2020.7.9,53577,43570,328,532
2020.7.10,54050,43969,330,473
2020.7.11,54453,44648,331,403
2020.7.12,54453,44648,331,0
2020.7.13,54854,45140,333,401
2020.7.14,55198,45513,334,344
2020.7.15,55573,46025,335,375
2020.7.16,55848,46418,335,275
2020.7.17,56422,48448,337,574
2020.7.18,56711,48917,338,289
2020.7.19,56922,49269,339,211
2020.7.20,57193,49621,340,271
2020.7.21,57498,49964,341,305
2020.7.22,57498,49964,341,0
2020.7.23,57988,50848,342,490
2020.7.24,58249,51235,343,261
2020.7.25,58562,51628,343,313
2020.7.26,58913,52182,344,351
2020.7.27,58913,52182,344,0
2020.7.28,59546,52905,347,633
2020.7.29,59921,53202,347,375
2020.7.30,60223,53626,349,302
2020.7.31,60506,53909,351,283
2020.8.1,60760,54255,351,254
2020.8.2,60999,54615,351,239
2020.8.3,60999,54615,351,0
2020.8.4,61352,55090,351,353
2020.8.5,61606,55385,353,254
2020.8.6,61845,55739,354,239
2020.8.7,62061,56015,356,216
2020.8.8,62300,56245,356,239
2020.8.9,62525,56568,357,225
2020.8.10,62525,56568,357,0
2020.8.11,62966,56961,358,441
2020.8.12,63212,57193,358,246
2020.8.13,63489,57372,358,277
2020.8.14,63819,57473,359,330
2020.8.15,64102,57571,361,283
2020.8.16,64312,57694,364,210
2020.8.17,64541,57794,364,229
2020.8.18,64541,57794,364,0
2020.8.19,65341,58022,367,800
2020.8.20,65802,58153,369,461
2020.8.21,66193,58296,370,391
2020.8.22,66617,58408,372,424
2020.8.23,67007,58488,375,390
2020.8.24,67282,58582,376,275
2020.8.25,67621,58754,377,339
2020.8.26,68020,59070,378,399
2020.8.27,68511,59472,378,491
2020.8.28,68901,59861,379,390
2020.8.29,69328,60202,379,427
2020.8.30,69690,60600,382,362
2020.8.31,69690,60600,382,0
2020.9.1,70231,60931,384,541
2020.9.2,71540,62029,387,1309
2020.9.3,72154,62668,387,614
2020.9.4,72766,63158,387,612
2020.9.5,73471,63652,388,705
2020.9.6,73984,66095,388,513
2020.9.7,74454,66533,390,470
2020.9.8,75098,66943,391,644
2020.9.9,75981,67359,393,883
2020.9.10,76911,67945,398,930
2020.9.11,77842,68462,398,931
2020.9.12,78849,68983,399,1007
2020.9.13,79489,69451,399,640
2020.9.14,80266,69981,399,777
2020.9.15,80940,70635,401,674
2020.9.16,81782,71456,402,842
2020.9.17,82568,72117,402,786
2020.9.18,83433,72790,403,865
2020.9.19,84242,73512,404,809
2020.9.20,84916,74273,404,674
2020.9.21,85595,75086,405,679
2020.9.22,86447,76025,405,852
2020.9.23,87530,76995,406,1083
2020.9.24,88532,77937,407,1002
2020.9.25,89540,78819,409,1008
2020.9.26,90618,79676,411,1078
2020.9.27,91469,80544,412,851
2020.9.28,92095,81462,413,626
2020.9.29,93090,82538,416,995
2020.9.30,93090,82538,416,0
2020.10.1,95348,84903,421,2258
2020.10.2,96529,86071,424,1181
