date,累计确诊,治愈,死亡,新增确诊
2020.4.8,457,109,2,38
2020.4.9,457,109,3,38
2020.4.10,546,109,3,62
2020.4.11,599,109,3,53
2020.4.12,599,109,4,53
2020.4.13,813,130,4,86
2020.4.14,910,130,4,97
2020.4.15,1019,131,4,109
2020.4.16,1069,176,5,50
2020.4.18,1266,233,6,86
2020.4.19,1410,238,7,144
2020.4.20,1410,238,8,98
2020.4.21,1614,238,8,106
2020.4.22,1716,307,8,102
2020.4.23,1790,325,9,74
2020.4.24,1905,329,10,115
2020.4.25,1998,333,10,93
2020.4.26,2049,333,10,51
2020.4.27,2131,364,10,82
2020.4.28,2274,364,10,143
2020.4.29,2348,495,10,74
2020.5.1,2483,750,11,36
2020.5.2,2568,750,12,85
2020.5.3,2637,816,12,69
2020.5.4,2735,858,12,98
2020.5.5,2903,888,13,168
2020.5.6,2958,980,13,55
2020.5.7,3112,1025,15,154
2020.5.8,3224,1068,17,112
2020.5.9,3399,1117,17,175
2020.5.10,3573,1211,17,174
2020.5.11,3721,1250,17,14
2020.5.12,4019,1289,17,298
2020.5.13,4341,1303,17,322
2020.5.14,4625,1350,19,284
2020.5.15,5029,1436,20,404
2020.5.16,5186,1465,22,157
2020.5.17,5379,1496,25,193
2020.5.18,5379,1496,25,0
2020.5.19,5671,1574,27,292
2020.5.20,6043,1661,29,372
2020.5.21,6370,1821,30,327
2020.5.22,6794,1821,32,424
2020.5.23,7257,1848,35,463
2020.5.24,7770,1933,36,513
2020.5.25,7770,1933,37,0
2020.5.26,8118,2067,37,348
2020.5.27,8373,2177,38,255
2020.5.28,9009,2177,40,636
2020.5.29,9820,2396,40,811
2020.5.30,10423,2396,42,603
2020.5.31,11437,2396,47,1014
2020.6.1,12223,2682,50,786
2020.6.2,12799,2812,59,576
2020.6.3,13537,2845,67,738
2020.6.4,14316,3451,67,779
2020.6.5,15086,3451,72,770
2020.6.6,16016,3451,72,930
2020.6.7,16882,3451,75,866
2020.6.8,17486,3793,81,604
2020.6.9,18198,4152,83,712
2020.6.10,18887,5640,84,689
2020.6.11,19954,6623,89,1067
2020.6.12,21071,7489,96,1117
2020.6.13,22077,7530,99,1006
2020.6.14,23481,8454,104,1404
2020.6.15,24524,9533,108,1043
2020.6.16,25269,11089,114,745
2020.6.17,26079,11797,116,810
2020.6.18,26818,13264,119,739
2020.6.19,27670,13974,125,852
2020.6.20,28566,14780,128,896
2020.6.21,29471,15552,131,905
2020.6.22,31076,16408,137,1605
2020.6.23,32394,17279,140,1318
2020.6.24,33536,17972,142,1142
2020.6.25,34902,18520,144,1366
2020.6.26,36034,19482,153,1132
2020.6.27,36953,20363,159,919
2020.6.28,38150,21200,163,1197
2020.6.29,39060,22422,169,910
2020.6.30,40070,23425,176,1010
2020.7.1,41194,24162,185,1124
2020.7.2,42555,25318,188,1361
2020.7.3,43929,26169,193,1374
