date,累计确诊,治愈,死亡,新增确诊
2020.4.8,1795,358,80,80
2020.4.9,1894,365,79,99
2020.4.10,1975,375,82,81
2020.4.11,2142,440,89,167
2020.4.12,2208,468,95,66
2020.4.13,2277,515,98,135
2020.4.14,2443,559,105,166
2020.4.15,2571,596,112,294
2020.4.16,2669,631,122,98
2020.4.17,2758,666,129,89
2020.4.18,2839,685,132,170
2020.4.19,2941,709,134,102
2020.4.20,3031,737,142,90
2020.4.21,3144,840,151,113
2020.4.22,3288,872,159,144
2020.4.23,3435,919,165,147
2020.4.24,3607,976,176,172
2020.4.25,3780,1030,185,173
2020.4.26,3892,1107,192,112
2020.4.27,4003,1140,197,111
2020.4.28,4127,1162,207,124
2020.4.29,4285,1192,214,158
2020.4.30,4428,1256,218,143
2020.5.1,4532,1292,225,104
2020.5.2,4681,1320,237,149
2020.5.4,4887,1442,260,104
2020.5.5,5020,1472,264,133
2020.5.6,5208,1524,273,188
2020.5.7,5371,1601,282,163
2020.5.8,5611,1659,293,240
2020.5.9,5766,1728,300,155
2020.5.10,6021,1757,305,245
2020.5.11,6265,1837,314,231
2020.5.12,6563,1862,319,285
2020.5.13,6879,2266,329,316
2020.5.14,7134,2385,353,255
2020.5.15,7479,2497,356,345
2020.5.16,7805,2534,363,326
2020.5.17,8068,2569,373,263
2020.5.18,8068,2625,374,0
2020.5.19,8371,2625,382,303
2020.5.20,8809,2933,394,438
2020.5.21,9283,2933,403,474
2020.5.22,9931,3032,419,648
2020.5.23,10649,3530,439,718
2020.5.24,11353,3530,445,704
2020.5.25,12076,3999,456,723
2020.5.26,12628,4167,471,552
2020.5.27,13228,4349,492,600
2020.5.28,13933,4349,501,705
2020.5.29,14702,4788,510,769
2020.5.30,15419,4788,520,717
2020.5.31,16214,5336,530,795
2020.6.1,16851,5521,541,637
2020.6.2,17415,5709,560,564
2020.6.3,18319,5896,570,904
2020.6.4,19268,5993,588,949
2020.6.5,20197,6088,615,929
2020.6.6,21037,6180,642,840
2020.6.7,22020,6909,656,983
2020.6.8,22794,7305,670,774
2020.6.9,23620,7568,698,826
2020.6.10,24761,7991,717,1141
2020.6.11,25987,8332,741,1226
2020.6.12,27373,8743,772,1386
2020.6.13,28764,9083,802,1391
2020.6.14,30295,9564,819,1531
2020.6.15,31577,9891,842,1282
