date,累计确诊,治愈,死亡,新增确诊
2020.4.8,77,14,0,3
2020.4.9,82,20,0,5
2020.4.10,86,27,0,4
2020.4.11,92,29,0,6
2020.4.15,93,39,1,1
2020.4.16,95,39,2,2
2020.4.17,96,43,2,1
2020.4.19,97,49,2,1
2020.4.21,97,51,2,0
2020.4.22,100,68,2,3
2020.4.24,100,69,2,0
2020.4.26,100,73,2,0
2020.4.30,100,79,2,0
2020.5.5,101,82,2,1
2020.5.16,101,93,3,0
2020.5.17,101,93,3,0
2020.5.18,101,93,3,0
2020.5.19,101,93,3,0
2020.5.20,101,93,3,0
2020.5.21,101,95,3,0
2020.5.22,101,95,3,0
2020.5.23,101,95,3,0
2020.5.24,101,95,3,0
2020.5.25,101,95,3,0
2020.5.26,101,95,3,0
2020.5.27,101,95,3,0
2020.5.28,101,97,3,0
2020.5.29,101,98,3,0
2020.5.30,101,98,3,0
2020.5.31,101,98,3,0
2020.6.1,101,98,3,0
2020.6.2,101,98,3,0
2020.6.3,101,98,3,0
2020.6.4,101,98,3,0
2020.6.5,101,98,3,0
2020.6.6,101,98,3,0
2020.6.7,101,98,3,0
2020.6.8,101,98,3,0
2020.6.9,101,98,3,0
2020.6.10,101,98,3,0
2020.6.11,101,98,3,0
2020.6.12,101,98,3,0
2020.6.13,101,98,3,0
2020.6.14,101,98,3,0
2020.6.15,101,98,3,0
2020.6.16,101,98,3,0
2020.6.17,101,98,3,0
2020.6.18,101,98,3,0
2020.6.19,101,98,3,0
2020.6.20,101,98,3,0
2020.6.21,101,98,3,0
2020.6.22,101,98,3,0
2020.6.23,101,98,3,0
2020.6.24,101,98,3,0
2020.6.25,101,98,3,0
2020.6.26,101,98,3,0
2020.6.27,101,98,3,0
2020.6.28,101,98,3,0
2020.6.29,101,98,3,0
2020.6.30,103,98,3,2
2020.7.1,103,98,3,0
2020.7.2,103,98,3,0
2020.7.3,104,98,3,1
2020.7.4,104,98,3,0
2020.7.5,105,98,3,1
2020.7.6,105,98,3,0
2020.7.7,105,98,3,0
2020.7.8,105,98,3,0
2020.7.9,105,98,3,0
2020.7.10,105,98,3,0
2020.7.11,105,98,3,0
2020.7.12,105,99,3,0
2020.7.13,105,99,3,0
2020.7.14,105,99,3,0
2020.7.15,106,99,3,1
2020.7.16,106,99,3,0
2020.7.17,108,100,3,2
