date,累计确诊,治愈,死亡,新增确诊
2020.2.21,208,12,1,142
2020.2.22,433,18,2,256
2020.2.23,602,18,2,256
2020.2.24,833,22,7,161
2020.2.25,799,22,9,214
2020.2.26,799,22,11,13
2020.2.27,1595,24,13,571
2020.2.28,2022,24,13,571
2020.2.29,3150,26,17,813
2020.3.1,4212,31,22,586
2020.3.2,4812,34,28,476
2020.3.3,5328,41,32,516
2020.3.4,5766,88,35,438
2020.3.5,6284,108,42,518
2020.3.6,6767,108,44,483
2020.3.7,7134,130,50,367
2020.3.8,7382,166,51,248
2020.3.9,7513,247,54,131
2020.3.10,7755,247,80,242
2020.3.11,7869,333,66,114
2020.3.12,7979,510,67,110
2020.3.13,8086,714,72,107
2020.3.14,8162,714,75,76
2020.3.15,8236,1137,75,74
2020.3.16,8320,1401,82,84
2020.3.17,8413,1540,84,93
2020.3.18,8565,1947,91,152
2020.3.19,8652,2233,94,87
2020.3.20,8799,2612,102,147
2020.3.21,8897,2909,104,98
2020.3.22,8961,3166,111,64
2020.3.23,9037,3507,120,76
2020.3.24,9137,3730,127,100
2020.3.25,9241,4144,131,104
2020.3.26,9332,4528,139,91
2020.3.27,9478,4811,144,146
2020.3.28,9583,5033,152,105
2020.3.29,9661,5228,158,78
2020.3.30,9786,5408,162,125
2020.3.31,9887,5567,165,101
2020.4.1,9976,5828,169,89
2020.4.2,10062,6021,174,86
2020.4.3,10156,6325,177,94
2020.4.4,10237,6325,177,81
2020.4.5,10284,6598,186,47
2020.4.6,10331,6694,192,47
2020.4.7,10384,6776,200,53
2020.4.8,10423,6973,204,39
2020.4.9,10450,7117,208,27
2020.4.10,10480,7243,211,30
2020.4.11,10512,7368,214,32
2020.4.12,10537,7447,217,25
2020.4.13,10564,7534,222,27
2020.4.14,10591,7616,225,27
2020.4.15,10613,7757,229,22
2020.4.16,10635,7829,230,22
2020.4.17,10653,7937,232,18
2020.4.18,10661,8042,234,8
2020.4.19,10674,8114,236,8
2020.4.20,10683,8213,237,9
2020.4.21,10694,8277,238,11
2020.4.22,10702,8411,240,8
2020.4.23,10708,8501,240,6
2020.4.24,10718,8635,240,10
2020.4.25,10728,8717,242,10
2020.4.26,10738,8764,243,10
2020.4.27,10752,8854,244,14
2020.4.28,10761,8922,246,9
2020.4.29,10765,9059,247,4
2020.4.30,10774,9072,248,9
2020.5.1,10780,9123,250,6
2020.5.2,10793,9183,250,13
2020.5.3,10801,9217,252,8
2020.5.4,10804,9283,254,3
2020.5.5,10806,9333,255,2
2020.5.6,10810,9419,256,4
2020.5.7,10822,9484,256,12
2020.5.8,10840,9568,256,18
2020.5.9,10874,9610,256,34
2020.5.10,10909,9632,256,35
2020.5.11,10936,9670,258,27
2020.5.12,10962,9695,259,26
2020.5.13,10991,9762,260,29
2020.5.14,11018,9821,260,27
2020.5.15,11037,9851,262,19
2020.5.16,11050,9888,262,13
2020.5.17,11065,9904,263,15
2020.5.18,11065,9904,263,0
2020.5.19,11078,9938,263,13
2020.5.20,11110,10066,263,32
2020.5.21,11122,10135,264,12
2020.5.22,11142,10162,264,20
2020.5.23,11165,10194,266,23
2020.5.24,11190,10213,266,25
2020.5.25,11206,10226,267,16
2020.5.26,11225,10275,269,19
2020.5.27,11265,10295,269,40
2020.5.28,11344,10340,269,79
2020.5.29,11402,10363,269,58
2020.5.30,11441,10398,269,39
2020.5.31,11468,10405,270,27
2020.6.1,11503,10422,271,35
2020.6.2,11541,10446,272,38
2020.6.3,11590,10467,273,49
2020.6.4,11629,10499,273,39
2020.6.5,11668,10506,273,39
2020.6.6,11719,10531,273,51
2020.6.7,11776,10552,273,57
2020.6.8,11814,10563,273,38
2020.6.9,11852,10589,274,38
2020.6.10,11902,10611,276,50
2020.6.11,11947,10654,276,45
2020.6.12,12003,10669,277,56
2020.6.13,12051,10691,277,48
2020.6.14,12085,10718,277,34
2020.6.15,12121,10730,277,36
2020.6.16,12155,10760,278,34
2020.6.17,12198,10774,279,43
2020.6.18,12257,10800,280,59
2020.6.19,12306,10835,280,49
2020.6.20,12373,10856,280,67
2020.6.21,12421,10868,280,48
2020.6.22,12438,10881,280,17
2020.6.23,12484,10908,281,46
2020.6.24,12535,10930,281,51
2020.6.25,12563,10974,282,28
2020.6.26,12602,11172,282,39
2020.6.27,12653,11317,282,51
2020.6.28,12715,11364,282,62
2020.6.29,12757,11429,282,42
2020.6.30,12800,11537,282,43
2020.7.1,12850,11613,282,50
2020.7.2,12904,11684,282,54
2020.7.3,12967,11759,282,63
2020.7.4,13030,11811,283,63
2020.7.5,13091,11832,283,61
2020.7.6,13137,11848,284,46
2020.7.7,13181,11914,285,44
2020.7.8,13244,11970,285,63
2020.7.9,13293,12019,287,49
2020.7.10,13338,12065,288,45
2020.7.11,13373,12144,288,35
2020.7.12,13417,12178,289,44
2020.7.13,13479,12204,289,62
2020.7.14,13512,12282,289,33
2020.7.15,13551,12348,289,39
2020.7.16,13612,12396,291,61
2020.7.17,13672,12460,293,60
2020.7.18,13711,12519,294,39
2020.7.19,13745,12556,295,34
2020.7.20,13771,12572,296,26
2020.7.21,13816,12643,296,45
2020.7.22,13879,12698,297,63
2020.7.23,13938,12758,297,59
2020.7.24,13979,12817,298,41
2020.7.25,14092,12866,298,113
2020.7.26,14150,12890,298,58
2020.7.27,14175,12905,299,25
2020.7.28,14203,13007,300,28
2020.7.29,14251,13069,300,48
2020.7.30,14269,13132,300,18
2020.7.31,14305,13183,301,36
2020.8.1,14336,13233,301,31
2020.8.2,14366,13259,301,30
2020.8.3,14389,13280,301,23
2020.8.4,14423,13352,301,34
2020.8.5,14456,13406,302,33
2020.8.6,14499,13501,302,43
2020.8.7,14519,13543,303,20
2020.8.8,14562,13629,304,43
2020.8.9,14598,13642,305,36
2020.8.10,14626,13658,305,28
2020.8.11,14660,13729,305,34
2020.8.12,14714,13786,305,54
2020.8.13,14770,13817,305,56
2020.8.14,14873,13863,305,103
2020.8.15,15039,13901,305,166
2020.8.16,15318,13910,305,279
2020.8.17,15515,13917,305,197
2020.8.18,15761,13934,306,246
2020.8.19,16058,14006,306,297
2020.8.20,16346,14063,307,288
2020.8.21,16670,14120,309,324
2020.8.22,17002,14169,309,332
2020.8.23,17399,14200,309,397
2020.8.24,17665,14219,309,266
2020.8.25,17945,14286,310,280
2020.8.26,18265,14368,312,320
2020.8.27,18706,14461,313,441
2020.8.28,19077,14551,316,371
2020.8.29,19400,14765,321,323
2020.8.30,19699,14903,323,299
2020.8.31,19947,14973,324,248
2020.9.1,20182,15198,324,235
2020.9.2,20449,15356,326,267
2020.9.3,20644,15529,329,195
2020.9.4,20842,15783,331,198
2020.9.5,21010,16009,333,168
2020.9.6,21177,16146,334,167
2020.9.7,21296,16297,336,119
2020.9.8,21432,16636,341,136
2020.9.9,21588,17023,344,156
2020.9.10,21743,17360,346,155
2020.9.11,21919,17616,350,176
2020.9.12,22055,18029,355,136
2020.9.13,22176,18226,358,121
2020.9.14,22285,18489,363,109
2020.9.15,22391,18878,367,106
2020.9.16,22504,19310,367,113
2020.9.17,22657,19543,372,153
2020.9.18,22783,19771,377,126
2020.9.19,22893,19970,378,110
2020.9.20,22975,20158,383,82
2020.9.21,23045,20248,385,70
2020.9.22,23106,20441,388,61
2020.9.23,23216,20650,388,110
2020.9.24,23341,20832,393,125
2020.9.25,23455,20978,395,114
2020.9.26,23516,21166,399,61
2020.9.27,23611,21248,401,95
2020.9.28,23661,21292,406,50
2020.9.29,23699,21470,407,38
2020.9.30,23812,21590,413,113
2020.10.1,23889,21666,415,77
2020.10.2,23952,21733,416,63
2020.10.3,24027,21787,420,75
2020.10.4,24091,21845,421,64
2020.10.5,24164,21886,422,73
2020.10.6,24239,22083,422,75
2020.10.7,24353,22334,425,114
2020.10.8,24422,22463,427,69
2020.10.9,24476,22569,428,54
2020.10.10,24548,22624,430,72
2020.10.11,24606,22693,432,58
2020.10.12,24703,22729,433,97
2020.10.13,24805,22863,434,102
